# Esports Tournaments Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Tournament_Name,Game,Year,Location,Organizer,Prize_Pool_USD,Teams_Count,Winner_Team,Runner_Up,Format,Viewership_Millions,Duration_Days,Sponsors
18,Paladins World Championship 2023,Paladins,2023,DreamHack,Hi-Rez Studios,200000,8,Natus Vincere,SK Gaming,Best of 5,0.1,2,HyperX
19,Brawl Stars World Championship 2023,Brawl Stars,2023,Stockholm,Supercell,1000000,16,Tribe Gaming,SK Gaming,Double Elimination,0.4,3,Red Bull
20,Clash Royale League World Finals 2023,Clash Royale,2023,Tokyo,Supercell,1000000,16,Team Liquid,NRG,Best of 5,0.3,2,Intel
21,Free Fire World Series 2023,Free Fire,2023,Jakarta,Garena,2000000,18,EVOS Phoenix,LOUD,Battle Royale,2.5,4,Samsung
22,PUBG Mobile Global Championship 2023,PUBG Mobile,2023,Dubai,Tencent Games,3000000,16,Team Secret,Infinity,Battle Royale,1.8,5,HyperX
23,Mobile Legends M4 World Championship 2023,Mobile Legends,2023,Jakarta,Moonton,800000,16,ONIC Esports,Blacklist International,Best of 5,1.2,4,Red Bull
24,Arena of Valor World Cup 2023,Arena of Valor,2023,Ho Chi Minh City,Tencent Games,500000,12,Team Flash,ONIC Esports,Best of 5,0.8,3,Intel
25,Wild Rift Icons Global Championship 2023,League of Legends: Wild Rift,2023,Singapore,Riot Games,2000000,24,J Team,JD Gaming,Double Elimination,1.0,5,Samsung
26,Honor of Kings World Championship 2023,Honor of Kings,2023,Chengdu,Tencent Games,1000000,16,Wolves,AG Superplay,Best of 5,0.6,4,HyperX
27,Vainglory World Championship 2023,Vainglory,2023,Singapore,SEMC,200000,8,Tribe Gaming,Cloud9,Best of 5,0.1,2,Red Bull
28,Clash of Clans World Championship 2023,Clash of Clans,2023,Helsinki,Supercell,1000000,8,Tribe Gaming,SK Gaming,Best of 5,0.2,2,Intel
29,Hay Day Pop World Championship 2023,Hay Day Pop,2023,Stockholm,Supercell,100000,4,Team Liquid,Cloud9,Best of 3,0.05,1,HyperX
30,Boom Beach World Championship 2023,Boom Beach,2023,Helsinki,Supercell,50000,4,Tribe Gaming,SK Gaming,Best of 3,0.03,1,Red Bull
31,Chess.com Speed Chess Championship 2023,Chess,2023,Online,Chess.com,100000,16,Magnus Carlsen,Hikaru Nakamura,Speed Chess,0.5,7,Intel
32,Lichess Titled Arena 2023,Chess,2023,Online,Lichess,50000,100,Magnus Carlsen,Fabiano Caruana,Arena,0.3,1,HyperX
33,Chess24 Champions Chess Tour 2023,Chess,2023,Online,Chess24,200000,8,Magnus Carlsen,Wesley So,Round Robin,0.4,10,Red Bull
34,Chess.com Daily Chess Championship 2023,Chess,2023,Online,Chess.com,75000,32,Hikaru Nakamura,Magnus Carlsen,Daily Chess,0.2,30,Intel
35,Chess.com Bullet Chess Championship 2023,Chess,2023,Online,Chess.com,50000,16,Hikaru Nakamura,Magnus Carlsen,Bullet Chess,0.3,3,HyperX
36,Chess.com Blitz Chess Championship 2023,Chess,2023,Online,Chess.com,75000,16,Magnus Carlsen,Hikaru Nakamura,Blitz Chess,0.4,5,Red Bull
37,Chess.com Rapid Chess Championship 2023,Chess,2023,Online,Chess.com,100000,16,Magnus Carlsen,Fabiano Caruana,Rapid Chess,0.5,7,Intel
38,Chess.com Classical Chess Championship 2023,Chess,2023,Online,Chess.com,150000,8,Magnus Carlsen,Wesley So,Classical Chess,0.6,14,HyperX
39,Chess.com Puzzle Rush Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Rush,0.1,1,Red Bull
40,Chess.com Puzzle Battle Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Battle,0.1,1,Intel
41,Chess.com Puzzle Storm Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Storm,0.1,1,HyperX
42,Chess.com Puzzle Streak Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Streak,0.1,1,Red Bull
43,Chess.com Puzzle Racer Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Racer,0.1,1,Intel
44,Chess.com Puzzle Frenzy Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Frenzy,0.1,1,HyperX
45,Chess.com Puzzle Blitz Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Blitz,0.1,1,Red Bull
46,Chess.com Puzzle Rush Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Rush,0.1,1,Intel
47,Chess.com Puzzle Battle Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Battle,0.1,1,HyperX
48,Chess.com Puzzle Storm Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Storm,0.1,1,Red Bull
49,Chess.com Puzzle Streak Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Streak,0.1,1,Intel
50,Chess.com Puzzle Racer Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Racer,0.1,1,HyperX
51,Chess.com Puzzle Frenzy Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Frenzy,0.1,1,Red Bull
52,Chess.com Puzzle Blitz Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Blitz,0.1,1,Intel
53,Chess.com Puzzle Rush Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Rush,0.1,1,HyperX
54,Chess.com Puzzle Battle Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Battle,0.1,1,Red Bull
55,Chess.com Puzzle Storm Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Storm,0.1,1,Intel
56,Chess.com Puzzle Streak Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Streak,0.1,1,HyperX
57,Chess.com Puzzle Racer Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Racer,0.1,1,Red Bull
58,Chess.com Puzzle Frenzy Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Frenzy,0.1,1,Intel
59,Chess.com Puzzle Blitz Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Blitz,0.1,1,HyperX
60,Chess.com Puzzle Rush Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Rush,0.1,1,Red Bull
61,Chess.com Puzzle Battle Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Battle,0.1,1,HyperX
62,Chess.com Puzzle Storm Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Storm,0.1,1,Red Bull
63,Chess.com Puzzle Streak Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Streak,0.1,1,Intel
64,Chess.com Puzzle Racer Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Racer,0.1,1,HyperX
65,Chess.com Puzzle Frenzy Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Frenzy,0.1,1,Red Bull
66,Chess.com Puzzle Blitz Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Blitz,0.1,1,Intel
67,Chess.com Puzzle Rush Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Rush,0.1,1,HyperX
68,Chess.com Puzzle Battle Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Battle,0.1,1,HyperX
69,Chess.com Puzzle Storm Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Storm,0.1,1,Red Bull
70,Chess.com Puzzle Streak Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Streak,0.1,1,Intel
71,Chess.com Puzzle Racer Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Racer,0.1,1,HyperX
72,Chess.com Puzzle Frenzy Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Frenzy,0.1,1,Red Bull
73,Chess.com Puzzle Blitz Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Blitz,0.1,1,Intel
74,Chess.com Puzzle Rush Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Rush,0.1,1,HyperX
75,Chess.com Puzzle Battle Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Battle,0.1,1,Red Bull
76,Chess.com Puzzle Storm Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Storm,0.1,1,Intel
77,Chess.com Puzzle Streak Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Streak,0.1,1,HyperX
78,Chess.com Puzzle Racer Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Racer,0.1,1,Red Bull
79,Chess.com Puzzle Frenzy Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Frenzy,0.1,1,Intel
80,Chess.com Puzzle Blitz Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Blitz,0.1,1,HyperX
81,Chess.com Puzzle Rush Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Rush,0.1,1,HyperX
82,Chess.com Puzzle Battle Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Battle,0.1,1,Red Bull
83,Chess.com Puzzle Storm Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Storm,0.1,1,Intel
84,Chess.com Puzzle Streak Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Streak,0.1,1,HyperX
85,Chess.com Puzzle Racer Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Racer,0.1,1,Red Bull
86,Chess.com Puzzle Frenzy Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Frenzy,0.1,1,Intel
87,Chess.com Puzzle Blitz Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Blitz,0.1,1,HyperX
88,Chess.com Puzzle Rush Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Rush,0.1,1,Red Bull
89,Chess.com Puzzle Battle Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Battle,0.1,1,Intel
90,Chess.com Puzzle Storm Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Storm,0.1,1,HyperX
91,Chess.com Puzzle Streak Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Streak,0.1,1,Red Bull
92,Chess.com Puzzle Racer Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Racer,0.1,1,Intel
93,Chess.com Puzzle Frenzy Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Frenzy,0.1,1,HyperX
94,Chess.com Puzzle Blitz Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Blitz,0.1,1,Red Bull
95,Chess.com Puzzle Rush Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Rush,0.1,1,Intel
96,Chess.com Puzzle Battle Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Battle,0.1,1,HyperX
97,Chess.com Puzzle Storm Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Storm,0.1,1,Red Bull
98,Chess.com Puzzle Streak Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Streak,0.1,1,Intel
99,Chess.com Puzzle Racer Championship 2023,Chess,2023,Online,Chess.com,25000,32,Hikaru Nakamura,Magnus Carlsen,Puzzle Racer,0.1,1,HyperX
100,Chess.com Puzzle Frenzy Championship 2023,Chess,2023,Online,Chess.com,25000,32,Magnus Carlsen,Hikaru Nakamura,Puzzle Frenzy,0.1,1,Red Bull
