# Mobile Games Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Game_Name,Developer,Publisher,Platform,Genre,Release_Date,Downloads_Millions,Revenue_Millions_USD,In_App_Purchases_Available,Free_to_Play,Rating_Average,Review_Count_Millions,File_Size_MB,Age_Rating,Language_Count,Update_Frequency_Days,Monetization_Model,Ad_Supported,Social_Features,Multiplayer,Offline_Play,Cloud_Save,Controller_Support
16,Boom Beach,Supercell,Supercell,iOS/Android,Strategy,2014-03-26,200.0,1500.0,Yes,Yes,4.2,1.5,180,9+,20,21,Freemium,Yes,Yes,Yes,Yes,Yes,No
17,Brawl Stars,Supercell,Supercell,iOS/Android,Multiplayer Online Battle Arena,2018-12-12,400.0,3000.0,Yes,Yes,4.4,2.5,200,9+,25,14,Freemium,Yes,Yes,Yes,Yes,Yes,No
18,Clash Mini,Supercell,Supercell,iOS/Android,Strategy,2021-11-08,100.0,500.0,Yes,Yes,4.1,0.8,120,9+,15,10,Freemium,Yes,Yes,Yes,Yes,Yes,No
19,Clash Quest,Supercell,Supercell,iOS/Android,Puzzle,2021-04-06,50.0,200.0,Yes,Yes,3.9,0.3,100,4+,10,7,Freemium,Yes,Yes,No,Yes,Yes,No
20,Clash Heroes,Supercell,Supercell,iOS/Android,Action RPG,2023-01-15,25.0,100.0,Yes,Yes,4.0,0.2,150,9+,8,14,Freemium,Yes,Yes,Yes,Yes,Yes,No
21,Words with Friends,Zynga,Zynga,iOS/Android,Word Game,2009-07-01,200.0,1000.0,Yes,Yes,4.1,1.0,80,4+,15,30,Freemium,Yes,Yes,Yes,Yes,Yes,No
22,Draw Something,Zynga,Zynga,iOS/Android,Drawing Game,2012-02-06,150.0,800.0,Yes,Yes,4.0,0.8,60,4+,12,21,Freemium,Yes,Yes,Yes,Yes,Yes,No
23,FarmVille 2,Zynga,Zynga,iOS/Android,Farming Simulation,2012-06-25,100.0,600.0,Yes,Yes,3.9,0.5,120,4+,18,14,Freemium,Yes,Yes,No,Yes,Yes,No
24,CSR Racing 2,NaturalMotion,NaturalMotion,iOS/Android,Racing,2016-06-30,80.0,500.0,Yes,Yes,4.2,0.4,300,9+,20,21,Freemium,Yes,Yes,Yes,Yes,Yes,Yes
25,8 Ball Pool,Miniclip,Miniclip,iOS/Android,Sports,2010-01-01,500.0,2000.0,Yes,Yes,4.3,2.5,100,4+,30,14,Freemium,Yes,Yes,Yes,Yes,Yes,No
26,Agar.io,Miniclip,Miniclip,iOS/Android,Multiplayer,2015-04-28,200.0,300.0,Yes,Yes,4.0,1.0,50,4+,25,30,Freemium,Yes,Yes,Yes,Yes,Yes,No
27,Slither.io,Miniclip,Miniclip,iOS/Android,Multiplayer,2016-03-25,150.0,200.0,Yes,Yes,3.9,0.8,40,4+,20,21,Freemium,Yes,Yes,Yes,Yes,Yes,No
28,2048,Ketchapp,Ketchapp,iOS/Android,Puzzle,2014-03-09,100.0,50.0,Yes,Yes,4.1,0.5,20,4+,15,60,Freemium,Yes,No,No,Yes,No,No
29,Flappy Bird,Dong Nguyen,Dong Nguyen,iOS/Android,Arcade,2013-05-24,50.0,100.0,No,Yes,3.8,0.3,5,4+,10,0,Paid,No,No,No,Yes,No,No
30,Crossy Road,Hipster Whale,Hipster Whale,iOS/Android,Arcade,2014-11-20,80.0,150.0,Yes,Yes,4.0,0.4,30,4+,12,30,Freemium,Yes,No,No,Yes,Yes,No
31,Monument Valley,ustwo games,ustwo games,iOS/Android,Puzzle,2014-04-03,30.0,200.0,No,No,4.7,0.2,150,4+,15,90,Paid,No,No,No,Yes,Yes,No
32,Monument Valley 2,ustwo games,ustwo games,iOS/Android,Puzzle,2017-06-05,20.0,150.0,No,No,4.6,0.1,200,4+,15,120,Paid,No,No,No,Yes,Yes,No
33,Alto's Adventure,Snowman,Snowman,iOS/Android,Endless Runner,2015-02-19,25.0,100.0,No,No,4.5,0.1,80,4+,10,60,Paid,No,No,No,Yes,Yes,No
34,Alto's Odyssey,Snowman,Snowman,iOS/Android,Endless Runner,2018-02-22,20.0,80.0,No,No,4.4,0.1,100,4+,10,90,Paid,No,No,No,Yes,Yes,No
35,Threes,Asher Vollmer,Asher Vollmer,iOS/Android,Puzzle,2014-02-06,15.0,60.0,No,No,4.3,0.1,30,4+,8,120,Paid,No,No,No,Yes,Yes,No
36,Two Dots,Playdots,Playdots,iOS/Android,Puzzle,2014-05-29,50.0,200.0,Yes,Yes,4.2,0.3,60,4+,12,21,Freemium,Yes,Yes,No,Yes,Yes,No
37,Dots & Co,Playdots,Playdots,iOS/Android,Puzzle,2016-06-16,30.0,100.0,Yes,Yes,4.1,0.2,70,4+,10,30,Freemium,Yes,Yes,No,Yes,Yes,No
38,Duolingo,Duolingo,Duolingo,iOS/Android,Education,2012-06-19,500.0,1000.0,Yes,Yes,4.6,2.0,100,4+,40,14,Freemium,Yes,Yes,Yes,Yes,Yes,No
39,Khan Academy Kids,Khan Academy,Khan Academy,iOS/Android,Education,2018-07-18,100.0,50.0,No,Yes,4.5,0.5,200,4+,25,30,Freemium,No,Yes,No,Yes,Yes,No
40,Peak,Brainbow,Peak,iOS/Android,Education,2014-05-15,50.0,100.0,Yes,Yes,4.3,0.3,80,4+,20,21,Freemium,Yes,Yes,No,Yes,Yes,No
41,Lumosity,Lumos Labs,Lumos Labs,iOS/Android,Education,2007-01-01,100.0,300.0,Yes,Yes,4.1,0.5,120,4+,15,14,Freemium,Yes,Yes,No,Yes,Yes,No
42,CogniFit,CogniFit,CogniFit,iOS/Android,Education,2006-01-01,30.0,80.0,Yes,Yes,4.0,0.2,150,4+,12,21,Freemium,Yes,Yes,No,Yes,Yes,No
43,Headspace,Headspace,Headspace,iOS/Android,Health,2010-01-01,200.0,500.0,Yes,Yes,4.4,1.0,100,4+,25,14,Freemium,No,Yes,No,Yes,Yes,No
44,Calm,Calm,Calm,iOS/Android,Health,2012-01-01,150.0,400.0,Yes,Yes,4.3,0.8,80,4+,20,21,Freemium,No,Yes,No,Yes,Yes,No
45,MyFitnessPal,Under Armour,Under Armour,iOS/Android,Health,2005-01-01,300.0,200.0,Yes,Yes,4.2,1.5,120,4+,30,14,Freemium,Yes,Yes,No,Yes,Yes,No
46,Strava,Strava,Strava,iOS/Android,Health,2009-01-01,100.0,150.0,Yes,Yes,4.1,0.5,80,4+,25,21,Freemium,Yes,Yes,Yes,Yes,Yes,Yes
47,Nike Training Club,Nike,Nike,iOS/Android,Health,2010-01-01,80.0,100.0,No,Yes,4.0,0.4,150,4+,20,30,Freemium,No,Yes,No,Yes,Yes,No
48,Adidas Running,Adidas,Adidas,iOS/Android,Health,2010-01-01,60.0,80.0,Yes,Yes,3.9,0.3,100,4+,18,21,Freemium,Yes,Yes,Yes,Yes,Yes,Yes
49,Spotify,Spotify,Spotify,iOS/Android,Music,2008-10-07,1000.0,2000.0,Yes,Yes,4.5,5.0,100,4+,60,7,Freemium,Yes,Yes,Yes,Yes,Yes,Yes
50,Apple Music,Apple,Apple,iOS/Android,Music,2015-06-30,500.0,1500.0,Yes,Yes,4.3,2.5,80,4+,50,14,Freemium,No,Yes,Yes,Yes,Yes,Yes
51,YouTube Music,Google,Google,iOS/Android,Music,2015-11-12,300.0,800.0,Yes,Yes,4.1,1.5,120,4+,40,10,Freemium,Yes,Yes,Yes,Yes,Yes,Yes
52,Pandora,Pandora,Pandora,iOS/Android,Music,2008-07-10,200.0,500.0,Yes,Yes,4.0,1.0,100,4+,25,21,Freemium,Yes,Yes,Yes,Yes,Yes,Yes
53,SoundCloud,SoundCloud,SoundCloud,iOS/Android,Music,2007-08-01,150.0,300.0,Yes,Yes,3.9,0.8,80,4+,30,14,Freemium,Yes,Yes,Yes,Yes,Yes,Yes
54,Deezer,Deezer,Deezer,iOS/Android,Music,2007-01-01,100.0,200.0,Yes,Yes,3.8,0.5,90,4+,35,21,Freemium,Yes,Yes,Yes,Yes,Yes,Yes
55,Tidal,Tidal,Tidal,iOS/Android,Music,2015-03-30,50.0,150.0,Yes,Yes,3.7,0.3,110,4+,20,30,Freemium,No,Yes,Yes,Yes,Yes,Yes
56,Amazon Music,Amazon,Amazon,iOS/Android,Music,2016-10-12,80.0,250.0,Yes,Yes,3.6,0.4,100,4+,25,21,Freemium,Yes,Yes,Yes,Yes,Yes,Yes
57,Netflix,Netflix,Netflix,iOS/Android,Entertainment,2007-01-01,2000.0,5000.0,Yes,Yes,4.2,10.0,150,12+,40,14,Freemium,No,Yes,Yes,Yes,Yes,Yes
58,Disney+,Disney,Disney,iOS/Android,Entertainment,2019-11-12,500.0,2000.0,Yes,Yes,4.1,2.5,120,12+,30,21,Freemium,No,Yes,Yes,Yes,Yes,Yes
59,Amazon Prime Video,Amazon,Amazon,iOS/Android,Entertainment,2016-12-14,300.0,1500.0,Yes,Yes,4.0,1.5,100,12+,35,14,Freemium,No,Yes,Yes,Yes,Yes,Yes
60,HBO Max,WarnerMedia,WarnerMedia,iOS/Android,Entertainment,2020-05-27,200.0,1000.0,Yes,Yes,3.9,1.0,110,17+,25,21,Freemium,No,Yes,Yes,Yes,Yes,Yes
61,Hulu,Hulu,Hulu,iOS/Android,Entertainment,2007-10-29,150.0,800.0,Yes,Yes,3.8,0.8,90,12+,20,30,Freemium,Yes,Yes,Yes,Yes,Yes,Yes
62,Peacock,NBCUniversal,NBCUniversal,iOS/Android,Entertainment,2020-07-15,100.0,500.0,Yes,Yes,3.7,0.5,80,12+,15,21,Freemium,Yes,Yes,Yes,Yes,Yes,Yes
63,Paramount+,Paramount,Paramount,iOS/Android,Entertainment,2021-03-04,80.0,400.0,Yes,Yes,3.6,0.4,100,12+,18,30,Freemium,Yes,Yes,Yes,Yes,Yes,Yes
64,Apple TV+,Apple,Apple,iOS/Android,Entertainment,2019-11-01,60.0,300.0,Yes,Yes,3.5,0.3,70,12+,12,21,Freemium,No,Yes,Yes,Yes,Yes,Yes
65,Crunchyroll,Crunchyroll,Crunchyroll,iOS/Android,Entertainment,2006-05-14,50.0,200.0,Yes,Yes,3.4,0.2,60,12+,10,14,Freemium,Yes,Yes,Yes,Yes,Yes,Yes
66,Funimation,Funimation,Funimation,iOS/Android,Entertainment,2009-01-01,30.0,150.0,Yes,Yes,3.3,0.1,50,12+,8,21,Freemium,Yes,Yes,Yes,Yes,Yes,Yes
67,VRV,VRV,VRV,iOS/Android,Entertainment,2016-11-01,20.0,100.0,Yes,Yes,3.2,0.1,40,12+,6,30,Freemium,Yes,Yes,Yes,Yes,Yes,Yes
68,RetroArch,RetroArch,RetroArch,iOS/Android,Emulation,2010-01-01,10.0,50.0,No,Yes,4.0,0.1,200,4+,5,60,Freemium,No,No,No,Yes,Yes,Yes
69,PPSSPP,PPSSPP,PPSSPP,iOS/Android,Emulation,2012-01-01,15.0,30.0,No,Yes,4.1,0.1,150,4+,8,90,Freemium,No,No,No,Yes,Yes,Yes
70,Dolphin,Dolphin,Dolphin,iOS/Android,Emulation,2003-01-01,5.0,20.0,No,Yes,4.2,0.1,300,4+,3,120,Freemium,No,No,No,Yes,Yes,Yes
71,MyBoy!,MyBoy!,MyBoy!,iOS/Android,Emulation,2012-01-01,8.0,25.0,Yes,Yes,4.0,0.1,50,4+,6,60,Freemium,Yes,No,No,Yes,Yes,Yes
72,Drastic,Drastic,Drastic,iOS/Android,Emulation,2013-01-01,12.0,40.0,No,No,4.3,0.1,80,4+,4,90,Paid,No,No,No,Yes,Yes,Yes
73,Happy Chick,Happy Chick,Happy Chick,iOS/Android,Emulation,2015-01-01,20.0,60.0,Yes,Yes,3.9,0.2,100,4+,10,30,Freemium,Yes,Yes,No,Yes,Yes,Yes
74,John GBA,John GBA,John GBA,iOS/Android,Emulation,2014-01-01,6.0,18.0,Yes,Yes,3.8,0.1,40,4+,5,60,Freemium,Yes,No,No,Yes,Yes,Yes
75,John NES,John NES,John NES,iOS/Android,Emulation,2013-01-01,4.0,12.0,Yes,Yes,3.7,0.1,30,4+,4,90,Freemium,Yes,No,No,Yes,Yes,Yes
76,John SNES,John SNES,John SNES,iOS/Android,Emulation,2014-01-01,5.0,15.0,Yes,Yes,3.6,0.1,35,4+,5,60,Freemium,Yes,No,No,Yes,Yes,Yes
77,John GBC,John GBC,John GBC,iOS/Android,Emulation,2013-01-01,3.0,9.0,Yes,Yes,3.5,0.1,25,4+,3,90,Freemium,Yes,No,No,Yes,Yes,Yes
78,John N64,John N64,John N64,iOS/Android,Emulation,2015-01-01,2.0,6.0,Yes,Yes,3.4,0.1,20,4+,2,120,Freemium,Yes,No,No,Yes,Yes,Yes
79,John PSX,John PSX,John PSX,iOS/Android,Emulation,2016-01-01,1.0,3.0,Yes,Yes,3.3,0.1,15,4+,1,150,Freemium,Yes,No,No,Yes,Yes,Yes
80,John PSP,John PSP,John PSP,iOS/Android,Emulation,2017-01-01,0.5,1.5,Yes,Yes,3.2,0.1,10,4+,1,180,Freemium,Yes,No,No,Yes,Yes,Yes
81,John DS,John DS,John DS,iOS/Android,Emulation,2018-01-01,0.3,0.9,Yes,Yes,3.1,0.1,8,4+,1,210,Freemium,Yes,No,No,Yes,Yes,Yes
82,John 3DS,John 3DS,John 3DS,iOS/Android,Emulation,2019-01-01,0.2,0.6,Yes,Yes,3.0,0.1,6,4+,1,240,Freemium,Yes,No,No,Yes,Yes,Yes
83,John Wii,John Wii,John Wii,iOS/Android,Emulation,2020-01-01,0.1,0.3,Yes,Yes,2.9,0.1,4,4+,1,270,Freemium,Yes,No,No,Yes,Yes,Yes
84,John Switch,John Switch,John Switch,iOS/Android,Emulation,2021-01-01,0.05,0.15,Yes,Yes,2.8,0.1,2,4+,1,300,Freemium,Yes,No,No,Yes,Yes,Yes
85,John PS2,John PS2,John PS2,iOS/Android,Emulation,2022-01-01,0.02,0.06,Yes,Yes,2.7,0.1,1,4+,1,330,Freemium,Yes,No,No,Yes,Yes,Yes
86,John PS3,John PS3,John PS3,iOS/Android,Emulation,2023-01-01,0.01,0.03,Yes,Yes,2.6,0.1,0.5,4+,1,360,Freemium,Yes,No,No,Yes,Yes,Yes
87,John PS4,John PS4,John PS4,iOS/Android,Emulation,2024-01-01,0.005,0.015,Yes,Yes,2.5,0.1,0.2,4+,1,390,Freemium,Yes,No,No,Yes,Yes,Yes
88,John PS5,John PS5,John PS5,iOS/Android,Emulation,2025-01-01,0.002,0.006,Yes,Yes,2.4,0.1,0.1,4+,1,420,Freemium,Yes,No,No,Yes,Yes,Yes
89,John Xbox,John Xbox,John Xbox,iOS/Android,Emulation,2026-01-01,0.001,0.003,Yes,Yes,2.3,0.1,0.05,4+,1,450,Freemium,Yes,No,No,Yes,Yes,Yes
90,John Xbox 360,John Xbox 360,John Xbox 360,iOS/Android,Emulation,2027-01-01,0.0005,0.0015,Yes,Yes,2.2,0.1,0.02,4+,1,480,Freemium,Yes,No,No,Yes,Yes,Yes
91,John Xbox One,John Xbox One,John Xbox One,iOS/Android,Emulation,2028-01-01,0.0002,0.0006,Yes,Yes,2.1,0.1,0.01,4+,1,510,Freemium,Yes,No,No,Yes,Yes,Yes
92,John Xbox Series X,John Xbox Series X,John Xbox Series X,iOS/Android,Emulation,2029-01-01,0.0001,0.0003,Yes,Yes,2.0,0.1,0.005,4+,1,540,Freemium,Yes,No,No,Yes,Yes,Yes
93,John Xbox Series S,John Xbox Series S,John Xbox Series S,iOS/Android,Emulation,2030-01-01,0.00005,0.00015,Yes,Yes,1.9,0.1,0.002,4+,1,570,Freemium,Yes,No,No,Yes,Yes,Yes
94,John Dreamcast,John Dreamcast,John Dreamcast,iOS/Android,Emulation,2031-01-01,0.00002,0.00006,Yes,Yes,1.8,0.1,0.001,4+,1,600,Freemium,Yes,No,No,Yes,Yes,Yes
95,John Saturn,John Saturn,John Saturn,iOS/Android,Emulation,2032-01-01,0.00001,0.00003,Yes,Yes,1.7,0.1,0.0005,4+,1,630,Freemium,Yes,No,No,Yes,Yes,Yes
96,John Jaguar,John Jaguar,John Jaguar,iOS/Android,Emulation,2033-01-01,0.000005,0.000015,Yes,Yes,1.6,0.1,0.0002,4+,1,660,Freemium,Yes,No,No,Yes,Yes,Yes
97,John 3DO,John 3DO,John 3DO,iOS/Android,Emulation,2034-01-01,0.000002,0.000006,Yes,Yes,1.5,0.1,0.0001,4+,1,690,Freemium,Yes,No,No,Yes,Yes,Yes
98,John CD-i,John CD-i,John CD-i,iOS/Android,Emulation,2035-01-01,0.000001,0.000003,Yes,Yes,1.4,0.1,0.00005,4+,1,720,Freemium,Yes,No,No,Yes,Yes,Yes
99,John Virtual Boy,John Virtual Boy,John Virtual Boy,iOS/Android,Emulation,2036-01-01,0.0000005,0.0000015,Yes,Yes,1.3,0.1,0.00002,4+,1,750,Freemium,Yes,No,No,Yes,Yes,Yes
100,John Game & Watch,John Game & Watch,John Game & Watch,iOS/Android,Emulation,2037-01-01,0.0000002,0.0000006,Yes,Yes,1.2,0.1,0.00001,4+,1,780,Freemium,Yes,No,No,Yes,Yes,Yes
