# Player Stats Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Gamertag,Game_Title,Platform,Total_Hours_Played,Achievements_Count,Rank_Current,Rank_Highest,Win_Rate_Percent,Kill_Death_Ratio,Score_Per_Match,Level_Current,Level_Max,Country,Age,Gender,Join_Date
29,Tfue,Call of Duty,PC,8000,280,Master,Master,71.5,2.1,3800,82,100,United States,25,Male,2019-10-25
30,SypherPK,Call of Duty,PC,6000,220,Master,Master,68.9,1.9,3400,75,100,United States,26,Male,2019-10-25
31,Bugha,Call of Duty,PC,7000,250,Master,Master,72.1,2.2,3700,78,100,United States,21,Male,2019-10-25
32,Myth,Call of Duty,PC,5000,180,Master,Master,66.8,1.7,3200,70,100,United States,24,Male,2019-10-25
33,Valkyrae,Call of Duty,PC,3000,120,Master,Master,64.5,1.5,2800,60,100,United States,30,Female,2019-10-25
34,CourageJD,Fortnite,PC,4000,150,Champion,Champion,69.2,2.4,3600,65,100,United States,29,Male,2017-08-15
35,Ludwig,Fortnite,PC,2000,80,Champion,Champion,65.8,2.1,3200,50,100,United States,27,Male,2017-09-20
36,Sykkuno,Fortnite,PC,3000,100,Champion,Champion,67.5,2.3,3400,55,100,United States,29,Male,2017-10-05
37,Amouranth,Fortnite,PC,1500,60,Champion,Champion,63.2,1.8,2800,35,100,United States,28,Female,2018-01-10
38,Valkyrae,Fortnite,PC,2500,90,Champion,Champion,66.8,2.0,3000,45,100,United States,30,Female,2017-11-15
39,Pokimane,Fortnite,PC,3500,120,Champion,Champion,68.9,2.2,3500,60,100,Canada,27,Female,2017-12-20
40,Corinna Kopf,Fortnite,PC,1000,40,Champion,Champion,61.5,1.6,2500,25,100,United States,26,Female,2018-02-25
41,Bella Poarch,Fortnite,PC,800,30,Champion,Champion,59.8,1.4,2200,20,100,United States,22,Female,2018-03-30
42,Rae Lil Black,Fortnite,PC,1200,50,Champion,Champion,62.8,1.7,2600,30,100,United States,25,Female,2018-04-05
43,Mia Khalifa,Fortnite,PC,600,20,Champion,Champion,58.2,1.3,2000,15,100,United States,30,Female,2018-05-10
44,Belle Delphine,Fortnite,PC,400,15,Champion,Champion,56.5,1.2,1800,10,100,United Kingdom,24,Female,2018-06-15
45,Alinity,Fortnite,PC,2000,70,Champion,Champion,64.8,1.9,2700,40,100,Canada,29,Female,2017-10-20
46,Indiefoxx,Fortnite,PC,800,25,Champion,Champion,60.2,1.5,2300,18,100,United States,27,Female,2018-07-20
47,Tfue,Valorant,PC,6000,200,Immortal,Immortal 2,70.5,1.8,3100,72,100,United States,25,Male,2020-06-02
48,SypherPK,Valorant,PC,4000,150,Immortal,Immortal 1,68.2,1.6,2900,65,100,United States,26,Male,2020-06-02
49,Bugha,Valorant,PC,5000,180,Immortal,Immortal 2,71.8,1.9,3200,70,100,United States,21,Male,2020-06-02
50,Myth,Valorant,PC,7000,250,Immortal,Immortal 3,73.5,2.0,3400,80,100,United States,24,Male,2020-06-02
51,Valkyrae,Valorant,PC,2000,80,Immortal,Immortal 1,65.8,1.4,2600,45,100,United States,30,Female,2020-06-02
52,CourageJD,Valorant,PC,3000,120,Immortal,Immortal 1,67.2,1.5,2800,55,100,United States,29,Male,2020-06-02
53,Ludwig,Valorant,PC,1500,60,Immortal,Immortal 1,63.5,1.3,2400,35,100,United States,27,Male,2020-06-02
54,Sykkuno,Valorant,PC,2500,100,Immortal,Immortal 1,66.8,1.6,2700,50,100,United States,29,Male,2020-06-02
55,Amouranth,Valorant,PC,1000,40,Immortal,Immortal 1,61.2,1.2,2200,25,100,United States,28,Female,2020-06-02
56,Valkyrae,Valorant,PC,1800,70,Immortal,Immortal 1,64.8,1.4,2500,40,100,United States,30,Female,2020-06-02
57,Pokimane,Valorant,PC,3500,140,Immortal,Immortal 2,69.5,1.7,3000,65,100,Canada,27,Female,2020-06-02
58,Corinna Kopf,Valorant,PC,800,30,Immortal,Immortal 1,59.8,1.1,2000,20,100,United States,26,Female,2020-06-02
59,Bella Poarch,Valorant,PC,600,25,Immortal,Immortal 1,58.5,1.0,1900,15,100,United States,22,Female,2020-06-02
60,Rae Lil Black,Valorant,PC,1200,50,Immortal,Immortal 1,62.8,1.3,2300,30,100,United States,25,Female,2020-06-02
61,Mia Khalifa,Valorant,PC,500,20,Immortal,Immortal 1,57.2,0.9,1800,12,100,United States,30,Female,2020-06-02
62,Belle Delphine,Valorant,PC,300,15,Immortal,Immortal 1,55.8,0.8,1600,8,100,United Kingdom,24,Female,2020-06-02
63,Alinity,Valorant,PC,1500,60,Immortal,Immortal 1,63.5,1.3,2400,35,100,Canada,29,Female,2020-06-02
64,Indiefoxx,Valorant,PC,700,25,Immortal,Immortal 1,60.5,1.1,2100,18,100,United States,27,Female,2020-06-02
65,Tfue,League of Legends,PC,4000,180,Diamond,Diamond 2,65.8,1.4,2800,60,100,United States,25,Male,2012-09-20
66,SypherPK,League of Legends,PC,3000,150,Diamond,Diamond 1,63.2,1.3,2600,55,100,United States,26,Male,2012-09-20
67,Bugha,League of Legends,PC,3500,160,Diamond,Diamond 2,66.5,1.5,2900,58,100,United States,21,Male,2012-09-20
68,Myth,League of Legends,PC,5000,200,Diamond,Diamond 3,68.9,1.6,3100,65,100,United States,24,Male,2012-09-20
69,Valkyrae,League of Legends,PC,1500,80,Diamond,Diamond 1,61.8,1.1,2400,35,100,United States,30,Female,2012-09-20
70,CourageJD,League of Legends,PC,2500,120,Diamond,Diamond 1,64.2,1.2,2700,45,100,United States,29,Male,2012-09-20
71,Ludwig,League of Legends,PC,1000,50,Diamond,Diamond 1,59.5,1.0,2200,25,100,United States,27,Male,2012-09-20
72,Sykkuno,League of Legends,PC,2000,100,Diamond,Diamond 1,62.8,1.2,2500,40,100,United States,29,Male,2012-09-20
73,Amouranth,League of Legends,PC,800,40,Diamond,Diamond 1,58.2,0.9,2000,20,100,United States,28,Female,2012-09-20
74,Valkyrae,League of Legends,PC,1800,90,Diamond,Diamond 1,61.5,1.1,2300,38,100,United States,30,Female,2012-09-20
75,Pokimane,League of Legends,PC,6000,250,Diamond,Diamond 2,70.2,1.7,3200,75,100,Canada,27,Female,2012-09-20
76,Corinna Kopf,League of Legends,PC,600,30,Diamond,Diamond 1,56.8,0.8,1800,15,100,United States,26,Female,2012-09-20
77,Bella Poarch,League of Legends,PC,400,20,Diamond,Diamond 1,55.2,0.7,1700,10,100,United States,22,Female,2012-09-20
78,Rae Lil Black,League of Legends,PC,1000,50,Diamond,Diamond 1,59.8,1.0,2100,25,100,United States,25,Female,2012-09-20
79,Mia Khalifa,League of Legends,PC,300,15,Diamond,Diamond 1,53.5,0.6,1600,8,100,United States,30,Female,2012-09-20
80,Belle Delphine,League of Legends,PC,200,10,Diamond,Diamond 1,52.1,0.5,1500,5,100,United Kingdom,24,Female,2012-09-20
81,Alinity,League of Legends,PC,1200,60,Diamond,Diamond 1,60.8,1.0,2200,30,100,Canada,29,Female,2012-09-20
82,Indiefoxx,League of Legends,PC,500,25,Diamond,Diamond 1,57.5,0.8,1900,12,100,United States,27,Female,2012-09-20
83,Tfue,Overwatch,PC,3000,120,Grandmaster,Top 500,67.8,1.9,2700,50,100,United States,25,Male,2016-03-15
84,SypherPK,Overwatch,PC,2000,100,Grandmaster,Top 500,65.2,1.7,2500,45,100,United States,26,Male,2016-03-15
85,Bugha,Overwatch,PC,2500,110,Grandmaster,Top 500,68.5,2.0,2800,48,100,United States,21,Male,2016-03-15
86,Myth,Overwatch,PC,4000,150,Grandmaster,Top 500,70.8,2.2,3000,60,100,United States,24,Male,2016-03-15
87,Valkyrae,Overwatch,PC,1000,50,Grandmaster,Top 500,62.5,1.4,2200,25,100,United States,30,Female,2016-03-15
88,CourageJD,Overwatch,PC,1800,80,Grandmaster,Top 500,64.8,1.6,2400,35,100,United States,29,Male,2016-03-15
89,Ludwig,Overwatch,PC,800,40,Grandmaster,Top 500,60.2,1.2,2000,20,100,United States,27,Male,2016-03-15
90,Sykkuno,Overwatch,PC,1500,70,Grandmaster,Top 500,63.8,1.5,2300,30,100,United States,29,Male,2016-03-15
91,Amouranth,Overwatch,PC,600,30,Grandmaster,Top 500,58.5,1.1,1900,15,100,United States,28,Female,2016-03-15
92,Valkyrae,Overwatch,PC,1200,60,Grandmaster,Top 500,61.8,1.3,2100,28,100,United States,30,Female,2016-03-15
93,Pokimane,Overwatch,PC,5000,200,Grandmaster,Top 500,72.5,2.4,3200,70,100,Canada,27,Female,2016-03-15
94,Corinna Kopf,Overwatch,PC,400,20,Grandmaster,Top 500,56.8,0.9,1700,10,100,United States,26,Female,2016-03-15
95,Bella Poarch,Overwatch,PC,300,15,Grandmaster,Top 500,55.2,0.8,1600,8,100,United States,22,Female,2016-03-15
96,Rae Lil Black,Overwatch,PC,800,40,Grandmaster,Top 500,59.8,1.2,2000,20,100,United States,25,Female,2016-03-15
97,Mia Khalifa,Overwatch,PC,200,10,Grandmaster,Top 500,53.5,0.6,1500,5,100,United States,30,Female,2016-03-15
98,Belle Delphine,Overwatch,PC,150,8,Grandmaster,Top 500,52.1,0.5,1400,3,100,United Kingdom,24,Female,2016-03-15
99,Alinity,Overwatch,PC,1000,50,Grandmaster,Top 500,60.8,1.2,2100,25,100,Canada,29,Female,2016-03-15
100,Indiefoxx,Overwatch,PC,500,25,Grandmaster,Top 500,57.5,1.0,1800,12,100,United States,27,Female,2016-03-15
