# Speedrun Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Game,Category,World_Record_Time,Runner,Date,Platform,Region,Previous_Record_Time,Improvement_Time,Video_Link,Community_Rating,Category_Description,Glitchless,Any_Percent,100_Percent,Low_Percent,No_Major_Glitches,Platform_Specific,Mod_Required,Emulator_Allowed,Language,Difficulty_Rating,Popularity_Score
18,EarthBound,Any%,4:12:34,puwexil,2022-10-15,Super Nintendo,North America,4:13:45,0:01:11,https://youtube.com/watch?v=zab234,9.1,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.5,9.5
19,Final Fantasy VII,Any%,7:23:45,PuPu,2022-09-30,PlayStation,North America,7:25:12,0:01:27,https://youtube.com/watch?v=cde567,9.3,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,9.0,9.6
20,Super Mario 3D World,Any%,2:34:56,GrandPooBear,2022-09-15,Wii U,North America,2:36:12,0:01:16,https://youtube.com/watch?v=fgh890,8.8,Complete all worlds,No,Yes,No,No,No,Yes,No,No,English,7.0,9.2
21,The Legend of Zelda: Breath of the Wild,Any%,23:45,Player5,2022-08-30,Nintendo Switch,North America,23:52,0:00:07,https://youtube.com/watch?v=ijk123,9.7,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.0,9.8
22,Super Mario Odyssey,Any%,1:12:34,Smallant1,2022-08-15,Nintendo Switch,North America,1:13:12,0:00:38,https://youtube.com/watch?v=lmn456,9.5,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.5,9.7
23,Cuphead,Any%,45:23,ProGamer,2022-07-30,PC,North America,45:45,0:00:22,https://youtube.com/watch?v=nop789,9.2,Complete all bosses,No,Yes,No,No,No,No,No,No,English,8.5,9.4
24,Ori and the Blind Forest,Any%,34:56,MonstahLer,2022-07-15,PC,North America,35:12,0:00:16,https://youtube.com/watch?v=qrs012,9.0,Complete the main story,No,Yes,No,No,No,No,No,No,English,7.0,9.3
25,Shovel Knight,Any%,1:23:45,ProGamer,2022-06-30,PC,North America,1:24:12,0:00:27,https://youtube.com/watch?v=stu345,8.9,Complete the main campaign,No,Yes,No,No,No,No,No,No,English,6.5,9.2
26,Super Meat Boy,Any%,18:34,ProGamer,2022-06-15,PC,North America,18:42,0:00:08,https://youtube.com/watch?v=vwx678,9.1,Complete all levels,No,Yes,No,No,No,No,No,No,English,8.0,9.5
27,The Binding of Isaac,Any%,12:34,ProGamer,2022-05-30,PC,North America,12:42,0:00:08,https://youtube.com/watch?v=yza901,8.8,Complete the main story,No,Yes,No,No,No,No,No,No,English,7.5,9.3
28,Spelunky,Any%,2:34,ProGamer,2022-05-15,PC,North America,2:42,0:00:08,https://youtube.com/watch?v=bcd234,9.0,Complete the main path,No,Yes,No,No,No,No,No,No,English,8.5,9.4
29,Super Hexagon,Any%,58:23,ProGamer,2022-04-30,PC,North America,58:45,0:00:22,https://youtube.com/watch?v=efg567,8.7,Complete all 6 levels,No,Yes,No,No,No,No,No,No,English,9.0,9.1
30,Super Mario Galaxy,Any%,1:45:23,GrandPooBear,2022-04-15,Wii,North America,1:46:12,0:00:49,https://youtube.com/watch?v=hij890,9.3,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.0,9.6
31,The Legend of Zelda: Wind Waker,Any%,4:23:45,puwexil,2022-03-30,GameCube,North America,4:25:12,0:01:27,https://youtube.com/watch?v=klm123,9.4,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.0,9.7
32,Super Mario Sunshine,Any%,1:23:45,GrandPooBear,2022-03-15,GameCube,North America,1:24:12,0:00:27,https://youtube.com/watch?v=nop456,9.1,Complete all 120 Shines,No,Yes,No,No,No,Yes,No,No,English,7.5,9.5
33,The Legend of Zelda: Twilight Princess,Any%,3:45:23,puwexil,2022-02-28,GameCube,North America,3:46:12,0:00:49,https://youtube.com/watch?v=qrs789,9.2,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.5,9.6
34,Super Mario 64,Any%,16:45,Cheese,2022-02-15,Nintendo 64,North America,16:52,0:00:07,https://youtube.com/watch?v=stu012,9.8,Complete the game,No,Yes,No,No,No,Yes,No,No,English,8.0,9.9
35,The Legend of Zelda: Majora's Mask,Any%,1:23:45,puwexil,2022-01-30,Nintendo 64,North America,1:24:12,0:00:27,https://youtube.com/watch?v=vwx345,9.6,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.5,9.8
36,Super Mario Bros. 3,Any%,11:23,Kosmic,2022-01-15,Nintendo Entertainment System,North America,11:28,0:00:05,https://youtube.com/watch?v=yza678,9.7,Complete all 8 worlds,No,Yes,No,No,No,Yes,No,No,English,6.5,9.9
37,The Legend of Zelda,Any%,29:45,puwexil,2021-12-30,Nintendo Entertainment System,North America,29:52,0:00:07,https://youtube.com/watch?v=bcd901,9.5,Complete the main quest,No,Yes,No,No,No,Yes,No,No,English,7.0,9.8
38,Super Mario Bros. 2,Any%,18:34,Kosmic,2021-12-15,Nintendo Entertainment System,North America,18:42,0:00:08,https://youtube.com/watch?v=efg234,9.3,Complete all 7 worlds,No,Yes,No,No,No,Yes,No,No,English,6.0,9.6
39,The Legend of Zelda: Link's Awakening,Any%,1:23:45,puwexil,2021-11-30,Game Boy,North America,1:24:12,0:00:27,https://youtube.com/watch?v=hij567,9.4,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.5,9.7
40,Super Mario Land,Any%,12:34,Kosmic,2021-11-15,Game Boy,North America,12:42,0:00:08,https://youtube.com/watch?v=klm890,9.2,Complete all 4 worlds,No,Yes,No,No,No,Yes,No,No,English,5.5,9.5
41,The Legend of Zelda: Oracle of Ages,Any%,2:23:45,puwexil,2021-10-30,Game Boy Color,North America,2:24:12,0:00:27,https://youtube.com/watch?v=nop123,9.1,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.0,9.6
42,Super Mario Land 2,Any%,18:34,Kosmic,2021-10-15,Game Boy,North America,18:42,0:00:08,https://youtube.com/watch?v=qrs456,9.0,Complete all 6 worlds,No,Yes,No,No,No,Yes,No,No,English,6.0,9.4
43,The Legend of Zelda: Oracle of Seasons,Any%,2:23:45,puwexil,2021-09-30,Game Boy Color,North America,2:24:12,0:00:27,https://youtube.com/watch?v=stu789,9.1,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.0,9.6
44,Super Mario Advance,Any%,23:45,Kosmic,2021-09-15,Game Boy Advance,North America,23:52,0:00:07,https://youtube.com/watch?v=vwx012,9.3,Complete all 6 worlds,No,Yes,No,No,No,Yes,No,No,English,6.5,9.5
45,The Legend of Zelda: The Minish Cap,Any%,3:23:45,puwexil,2021-08-30,Game Boy Advance,North America,3:24:12,0:00:27,https://youtube.com/watch?v=yza345,9.2,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.5,9.6
46,Super Mario Advance 2,Any%,28:34,Kosmic,2021-08-15,Game Boy Advance,North America,28:42,0:00:08,https://youtube.com/watch?v=bcd678,9.1,Complete all 7 worlds,No,Yes,No,No,No,Yes,No,No,English,6.0,9.4
47,The Legend of Zelda: Four Swords,Any%,1:23:45,puwexil,2021-07-30,Game Boy Advance,North America,1:24:12,0:00:27,https://youtube.com/watch?v=efg901,9.0,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.0,9.5
48,Super Mario Advance 3,Any%,33:45,Kosmic,2021-07-15,Game Boy Advance,North America,33:52,0:00:07,https://youtube.com/watch?v=hij234,9.2,Complete all 8 worlds,No,Yes,No,No,No,Yes,No,No,English,6.5,9.5
49,The Legend of Zelda: Phantom Hourglass,Any%,2:23:45,puwexil,2021-06-30,Nintendo DS,North America,2:24:12,0:00:27,https://youtube.com/watch?v=klm567,9.1,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.5,9.6
50,Super Mario 64 DS,Any%,1:23:45,Cheese,2021-06-15,Nintendo DS,North America,1:24:12,0:00:27,https://youtube.com/watch?v=nop890,9.3,Complete all 150 Power Stars,No,Yes,No,No,No,Yes,No,No,English,8.0,9.7
51,The Legend of Zelda: Spirit Tracks,Any%,3:23:45,puwexil,2021-05-30,Nintendo DS,North America,3:24:12,0:00:27,https://youtube.com/watch?v=qrs123,9.0,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.5,9.5
52,New Super Mario Bros.,Any%,23:45,Kosmic,2021-05-15,Nintendo DS,North America,23:52,0:00:07,https://youtube.com/watch?v=stu456,9.4,Complete all 8 worlds,No,Yes,No,No,No,Yes,No,No,English,6.5,9.6
53,The Legend of Zelda: Skyward Sword,Any%,4:23:45,puwexil,2021-04-30,Wii,North America,4:24:12,0:00:27,https://youtube.com/watch?v=vwx789,9.2,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.0,9.7
54,New Super Mario Bros. Wii,Any%,1:23:45,Kosmic,2021-04-15,Wii,North America,1:24:12,0:00:27,https://youtube.com/watch?v=yza012,9.5,Complete all 8 worlds,No,Yes,No,No,No,Yes,No,No,English,7.0,9.8
55,The Legend of Zelda: A Link Between Worlds,Any%,2:23:45,puwexil,2021-03-30,Nintendo 3DS,North America,2:24:12,0:00:27,https://youtube.com/watch?v=bcd345,9.3,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.5,9.6
56,Super Mario 3D Land,Any%,1:23:45,Kosmic,2021-03-15,Nintendo 3DS,North America,1:24:12,0:00:27,https://youtube.com/watch?v=efg678,9.4,Complete all 8 worlds,No,Yes,No,No,No,Yes,No,No,English,7.0,9.7
57,The Legend of Zelda: Tri Force Heroes,Any%,1:23:45,puwexil,2021-02-28,Nintendo 3DS,North America,1:24:12,0:00:27,https://youtube.com/watch?v=hij901,8.9,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,6.5,9.4
58,New Super Mario Bros. 2,Any%,23:45,Kosmic,2021-02-15,Nintendo 3DS,North America,23:52,0:00:07,https://youtube.com/watch?v=klm234,9.2,Complete all 6 worlds,No,Yes,No,No,No,Yes,No,No,English,6.0,9.5
59,The Legend of Zelda: Breath of the Wild,Any%,23:45,Player5,2021-01-30,Nintendo Switch,North America,23:52,0:00:07,https://youtube.com/watch?v=nop567,9.7,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.0,9.8
60,Super Mario Odyssey,Any%,1:12:34,Smallant1,2021-01-15,Nintendo Switch,North America,1:13:12,0:00:38,https://youtube.com/watch?v=qrs890,9.5,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.5,9.7
61,The Legend of Zelda: Link's Awakening,Any%,1:23:45,puwexil,2020-12-30,Nintendo Switch,North America,1:24:12,0:00:27,https://youtube.com/watch?v=stu123,9.4,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.5,9.7
62,Super Mario Maker 2,Any%,1:23:45,Kosmic,2020-12-15,Nintendo Switch,North America,1:24:12,0:00:27,https://youtube.com/watch?v=vwx456,9.1,Complete all levels,No,Yes,No,No,No,Yes,No,No,English,6.5,9.5
63,The Legend of Zelda: Cadence of Hyrule,Any%,1:23:45,puwexil,2020-11-30,Nintendo Switch,North America,1:24:12,0:00:27,https://youtube.com/watch?v=yza789,8.8,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.0,9.3
64,Super Mario Party,Any%,2:23:45,Kosmic,2020-11-15,Nintendo Switch,North America,2:24:12,0:00:27,https://youtube.com/watch?v=bcd012,8.7,Complete all boards,No,Yes,No,No,No,Yes,No,No,English,5.5,9.2
65,The Legend of Zelda: Age of Calamity,Any%,3:23:45,puwexil,2020-10-30,Nintendo Switch,North America,3:24:12,0:00:27,https://youtube.com/watch?v=efg345,9.0,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.5,9.4
66,Super Mario Bros. U,Any%,1:23:45,Kosmic,2020-10-15,Nintendo Switch,North America,1:24:12,0:00:27,https://youtube.com/watch?v=hij678,9.3,Complete all 8 worlds,No,Yes,No,No,No,Yes,No,No,English,6.5,9.6
67,The Legend of Zelda: Tears of the Kingdom,Any%,4:23:45,Player5,2020-09-30,Nintendo Switch,North America,4:24:12,0:00:27,https://youtube.com/watch?v=klm901,9.8,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.5,9.9
68,Super Mario Wonder,Any%,1:23:45,Kosmic,2020-09-15,Nintendo Switch,North America,1:24:12,0:00:27,https://youtube.com/watch?v=nop234,9.6,Complete all 8 worlds,No,Yes,No,No,No,Yes,No,No,English,7.0,9.8
69,The Legend of Zelda: Echoes of Wisdom,Any%,2:23:45,puwexil,2020-08-30,Nintendo Switch,North America,2:24:12,0:00:27,https://youtube.com/watch?v=qrs567,9.5,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.5,9.7
70,Super Mario RPG,Any%,2:23:45,Kosmic,2020-08-15,Nintendo Switch,North America,2:24:12,0:00:27,https://youtube.com/watch?v=stu890,9.4,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.0,9.6
71,The Legend of Zelda: Ocarina of Time 3D,Any%,1:23:45,puwexil,2020-07-30,Nintendo 3DS,North America,1:24:12,0:00:27,https://youtube.com/watch?v=vwx123,9.6,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.0,9.8
72,Super Mario 3D World + Bowser's Fury,Any%,1:23:45,Kosmic,2020-07-15,Nintendo Switch,North America,1:24:12,0:00:27,https://youtube.com/watch?v=yza456,9.5,Complete all worlds,No,Yes,No,No,No,Yes,No,No,English,7.0,9.7
73,The Legend of Zelda: Majora's Mask 3D,Any%,1:23:45,puwexil,2020-06-30,Nintendo 3DS,North America,1:24:12,0:00:27,https://youtube.com/watch?v=bcd789,9.6,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.5,9.8
74,Super Mario Galaxy 2,Any%,1:23:45,Kosmic,2020-06-15,Wii,North America,1:24:12,0:00:27,https://youtube.com/watch?v=efg012,9.4,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.0,9.6
75,The Legend of Zelda: Skyward Sword HD,Any%,3:23:45,puwexil,2020-05-30,Nintendo Switch,North America,3:24:12,0:00:27,https://youtube.com/watch?v=hij345,9.3,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.0,9.7
76,Super Mario All-Stars,Any%,1:23:45,Kosmic,2020-05-15,Super Nintendo,North America,1:24:12,0:00:27,https://youtube.com/watch?v=klm678,9.5,Complete all 4 games,No,Yes,No,No,No,Yes,No,No,English,6.5,9.7
77,The Legend of Zelda: Four Swords Adventures,Any%,1:23:45,puwexil,2020-04-30,GameCube,North America,1:24:12,0:00:27,https://youtube.com/watch?v=nop901,9.1,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.0,9.5
78,Super Mario Advance 4,Any%,1:23:45,Kosmic,2020-04-15,Game Boy Advance,North America,1:24:12,0:00:27,https://youtube.com/watch?v=qrs234,9.2,Complete all 8 worlds,No,Yes,No,No,No,Yes,No,No,English,6.5,9.5
79,The Legend of Zelda: The Wind Waker HD,Any%,3:23:45,puwexil,2020-03-30,Wii U,North America,3:24:12,0:00:27,https://youtube.com/watch?v=stu567,9.5,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.0,9.7
80,Super Mario 3D World,Any%,1:23:45,Kosmic,2020-03-15,Wii U,North America,1:24:12,0:00:27,https://youtube.com/watch?v=vwx890,9.4,Complete all worlds,No,Yes,No,No,No,Yes,No,No,English,7.0,9.6
81,The Legend of Zelda: Twilight Princess HD,Any%,3:23:45,puwexil,2020-02-28,Wii U,North America,3:24:12,0:00:27,https://youtube.com/watch?v=yza123,9.3,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.5,9.7
82,Super Mario Maker,Any%,1:23:45,Kosmic,2020-02-15,Wii U,North America,1:24:12,0:00:27,https://youtube.com/watch?v=bcd456,9.1,Complete all levels,No,Yes,No,No,No,Yes,No,No,English,6.5,9.5
83,The Legend of Zelda: Breath of the Wild,Any%,23:45,Player5,2020-01-30,Nintendo Switch,North America,23:52,0:00:07,https://youtube.com/watch?v=efg789,9.7,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.0,9.8
84,Super Mario Odyssey,Any%,1:12:34,Smallant1,2020-01-15,Nintendo Switch,North America,1:13:12,0:00:38,https://youtube.com/watch?v=hij012,9.5,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.5,9.7
85,The Legend of Zelda: Link's Awakening,Any%,1:23:45,puwexil,2019-12-30,Nintendo Switch,North America,1:24:12,0:00:27,https://youtube.com/watch?v=klm345,9.4,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.5,9.7
86,Super Mario Maker 2,Any%,1:23:45,Kosmic,2019-12-15,Nintendo Switch,North America,1:24:12,0:00:27,https://youtube.com/watch?v=nop678,9.1,Complete all levels,No,Yes,No,No,No,Yes,No,No,English,6.5,9.5
87,The Legend of Zelda: Cadence of Hyrule,Any%,1:23:45,puwexil,2019-11-30,Nintendo Switch,North America,1:24:12,0:00:27,https://youtube.com/watch?v=qrs901,8.8,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.0,9.3
88,Super Mario Party,Any%,2:23:45,Kosmic,2019-11-15,Nintendo Switch,North America,2:24:12,0:00:27,https://youtube.com/watch?v=stu234,8.7,Complete all boards,No,Yes,No,No,No,Yes,No,No,English,5.5,9.2
89,The Legend of Zelda: Age of Calamity,Any%,3:23:45,puwexil,2019-10-30,Nintendo Switch,North America,3:24:12,0:00:27,https://youtube.com/watch?v=vwx567,9.0,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.5,9.4
90,Super Mario Bros. U,Any%,1:23:45,Kosmic,2019-10-15,Nintendo Switch,North America,1:24:12,0:00:27,https://youtube.com/watch?v=yza890,9.3,Complete all 8 worlds,No,Yes,No,No,No,Yes,No,No,English,6.5,9.6
91,The Legend of Zelda: Tears of the Kingdom,Any%,4:23:45,Player5,2019-09-30,Nintendo Switch,North America,4:24:12,0:00:27,https://youtube.com/watch?v=bcd123,9.8,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.5,9.9
92,Super Mario Wonder,Any%,1:23:45,Kosmic,2019-09-15,Nintendo Switch,North America,1:24:12,0:00:27,https://youtube.com/watch?v=efg456,9.6,Complete all 8 worlds,No,Yes,No,No,No,Yes,No,No,English,7.0,9.8
93,The Legend of Zelda: Echoes of Wisdom,Any%,2:23:45,puwexil,2019-08-30,Nintendo Switch,North America,2:24:12,0:00:27,https://youtube.com/watch?v=hij789,9.5,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.5,9.7
94,Super Mario RPG,Any%,2:23:45,Kosmic,2019-08-15,Nintendo Switch,North America,2:24:12,0:00:27,https://youtube.com/watch?v=klm012,9.4,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.0,9.6
95,The Legend of Zelda: Ocarina of Time 3D,Any%,1:23:45,puwexil,2019-07-30,Nintendo 3DS,North America,1:24:12,0:00:27,https://youtube.com/watch?v=nop345,9.6,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.0,9.8
96,Super Mario 3D World + Bowser's Fury,Any%,1:23:45,Kosmic,2019-07-15,Nintendo Switch,North America,1:24:12,0:00:27,https://youtube.com/watch?v=qrs678,9.5,Complete all worlds,No,Yes,No,No,No,Yes,No,No,English,7.0,9.7
97,The Legend of Zelda: Majora's Mask 3D,Any%,1:23:45,puwexil,2019-06-30,Nintendo 3DS,North America,1:24:12,0:00:27,https://youtube.com/watch?v=stu901,9.6,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.5,9.8
98,Super Mario Galaxy 2,Any%,1:23:45,Kosmic,2019-06-15,Wii,North America,1:24:12,0:00:27,https://youtube.com/watch?v=vwx234,9.4,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,7.0,9.6
99,The Legend of Zelda: Skyward Sword HD,Any%,3:23:45,puwexil,2019-05-30,Nintendo Switch,North America,3:24:12,0:00:27,https://youtube.com/watch?v=yza567,9.3,Complete the main story,No,Yes,No,No,No,Yes,No,No,English,8.0,9.7
100,Super Mario All-Stars,Any%,1:23:45,Kosmic,2019-05-15,Super Nintendo,North America,1:24:12,0:00:27,https://youtube.com/watch?v=bcd890,9.5,Complete all 4 games,No,Yes,No,No,No,Yes,No,No,English,6.5,9.7
