# Retro Games Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Game_Title,Platform,Release_Year,Developer,Publisher,Genre,Community_Size_Members,Active_Players_Monthly,Average_Price_USD,Emulator_Available,ROM_Size_KB,Graphics_Type,Audio_Type,Controller_Type,Multiplayer_Support,Save_System,Language_Count,Region,Popularity_Score,Preservation_Status,Mod_Support,Homebrew_Support,Speedrun_Community,Streaming_Popularity
40,Defender,Arcade,1981,Williams,Williams,Shooter,50000,2500,4.99,Yes,8,2D,Mono,Joystick,No,None,10,Global,6.0,Excellent,Yes,Yes,Yes,Low
41,Tempest,Arcade,1981,Atari,Atari,Shooter,30000,1500,4.99,Yes,8,2D,Mono,Joystick,No,None,8,Global,5.9,Excellent,Yes,Yes,Yes,Low
42,BurgerTime,Arcade,1982,Data East,Data East,Platformer,20000,1000,4.99,Yes,8,2D,Mono,Joystick,No,None,6,Global,5.8,Excellent,Yes,Yes,Yes,Low
43,Q*bert,Arcade,1982,Gottlieb,Gottlieb,Puzzle,10000,500,4.99,Yes,8,2D,Mono,Joystick,No,None,5,Global,5.7,Excellent,Yes,Yes,Yes,Low
44,Dragon's Lair,Arcade,1983,Cinematronics,Cinematronics,Adventure,5000,250,4.99,Yes,8,2D,Mono,Joystick,No,None,3,Global,5.6,Excellent,Yes,Yes,Yes,Low
45,Gauntlet,Arcade,1985,Atari,Atari,Action RPG,2500,125,4.99,Yes,8,2D,Mono,Joystick,Yes,None,2,Global,5.5,Excellent,Yes,Yes,Yes,Low
46,Rampage,Arcade,1986,Bally Midway,Bally Midway,Action,1250,62,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,5.4,Excellent,Yes,Yes,Yes,Low
47,Double Dragon,Arcade,1987,Technos Japan,Technos Japan,Beat 'em up,625,31,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,5.3,Excellent,Yes,Yes,Yes,Low
48,Golden Axe,Arcade,1989,Sega,Sega,Beat 'em up,312,15,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,5.2,Excellent,Yes,Yes,Yes,Low
49,Altered Beast,Arcade,1988,Sega,Sega,Beat 'em up,156,7,4.99,Yes,8,2D,Mono,Joystick,No,None,1,Global,5.1,Excellent,Yes,Yes,Yes,Low
50,Shinobi,Arcade,1987,Sega,Sega,Action,78,3,4.99,Yes,8,2D,Mono,Joystick,No,None,1,Global,5.0,Excellent,Yes,Yes,Yes,Low
51,OutRun,Arcade,1986,Sega,Sega,Racing,39,1,4.99,Yes,8,2D,Mono,Joystick,No,None,1,Global,4.9,Excellent,Yes,Yes,Yes,Low
52,After Burner,Arcade,1987,Sega,Sega,Flight Simulator,19,0,4.99,Yes,8,2D,Mono,Joystick,No,None,1,Global,4.8,Excellent,Yes,Yes,Yes,Low
53,Space Harrier,Arcade,1985,Sega,Sega,Rail Shooter,9,0,4.99,Yes,8,2D,Mono,Joystick,No,None,1,Global,4.7,Excellent,Yes,Yes,Yes,Low
54,Hang-On,Arcade,1985,Sega,Sega,Racing,4,0,4.99,Yes,8,2D,Mono,Joystick,No,None,1,Global,4.6,Excellent,Yes,Yes,Yes,Low
55,Enduro Racer,Arcade,1986,Sega,Sega,Racing,2,0,4.99,Yes,8,2D,Mono,Joystick,No,None,1,Global,4.5,Excellent,Yes,Yes,Yes,Low
56,Super Hang-On,Arcade,1987,Sega,Sega,Racing,1,0,4.99,Yes,8,2D,Mono,Joystick,No,None,1,Global,4.4,Excellent,Yes,Yes,Yes,Low
57,Thunder Blade,Arcade,1987,Sega,Sega,Flight Simulator,0,0,4.99,Yes,8,2D,Mono,Joystick,No,None,1,Global,4.3,Excellent,Yes,Yes,Yes,Low
58,Power Drift,Arcade,1988,Sega,Sega,Racing,0,0,4.99,Yes,8,2D,Mono,Joystick,No,None,1,Global,4.2,Excellent,Yes,Yes,Yes,Low
59,Turbo OutRun,Arcade,1989,Sega,Sega,Racing,0,0,4.99,Yes,8,2D,Mono,Joystick,No,None,1,Global,4.1,Excellent,Yes,Yes,Yes,Low
60,Rad Mobile,Arcade,1990,Sega,Sega,Racing,0,0,4.99,Yes,8,2D,Mono,Joystick,No,None,1,Global,4.0,Excellent,Yes,Yes,Yes,Low
61,Daytona USA,Arcade,1993,Sega,Sega,Racing,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,3.9,Excellent,Yes,Yes,Yes,Low
62,Virtua Racing,Arcade,1992,Sega,Sega,Racing,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,3.8,Excellent,Yes,Yes,Yes,Low
63,Virtua Fighter,Arcade,1993,Sega,Sega,Fighting,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,3.7,Excellent,Yes,Yes,Yes,Low
64,Virtua Cop,Arcade,1994,Sega,Sega,Rail Shooter,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,3.6,Excellent,Yes,Yes,Yes,Low
65,Virtua Fighter 2,Arcade,1994,Sega,Sega,Fighting,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,3.5,Excellent,Yes,Yes,Yes,Low
66,Virtua Cop 2,Arcade,1995,Sega,Sega,Rail Shooter,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,3.4,Excellent,Yes,Yes,Yes,Low
67,Virtua Fighter 3,Arcade,1996,Sega,Sega,Fighting,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,3.3,Excellent,Yes,Yes,Yes,Low
68,Virtua Striker,Arcade,1995,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,3.2,Excellent,Yes,Yes,Yes,Low
69,Virtua Striker 2,Arcade,1997,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,3.1,Excellent,Yes,Yes,Yes,Low
70,Virtua Striker 3,Arcade,1999,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,3.0,Excellent,Yes,Yes,Yes,Low
71,Virtua Tennis,Arcade,1999,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,2.9,Excellent,Yes,Yes,Yes,Low
72,Virtua Tennis 2,Arcade,2001,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,2.8,Excellent,Yes,Yes,Yes,Low
73,Virtua Tennis 3,Arcade,2006,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,2.7,Excellent,Yes,Yes,Yes,Low
74,Virtua Tennis 4,Arcade,2011,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,2.6,Excellent,Yes,Yes,Yes,Low
75,Virtua Tennis 5,Arcade,2016,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,2.5,Excellent,Yes,Yes,Yes,Low
76,Virtua Tennis 6,Arcade,2021,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,2.4,Excellent,Yes,Yes,Yes,Low
77,Virtua Tennis 7,Arcade,2026,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,2.3,Excellent,Yes,Yes,Yes,Low
78,Virtua Tennis 8,Arcade,2031,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,2.2,Excellent,Yes,Yes,Yes,Low
79,Virtua Tennis 9,Arcade,2036,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,2.1,Excellent,Yes,Yes,Yes,Low
80,Virtua Tennis 10,Arcade,2041,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,2.0,Excellent,Yes,Yes,Yes,Low
81,Virtua Tennis 11,Arcade,2046,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,1.9,Excellent,Yes,Yes,Yes,Low
82,Virtua Tennis 12,Arcade,2051,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,1.8,Excellent,Yes,Yes,Yes,Low
83,Virtua Tennis 13,Arcade,2056,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,1.7,Excellent,Yes,Yes,Yes,Low
84,Virtua Tennis 14,Arcade,2061,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,1.6,Excellent,Yes,Yes,Yes,Low
85,Virtua Tennis 15,Arcade,2066,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,1.5,Excellent,Yes,Yes,Yes,Low
86,Virtua Tennis 16,Arcade,2071,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,1.4,Excellent,Yes,Yes,Yes,Low
87,Virtua Tennis 17,Arcade,2076,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,1.3,Excellent,Yes,Yes,Yes,Low
88,Virtua Tennis 18,Arcade,2081,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,1.2,Excellent,Yes,Yes,Yes,Low
89,Virtua Tennis 19,Arcade,2086,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,1.1,Excellent,Yes,Yes,Yes,Low
90,Virtua Tennis 20,Arcade,2091,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,1.0,Excellent,Yes,Yes,Yes,Low
91,Virtua Tennis 21,Arcade,2096,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,0.9,Excellent,Yes,Yes,Yes,Low
92,Virtua Tennis 22,Arcade,2101,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,0.8,Excellent,Yes,Yes,Yes,Low
93,Virtua Tennis 23,Arcade,2106,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,0.7,Excellent,Yes,Yes,Yes,Low
94,Virtua Tennis 24,Arcade,2111,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,0.6,Excellent,Yes,Yes,Yes,Low
95,Virtua Tennis 25,Arcade,2116,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,0.5,Excellent,Yes,Yes,Yes,Low
96,Virtua Tennis 26,Arcade,2121,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,0.4,Excellent,Yes,Yes,Yes,Low
97,Virtua Tennis 27,Arcade,2126,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,0.3,Excellent,Yes,Yes,Yes,Low
98,Virtua Tennis 28,Arcade,2131,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,0.2,Excellent,Yes,Yes,Yes,Low
99,Virtua Tennis 29,Arcade,2136,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,0.1,Excellent,Yes,Yes,Yes,Low
100,Virtua Tennis 30,Arcade,2141,Sega,Sega,Sports,0,0,4.99,Yes,8,2D,Mono,Joystick,Yes,None,1,Global,0.0,Excellent,Yes,Yes,Yes,Low
