# Global Food Nutrition Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Food_Item,Category,Calories_Per_100g,Protein_g,Carbs_g,Fat_g,Fiber_g,Sugar_g,Sodium_mg,Vitamin_C_mg,Calcium_mg,Iron_mg,Origin_Country,Price_USD_Per_Kg
42,Cabbage,Vegetables,25,1.3,6,0.1,2.5,3.2,18,36.6,40,0.5,China,2.80
43,Beets,Vegetables,43,1.6,10,0.2,2.8,7,78,4.9,16,0.8,Russia,3.50
44,Radishes,Vegetables,16,0.7,3,0.1,1.6,1.9,39,14.8,25,0.3,China,4.20
45,Asparagus,Vegetables,20,2.2,4,0.1,2.1,1.9,2,5.6,24,1.1,China,8.90
46,Green Beans,Vegetables,31,1.8,7,0.1,2.7,3.3,6,12.2,37,1.0,China,5.50
47,Peas,Vegetables,81,5.4,14,0.4,5.1,5.7,5,40.0,25,1.5,China,4.80
48,Corn Sweet,Vegetables,86,3.3,19,1.2,2.7,3.2,15,6.8,2,0.5,United States,3.20
49,Zucchini,Vegetables,17,1.2,3,0.3,1.0,2.5,8,17.9,16,0.4,China,4.50
50,Eggplant,Vegetables,25,1.0,6,0.2,3.0,3.5,2,2.2,9,0.2,China,3.80
51,Almonds,Nuts,579,21.2,22,50,12,4.4,1,0,269,3.7,United States,12.00
52,Walnuts,Nuts,654,15.2,14,65,6.7,2.6,2,1.3,98,2.9,China,8.50
53,Cashews,Nuts,553,18.2,30,44,3.3,5.9,12,0.5,37,6.7,Vietnam,10.00
54,Pistachios,Nuts,560,20.2,28,45,10,7.7,1,5.6,105,3.9,Iran,15.00
55,Pecans,Nuts,691,9.2,14,72,9.6,4.0,0,1.1,70,2.5,United States,18.00
56,Hazelnuts,Nuts,628,15.0,17,61,9.7,4.3,0,6.3,114,4.7,Turkey,12.00
57,Brazil Nuts,Nuts,659,14.3,12,67,7.5,2.3,3,0.7,160,2.4,Brazil,20.00
58,Macadamia,Nuts,718,7.9,14,76,8.6,4.6,5,1.2,85,3.7,Australia,25.00
59,Pine Nuts,Nuts,673,13.7,13,68,3.7,3.6,2,0.8,16,5.5,Russia,30.00
60,Chestnuts,Nuts,213,2.4,46,2.3,8.1,10,27,43.0,27,1.0,China,8.00
61,Olive Oil,Fats,884,0,0,100,0,0,2,0,1,0.6,Spain,12.00
62,Coconut Oil,Fats,862,0,0,100,0,0,0,0,0,0.0,Philippines,8.50
63,Butter,Fats,717,0.9,0.1,81,0,0.1,11,0,24,0.0,India,6.00
64,Lard,Fats,902,0,0,100,0,0,0,0,0,0.0,United States,4.50
65,Sunflower Oil,Fats,884,0,0,100,0,0,0,0,0,0.0,Ukraine,7.00
66,Canola Oil,Fats,884,0,0,100,0,0,0,0,0,0.0,Canada,6.50
67,Sesame Oil,Fats,884,0,0,100,0,0,0,0,0,0.0,China,15.00
68,Avocado Oil,Fats,884,0,0,100,0,0,0,0,0,0.0,Mexico,20.00
69,Palm Oil,Fats,884,0,0,100,0,0,0,0,0,0.0,Indonesia,5.50
70,Ghee,Fats,900,0,0,100,0,0,0,0,0,0.0,India,18.00
71,Honey,Sweeteners,304,0.3,82,0,0.2,82,4,0.5,6,0.4,China,8.00
72,Maple Syrup,Sweeteners,260,0.0,67,0.1,0,67,12,0,102,0.1,Canada,25.00
73,Agave,Sweeteners,310,0.1,76,0.1,0,76,4,0,1,0.1,Mexico,12.00
74,Sugar,Sweeteners,387,0,100,0,0,100,1,0,1,0.0,Brazil,2.50
75,Brown Sugar,Sweeteners,380,0,98,0,0,98,28,0,83,0.7,Brazil,3.50
76,Stevia,Sweeteners,0,0,0,0,0,0,0,0,0,0.0,Paraguay,50.00
77,Xylitol,Sweeteners,240,0,100,0,0,100,0,0,0,0.0,Finland,30.00
78,Erythritol,Sweeteners,0,0,0,0,0,0,0,0,0,0.0,Japan,40.00
79,Monk Fruit,Sweeteners,0,0,0,0,0,0,0,0,0,0.0,China,60.00
80,Coconut Sugar,Sweeteners,375,0,100,0,0,100,45,0,8,0.7,Indonesia,8.00
81,Salt,Seasonings,0,0,0,0,0,0,38758,0,24,0.3,China,1.50
82,Black Pepper,Seasonings,251,10.4,64,3.3,25,0.6,20,0,443,9.7,Vietnam,25.00
83,Garlic Powder,Seasonings,331,16.6,73,0.7,9,2.4,79,0,79,1.2,China,15.00
84,Onion Powder,Seasonings,341,10.4,79,1.0,15,6.4,118,0,129,0.9,China,12.00
85,Cumin,Seasonings,375,17.8,44,22,11,2.3,168,7.7,931,66.4,India,18.00
86,Turmeric,Seasonings,354,7.8,65,10,21,3.2,38,25.9,183,41.4,India,20.00
87,Cinnamon,Seasonings,247,4.0,81,1.2,54,2.2,10,3.8,1002,8.3,Sri Lanka,30.00
88,Paprika,Seasonings,282,14.1,54,12,35,10,68,0,229,21.1,Spain,15.00
89,Oregano,Seasonings,265,9.0,69,4.3,43,4.1,25,0,1597,36.8,Greece,25.00
90,Basil,Seasonings,22,3.2,2.6,0.6,1.6,0.3,4,18.0,177,3.2,Italy,20.00
91,Chocolate Dark,Desserts,546,7.8,46,31,11,24,8,0,73,11.9,Switzerland,25.00
92,Chocolate Milk,Desserts,535,7.7,60,30,3.4,47,79,0,189,2.3,Switzerland,18.00
93,Ice Cream,Desserts,207,3.5,24,11,0.7,21,80,0,128,0.1,United States,8.00
94,Cake,Desserts,350,5.0,50,15,1.0,30,300,0,100,1.0,United States,12.00
95,Cookies,Desserts,488,6.0,68,22,2.0,25,400,0,50,2.0,United States,10.00
96,Pie,Desserts,237,3.0,35,10,1.0,20,250,0,80,1.5,United States,15.00
97,Pudding,Desserts,142,2.8,23,4,0.5,18,100,0,100,0.5,United States,6.00
98,Candy,Desserts,394,0.0,98,0,0,98,50,0,0,0.0,United States,8.00
99,Gelato,Desserts,207,3.5,24,11,0.7,21,80,0,128,0.1,Italy,12.00
100,Sorbet,Desserts,127,0.4,32,0,0.5,30,10,0,8,0.1,Italy,10.00
