# Grocery Store Sales Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Store_Name,Location,Transaction_ID,Date,Product_Category,Product_Name,Quantity,Unit_Price_USD,Total_Price_USD,Payment_Method,Customer_Age,Customer_Gender,Store_Size_SqFt,Store_Chain
59,Meijer,Detroit,1059,2024-01-15,Produce,Potatoes 5lb bag,1,3.99,3.99,Credit Card,23,Female,130000,Meijer
60,HEB,Houston,1060,2024-01-15,Beverages,Sports Drink,2,1.99,3.98,Cash,37,Male,140000,HEB
61,Walmart Supercenter,New York,1061,2024-01-15,Dairy,Cottage Cheese,1,3.49,3.49,Credit Card,36,Female,180000,Walmart
62,Target,Los Angeles,1062,2024-01-15,Produce,Grapes lb,2,2.99,5.98,Debit Card,24,Male,150000,Target
63,Kroger,Chicago,1063,2024-01-15,Meat,Turkey Breast lb,1,7.99,7.99,Credit Card,43,Female,120000,Kroger
64,Safeway,San Francisco,1064,2024-01-15,Bakery,Muffins 4-pack,1,4.99,4.99,Cash,29,Male,100000,Safeway
65,Whole Foods,Austin,1065,2024-01-15,Organic,Organic Rice,1,4.99,4.99,Credit Card,31,Female,80000,Whole Foods
66,Costco,Seattle,1066,2024-01-15,Bulk,Pasta 6-pack,1,9.99,9.99,Credit Card,45,Male,200000,Costco
67,Trader Joe's,Portland,1067,2024-01-15,Frozen,Frozen Corn,2,2.99,5.98,Cash,28,Female,60000,Trader Joe's
68,Publix,Miami,1068,2024-01-15,Seafood,Tuna Steaks,2,9.99,19.98,Debit Card,42,Male,110000,Publix
69,Meijer,Detroit,1069,2024-01-15,Snacks,Crackers,1,3.49,3.49,Credit Card,24,Female,130000,Meijer
70,HEB,Houston,1070,2024-01-15,Beverages,Wine Bottle,1,8.99,8.99,Cash,41,Male,140000,HEB
71,Walmart Supercenter,New York,1071,2024-01-15,Cleaning,Paper Towels,1,6.99,6.99,Credit Card,49,Female,180000,Walmart
72,Target,Los Angeles,1072,2024-01-15,Personal Care,Deodorant,1,4.49,4.49,Debit Card,21,Male,150000,Target
73,Kroger,Chicago,1073,2024-01-15,Condiments,Soy Sauce,1,2.49,2.49,Credit Card,40,Female,120000,Kroger
74,Safeway,San Francisco,1074,2024-01-15,Canned Goods,Peas,3,1.19,3.57,Cash,27,Male,100000,Safeway
75,Whole Foods,Austin,1075,2024-01-15,Organic,Organic Quinoa,1,6.99,6.99,Credit Card,33,Female,80000,Whole Foods
76,Costco,Seattle,1076,2024-01-15,Bulk,Flour 25lb bag,1,7.99,7.99,Credit Card,46,Male,200000,Costco
77,Trader Joe's,Portland,1077,2024-01-15,Frozen,Frozen Peas,2,2.49,4.98,Cash,29,Female,60000,Trader Joe's
78,Publix,Miami,1078,2024-01-15,Deli,Ham lb,1,6.49,6.49,Debit Card,47,Male,110000,Publix
79,Meijer,Detroit,1079,2024-01-15,Produce,Lettuce Head,2,1.99,3.98,Credit Card,22,Female,130000,Meijer
80,HEB,Houston,1080,2024-01-15,Beverages,Tea 20-pack,1,3.99,3.99,Cash,39,Male,140000,HEB
81,Walmart Supercenter,New York,1081,2024-01-15,Dairy,Sour Cream,1,2.99,2.99,Credit Card,37,Female,180000,Walmart
82,Target,Los Angeles,1082,2024-01-15,Produce,Oranges lb,3,1.49,4.47,Debit Card,25,Male,150000,Target
83,Kroger,Chicago,1083,2024-01-15,Meat,Lamb Chops lb,1,12.99,12.99,Credit Card,44,Female,120000,Kroger
84,Safeway,San Francisco,1084,2024-01-15,Bakery,Cake Mix,1,2.99,2.99,Cash,30,Male,100000,Safeway
85,Whole Foods,Austin,1085,2024-01-15,Organic,Organic Oats,1,4.49,4.49,Credit Card,32,Female,80000,Whole Foods
86,Costco,Seattle,1086,2024-01-15,Bulk,Sugar 25lb bag,1,8.99,8.99,Credit Card,47,Male,200000,Costco
87,Trader Joe's,Portland,1087,2024-01-15,Frozen,Frozen Broccoli,2,2.99,5.98,Cash,26,Female,60000,Trader Joe's
88,Publix,Miami,1088,2024-01-15,Seafood,Lobster Tail,1,18.99,18.99,Debit Card,48,Male,110000,Publix
89,Meijer,Detroit,1089,2024-01-15,Snacks,Pretzels,1,2.99,2.99,Credit Card,23,Female,130000,Meijer
90,HEB,Houston,1090,2024-01-15,Beverages,Coffee Grounds,1,7.99,7.99,Cash,40,Male,140000,HEB
91,Walmart Supercenter,New York,1091,2024-01-15,Cleaning,Window Cleaner,1,3.49,3.49,Credit Card,48,Female,180000,Walmart
92,Target,Los Angeles,1092,2024-01-15,Personal Care,Face Wash,1,6.99,6.99,Debit Card,20,Male,150000,Target
93,Kroger,Chicago,1093,2024-01-15,Condiments,Hot Sauce,1,2.99,2.99,Credit Card,41,Female,120000,Kroger
94,Safeway,San Francisco,1094,2024-01-15,Canned Goods,Chicken Broth,2,1.99,3.98,Cash,26,Male,100000,Safeway
95,Whole Foods,Austin,1095,2024-01-15,Organic,Organic Lentils,1,3.99,3.99,Credit Card,34,Female,80000,Whole Foods
96,Costco,Seattle,1096,2024-01-15,Bulk,Salt 5lb bag,1,4.99,4.99,Credit Card,45,Male,200000,Costco
97,Trader Joe's,Portland,1097,2024-01-15,Frozen,Frozen Spinach,2,2.99,5.98,Cash,27,Female,60000,Trader Joe's
98,Publix,Miami,1098,2024-01-15,Deli,Salami lb,1,5.99,5.99,Debit Card,46,Male,110000,Publix
99,Meijer,Detroit,1099,2024-01-15,Produce,Tomatoes lb,2,2.49,4.98,Credit Card,21,Female,130000,Meijer
100,HEB,Houston,1100,2024-01-15,Beverages,Sparkling Water,4,1.49,5.96,Cash,38,Male,140000,HEB
