# Fast Food Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Chain_Name,Menu_Item,Category,Price_USD,Calories,Protein_g,Fat_g,Carbohydrates_g,Sodium_mg,Fiber_g,Sugar_g,Allergens,Vegetarian_Option,Gluten_Free_Option,Dairy_Free_Option,Preparation_Time_Minutes,Popularity_Rating,Market_Share_Percent,Year_Introduced,Country_Origin,Number_Of_Locations,Average_Order_Value_USD,Peak_Hours,Service_Style,Drive_Through_Available,Delivery_Available,Online_Ordering_Available,Health_Rating
26,Pizza Hut,Pepperoni Pizza,Pizza,12.99,300,12.0,12.0,36.0,640,2.0,3.0,"Wheat, Milk",No,No,No,8,4.1,8.2,1958,USA,18000,15.50,18:00-20:00,Quick Service,Yes,Yes,Yes,2.9
27,Pizza Hut,Meat Lovers Pizza,Pizza,14.99,320,15.0,14.0,36.0,720,2.0,3.0,"Wheat, Soy, Milk",No,No,No,8,4.0,7.5,1985,USA,18000,15.50,18:00-20:00,Quick Service,Yes,Yes,Yes,2.7
28,Pizza Hut,Veggie Lovers Pizza,Pizza,11.99,280,11.0,10.0,36.0,560,3.0,4.0,"Wheat, Milk",Yes,No,No,8,4.2,6.8,1985,USA,18000,15.50,18:00-20:00,Quick Service,Yes,Yes,Yes,3.4
29,Pizza Hut,Breadsticks,Side,4.99,140,4.0,4.0,22.0,320,1.0,2.0,"Wheat, Milk",Yes,No,No,3,4.3,9.2,1985,USA,18000,15.50,18:00-20:00,Quick Service,Yes,Yes,Yes,3.1
30,Pizza Hut,Cinnamon Sticks,Dessert,4.99,150,3.0,6.0,24.0,200,1.0,8.0,"Wheat, Milk",Yes,No,No,3,4.1,5.8,1995,USA,18000,15.50,18:00-20:00,Quick Service,Yes,Yes,Yes,2.6
31,Domino's,Pepperoni Pizza,Pizza,11.99,280,12.0,10.0,36.0,640,2.0,3.0,"Wheat, Milk",No,No,No,8,4.2,7.8,1960,USA,17000,14.20,18:00-20:00,Quick Service,Yes,Yes,Yes,3.0
32,Domino's,Cheese Pizza,Pizza,9.99,250,11.0,8.0,36.0,520,2.0,3.0,"Wheat, Milk",Yes,No,No,8,4.1,6.5,1960,USA,17000,14.20,18:00-20:00,Quick Service,Yes,Yes,Yes,3.2
33,Domino's,Chicken Wings,Chicken,7.99,180,16.0,11.0,1.0,420,0.0,0.0,"None",No,Yes,Yes,6,4.3,8.5,1992,USA,17000,14.20,18:00-20:00,Quick Service,Yes,Yes,Yes,3.8
34,Domino's,Chocolate Lava Cake,Dessert,4.99,310,4.0,16.0,38.0,200,2.0,25.0,"Wheat, Milk, Eggs",Yes,No,No,3,4.0,4.2,2009,USA,17000,14.20,18:00-20:00,Quick Service,Yes,Yes,Yes,2.4
35,Domino's,Cheesy Bread,Side,4.99,140,6.0,6.0,16.0,320,1.0,1.0,"Wheat, Milk",Yes,No,No,3,4.2,6.8,1995,USA,17000,14.20,18:00-20:00,Quick Service,Yes,Yes,Yes,3.3
36,Wendy's,Dave's Single,Burger,4.99,580,25.0,34.0,39.0,1110,2.0,9.0,"Wheat, Soy, Milk",No,No,No,4,4.1,6.8,1969,USA,6500,8.80,12:00-14:00,Quick Service,Yes,Yes,Yes,2.8
37,Wendy's,Spicy Chicken Sandwich,Chicken,4.99,470,28.0,19.0,42.0,1090,2.0,6.0,"Wheat, Soy",No,No,Yes,3,4.2,7.2,1985,USA,6500,8.80,12:00-14:00,Quick Service,Yes,Yes,Yes,3.1
38,Wendy's,Baconator,Burger,6.99,950,58.0,63.0,39.0,1920,2.0,9.0,"Wheat, Soy, Milk",No,No,No,4,4.0,5.5,2007,USA,6500,8.80,12:00-14:00,Quick Service,Yes,Yes,Yes,2.2
39,Wendy's,Frosty,Dessert,2.99,340,8.0,9.0,55.0,150,0.0,47.0,"Milk",Yes,Yes,No,1,4.4,9.8,1969,USA,6500,8.80,12:00-14:00,Quick Service,Yes,Yes,Yes,2.6
40,Wendy's,Chili,Soup,2.99,170,15.0,5.0,18.0,800,5.0,4.0,"None",Yes,Yes,Yes,2,4.3,8.2,1969,USA,6500,8.80,12:00-14:00,Quick Service,Yes,Yes,Yes,3.9
41,Chick-fil-A,Chicken Sandwich,Chicken,4.99,440,28.0,18.0,40.0,1350,2.0,5.0,"Wheat, Soy",No,No,Yes,3,4.6,12.5,1967,USA,2700,9.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.8
42,Chick-fil-A,Chicken Nuggets,Chicken,4.99,250,14.0,15.0,15.0,600,1.0,0.0,"Wheat, Soy",No,No,Yes,2,4.5,10.8,1982,USA,2700,9.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.6
43,Chick-fil-A,Waffle Fries,Side,2.99,360,4.0,18.0,44.0,160,4.0,0.0,"None",Yes,Yes,Yes,1,4.7,15.2,1985,USA,2700,9.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.4
44,Chick-fil-A,Chocolate Chip Cookie,Dessert,1.99,160,2.0,8.0,22.0,120,1.0,12.0,"Wheat, Milk",Yes,No,No,1,4.2,6.5,1985,USA,2700,9.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.1
45,Chick-fil-A,Lemonade,Beverage,2.99,120,0.0,0.0,30.0,10,0.0,30.0,"None",Yes,Yes,Yes,1,4.3,8.8,1985,USA,2700,9.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.5
46,Five Guys,Little Bacon Burger,Burger,6.99,540,25.0,30.0,39.0,1310,2.0,9.0,"Wheat, Soy, Milk",No,No,No,5,4.3,4.2,1986,USA,1500,12.50,12:00-14:00,Quick Service,No,Yes,Yes,2.9
47,Five Guys,Little Cheeseburger,Burger,5.99,480,25.0,26.0,39.0,1050,2.0,9.0,"Wheat, Soy, Milk",No,No,No,5,4.2,3.8,1986,USA,1500,12.50,12:00-14:00,Quick Service,No,Yes,Yes,3.0
48,Five Guys,Fries,Side,3.99,530,8.0,25.0,68.0,580,6.0,3.0,"None",Yes,Yes,Yes,3,4.5,6.8,1986,USA,1500,12.50,12:00-14:00,Quick Service,No,Yes,Yes,3.2
49,Five Guys,Hot Dog,Hot Dog,4.99,420,18.0,26.0,32.0,1200,2.0,6.0,"Wheat, Soy",No,No,Yes,3,4.1,2.8,1995,USA,1500,12.50,12:00-14:00,Quick Service,No,Yes,Yes,3.1
50,Five Guys,Milkshake,Dessert,4.99,670,12.0,18.0,95.0,180,0.0,78.0,"Milk",Yes,Yes,No,4,4.4,5.5,1986,USA,1500,12.50,12:00-14:00,Quick Service,No,Yes,Yes,2.8
51,In-N-Out,Double-Double,Burger,4.45,670,37.0,41.0,39.0,1440,3.0,10.0,"Wheat, Milk",No,No,No,3,4.7,3.2,1948,USA,350,7.20,12:00-14:00,Quick Service,Yes,No,No,2.8
52,In-N-Out,Cheeseburger,Burger,3.45,480,22.0,27.0,39.0,1000,3.0,10.0,"Wheat, Milk",No,No,No,3,4.6,2.8,1948,USA,350,7.20,12:00-14:00,Quick Service,Yes,No,No,3.0
53,In-N-Out,French Fries,Side,2.10,395,8.0,18.0,54.0,245,5.0,2.0,"None",Yes,Yes,Yes,2,4.5,4.2,1948,USA,350,7.20,12:00-14:00,Quick Service,Yes,No,No,3.4
54,In-N-Out,Neapolitan Shake,Dessert,2.45,580,12.0,18.0,78.0,180,0.0,68.0,"Milk",Yes,Yes,No,2,4.4,3.8,1948,USA,350,7.20,12:00-14:00,Quick Service,Yes,No,No,2.6
55,In-N-Out,Grilled Cheese,Sandwich,2.80,390,15.0,18.0,39.0,1000,3.0,10.0,"Wheat, Milk",Yes,No,No,3,4.3,2.2,1948,USA,350,7.20,12:00-14:00,Quick Service,Yes,No,No,3.2
56,Chipotle,Burrito Bowl,Main,8.95,705,32.0,22.0,71.0,2025,16.0,7.0,"None",Yes,Yes,Yes,4,4.4,5.8,1993,USA,3000,11.50,12:00-14:00,Quick Service,Yes,Yes,Yes,4.2
57,Chipotle,Burrito,Main,8.95,1085,47.0,34.0,125.0,2480,18.0,7.0,"Wheat",Yes,No,Yes,4,4.3,4.8,1993,USA,3000,11.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.8
58,Chipotle,Tacos,Main,8.95,540,25.0,18.0,54.0,1200,12.0,4.0,"Corn",Yes,Yes,Yes,3,4.2,4.2,1993,USA,3000,11.50,12:00-14:00,Quick Service,Yes,Yes,Yes,4.0
59,Chipotle,Salad,Main,8.95,320,20.0,12.0,25.0,800,8.0,6.0,"None",Yes,Yes,Yes,3,4.5,3.8,1993,USA,3000,11.50,12:00-14:00,Quick Service,Yes,Yes,Yes,4.6
60,Chipotle,Chips and Guac,Snack,4.95,570,8.0,34.0,54.0,480,8.0,2.0,"None",Yes,Yes,Yes,1,4.6,6.8,1993,USA,3000,11.50,12:00-14:00,Quick Service,Yes,Yes,Yes,4.1
61,Starbucks,Caffe Latte,Beverage,4.95,190,13.0,7.0,18.0,150,0.0,18.0,"Milk",Yes,Yes,No,2,4.2,8.5,1971,USA,32000,6.50,08:00-10:00,Quick Service,Yes,Yes,Yes,3.8
62,Starbucks,Cappuccino,Beverage,4.45,120,8.0,4.0,12.0,75,0.0,12.0,"Milk",Yes,Yes,No,2,4.1,7.2,1971,USA,32000,6.50,08:00-10:00,Quick Service,Yes,Yes,Yes,4.0
63,Starbucks,Frappuccino,Beverage,5.45,250,5.0,3.0,54.0,105,0.0,54.0,"Milk",Yes,Yes,No,3,4.3,9.8,1995,USA,32000,6.50,08:00-10:00,Quick Service,Yes,Yes,Yes,2.8
64,Starbucks,Croissant,Food,2.95,270,6.0,14.0,31.0,320,2.0,3.0,"Wheat, Milk",Yes,No,No,1,4.0,5.5,1971,USA,32000,6.50,08:00-10:00,Quick Service,Yes,Yes,Yes,3.2
65,Starbucks,Muffin,Food,3.45,350,5.0,14.0,52.0,380,2.0,25.0,"Wheat, Milk",Yes,No,No,1,4.1,6.8,1971,USA,32000,6.50,08:00-10:00,Quick Service,Yes,Yes,Yes,2.9
66,Dunkin',Donut,Dessert,1.29,260,4.0,14.0,31.0,270,1.0,12.0,"Wheat, Milk",Yes,No,No,1,4.0,8.2,1950,USA,13000,5.50,08:00-10:00,Quick Service,Yes,Yes,Yes,2.5
67,Dunkin',Coffee,Beverage,2.19,5,0.0,0.0,0.0,10,0.0,0.0,"None",Yes,Yes,Yes,1,4.1,12.5,1950,USA,13000,5.50,08:00-10:00,Quick Service,Yes,Yes,Yes,4.2
68,Dunkin',Bagel,Food,2.49,280,11.0,2.0,54.0,520,3.0,6.0,"Wheat",Yes,No,Yes,1,4.0,6.8,1950,USA,13000,5.50,08:00-10:00,Quick Service,Yes,Yes,Yes,3.6
69,Dunkin',Munchkins,Snack,1.99,60,1.0,3.0,8.0,60,0.0,4.0,"Wheat, Milk",Yes,No,No,1,4.1,5.2,1950,USA,13000,5.50,08:00-10:00,Quick Service,Yes,Yes,Yes,2.8
70,Dunkin',Croissant,Food,2.99,320,6.0,16.0,36.0,380,2.0,4.0,"Wheat, Milk",Yes,No,No,1,4.0,4.8,1950,USA,13000,5.50,08:00-10:00,Quick Service,Yes,Yes,Yes,3.1
71,Panera Bread,Soup,Bowl,6.99,200,8.0,6.0,28.0,800,4.0,8.0,"Wheat, Milk",Yes,No,No,3,4.3,4.2,1987,USA,2000,9.50,12:00-14:00,Quick Service,Yes,Yes,Yes,4.1
72,Panera Bread,Sandwich,Main,8.99,450,25.0,18.0,45.0,1200,5.0,8.0,"Wheat",Yes,No,Yes,4,4.2,3.8,1987,USA,2000,9.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.9
73,Panera Bread,Salad,Main,7.99,300,15.0,12.0,25.0,600,6.0,8.0,"None",Yes,Yes,Yes,3,4.4,3.2,1987,USA,2000,9.50,12:00-14:00,Quick Service,Yes,Yes,Yes,4.5
74,Panera Bread,Bagel,Food,2.99,280,11.0,2.0,54.0,520,3.0,6.0,"Wheat",Yes,No,Yes,1,4.1,2.8,1987,USA,2000,9.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.8
75,Panera Bread,Cookie,Dessert,2.99,200,3.0,8.0,32.0,160,1.0,16.0,"Wheat, Milk",Yes,No,No,1,4.0,2.2,1987,USA,2000,9.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.2
76,Shake Shack,ShackBurger,Burger,6.09,550,28.0,32.0,39.0,1070,2.0,9.0,"Wheat, Soy, Milk",No,No,No,4,4.5,2.8,2004,USA,300,10.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.2
77,Shake Shack,Chicken Shack,Chicken,6.09,470,28.0,19.0,42.0,1090,2.0,6.0,"Wheat, Soy",No,No,Yes,3,4.4,2.5,2004,USA,300,10.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.6
78,Shake Shack,Shack Stack,Burger,8.09,720,35.0,42.0,39.0,1420,2.0,9.0,"Wheat, Soy, Milk",No,No,No,4,4.3,2.2,2004,USA,300,10.50,12:00-14:00,Quick Service,Yes,Yes,Yes,2.9
79,Shake Shack,Fries,Side,3.09,470,6.0,23.0,58.0,400,5.0,2.0,"None",Yes,Yes,Yes,2,4.6,3.8,2004,USA,300,10.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.4
80,Shake Shack,Shake,Dessert,5.09,580,12.0,18.0,78.0,180,0.0,68.0,"Milk",Yes,Yes,No,3,4.5,3.2,2004,USA,300,10.50,12:00-14:00,Quick Service,Yes,Yes,Yes,2.8
81,Culver's,ButterBurger,Burger,5.99,480,22.0,24.0,39.0,1050,2.0,9.0,"Wheat, Soy, Milk",No,No,No,4,4.2,2.8,1984,USA,800,8.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.1
82,Culver's,Chicken Sandwich,Chicken,5.99,470,28.0,19.0,42.0,1090,2.0,6.0,"Wheat, Soy",No,No,Yes,3,4.1,2.5,1984,USA,800,8.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.3
83,Culver's,Fries,Side,2.99,320,4.0,15.0,43.0,260,4.0,0.0,"None",Yes,Yes,Yes,2,4.3,3.2,1984,USA,800,8.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.5
84,Culver's,Custard,Dessert,3.99,340,8.0,12.0,45.0,120,0.0,38.0,"Milk",Yes,Yes,No,2,4.4,4.2,1984,USA,800,8.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.0
85,Culver's,Onion Rings,Side,3.99,320,4.0,18.0,35.0,480,2.0,5.0,"Wheat, Soy",Yes,No,Yes,2,4.2,2.8,1984,USA,800,8.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.2
86,White Castle,Sliders,Burger,0.89,140,6.0,6.0,15.0,360,1.0,2.0,"Wheat, Soy",No,No,Yes,1,4.0,1.8,1921,USA,400,4.50,12:00-14:00,Quick Service,Yes,Yes,Yes,2.8
87,White Castle,Chicken Rings,Chicken,2.99,280,14.0,16.0,20.0,600,1.0,0.0,"Wheat, Soy",No,No,Yes,2,4.1,1.5,1985,USA,400,4.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.0
88,White Castle,Fries,Side,1.99,320,4.0,15.0,43.0,260,4.0,0.0,"None",Yes,Yes,Yes,1,4.2,2.2,1921,USA,400,4.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.3
89,White Castle,Onion Chips,Side,1.99,280,4.0,16.0,32.0,400,2.0,4.0,"Wheat, Soy",Yes,No,Yes,1,4.1,1.8,1921,USA,400,4.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.1
90,White Castle,Cheese Curds,Snack,2.99,200,8.0,12.0,15.0,400,0.0,1.0,"Milk",Yes,Yes,No,1,4.0,1.2,1985,USA,400,4.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.2
91,Jack in the Box,Tacos,Snack,0.99,170,6.0,10.0,15.0,350,1.0,1.0,"Wheat, Soy",No,No,Yes,1,4.0,2.8,1951,USA,2200,6.50,12:00-14:00,Quick Service,Yes,Yes,Yes,2.9
92,Jack in the Box,Burger,Burger,4.99,480,22.0,26.0,39.0,1050,2.0,9.0,"Wheat, Soy, Milk",No,No,No,3,4.1,2.5,1951,USA,2200,6.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.0
93,Jack in the Box,Chicken Sandwich,Chicken,4.99,470,28.0,19.0,42.0,1090,2.0,6.0,"Wheat, Soy",No,No,Yes,3,4.2,2.2,1951,USA,2200,6.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.2
94,Jack in the Box,Fries,Side,2.99,320,4.0,15.0,43.0,260,4.0,0.0,"None",Yes,Yes,Yes,2,4.3,3.2,1951,USA,2200,6.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.4
95,Jack in the Box,Shake,Dessert,3.99,580,12.0,18.0,78.0,180,0.0,68.0,"Milk",Yes,Yes,No,2,4.2,2.8,1951,USA,2200,6.50,12:00-14:00,Quick Service,Yes,Yes,Yes,2.7
96,Carl's Jr,Western Bacon Cheeseburger,Burger,5.99,580,25.0,34.0,39.0,1110,2.0,9.0,"Wheat, Soy, Milk",No,No,No,4,4.0,2.2,1941,USA,1000,7.50,12:00-14:00,Quick Service,Yes,Yes,Yes,2.7
97,Carl's Jr,Chicken Sandwich,Chicken,4.99,470,28.0,19.0,42.0,1090,2.0,6.0,"Wheat, Soy",No,No,Yes,3,4.1,2.0,1941,USA,1000,7.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.1
98,Carl's Jr,Fries,Side,2.99,320,4.0,15.0,43.0,260,4.0,0.0,"None",Yes,Yes,Yes,2,4.2,2.8,1941,USA,1000,7.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.3
99,Carl's Jr,Onion Rings,Side,2.99,320,4.0,18.0,35.0,480,2.0,5.0,"Wheat, Soy",Yes,No,Yes,2,4.1,2.5,1941,USA,1000,7.50,12:00-14:00,Quick Service,Yes,Yes,Yes,3.0
100,Carl's Jr,Milkshake,Dessert,3.99,580,12.0,18.0,78.0,180,0.0,68.0,"Milk",Yes,Yes,No,2,4.0,2.2,1941,USA,1000,7.50,12:00-14:00,Quick Service,Yes,Yes,Yes,2.6
