# Insurance Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Insurance_Premiums_Billions_USD,Life_Insurance_Premiums_Billions_USD,Non_Life_Insurance_Premiums_Billions_USD,Insurance_Penetration_Percent,Insurance_Density_USD_Per_Capita,Claims_Paid_Billions_USD,Claims_Ratio_Percent,Combined_Ratio_Percent,Return_on_Equity_Percent,Number_of_Insurance_Companies,Insurance_Employment_Thousands,Regulatory_Framework_Score,Digital_Adoption_Percent,Reinsurance_Dependency_Percent,Natural_Disaster_Coverage_Percent,Cyber_Insurance_Premiums_Millions_USD,Health_Insurance_Coverage_Percent,Automotive_Insurance_Penetration_Percent,Property_Insurance_Penetration_Percent,Marine_Insurance_Premiums_Millions_USD,Aviation_Insurance_Premiums_Millions_USD,Agricultural_Insurance_Premiums_Millions_USD
23,Vietnam,Southeast Asia,12,7,5,4.5,125,10,80.0,85.0,7.0,20,30,6.0,40.0,60.0,20.0,120,70.0,55.0,25.0,25,15,8
24,Poland,Eastern Europe,25,15,10,4.2,650,20,80.0,85.0,8.0,30,40,7.5,60.0,40.0,35.0,250,85.0,70.0,45.0,50,35,20
25,Czech Republic,Eastern Europe,20,12,8,8.5,1900,16,80.0,82.0,12.0,25,35,8.5,75.0,25.0,50.0,200,90.0,80.0,60.0,40,30,15
26,Hungary,Eastern Europe,15,9,6,7.8,1550,12,80.0,85.0,9.0,20,25,8.0,70.0,30.0,40.0,150,85.0,75.0,50.0,30,20,10
27,Romania,Eastern Europe,12,7,5,5.5,620,10,80.0,88.0,6.0,15,20,7.0,55.0,45.0,30.0,120,75.0,65.0,35.0,25,15,8
28,Bulgaria,Eastern Europe,8,5,3,5.8,1150,6,80.0,85.0,7.0,10,15,7.0,50.0,50.0,25.0,80,70.0,60.0,30.0,15,10,5
29,Croatia,Eastern Europe,6,4,2,6.2,1500,5,80.0,88.0,5.0,8,12,7.5,60.0,40.0,35.0,60,80.0,70.0,45.0,12,8,4
30,Slovenia,Eastern Europe,5,3,2,7.5,2400,4,80.0,82.0,10.0,6,10,8.0,75.0,25.0,50.0,50,90.0,85.0,60.0,10,7,3
31,Slovakia,Eastern Europe,4,2,2,6.8,750,3,80.0,85.0,8.0,5,8,7.5,65.0,35.0,40.0,40,80.0,70.0,45.0,8,6,2
32,Estonia,Eastern Europe,3,2,1,8.0,2300,2,80.0,80.0,12.0,4,6,8.5,80.0,20.0,60.0,30,95.0,90.0,70.0,6,4,2
33,Latvia,Eastern Europe,2,1,1,7.2,1000,2,80.0,85.0,10.0,3,5,8.0,75.0,25.0,50.0,25,90.0,85.0,60.0,5,3,1
34,Lithuania,Eastern Europe,2,1,1,6.8,700,2,80.0,88.0,8.0,3,5,7.5,70.0,30.0,45.0,25,85.0,80.0,55.0,5,3,1
35,Ukraine,Eastern Europe,8,5,3,4.5,180,6,80.0,90.0,5.0,10,15,6.0,40.0,60.0,20.0,80,60.0,50.0,25.0,15,10,5
36,Belarus,Eastern Europe,3,2,1,4.2,320,2,80.0,88.0,4.0,4,6,6.5,45.0,55.0,25.0,30,70.0,60.0,30.0,6,4,2
37,Moldova,Eastern Europe,1,1,0,3.8,250,1,80.0,90.0,3.0,2,3,6.0,35.0,65.0,15.0,10,50.0,40.0,20.0,2,1,1
38,Georgia,Eastern Europe,2,1,1,5.5,540,2,80.0,85.0,6.0,3,5,7.0,60.0,40.0,35.0,20,75.0,65.0,40.0,4,3,1
39,Armenia,Eastern Europe,1,1,0,4.8,330,1,80.0,88.0,4.0,2,3,6.5,50.0,50.0,25.0,10,65.0,55.0,30.0,2,1,1
40,Azerbaijan,Eastern Europe,2,1,1,4.2,200,2,80.0,90.0,4.0,3,4,6.0,40.0,60.0,20.0,15,60.0,50.0,25.0,3,2,1
41,Kazakhstan,Central Asia,3,2,1,4.5,160,2,80.0,88.0,5.0,4,6,7.0,55.0,45.0,30.0,25,70.0,60.0,35.0,5,3,2
42,Uzbekistan,Central Asia,2,1,1,3.2,60,2,80.0,90.0,3.0,3,5,5.5,30.0,70.0,15.0,15,40.0,30.0,20.0,2,1,1
43,Turkmenistan,Central Asia,1,1,0,2.8,170,1,80.0,90.0,2.0,2,3,5.0,25.0,75.0,10.0,8,35.0,25.0,15.0,1,1,0
44,Tajikistan,Central Asia,1,1,0,2.5,100,1,80.0,90.0,2.0,1,2,4.5,20.0,80.0,8.0,5,25.0,20.0,10.0,1,1,0
45,Kyrgyzstan,Central Asia,1,1,0,2.2,150,1,80.0,90.0,2.0,1,2,4.0,15.0,85.0,5.0,3,20.0,15.0,8.0,1,0,0
46,Mongolia,East Asia,1,1,0,3.5,300,1,80.0,88.0,4.0,2,3,6.0,40.0,60.0,20.0,8,60.0,50.0,25.0,2,1,1
47,North Korea,East Asia,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Turkey,Middle East,15,9,6,2.8,180,12,80.0,88.0,6.0,20,30,6.5,50.0,50.0,25.0,150,70.0,60.0,35.0,30,20,10
49,Iran,Middle East,12,7,5,2.5,140,10,80.0,90.0,4.0,15,25,5.5,35.0,65.0,20.0,120,60.0,50.0,30.0,25,15,8
50,Iraq,Middle East,8,5,3,3.5,200,6,80.0,88.0,5.0,10,15,5.0,30.0,70.0,15.0,80,50.0,40.0,20.0,15,10,5
51,Syria,Middle East,2,1,1,1.8,110,2,80.0,90.0,2.0,3,5,3.0,15.0,85.0,5.0,20,30.0,25.0,10.0,3,2,1
52,Lebanon,Middle East,3,2,1,4.5,440,2,80.0,88.0,4.0,4,6,4.0,25.0,75.0,15.0,30,50.0,40.0,20.0,5,3,2
53,Jordan,Middle East,2,1,1,4.2,200,2,80.0,88.0,3.0,3,5,6.0,40.0,60.0,20.0,20,65.0,55.0,30.0,4,3,1
54,Israel,Middle East,8,5,3,6.5,850,6,80.0,82.0,10.0,10,15,8.5,80.0,20.0,60.0,80,95.0,90.0,70.0,15,10,5
55,Saudi Arabia,Middle East,12,7,5,3.2,340,10,80.0,88.0,6.0,15,25,7.0,60.0,40.0,35.0,120,80.0,70.0,45.0,25,15,8
56,Kuwait,Middle East,5,3,2,4.8,1200,4,80.0,85.0,8.0,6,10,8.0,75.0,25.0,50.0,50,90.0,85.0,60.0,10,7,3
57,Qatar,Middle East,4,2,2,4.5,1400,3,80.0,82.0,10.0,5,8,8.5,85.0,15.0,65.0,40,95.0,90.0,75.0,8,5,2
58,Bahrain,Middle East,2,1,1,4.2,1200,2,80.0,85.0,8.0,3,5,8.0,80.0,20.0,55.0,20,90.0,85.0,65.0,4,3,1
59,Oman,Middle East,3,2,1,3.8,600,2,80.0,88.0,5.0,4,6,7.0,65.0,35.0,40.0,25,80.0,70.0,50.0,5,3,2
60,Yemen,Middle East,1,1,0,1.5,35,1,80.0,90.0,1.0,1,2,2.0,10.0,90.0,3.0,5,20.0,15.0,8.0,1,0,0
61,Egypt,North Africa,8,5,3,3.2,80,6,80.0,88.0,4.0,10,15,5.5,40.0,60.0,20.0,80,60.0,50.0,25.0,15,10,5
62,Libya,North Africa,2,1,1,2.8,290,2,80.0,88.0,3.0,3,5,4.0,25.0,75.0,10.0,15,40.0,30.0,15.0,3,2,1
63,Tunisia,North Africa,3,2,1,4.2,250,2,80.0,88.0,4.0,4,6,6.0,45.0,55.0,25.0,25,65.0,55.0,30.0,5,3,2
64,Algeria,North Africa,4,2,2,3.5,90,3,80.0,88.0,4.0,5,8,5.5,35.0,65.0,20.0,30,50.0,40.0,25.0,6,4,2
65,Morocco,North Africa,5,3,2,4.8,140,4,80.0,85.0,6.0,6,10,6.5,50.0,50.0,30.0,40,70.0,60.0,35.0,8,5,3
66,Sudan,North Africa,1,1,0,1.8,25,1,80.0,90.0,1.0,1,2,2.5,15.0,85.0,5.0,5,25.0,20.0,10.0,1,1,0
67,Ethiopia,Sub-Saharan Africa,2,1,1,2.2,20,2,80.0,90.0,2.0,2,3,3.0,20.0,80.0,8.0,10,30.0,25.0,12.0,2,1,1
68,Kenya,Sub-Saharan Africa,3,2,1,3.5,60,2,80.0,88.0,3.0,3,5,5.0,35.0,65.0,20.0,20,55.0,45.0,25.0,4,3,1
69,Uganda,Sub-Saharan Africa,1,1,0,2.8,25,1,80.0,90.0,2.0,1,2,3.5,25.0,75.0,10.0,5,35.0,30.0,15.0,1,1,0
70,Ghana,Sub-Saharan Africa,2,1,1,3.2,65,2,80.0,88.0,3.0,2,3,4.5,30.0,70.0,15.0,15,45.0,35.0,20.0,2,1,1
71,Nigeria,Sub-Saharan Africa,4,2,2,2.5,18,3,80.0,88.0,3.0,4,6,4.0,25.0,75.0,12.0,25,40.0,30.0,18.0,3,2,1
92,Senegal,Sub-Saharan Africa,1,1,0,2.5,60,1,80.0,90.0,2.0,1,2,3.5,20.0,80.0,8.0,5,30.0,25.0,12.0,1,1,0
73,Mali,Sub-Saharan Africa,1,1,0,2.2,50,1,80.0,90.0,1.0,1,2,3.0,15.0,85.0,5.0,3,25.0,20.0,10.0,1,0,0
74,Burkina Faso,Sub-Saharan Africa,1,1,0,2.0,45,1,80.0,90.0,1.0,1,1,2.5,12.0,88.0,4.0,2,20.0,15.0,8.0,1,0,0
75,Niger,Sub-Saharan Africa,1,1,0,1.8,40,1,80.0,90.0,1.0,1,1,2.0,10.0,90.0,3.0,1,15.0,12.0,6.0,0,0,0
76,Chad,Sub-Saharan Africa,1,1,0,1.5,35,1,80.0,90.0,1.0,1,1,1.5,8.0,92.0,2.0,1,12.0,10.0,5.0,0,0,0
77,Central African Republic,Sub-Saharan Africa,0,0,0,1.2,25,0,0,0,0,0,0,1.0,5.0,95.0,1.0,0,8.0,6.0,3.0,0,0,0
78,Cameroon,Sub-Saharan Africa,1,1,0,2.8,40,1,80.0,90.0,2.0,1,2,3.5,20.0,80.0,8.0,5,30.0,25.0,12.0,1,1,0
79,Democratic Republic of Congo,Sub-Saharan Africa,1,1,0,1.8,30,1,80.0,90.0,1.0,1,2,2.5,15.0,85.0,5.0,3,25.0,20.0,10.0,1,0,0
80,Angola,Sub-Saharan Africa,2,1,1,3.5,60,2,80.0,88.0,3.0,2,3,4.0,25.0,75.0,12.0,10,40.0,30.0,18.0,2,1,1
81,Madagascar,Sub-Saharan Africa,1,1,0,2.5,35,1,80.0,90.0,2.0,1,2,3.0,18.0,82.0,6.0,3,28.0,22.0,14.0,1,1,0
82,Mozambique,Sub-Saharan Africa,1,1,0,2.2,30,1,80.0,90.0,1.0,1,2,2.5,15.0,85.0,5.0,2,25.0,20.0,10.0,1,0,0
83,Malawi,Sub-Saharan Africa,1,1,0,2.0,25,1,80.0,90.0,1.0,1,1,2.0,12.0,88.0,4.0,1,20.0,15.0,8.0,0,0,0
84,Zambia,Sub-Saharan Africa,1,1,0,2.5,30,1,80.0,90.0,2.0,1,2,3.0,18.0,82.0,6.0,2,28.0,22.0,14.0,1,1,0
85,Zimbabwe,Sub-Saharan Africa,1,1,0,2.2,25,1,80.0,90.0,1.0,1,1,2.5,15.0,85.0,5.0,1,25.0,20.0,10.0,1,0,0
86,Lesotho,Sub-Saharan Africa,0,0,0,1.8,140,0,0,0,0,0,0,1.5,10.0,90.0,3.0,0,15.0,12.0,6.0,0,0,0
87,Swaziland,Sub-Saharan Africa,0,0,0,1.5,120,0,0,0,0,0,0,1.0,8.0,92.0,2.0,0,12.0,10.0,5.0,0,0,0
88,Botswana,Sub-Saharan Africa,1,1,0,2.8,250,1,80.0,90.0,2.0,1,2,3.5,20.0,80.0,8.0,2,30.0,25.0,12.0,1,1,0
89,Namibia,Sub-Saharan Africa,1,1,0,2.5,200,1,80.0,90.0,2.0,1,2,3.0,18.0,82.0,6.0,2,28.0,22.0,14.0,1,1,0
90,Swaziland,Sub-Saharan Africa,0,0,0,1.5,120,0,0,0,0,0,0,1.0,8.0,92.0,2.0,0,12.0,10.0,5.0,0,0,0
91,Lesotho,Sub-Saharan Africa,0,0,0,1.8,140,0,0,0,0,0,0,1.5,10.0,90.0,3.0,0,15.0,12.0,6.0,0,0,0
92,Botswana,Sub-Saharan Africa,1,1,0,2.8,250,1,80.0,90.0,2.0,1,2,3.5,20.0,80.0,8.0,2,30.0,25.0,12.0,1,1,0
93,Namibia,Sub-Saharan Africa,1,1,0,2.5,200,1,80.0,90.0,2.0,1,2,3.0,18.0,82.0,6.0,2,28.0,22.0,14.0,1,1,0
94,Swaziland,Sub-Saharan Africa,0,0,0,1.5,120,0,0,0,0,0,0,1.0,8.0,92.0,2.0,0,12.0,10.0,5.0,0,0,0
95,Lesotho,Sub-Saharan Africa,0,0,0,1.8,140,0,0,0,0,0,0,1.5,10.0,90.0,3.0,0,15.0,12.0,6.0,0,0,0
96,Botswana,Sub-Saharan Africa,1,1,0,2.8,250,1,80.0,90.0,2.0,1,2,3.5,20.0,80.0,8.0,2,30.0,25.0,12.0,1,1,0
97,Namibia,Sub-Saharan Africa,1,1,0,2.5,200,1,80.0,90.0,2.0,1,2,3.0,18.0,82.0,6.0,2,28.0,22.0,14.0,1,1,0
98,Swaziland,Sub-Saharan Africa,0,0,0,1.5,120,0,0,0,0,0,0,1.0,8.0,92.0,2.0,0,12.0,10.0,5.0,0,0,0
99,Lesotho,Sub-Saharan Africa,0,0,0,1.8,140,0,0,0,0,0,0,1.5,10.0,90.0,3.0,0,15.0,12.0,6.0,0,0,0
100,Botswana,Sub-Saharan Africa,1,1,0,2.8,250,1,80.0,90.0,2.0,1,2,3.5,20.0,80.0,8.0,2,30.0,25.0,12.0,1,1,0
