# Corporate Mergers & Acquisitions Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Deal_Name,Acquirer_Company,Target_Company,Deal_Value_Billions_USD,Deal_Type,Industry_Sector,Announcement_Date,Closing_Date,Deal_Status,Acquirer_Country,Target_Country,Acquirer_Revenue_Billions_USD,Target_Revenue_Billions_USD,Acquirer_Employees,Target_Employees,Synergies_Expected_Billions_USD,Regulatory_Approval_Required,Deal_Premium_Percent,Financing_Method,Strategic_Rationale,Market_Cap_Acquirer_Billions_USD,Market_Cap_Target_Billions_USD,Deal_Advisor_Acquirer,Deal_Advisor_Target
11,Verizon Yahoo,Verizon,Yahoo,4.5,Acquisition,Telecommunications,2016-07-25,2017-06-13,Completed,United States,United States,131.9,5.2,135000,8800,0.2,Yes,15.0,Cash,Digital Media,200.0,35.8,Guggenheim Partners,Goldman Sachs
12,Oracle NetSuite,Oracle,NetSuite,9.3,Acquisition,Technology,2016-07-28,2016-11-07,Completed,United States,United States,37.1,0.8,135000,6000,0.3,Yes,20.0,Cash,Cloud ERP,180.0,7.8,JPMorgan Chase,Qatalyst Partners
13,Salesforce Slack,Salesforce,Slack,27.7,Acquisition,Technology,2020-12-01,2021-07-21,Completed,United States,United States,21.3,0.9,78000,12000,0.4,Yes,55.0,Cash and Stock,Workplace Collaboration,220.0,18.5,Guggenheim Partners,Goldman Sachs
14,IBM Red Hat,IBM,Red Hat,34.0,Acquisition,Technology,2018-10-28,2019-07-09,Completed,United States,United States,79.6,3.4,350000,12500,1.0,Yes,63.0,Cash,Hybrid Cloud,120.0,20.8,JPMorgan Chase,Guggenheim Partners
15,Intel Mobileye,Intel,Mobileye,15.3,Acquisition,Semiconductors,2017-03-13,2017-08-08,Completed,United States,Israel,59.4,0.4,110000,2000,0.2,Yes,34.0,Cash,Autonomous Driving,200.0,11.5,Morgan Stanley,Goldman Sachs
16,SoftBank ARM,SoftBank,ARM,32.0,Acquisition,Semiconductors,2016-07-18,2016-09-05,Completed,Japan,United Kingdom,85.2,1.5,74000,6200,0.5,Yes,43.0,Cash,Chip Design IP,80.0,22.5,Raine Group,Goldman Sachs
17,Qualcomm NXP,Qualcomm,NXP,44.0,Acquisition,Semiconductors,2016-10-27,2018-07-25,Cancelled,United States,Netherlands,22.3,9.5,45000,30000,1.2,Yes,11.0,Cash,Automotive Chips,120.0,40.2,JPMorgan Chase,Guggenheim Partners
18,Marvell Technology Cavium,Marvell Technology,Cavium,6.0,Acquisition,Semiconductors,2017-11-20,2018-07-06,Completed,United States,United States,2.9,1.2,7000,1500,0.1,Yes,11.0,Cash and Stock,Networking Chips,15.0,5.2,Bank of America,Goldman Sachs
19,Analog Devices Maxim Integrated,Analog Devices,Maxim Integrated,21.0,Acquisition,Semiconductors,2020-07-13,2021-08-26,Completed,United States,United States,6.0,2.3,16000,7000,0.3,Yes,22.0,Stock,Analog Chips,80.0,18.5,JPMorgan Chase,Goldman Sachs
20,Microchip Technology Microsemi,Microchip Technology,Microsemi,8.4,Acquisition,Semiconductors,2018-03-01,2018-05-29,Completed,United States,United States,5.3,1.8,18000,4800,0.2,Yes,10.0,Cash and Stock,Embedded Systems,45.0,7.8,JPMorgan Chase,Goldman Sachs
21,ON Semiconductor Fairchild Semiconductor,ON Semiconductor,Fairchild Semiconductor,2.4,Acquisition,Semiconductors,2015-11-18,2016-09-19,Completed,United States,United States,3.9,1.4,30000,9000,0.1,Yes,9.0,Cash and Stock,Power Management,25.0,2.2,JPMorgan Chase,Goldman Sachs
22,Infineon Cypress Semiconductor,Infineon,Cypress Semiconductor,10.1,Acquisition,Semiconductors,2019-06-03,2020-04-16,Completed,Germany,United States,8.9,2.5,47000,6000,0.2,Yes,46.0,Cash,Microcontrollers,35.0,8.5,JPMorgan Chase,Goldman Sachs
23,Renesas Intersil,Renesas,Intersil,3.2,Acquisition,Semiconductors,2016-09-12,2017-02-24,Completed,Japan,United States,7.2,0.6,20000,1000,0.1,Yes,80.0,Cash,Analog Chips,15.0,2.8,Morgan Stanley,Goldman Sachs
24,STMicroelectronics AMS,STMicroelectronics,AMS,4.6,Acquisition,Semiconductors,2020-08-06,2021-04-27,Completed,Switzerland,Austria,10.2,1.8,46000,5000,0.1,Yes,25.0,Cash and Stock,Sensors,45.0,4.2,JPMorgan Chase,Goldman Sachs
25,NXP Semiconductors Freescale,NXP Semiconductors,Freescale,11.8,Acquisition,Semiconductors,2015-03-02,2015-12-07,Completed,Netherlands,United States,6.1,4.6,30000,18000,0.3,Yes,11.0,Cash and Stock,Automotive Chips,25.0,10.8,JPMorgan Chase,Goldman Sachs
26,Applied Materials Tokyo Electron,Applied Materials,Tokyo Electron,29.0,Merger,Semiconductors,2013-09-24,2015-04-27,Cancelled,United States,Japan,9.5,8.2,22000,12000,0.8,Yes,0.0,Stock,Semiconductor Equipment,35.0,25.8,Goldman Sachs,JPMorgan Chase
27,Lam Research KLA-Tencor,Lam Research,KLA-Tencor,10.6,Acquisition,Semiconductors,2015-10-21,2016-05-24,Cancelled,United States,United States,6.8,3.2,14000,7000,0.2,Yes,32.0,Stock,Semiconductor Equipment,25.0,8.2,JPMorgan Chase,Goldman Sachs
28,ASML Cymer,ASML,Cymer,2.5,Acquisition,Semiconductors,2012-10-17,2013-05-16,Completed,Netherlands,United States,5.2,0.3,28000,1000,0.1,Yes,70.0,Cash,Lithography Technology,45.0,2.2,JPMorgan Chase,Goldman Sachs
29,Thermo Fisher Scientific Life Technologies,Thermo Fisher Scientific,Life Technologies,13.6,Acquisition,Life Sciences,2013-04-15,2014-02-03,Completed,United States,United States,17.3,3.8,75000,10000,0.3,Yes,8.0,Cash and Stock,Biotechnology Tools,80.0,12.5,JPMorgan Chase,Goldman Sachs
30,Danaher Pall Corporation,Danaher,Pall Corporation,13.8,Acquisition,Life Sciences,2015-05-13,2015-08-31,Completed,United States,United States,20.1,2.8,71000,11000,0.2,Yes,25.0,Cash,Filtration Technology,65.0,11.2,JPMorgan Chase,Goldman Sachs
31,Illumina Grail,Illumina,Grail,8.0,Acquisition,Life Sciences,2020-09-21,2021-08-18,Cancelled,United States,United States,3.2,0.0,8000,500,0.1,Yes,1000.0,Cash and Stock,Cancer Detection,65.0,7.5,JPMorgan Chase,Goldman Sachs
32,Merck Sigma-Aldrich,Merck,Sigma-Aldrich,17.0,Acquisition,Life Sciences,2014-09-22,2015-11-18,Completed,Germany,United States,15.8,2.8,57000,9000,0.3,Yes,35.0,Cash,Life Science Tools,45.0,15.2,JPMorgan Chase,Goldman Sachs
33,Agilent Technologies Varian,Agilent Technologies,Varian,1.5,Acquisition,Life Sciences,2009-07-28,2010-05-06,Completed,United States,United States,4.2,1.0,28000,6000,0.1,Yes,35.0,Cash and Stock,Scientific Instruments,25.0,1.2,JPMorgan Chase,Goldman Sachs
34,Waters Corporation Wyatt Technology,Waters Corporation,Wyatt Technology,0.6,Acquisition,Life Sciences,2021-01-11,2021-03-15,Completed,United States,United States,2.3,0.1,7500,200,0.0,No,50.0,Cash,Analytical Instruments,12.0,0.5,JPMorgan Chase,Goldman Sachs
35,PerkinElmer Cisbio,PerkinElmer,Cisbio,0.3,Acquisition,Life Sciences,2019-06-10,2019-08-12,Completed,United States,France,2.8,0.05,15000,150,0.0,No,100.0,Cash,Biomarker Detection,8.5,0.3,JPMorgan Chase,Goldman Sachs
36,Bio-Rad Laboratories RainDance Technologies,Bio-Rad Laboratories,RainDance Technologies,0.1,Acquisition,Life Sciences,2017-03-20,2017-05-22,Completed,United States,United States,2.1,0.02,8000,80,0.0,No,100.0,Cash,Droplet Digital PCR,6.5,0.1,JPMorgan Chase,Goldman Sachs
37,Tecan Group Sias AG,Tecan Group,Sias AG,0.2,Acquisition,Life Sciences,2020-09-15,2020-11-30,Completed,Switzerland,Switzerland,0.8,0.05,3000,200,0.0,No,100.0,Cash,Automation Solutions,3.2,0.2,JPMorgan Chase,Goldman Sachs
38,Hamilton Company Tecan Group,Hamilton Company,Tecan Group,1.1,Acquisition,Life Sciences,2021-02-08,2021-04-20,Completed,United States,Switzerland,0.3,0.8,2000,3000,0.0,No,50.0,Cash,Laboratory Automation,2.5,1.8,JPMorgan Chase,Goldman Sachs
39,Beckman Coulter Danaher,Beckman Coulter,Danaher,6.8,Acquisition,Life Sciences,2011-05-13,2011-09-30,Completed,United States,United States,3.2,12.5,12000,45000,0.2,Yes,45.0,Cash and Stock,Diagnostic Instruments,25.0,5.8,JPMorgan Chase,Goldman Sachs
40,BioTek Instruments Agilent Technologies,BioTek Instruments,Agilent Technologies,1.2,Acquisition,Life Sciences,2019-04-25,2019-07-01,Completed,United States,United States,0.4,4.2,1500,28000,0.0,No,200.0,Cash,Microplate Readers,8.5,1.0,JPMorgan Chase,Goldman Sachs
41,GE Healthcare Life Sciences Danaher,GE Healthcare Life Sciences,Danaher,21.4,Acquisition,Life Sciences,2018-12-14,2019-03-31,Completed,United States,United States,18.2,20.1,50000,71000,0.5,Yes,15.0,Cash,Biopharma Solutions,120.0,18.5,JPMorgan Chase,Goldman Sachs
42,Novartis GSK Consumer Healthcare,Novartis,GSK Consumer Healthcare,13.0,Acquisition,Pharmaceuticals,2018-03-27,2019-08-01,Completed,Switzerland,United Kingdom,48.5,8.2,108000,25000,0.8,Yes,25.0,Cash and Stock,Consumer Health,200.0,11.5,JPMorgan Chase,Goldman Sachs
43,Pfizer Allergan,Pfizer,Allergan,160.0,Merger,Pharmaceuticals,2015-11-23,2016-04-06,Cancelled,United States,Ireland,48.3,15.8,90000,17000,2.0,Yes,0.0,Stock,Tax Inversion,180.0,140.2,JPMorgan Chase,Goldman Sachs
44,Bristol Myers Squibb Celgene,Bristol Myers Squibb,Celgene,74.0,Acquisition,Pharmaceuticals,2019-01-03,2019-11-20,Completed,United States,United States,22.6,15.3,30000,9000,1.0,Yes,54.0,Cash and Stock,Cancer Therapeutics,120.0,65.8,JPMorgan Chase,Goldman Sachs
45,AbbVie Allergan,AbbVie,Allergan,63.0,Acquisition,Pharmaceuticals,2019-06-25,2020-05-08,Completed,United States,Ireland,32.8,15.8,30000,17000,1.5,Yes,45.0,Cash and Stock,Aesthetics and Neurology,180.0,55.2,JPMorgan Chase,Goldman Sachs
46,Takeda Shire,Takeda,Shire,62.0,Acquisition,Pharmaceuticals,2018-05-08,2019-01-08,Completed,Japan,Ireland,15.8,15.2,50000,22000,1.8,Yes,60.0,Cash and Stock,Rare Diseases,45.0,52.8,JPMorgan Chase,Goldman Sachs
47,GlaxoSmithKline Novartis Consumer Health,GlaxoSmithKline,Novartis Consumer Health,13.0,Acquisition,Pharmaceuticals,2018-03-27,2019-08-01,Completed,United Kingdom,Switzerland,33.2,8.2,100000,25000,0.8,Yes,25.0,Cash and Stock,Consumer Healthcare,120.0,11.5,JPMorgan Chase,Goldman Sachs
48,Sanofi Genzyme,Sanofi,Genzyme,20.1,Acquisition,Pharmaceuticals,2010-08-29,2011-02-16,Completed,France,United States,35.8,4.2,110000,12000,0.5,Yes,69.0,Cash and Stock,Rare Diseases,85.0,18.5,JPMorgan Chase,Goldman Sachs
49,Roche Genentech,Roche,Genentech,46.8,Acquisition,Pharmaceuticals,2009-03-12,2009-03-26,Completed,Switzerland,United States,45.2,13.2,95000,12000,1.2,Yes,8.0,Cash and Stock,Biotechnology,180.0,42.5,JPMorgan Chase,Goldman Sachs
50,Johnson & Johnson Actelion,Johnson & Johnson,Actelion,30.0,Acquisition,Pharmaceuticals,2017-01-26,2017-06-16,Completed,United States,Switzerland,81.6,2.1,134000,2500,0.3,Yes,80.0,Cash,Pulmonary Hypertension,400.0,25.8,JPMorgan Chase,Goldman Sachs
51,Merck Schering-Plough,Merck,Schering-Plough,41.1,Merger,Pharmaceuticals,2009-03-09,2009-11-03,Completed,United States,United States,23.9,18.5,100000,50000,3.5,Yes,0.0,Stock,Research Pipeline,120.0,35.2,JPMorgan Chase,Goldman Sachs
52,Pfizer Wyeth,Pfizer,Wyeth,68.0,Acquisition,Pharmaceuticals,2009-01-26,2009-10-15,Completed,United States,United States,48.3,22.8,100000,50000,4.0,Yes,29.0,Cash and Stock,Diversification,120.0,58.5,JPMorgan Chase,Goldman Sachs
53,AstraZeneca MedImmune,AstraZeneca,MedImmune,15.6,Acquisition,Pharmaceuticals,2007-04-23,2007-06-15,Completed,United Kingdom,United States,26.3,1.2,65000,3000,0.3,Yes,67.0,Cash,Biotechnology,85.0,13.5,JPMorgan Chase,Goldman Sachs
54,Novartis Alcon,Novartis,Alcon,51.6,Acquisition,Pharmaceuticals,2008-04-07,2011-08-09,Completed,Switzerland,United States,42.8,6.8,108000,24000,1.0,Yes,12.0,Cash and Stock,Eye Care,180.0,45.8,JPMorgan Chase,Goldman Sachs
55,GlaxoSmithKline Human Genome Sciences,GlaxoSmithKline,Human Genome Sciences,3.0,Acquisition,Pharmaceuticals,2012-04-23,2012-08-17,Completed,United Kingdom,United States,33.2,0.2,100000,800,0.1,Yes,100.0,Cash,Genomics,120.0,2.8,JPMorgan Chase,Goldman Sachs
56,Amgen Onyx Pharmaceuticals,Amgen,Onyx Pharmaceuticals,10.4,Acquisition,Pharmaceuticals,2013-08-25,2013-10-31,Completed,United States,United States,18.5,0.3,20000,500,0.1,Yes,60.0,Cash,Cancer Therapeutics,85.0,9.2,JPMorgan Chase,Goldman Sachs
57,Gilead Sciences Pharmasset,Gilead Sciences,Pharmasset,11.0,Acquisition,Pharmaceuticals,2011-11-21,2012-01-17,Completed,United States,United States,8.4,0.0,5000,80,0.1,Yes,89.0,Cash,Hepatitis C,45.0,10.2,JPMorgan Chase,Goldman Sachs
58,Biogen Idec Elan,Biogen Idec,Elan,3.2,Acquisition,Pharmaceuticals,2013-07-29,2013-09-18,Completed,United States,Ireland,5.8,1.0,7000,1000,0.1,Yes,65.0,Cash,Multiple Sclerosis,35.0,2.8,JPMorgan Chase,Goldman Sachs
59,Regeneron Pharmaceuticals Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,0.0,Internal,Pharmaceuticals,2020-01-01,2020-01-01,Completed,United States,United States,8.5,8.5,8000,8000,0.0,No,0.0,Internal,Internal Restructuring,65.0,65.0,Internal,Internal
60,Vertex Pharmaceuticals Vertex Pharmaceuticals,Vertex Pharmaceuticals,Vertex Pharmaceuticals,0.0,Internal,Pharmaceuticals,2020-01-01,2020-01-01,Completed,United States,United States,7.2,7.2,6000,6000,0.0,No,0.0,Internal,Internal Restructuring,55.0,55.0,Internal,Internal
61,ExxonMobil XTO Energy,ExxonMobil,XTO Energy,41.0,Acquisition,Energy,2009-12-14,2010-06-25,Completed,United States,United States,310.6,4.2,75000,2800,1.0,Yes,25.0,Stock,Natural Gas,350.0,35.8,JPMorgan Chase,Goldman Sachs
62,Chevron Noble Energy,Chevron,Noble Energy,5.0,Acquisition,Energy,2020-07-20,2020-10-05,Completed,United States,United States,146.5,3.5,45000,2200,0.3,Yes,12.0,Cash and Stock,Shale Assets,180.0,4.2,JPMorgan Chase,Goldman Sachs
63,Shell BG Group,Shell,BG Group,70.0,Acquisition,Energy,2015-04-08,2016-02-15,Completed,Netherlands,United Kingdom,265.2,15.8,82000,5000,2.0,Yes,50.0,Cash and Stock,LNG Portfolio,180.0,60.8,JPMorgan Chase,Goldman Sachs
64,BP Amoco,BP,Amoco,48.2,Merger,Energy,1998-08-11,1998-12-31,Completed,United Kingdom,United States,148.5,18.5,85000,18000,3.0,Yes,0.0,Stock,Global Scale,120.0,42.5,JPMorgan Chase,Goldman Sachs
65,Total Saft,Total,Saft,1.1,Acquisition,Energy,2016-05-16,2016-07-18,Completed,France,France,155.8,0.8,100000,4000,0.1,Yes,38.0,Cash,Battery Technology,120.0,0.9,JPMorgan Chase,Goldman Sachs
66,Eni Saipem,Eni,Saipem,0.0,Spin-off,Energy,2015-01-01,2015-01-01,Completed,Italy,Italy,68.5,6.2,32000,30000,0.0,No,0.0,Spin-off,Strategic Focus,45.0,5.8,JPMorgan Chase,Goldman Sachs
67,Repsol Talisman Energy,Repsol,Talisman Energy,8.3,Acquisition,Energy,2014-12-16,2015-05-08,Completed,Spain,Canada,45.2,2.8,25000,1500,0.2,Yes,50.0,Cash and Stock,International Expansion,35.0,7.2,JPMorgan Chase,Goldman Sachs
68,Equinor Lundin Energy,Equinor,Lundin Energy,4.8,Acquisition,Energy,2021-12-21,2022-07-01,Completed,Norway,Sweden,52.8,1.8,22000,800,0.1,Yes,60.0,Cash,North Sea Assets,65.0,4.2,JPMorgan Chase,Goldman Sachs
69,ConocoPhillips Concho Resources,ConocoPhillips,Concho Resources,9.7,Acquisition,Energy,2020-10-19,2021-01-15,Completed,United States,United States,25.8,2.1,11000,1200,0.2,Yes,15.0,Cash and Stock,Permian Basin,85.0,8.5,JPMorgan Chase,Goldman Sachs
70,EOG Resources Jagged Peak Energy,EOG Resources,Jagged Peak Energy,2.2,Acquisition,Energy,2019-10-16,2020-01-31,Completed,United States,United States,15.8,0.3,2800,200,0.0,Yes,25.0,Cash,Delaware Basin,65.0,1.8,JPMorgan Chase,Goldman Sachs
71,Pioneer Natural Resources Parsley Energy,Pioneer Natural Resources,Parsley Energy,4.5,Acquisition,Energy,2020-10-20,2021-01-29,Completed,United States,United States,8.5,0.8,2200,400,0.1,Yes,20.0,Cash and Stock,Midland Basin,45.0,3.8,JPMorgan Chase,Goldman Sachs
72,Devon Energy WPX Energy,Devon Energy,WPX Energy,2.6,Merger,Energy,2020-09-27,2021-01-07,Completed,United States,United States,6.2,2.1,1800,800,0.1,Yes,0.0,Stock,Scale Benefits,25.0,2.2,JPMorgan Chase,Goldman Sachs
73,Marathon Oil Andeavor,Marathon Oil,Andeavor,23.3,Acquisition,Energy,2018-04-30,2018-10-01,Completed,United States,United States,15.8,35.2,14000,14000,1.0,Yes,15.0,Cash and Stock,Refining Integration,35.0,20.8,JPMorgan Chase,Goldman Sachs
74,Valero Energy Valero Energy,Valero Energy,Valero Energy,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,88.5,88.5,10000,10000,0.0,No,0.0,Internal,Internal Restructuring,45.0,45.0,Internal,Internal
75,Phillips 66 Phillips 66,Phillips 66,Phillips 66,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,75.2,75.2,14000,14000,0.0,No,0.0,Internal,Internal Restructuring,35.0,35.0,Internal,Internal
76,Hess Corporation Hess Corporation,Hess Corporation,Hess Corporation,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,8.5,8.5,2000,2000,0.0,No,0.0,Internal,Internal Restructuring,25.0,25.0,Internal,Internal
77,Apache Corporation Apache Corporation,Apache Corporation,Apache Corporation,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,6.8,6.8,2500,2500,0.0,No,0.0,Internal,Internal Restructuring,15.0,15.0,Internal,Internal
78,Occidental Petroleum Anadarko Petroleum,Occidental Petroleum,Anadarko Petroleum,38.0,Acquisition,Energy,2019-04-24,2019-08-08,Completed,United States,United States,18.5,12.8,11000,4500,1.0,Yes,41.0,Cash and Stock,Permian Basin,45.0,32.5,JPMorgan Chase,Goldman Sachs
79,Diamondback Energy Energen,Diamondback Energy,Energen,9.2,Acquisition,Energy,2018-08-14,2018-11-28,Completed,United States,United States,2.8,0.8,800,300,0.1,Yes,15.0,Cash and Stock,Permian Basin,15.0,7.8,JPMorgan Chase,Goldman Sachs
80,Cimarex Energy Cabot Oil & Gas,Cimarex Energy,Cabot Oil & Gas,7.4,Merger,Energy,2021-05-24,2021-10-01,Completed,United States,United States,2.1,1.8,600,500,0.1,Yes,0.0,Stock,Geographic Diversification,12.0,6.2,JPMorgan Chase,Goldman Sachs
81,Antero Resources Antero Midstream,Antero Resources,Antero Midstream,0.0,Spin-off,Energy,2020-01-01,2020-01-01,Completed,United States,United States,4.2,1.2,800,200,0.0,No,0.0,Spin-off,Strategic Focus,8.5,1.0,JPMorgan Chase,Goldman Sachs
82,Range Resources Range Resources,Range Resources,Range Resources,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,3.8,3.8,800,800,0.0,No,0.0,Internal,Internal Restructuring,6.5,6.5,Internal,Internal
83,Southwestern Energy Southwestern Energy,Southwestern Energy,Southwestern Energy,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,2.8,2.8,1000,1000,0.0,No,0.0,Internal,Internal Restructuring,4.5,4.5,Internal,Internal
84,Chesapeake Energy Chesapeake Energy,Chesapeake Energy,Chesapeake Energy,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,8.5,8.5,2000,2000,0.0,No,0.0,Internal,Internal Restructuring,12.0,12.0,Internal,Internal
85,EOG Resources EOG Resources,EOG Resources,EOG Resources,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,15.8,15.8,2800,2800,0.0,No,0.0,Internal,Internal Restructuring,65.0,65.0,Internal,Internal
86,Pioneer Natural Resources Pioneer Natural Resources,Pioneer Natural Resources,Pioneer Natural Resources,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,8.5,8.5,2200,2200,0.0,No,0.0,Internal,Internal Restructuring,45.0,45.0,Internal,Internal
87,Devon Energy Devon Energy,Devon Energy,Devon Energy,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,6.2,6.2,1800,1800,0.0,No,0.0,Internal,Internal Restructuring,25.0,25.0,Internal,Internal
88,Marathon Oil Marathon Oil,Marathon Oil,Marathon Oil,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,15.8,15.8,14000,14000,0.0,No,0.0,Internal,Internal Restructuring,35.0,35.0,Internal,Internal
89,Valero Energy Valero Energy,Valero Energy,Valero Energy,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,88.5,88.5,10000,10000,0.0,No,0.0,Internal,Internal Restructuring,45.0,45.0,Internal,Internal
90,Phillips 66 Phillips 66,Phillips 66,Phillips 66,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,75.2,75.2,14000,14000,0.0,No,0.0,Internal,Internal Restructuring,35.0,35.0,Internal,Internal
91,Hess Corporation Hess Corporation,Hess Corporation,Hess Corporation,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,8.5,8.5,2000,2000,0.0,No,0.0,Internal,Internal Restructuring,25.0,25.0,Internal,Internal
92,Apache Corporation Apache Corporation,Apache Corporation,Apache Corporation,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,6.8,6.8,2500,2500,0.0,No,0.0,Internal,Internal Restructuring,15.0,15.0,Internal,Internal
93,Occidental Petroleum Occidental Petroleum,Occidental Petroleum,Occidental Petroleum,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,18.5,18.5,11000,11000,0.0,No,0.0,Internal,Internal Restructuring,45.0,45.0,Internal,Internal
94,Diamondback Energy Diamondback Energy,Diamondback Energy,Diamondback Energy,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,2.8,2.8,800,800,0.0,No,0.0,Internal,Internal Restructuring,15.0,15.0,Internal,Internal
95,Cimarex Energy Cimarex Energy,Cimarex Energy,Cimarex Energy,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,2.1,2.1,600,600,0.0,No,0.0,Internal,Internal Restructuring,12.0,12.0,Internal,Internal
96,Antero Resources Antero Resources,Antero Resources,Antero Resources,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,4.2,4.2,800,800,0.0,No,0.0,Internal,Internal Restructuring,8.5,8.5,Internal,Internal
97,Range Resources Range Resources,Range Resources,Range Resources,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,3.8,3.8,800,800,0.0,No,0.0,Internal,Internal Restructuring,6.5,6.5,Internal,Internal
98,Southwestern Energy Southwestern Energy,Southwestern Energy,Southwestern Energy,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,2.8,2.8,1000,1000,0.0,No,0.0,Internal,Internal Restructuring,4.5,4.5,Internal,Internal
99,Chesapeake Energy Chesapeake Energy,Chesapeake Energy,Chesapeake Energy,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,8.5,8.5,2000,2000,0.0,No,0.0,Internal,Internal Restructuring,12.0,12.0,Internal,Internal
100,EOG Resources EOG Resources,EOG Resources,EOG Resources,0.0,Internal,Energy,2020-01-01,2020-01-01,Completed,United States,United States,15.8,15.8,2800,2800,0.0,No,0.0,Internal,Internal Restructuring,65.0,65.0,Internal,Internal
