# Employment & Wage Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Unemployment_Rate_Percent,Employment_Rate_Percent,Average_Wage_USD_Month,Minimum_Wage_USD_Month,Median_Wage_USD_Month,Agriculture_Employment_Percent,Industry_Employment_Percent,Services_Employment_Percent,Public_Sector_Employment_Percent,Private_Sector_Employment_Percent,Self_Employed_Percent,Part_Time_Employment_Percent,Full_Time_Employment_Percent,Youth_Unemployment_Percent,Female_Employment_Rate_Percent,Male_Employment_Rate_Percent,Wage_Growth_Rate_Percent,Productivity_Growth_Percent,Labor_Force_Participation_Rate_Percent,Working_Hours_Per_Week,Vacation_Days_Per_Year,Union_Membership_Percent
13,United Kingdom,Western Europe,4.2,75.5,2800,1800,2600,1.5,18.2,80.3,18.5,81.5,15.8,22.8,77.2,10.8,72.2,78.8,2.5,1.2,76.2,37,28,23.5
14,Canada,North America,5.8,74.8,3200,2100,3000,2.2,20.8,77.0,18.2,81.8,12.5,19.5,80.5,11.2,71.5,78.2,2.8,1.5,75.5,35,15,28.8
15,Australia,Oceania,3.8,76.2,3500,2300,3200,2.5,18.5,79.0,15.8,84.2,10.8,25.8,74.2,8.5,72.8,79.5,3.2,1.8,77.8,38,20,15.2
16,New Zealand,Oceania,3.5,78.5,2800,1800,2600,5.8,18.2,76.0,15.2,84.8,12.8,22.5,77.5,8.8,75.2,81.8,2.5,1.5,76.8,40,20,18.5
27,United States,North America,3.7,75.8,4200,1500,3800,1.8,18.5,79.7,15.2,84.8,10.5,18.2,81.8,7.8,72.5,79.2,3.5,2.0,76.5,40,10,10.8
18,Israel,Middle East,3.2,68.5,3200,2000,3000,1.5,22.8,75.7,25.8,74.2,15.8,18.5,81.5,6.8,65.2,71.8,2.8,1.8,70.2,42,22,25.5
19,South Korea,East Asia,2.8,68.2,2800,1800,2600,4.8,25.2,70.0,8.5,91.5,18.5,15.8,84.2,5.2,58.5,77.8,2.2,1.5,65.8,45,15,12.8
20,Japan,East Asia,2.5,78.8,4200,2800,3800,3.2,22.5,74.3,8.5,91.5,12.8,28.5,71.5,4.2,68.5,88.2,1.8,1.2,62.8,40,20,18.5
21,Singapore,Southeast Asia,2.1,75.5,3800,2500,3500,0.2,18.8,81.0,5.8,94.2,8.5,12.5,87.5,4.5,72.2,78.8,2.5,2.2,68.5,44,14,15.8
22,Taiwan,East Asia,3.5,72.8,2500,1600,2300,4.5,28.5,67.0,12.5,87.5,15.2,18.8,81.2,8.2,68.5,77.2,2.0,1.8,70.5,42,19,8.5
23,Czech Republic,Eastern Europe,2.8,75.2,1800,1200,1600,2.8,35.8,61.4,15.8,84.2,8.5,8.5,91.5,5.8,68.8,81.5,3.5,2.5,72.8,40,25,12.5
24,Slovenia,Eastern Europe,4.2,72.5,1600,1100,1500,3.5,28.5,68.0,18.5,81.5,10.2,12.8,87.2,8.5,68.2,76.8,2.8,2.0,70.8,38,22,25.8
25,Slovakia,Eastern Europe,5.8,68.8,1400,950,1300,3.2,32.8,64.0,20.2,79.8,12.5,10.5,89.5,12.8,62.5,75.2,3.2,2.5,68.2,40,20,15.2
26,Estonia,Eastern Europe,6.2,75.5,1200,800,1100,2.5,25.8,71.7,15.5,84.5,15.8,15.2,84.8,10.5,72.8,78.2,4.2,3.0,74.8,40,28,8.8
27,Poland,Eastern Europe,5.5,72.8,1000,700,950,8.5,28.5,63.0,18.8,81.2,15.2,12.5,87.5,8.8,68.5,77.2,4.5,3.2,70.5,40,26,12.8
28,Hungary,Eastern Europe,4.2,75.2,950,650,900,4.8,30.2,65.0,22.5,77.5,18.5,8.8,91.2,7.5,70.8,79.5,5.2,3.8,72.2,40,20,8.5
29,Lithuania,Eastern Europe,6.8,72.2,850,600,800,6.5,25.8,67.7,18.2,81.8,20.5,12.2,87.8,12.2,68.5,75.8,5.8,4.2,71.5,40,20,6.8
30,Latvia,Eastern Europe,7.2,70.8,800,550,750,5.8,22.5,71.7,15.8,84.2,22.8,15.5,84.5,14.5,65.8,75.8,6.2,4.5,69.8,40,20,5.2
31,Portugal,Western Europe,6.8,72.5,1200,800,1100,5.2,22.8,72.0,18.5,81.5,15.8,18.5,81.5,18.2,68.8,76.2,2.8,2.0,70.5,40,22,15.8
32,Spain,Western Europe,12.8,65.2,1800,1200,1600,4.2,18.5,77.3,15.8,84.2,18.5,15.8,84.2,28.5,58.5,71.8,2.5,1.8,68.2,38,22,15.2
33,Italy,Western Europe,8.2,68.8,1600,1100,1500,3.8,20.5,75.7,15.2,84.8,22.5,18.2,81.8,22.8,62.5,75.2,1.8,1.2,66.8,38,20,35.8
34,Greece,Western Europe,12.5,62.5,1200,800,1100,8.5,15.8,75.7,25.8,74.2,35.5,22.5,77.5,35.2,55.8,69.2,1.5,1.0,62.2,40,20,25.8
35,Russia,Eastern Europe,3.2,75.8,650,450,600,6.8,28.5,64.7,22.5,77.5,12.8,8.5,91.5,8.5,72.5,79.2,5.8,4.2,72.8,40,28,30.8
36,Belarus,Eastern Europe,4.5,72.2,550,380,500,8.5,25.8,65.7,28.5,71.5,15.2,10.2,89.8,12.5,68.8,75.5,6.2,4.8,70.5,40,24,45.8
37,Ukraine,Eastern Europe,8.5,68.5,400,280,380,12.5,22.8,64.7,18.5,81.5,25.8,15.5,84.5,18.8,62.5,74.5,8.5,6.8,65.8,40,20,15.2
38,Moldova,Eastern Europe,5.8,65.8,350,250,320,25.8,18.5,55.7,15.2,84.8,35.5,18.2,81.8,15.8,58.5,72.8,8.8,6.5,62.5,40,20,8.5
39,Georgia,Eastern Europe,11.8,62.2,300,200,280,35.5,15.8,48.7,12.5,87.5,45.8,22.5,77.5,25.2,55.2,68.8,12.5,8.8,58.8,40,15,5.8
40,Armenia,Eastern Europe,15.2,58.8,280,180,250,28.5,18.2,53.3,15.8,84.2,38.5,25.8,74.2,28.5,52.5,65.2,15.8,10.5,55.2,42,20,8.2
41,Azerbaijan,Eastern Europe,5.8,68.5,320,220,300,22.8,25.8,51.4,18.5,81.5,28.5,12.5,87.5,12.8,62.8,74.2,8.5,6.2,65.8,40,22,12.5
42,Kazakhstan,Central Asia,4.8,72.5,450,300,420,18.5,28.5,53.0,22.5,77.5,20.8,8.8,91.2,8.2,68.5,76.5,6.8,5.2,70.8,40,24,15.8
43,Uzbekistan,Central Asia,9.5,65.2,180,120,160,25.8,22.5,51.7,18.8,81.2,35.8,15.2,84.8,18.5,58.5,71.8,8.2,6.5,62.8,40,20,8.5
44,Turkmenistan,Central Asia,3.8,68.8,220,150,200,35.5,18.5,46.0,25.8,74.2,28.5,10.5,89.5,8.8,62.5,75.2,5.5,4.2,65.5,40,20,5.2
45,Tajikistan,Central Asia,12.5,58.5,120,80,110,45.8,15.2,39.0,12.5,87.5,42.8,18.5,81.5,22.8,48.5,68.2,12.8,8.5,55.2,42,15,3.8
46,Kyrgyzstan,Central Asia,8.8,62.8,150,100,140,35.5,18.5,46.0,15.8,84.2,38.5,15.8,84.2,18.2,55.8,69.8,10.5,7.8,58.5,40,18,5.8
47,Afghanistan,South Asia,40.0,25.8,80,50,70,65.8,12.5,21.7,8.5,91.5,55.8,25.8,74.2,45.2,15.8,35.8,0.0,0.0,35.2,48,5,2.5
48,Pakistan,South Asia,6.5,58.2,200,130,180,35.5,22.5,42.0,12.8,87.2,45.8,18.5,81.5,12.8,25.8,80.5,8.5,6.2,55.8,45,10,5.8
49,India,South Asia,7.8,52.8,180,120,160,42.5,25.8,31.7,8.5,91.5,52.8,22.5,77.5,18.5,22.5,82.8,6.8,5.2,48.5,48,12,8.5
50,Bangladesh,South Asia,4.2,62.5,150,100,140,38.5,28.5,33.0,8.8,91.2,48.5,15.8,84.2,8.8,35.8,88.2,7.5,5.8,58.2,48,10,3.8
51,Sri Lanka,South Asia,5.8,65.8,220,150,200,25.8,25.8,48.4,15.8,84.2,35.5,18.5,81.5,15.2,55.8,75.8,8.2,6.5,62.5,45,14,8.2
52,Nepal,South Asia,11.2,55.8,120,80,110,60.5,12.5,27.0,8.5,91.5,55.8,20.5,79.5,22.8,45.8,65.8,12.5,8.8,52.5,48,10,5.2
53,Bhutan,South Asia,2.8,72.5,180,120,160,55.8,15.2,29.0,18.5,81.5,25.8,12.5,87.5,8.5,65.8,79.2,8.5,6.2,68.5,40,15,8.8
54,Maldives,South Asia,5.5,68.8,450,300,420,8.5,15.8,75.7,25.8,74.2,15.8,18.5,81.5,12.5,62.5,75.2,6.8,5.2,65.8,40,20,12.5
55,Myanmar,Southeast Asia,3.8,68.5,180,120,160,45.8,18.5,35.7,12.5,87.5,42.8,15.8,84.2,8.5,62.5,74.5,8.5,6.8,65.2,45,12,8.5
56,Thailand,Southeast Asia,1.2,78.5,320,220,300,28.5,25.8,45.7,15.8,84.2,35.5,18.5,81.5,5.8,72.5,84.5,4.5,3.2,75.8,45,13,3.8
57,Laos,Southeast Asia,2.5,75.8,150,100,140,55.8,15.2,29.0,12.5,87.5,38.5,12.5,87.5,8.5,68.5,82.8,6.8,5.2,72.5,45,10,2.5
58,Cambodia,Southeast Asia,0.8,85.2,120,80,110,35.5,25.8,38.7,8.5,91.5,45.8,15.8,84.2,3.5,78.5,91.8,8.5,6.8,82.5,48,8,1.8
59,Vietnam,Southeast Asia,2.2,78.8,220,150,200,35.5,28.5,36.0,12.8,87.2,38.5,15.8,84.2,6.8,75.2,82.5,8.2,6.5,76.8,45,12,8.5
60,Malaysia,Southeast Asia,3.5,75.2,450,300,420,12.5,28.5,59.0,18.5,81.5,25.8,15.8,84.2,8.5,68.5,81.8,5.8,4.5,72.8,42,16,8.8
61,Indonesia,Southeast Asia,5.8,72.5,180,120,160,28.5,25.8,45.7,15.8,84.2,35.5,18.5,81.5,15.8,65.8,79.2,8.5,6.8,68.5,45,12,3.8
62,Philippines,Southeast Asia,4.5,68.8,200,130,180,25.8,22.5,51.7,12.5,87.5,38.5,22.5,77.5,12.8,58.5,78.8,6.8,5.2,65.2,45,15,8.5
63,Brunei,Southeast Asia,6.8,68.2,800,550,750,2.5,25.8,71.7,35.8,64.2,15.8,12.5,87.5,15.2,62.5,73.8,3.5,2.8,65.8,40,20,5.8
64,East Timor,Southeast Asia,4.2,65.8,150,100,140,65.8,8.5,25.7,15.8,84.2,45.8,18.5,81.5,12.5,58.5,72.8,8.5,6.8,62.5,45,10,2.8
65,Papua New Guinea,Oceania,2.8,68.5,180,120,160,75.8,8.5,15.7,12.5,87.5,55.8,15.8,84.2,8.5,62.5,74.5,6.8,5.2,65.8,45,10,3.5
66,Fiji,Oceania,4.5,65.2,250,180,230,15.8,18.5,65.7,22.5,77.5,25.8,18.5,81.5,12.8,58.5,71.8,5.8,4.5,62.8,40,20,8.5
67,Vanuatu,Oceania,5.2,62.8,200,140,180,45.8,8.5,45.7,15.8,84.2,35.5,20.5,79.5,15.8,55.8,69.8,6.5,5.2,58.5,42,15,5.8
68,Solomon Islands,Oceania,1.8,75.8,120,80,110,65.8,5.8,28.4,8.5,91.5,55.8,12.5,87.5,5.8,72.5,79.2,5.2,4.2,72.8,45,8,2.5
69,Samoa,Oceania,8.5,58.5,180,120,160,45.8,8.5,45.7,18.5,81.5,35.5,22.5,77.5,18.5,52.5,64.5,8.5,6.8,55.2,40,15,8.8
70,Tonga,Oceania,4.8,65.8,150,100,140,35.5,8.5,56.0,15.8,84.2,28.5,18.5,81.5,12.8,58.5,72.8,6.8,5.5,62.5,40,15,5.2
71,Kiribati,Oceania,6.2,62.5,120,80,110,25.8,5.8,68.4,22.5,77.5,25.8,20.5,79.5,15.8,55.8,69.2,5.8,4.5,58.8,40,12,3.8
72,Tuvalu,Oceania,2.5,75.5,150,100,140,15.8,5.8,78.4,25.8,74.2,15.8,15.8,84.2,8.5,68.5,82.5,4.5,3.5,72.8,40,15,2.5
73,Nauru,Oceania,23.0,45.8,800,550,750,5.8,8.5,85.7,35.8,64.2,8.5,25.8,74.2,35.2,38.5,52.8,2.5,2.0,42.5,35,20,5.8
74,Marshall Islands,Oceania,36.0,35.8,200,140,180,8.5,5.8,85.7,28.5,71.5,15.8,30.5,69.5,45.2,28.5,42.8,0.0,0.0,32.5,40,10,1.8
75,Palau,Oceania,2.8,72.5,450,300,420,2.5,8.5,89.0,25.8,74.2,8.5,15.8,84.2,8.5,68.5,76.5,3.5,2.8,68.8,40,15,5.8
76,Micronesia,Oceania,16.5,52.8,180,120,160,15.8,5.8,78.4,22.5,77.5,18.5,25.8,74.2,25.2,45.8,59.8,2.5,2.0,48.5,40,12,2.8
77,China,East Asia,5.2,68.5,650,450,600,25.8,28.5,45.7,15.8,84.2,25.8,12.5,87.5,12.8,62.5,74.5,8.5,6.8,65.8,45,10,8.5
78,Taiwan,East Asia,3.5,72.8,2500,1600,2300,4.5,28.5,67.0,12.5,87.5,15.2,18.8,81.2,8.2,68.5,77.2,2.0,1.8,70.5,42,19,8.5
79,Mongolia,East Asia,6.8,65.8,280,180,250,25.8,22.5,51.7,18.5,81.5,28.5,15.8,84.2,15.8,58.5,72.8,8.5,6.8,62.5,45,15,8.8
80,North Korea,East Asia,25.8,45.8,80,50,70,35.5,25.8,38.7,15.8,84.2,45.8,25.8,74.2,35.2,38.5,52.8,0.0,0.0,42.5,48,5,0.0
81,Turkey,Middle East,10.2,58.5,450,300,420,18.5,25.8,55.7,15.8,84.2,35.5,18.5,81.5,22.8,45.8,70.8,15.8,12.5,55.2,45,14,12.5
82,Iran,Middle East,9.5,58.8,280,180,250,18.5,28.5,53.0,25.8,74.2,25.8,15.8,84.2,25.2,42.5,74.8,18.5,15.2,52.5,45,20,8.5
83,Iraq,Middle East,15.8,45.8,350,250,320,15.8,25.8,58.4,35.8,64.2,28.5,20.5,79.5,32.5,32.5,58.8,12.5,10.5,42.5,45,20,15.8
84,Syria,Middle East,25.8,35.8,120,80,110,25.8,18.5,55.7,22.5,77.5,35.5,25.8,74.2,45.2,25.8,45.8,0.0,0.0,32.5,45,10,8.5
85,Lebanon,Middle East,35.8,25.8,200,130,180,8.5,15.8,75.7,18.5,81.5,45.8,30.5,69.5,55.2,18.5,32.8,0.0,0.0,28.5,40,15,12.5
86,Jordan,Middle East,22.8,42.5,350,250,320,5.8,18.5,75.7,25.8,74.2,35.5,22.5,77.5,45.2,28.5,55.8,8.5,6.8,38.5,45,20,15.8
87,Saudi Arabia,Middle East,5.8,68.5,1200,800,1100,2.5,25.8,71.7,35.8,64.2,15.8,8.5,91.5,15.8,45.8,90.8,5.8,4.5,62.5,45,21,8.5
88,Kuwait,Middle East,2.8,75.8,1500,1000,1400,1.5,18.5,80.0,45.8,54.2,8.5,5.8,94.2,8.5,65.8,85.2,4.5,3.5,68.8,40,25,5.8
89,Qatar,Middle East,0.2,85.8,2500,1800,2300,0.5,15.8,83.7,55.8,44.2,5.8,3.5,96.5,2.5,75.2,95.8,3.5,2.8,78.5,40,30,2.5
90,Bahrain,Middle East,1.8,78.5,1200,800,1100,1.2,18.5,80.3,35.8,64.2,8.5,5.8,94.2,5.8,68.5,88.2,4.2,3.2,72.8,40,25,5.8
91,Oman,Middle East,3.2,72.5,800,550,750,5.8,25.8,68.4,28.5,71.5,12.5,8.5,91.5,8.8,62.5,82.2,5.5,4.2,68.5,45,22,8.5
92,Yemen,Middle East,35.8,25.8,80,50,70,35.5,15.8,48.7,15.8,84.2,45.8,30.5,69.5,55.2,18.5,32.8,0.0,0.0,28.5,45,5,5.8
93,Egypt,North Africa,7.2,65.8,180,120,160,25.8,22.5,51.7,25.8,74.2,35.5,18.5,81.5,25.2,45.8,85.2,12.5,10.5,58.5,45,21,8.5
94,Libya,North Africa,15.8,45.8,350,250,320,8.5,25.8,65.7,35.8,64.2,25.8,20.5,79.5,32.5,32.5,58.8,8.5,6.8,42.5,45,20,12.5
95,Tunisia,North Africa,16.8,42.5,280,180,250,15.8,22.5,61.7,25.8,74.2,35.5,22.5,77.5,35.2,28.5,55.8,10.5,8.5,38.5,45,20,15.8
96,Algeria,North Africa,12.5,52.5,320,220,300,12.5,25.8,61.7,35.8,64.2,28.5,18.5,81.5,28.5,35.8,68.8,8.5,6.8,48.5,45,20,12.5
97,Morocco,North Africa,10.8,58.5,250,180,230,35.5,20.8,43.7,18.5,81.5,38.5,20.5,79.5,22.8,42.5,74.2,8.5,6.8,55.2,45,18,8.5
98,Sudan,North Africa,25.8,35.8,120,80,110,65.8,8.5,25.7,15.8,84.2,45.8,25.8,74.2,45.2,25.8,45.8,0.0,0.0,32.5,45,10,5.8
99,South Africa,Sub-Saharan Africa,32.9,45.8,450,300,420,5.8,22.5,71.7,18.5,81.5,25.8,18.5,81.5,58.2,38.5,52.8,8.5,6.8,42.5,45,21,25.8
100,Botswana,Sub-Saharan Africa,23.8,52.5,350,250,320,25.8,15.8,58.4,22.5,77.5,35.5,20.5,79.5,45.2,42.5,62.2,6.8,5.5,48.5,45,20,15.8
