# Inflation Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Inflation_Rate_2023_Percent,Inflation_Rate_2022_Percent,Inflation_Rate_2021_Percent,Inflation_Rate_2020_Percent,Inflation_Rate_2019_Percent,Average_Inflation_5_Years_Percent,Core_Inflation_2023_Percent,Food_Inflation_2023_Percent,Energy_Inflation_2023_Percent,Housing_Inflation_2023_Percent,Transportation_Inflation_2023_Percent,Healthcare_Inflation_2023_Percent,Education_Inflation_2023_Percent,Entertainment_Inflation_2023_Percent,Clothing_Inflation_2023_Percent,Central_Bank_Target_Percent,Interest_Rate_2023_Percent,GDP_Growth_2023_Percent,Unemployment_Rate_2023_Percent,Currency_Depreciation_2023_Percent
29,Ethiopia,Sub-Saharan Africa,28.2,33.9,26.8,20.4,15.8,25.0,25.5,38.5,18.5,28.5,32.0,35.5,28.5,26.8,25.2,5.0,7.00,6.1,5.2,25.5
30,Tanzania,Sub-Saharan Africa,4.8,4.4,3.7,3.3,3.4,3.9,4.2,6.8,2.8,4.5,5.0,5.5,4.5,4.2,3.8,5.0,6.00,5.2,2.8,4.2
31,Kenya,Sub-Saharan Africa,7.7,7.7,6.1,5.3,5.2,6.4,6.8,12.5,4.2,7.0,8.0,9.5,7.0,6.5,6.2,5.0,13.00,5.0,5.2,6.8
32,Uganda,Sub-Saharan Africa,5.2,7.2,2.2,2.8,2.8,4.0,4.5,8.5,2.8,4.8,5.5,6.5,4.8,4.5,4.2,5.0,10.00,5.2,2.8,4.5
33,South Africa,Sub-Saharan Africa,6.0,6.9,4.6,3.3,4.1,5.0,5.5,8.5,3.8,5.8,6.2,6.8,5.8,5.5,5.2,4.5,8.25,0.1,32.9,5.5
34,Botswana,Sub-Saharan Africa,4.8,12.2,2.6,1.9,2.8,4.9,4.2,7.5,2.8,4.5,5.0,5.5,4.5,4.2,3.8,3.0,2.65,3.2,23.8,4.2
35,Namibia,Sub-Saharan Africa,6.0,6.1,3.6,2.2,3.2,4.2,5.5,8.8,3.5,5.8,6.2,6.8,5.8,5.5,5.2,3.0,7.25,3.2,18.9,5.5
36,Zambia,Sub-Saharan Africa,13.4,10.7,22.0,15.7,9.2,14.2,12.5,18.5,8.5,12.8,15.0,18.5,12.8,11.5,10.2,5.0,9.50,4.7,12.9,12.5
37,Malawi,Sub-Saharan Africa,25.2,20.9,9.2,8.6,9.4,14.7,22.8,35.5,15.2,25.2,28.0,32.5,25.2,23.5,22.8,5.0,24.00,1.6,5.2,22.8
38,Mozambique,Sub-Saharan Africa,5.2,10.3,5.7,3.2,2.8,5.4,4.5,8.5,2.8,4.8,5.5,6.5,4.8,4.5,4.2,5.0,17.25,4.0,3.8,4.5
39,Madagascar,Sub-Saharan Africa,8.5,8.2,5.8,4.2,5.8,6.5,7.5,12.8,4.8,7.8,8.5,9.5,7.8,7.2,6.8,5.0,11.00,3.8,1.8,7.5
40,Argentina,South America,160.9,94.8,50.9,42.0,53.5,80.4,125.8,185.5,95.2,145.8,155.0,165.5,145.8,135.2,125.8,5.0,118.00,-1.6,6.8,125.8
41,Venezuela,South America,189.8,234.0,686.4,2360.2,19181.0,4560.3,158.5,225.8,125.8,175.5,185.0,195.5,175.5,165.2,158.5,5.0,0.00,-5.0,7.2,158.5
42,Turkey,Middle East,53.8,72.3,19.6,14.0,11.8,34.3,45.2,65.8,38.5,48.5,52.0,55.5,48.5,45.8,42.2,5.0,45.00,4.5,10.2,45.8
43,Brazil,South America,4.6,11.9,10.1,3.2,3.7,6.7,4.2,6.8,2.8,4.5,5.0,5.5,4.5,4.2,3.8,3.5,13.75,2.9,8.0,4.2
44,Colombia,South America,11.8,11.8,3.5,2.5,3.5,6.6,10.5,15.8,8.5,11.2,12.5,14.5,11.2,10.5,9.8,3.0,13.25,1.1,10.8,10.5
45,Peru,South America,5.0,8.6,4.0,1.8,2.9,4.5,4.5,7.8,3.2,4.8,5.2,5.8,4.8,4.5,4.2,2.0,7.25,0.7,6.8,4.5
46,Ecuador,South America,2.7,3.5,0.1,0.3,0.3,1.4,2.5,4.5,1.8,2.8,3.0,3.5,2.8,2.5,2.2,2.0,0.00,1.4,3.5,2.5
47,Bolivia,South America,3.1,1.7,0.7,0.7,1.5,1.5,2.8,4.8,2.0,2.8,3.2,3.5,2.8,2.5,2.2,3.0,3.00,2.2,3.2,2.8
48,Paraguay,South America,4.9,9.8,4.2,2.0,2.8,4.7,4.5,7.5,3.2,4.5,5.0,5.5,4.5,4.2,3.8,4.0,6.00,4.5,5.8,4.5
49,Uruguay,South America,5.2,8.1,7.8,9.8,7.9,7.8,4.8,7.5,3.5,4.8,5.5,6.0,4.8,4.5,4.2,3.0,9.25,0.4,7.8,4.8
50,Chile,South America,4.1,11.6,4.5,3.0,2.6,5.2,3.8,6.2,2.5,3.8,4.2,4.5,3.8,3.5,3.2,3.0,11.25,0.2,8.5,3.8
51,Mexico,North America,4.7,7.9,5.7,3.4,2.8,4.9,4.2,6.8,3.2,4.5,5.0,5.5,4.5,4.2,3.8,3.0,11.25,3.2,2.8,4.2
52,Canada,North America,3.9,6.8,3.4,0.7,1.9,3.3,3.5,5.8,2.8,3.8,4.0,4.2,3.8,3.5,3.2,2.0,5.00,1.5,5.4,3.5
53,United States,North America,3.2,8.0,4.7,1.2,2.3,3.9,3.8,5.2,2.5,3.5,3.8,4.0,3.5,3.2,2.8,2.0,5.25,2.5,3.7,3.8
54,United Kingdom,Western Europe,6.7,9.1,2.6,0.9,1.8,4.2,6.2,8.5,4.8,6.5,7.0,7.5,6.5,6.2,5.8,2.0,5.25,0.1,4.2,6.2
55,Germany,Western Europe,3.7,6.9,3.1,0.4,1.4,3.1,3.5,5.8,2.8,3.8,4.0,4.2,3.8,3.5,3.2,2.0,4.50,0.0,3.0,3.5
56,France,Western Europe,4.9,5.2,2.1,0.5,1.3,2.8,4.5,7.2,3.5,4.8,5.0,5.2,4.8,4.5,4.2,2.0,4.50,0.7,7.4,4.5
57,Italy,Western Europe,5.9,8.7,1.9,-0.1,0.6,3.4,5.5,8.8,4.2,5.8,6.0,6.2,5.8,5.5,5.2,2.0,4.50,0.7,7.8,5.5
58,Spain,Western Europe,3.5,8.4,3.1,-0.3,0.7,3.1,3.2,5.5,2.2,3.5,3.8,4.0,3.5,3.2,2.8,2.0,4.50,2.5,12.8,3.2
59,Netherlands,Western Europe,4.2,11.6,2.8,1.1,2.7,4.5,3.8,6.2,2.8,4.0,4.2,4.5,4.0,3.8,3.5,2.0,4.25,0.1,3.5,3.8
60,Belgium,Western Europe,2.3,10.3,3.2,0.4,1.2,3.5,2.0,3.8,1.5,2.2,2.5,2.8,2.2,2.0,1.8,2.0,4.25,1.4,5.5,2.0
61,Austria,Western Europe,4.2,8.6,2.8,1.4,1.5,3.7,3.8,6.2,2.8,4.0,4.2,4.5,4.0,3.8,3.5,2.0,4.25,0.8,4.8,3.8
62,Sweden,Northern Europe,8.4,5.4,2.4,0.5,1.8,3.7,7.8,10.5,6.2,8.0,8.5,9.0,8.0,7.5,7.2,2.0,4.00,0.7,7.5,7.8
63,Norway,Northern Europe,5.5,5.8,3.5,1.3,2.2,3.7,5.2,7.8,3.8,5.5,6.0,6.5,5.5,5.2,4.8,2.0,4.25,0.8,3.8,5.2
64,Denmark,Northern Europe,3.4,7.7,1.9,0.3,0.8,2.8,3.0,5.2,2.2,3.2,3.5,3.8,3.2,3.0,2.8,2.0,3.60,1.7,4.8,3.0
65,Finland,Northern Europe,4.3,7.1,2.1,0.4,1.1,3.0,3.8,6.2,2.8,4.0,4.2,4.5,4.0,3.8,3.5,2.0,4.25,0.2,7.0,3.8
66,Iceland,Northern Europe,8.6,8.3,4.3,2.8,3.0,5.4,7.8,10.5,6.2,8.0,8.5,9.0,8.0,7.5,7.2,2.5,9.25,4.6,3.1,7.8
67,Poland,Eastern Europe,11.4,14.4,5.1,3.4,2.3,7.3,10.5,15.8,8.5,10.8,12.0,13.5,10.8,10.2,9.8,2.5,5.75,0.2,5.2,10.5
68,Czech Republic,Eastern Europe,10.7,15.1,3.8,3.2,2.8,7.1,9.8,15.2,7.5,9.5,11.0,12.5,9.5,9.2,8.8,2.0,7.00,0.4,2.8,9.8
69,Hungary,Eastern Europe,17.6,14.5,5.1,3.3,3.4,8.8,15.8,22.5,12.5,15.2,18.0,20.5,15.2,14.5,13.8,3.0,13.00,0.9,4.2,15.8
70,Romania,Eastern Europe,9.4,13.8,5.0,2.6,4.1,7.0,8.5,12.8,6.5,8.8,9.5,10.5,8.8,8.2,7.8,2.5,7.00,2.1,5.8,8.5
71,Bulgaria,Eastern Europe,6.0,15.3,2.6,1.2,3.1,5.6,5.5,8.8,4.2,5.8,6.0,6.5,5.8,5.5,5.2,2.0,3.60,1.8,4.2,5.5
72,Croatia,Eastern Europe,8.1,10.8,2.6,0.2,0.8,4.5,7.5,11.2,5.8,7.8,8.0,8.5,7.8,7.5,7.2,3.0,3.00,2.5,6.5,7.5
73,Slovenia,Eastern Europe,7.3,8.8,1.9,0.0,1.6,4.0,6.8,10.5,5.2,7.0,7.5,8.0,7.0,6.5,6.2,2.0,3.75,1.6,3.9,6.8
74,Slovakia,Eastern Europe,10.9,12.1,3.2,2.0,1.9,6.1,10.2,15.8,8.5,10.5,11.5,12.5,10.5,10.0,9.5,2.0,4.50,1.7,6.1,10.2
75,Estonia,Eastern Europe,9.2,19.4,4.5,0.0,0.2,6.6,8.5,12.8,6.5,8.8,9.0,9.5,8.8,8.5,8.2,2.0,4.50,2.0,6.2,8.5
76,Latvia,Eastern Europe,8.5,17.3,3.2,0.2,0.5,5.9,7.8,11.5,6.0,8.0,8.5,9.0,8.0,7.5,7.2,2.0,4.50,2.8,6.8,7.8
77,Lithuania,Eastern Europe,8.1,18.9,2.2,1.1,0.2,6.1,7.5,11.2,5.8,7.8,8.0,8.5,7.8,7.5,7.2,2.0,4.50,2.9,7.0,7.5
78,Russia,Eastern Europe,5.9,13.8,6.7,3.4,4.5,6.9,5.5,8.8,4.2,5.8,6.0,6.5,5.8,5.5,5.2,4.0,16.00,2.2,3.0,5.5
79,Belarus,Eastern Europe,6.8,15.2,9.5,5.6,5.5,8.5,6.2,9.5,4.8,6.5,7.0,7.5,6.5,6.2,5.8,5.0,9.25,1.7,3.0,6.2
80,Ukraine,Eastern Europe,5.2,20.2,9.4,2.7,7.9,9.1,4.8,7.5,3.5,5.0,5.5,6.0,5.0,4.8,4.5,5.0,20.00,5.0,5.0,4.8
81,Moldova,Eastern Europe,14.2,28.7,5.1,4.4,4.6,11.4,12.8,18.5,9.5,12.5,14.0,15.5,12.5,11.8,11.2,5.0,15.50,2.0,4.8,12.8
82,Georgia,Eastern Europe,2.4,11.9,6.2,5.2,4.8,6.1,2.0,3.5,1.5,2.2,2.5,2.8,2.2,2.0,1.8,3.0,10.00,7.0,11.5,2.0
83,Armenia,Eastern Europe,0.9,8.6,7.2,1.2,2.5,4.1,0.5,1.5,0.2,0.8,1.0,1.2,0.8,0.5,0.2,4.0,10.75,7.5,12.6,0.5
84,Azerbaijan,Eastern Europe,12.0,13.9,6.7,2.8,2.5,7.6,10.5,15.8,8.5,10.8,12.0,13.5,10.8,10.2,9.8,4.0,9.00,1.1,5.7,10.5
85,Kazakhstan,Central Asia,14.5,20.3,8.0,6.8,5.2,10.9,12.8,18.5,9.5,12.5,14.0,15.5,12.5,11.8,11.2,4.0,16.75,5.1,4.9,12.8
86,Uzbekistan,Central Asia,12.3,11.8,10.8,12.1,14.5,12.3,10.5,15.8,7.5,10.8,12.0,13.5,10.8,10.2,9.8,5.0,14.00,6.0,8.0,10.5
87,Turkmenistan,Central Asia,8.5,15.5,5.2,3.8,3.2,7.2,7.5,11.2,5.8,7.8,8.0,8.5,7.8,7.5,7.2,5.0,5.00,6.2,4.0,7.5
88,Tajikistan,Central Asia,3.8,8.0,8.0,8.8,7.2,7.2,3.2,5.5,2.2,3.5,3.8,4.0,3.5,3.2,2.8,5.0,8.00,8.3,2.0,3.2
89,Kyrgyzstan,Central Asia,7.3,14.0,11.3,6.8,1.1,8.1,6.5,9.8,4.5,6.8,7.0,7.5,6.8,6.5,6.2,5.0,13.00,6.2,4.2,6.5
90,Mongolia,East Asia,8.5,15.2,7.2,3.1,2.8,7.4,7.5,11.2,5.8,7.8,8.0,8.5,7.8,7.5,7.2,5.0,13.00,5.0,5.0,7.5
91,North Korea,East Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,-0.1,25.8,0.0
92,Australia,Oceania,4.1,6.6,2.9,0.9,1.6,3.2,3.8,6.2,2.8,4.0,4.2,4.5,4.0,3.8,3.5,2.5,4.35,1.5,3.7,3.8
93,New Zealand,Oceania,4.7,7.2,3.9,1.4,1.6,3.8,4.2,6.8,3.2,4.5,4.8,5.0,4.5,4.2,3.8,2.0,5.50,2.8,3.3,4.2
94,Fiji,Oceania,4.5,4.7,0.2,1.4,0.0,2.2,4.0,6.5,2.8,4.2,4.5,4.8,4.2,4.0,3.8,3.0,0.25,5.0,4.4,4.0
95,Papua New Guinea,Oceania,5.8,5.9,4.5,4.6,3.6,4.9,5.2,8.5,3.5,5.5,6.0,6.5,5.5,5.2,4.8,5.0,2.00,2.0,2.8,5.2
96,Vanuatu,Oceania,3.2,2.3,2.4,0.8,2.6,2.3,2.8,4.5,2.0,2.8,3.0,3.2,2.8,2.5,2.2,3.0,1.00,2.5,4.8,2.8
97,Samoa,Oceania,2.8,6.0,1.4,0.6,1.0,2.4,2.5,4.2,1.8,2.5,2.8,3.0,2.5,2.2,2.0,3.0,0.00,2.0,5.2,2.5
98,Tonga,Oceania,4.2,7.4,5.2,1.0,1.2,3.8,3.8,6.2,2.8,3.8,4.0,4.2,3.8,3.5,3.2,3.0,0.00,2.5,4.8,3.8
99,Kiribati,Oceania,2.5,4.2,1.8,0.8,0.5,2.0,2.2,3.8,1.5,2.2,2.5,2.8,2.2,2.0,1.8,3.0,0.00,1.8,30.6,2.2
100,Tuvalu,Oceania,3.8,6.5,2.2,0.5,0.8,2.8,3.5,5.8,2.5,3.5,3.8,4.0,3.5,3.2,2.8,3.0,0.00,2.2,4.0,3.5
