# Venture Capital Deals Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Company_Name,Industry,Sector,Deal_Value_Millions_USD,Deal_Stage,Investor_Type,Lead_Investor,Country,Region,Founding_Year,Employees,Revenue_Millions_USD,Valuation_Millions_USD,Previous_Funding_Rounds,Total_Funding_Millions_USD,Deal_Date,Exit_Strategy,Market_Cap_Estimate_Millions_USD,Revenue_Growth_Rate_Percent,User_Base_Millions,Monthly_Active_Users_Millions,Annual_Recurring_Revenue_Millions_USD,Customer_Acquisition_Cost_USD,Lifetime_Value_USD,Churn_Rate_Percent
24,Binance,Cryptocurrency,Financial Services,500.0,Series Unknown,Private Equity,Sequoia Capital,Malta,Western Europe,2017,8000,20000.0,300000.0,5,10000.0,2023-04-01,IPO,500000.0,150.0,120.0,80.0,20000.0,5.0,50.0,1.0
25,Circle,Cryptocurrency,Financial Services,400.0,Series E,Private Equity,Goldman Sachs,United States,North America,2013,1000,1000.0,9000.0,6,1000.0,2023-05-01,IPO,15000.0,100.0,5.0,2.0,1000.0,30.0,600.0,2.0
26,Blockchain.com,Cryptocurrency,Financial Services,100.0,Series C,Private Equity,Lightspeed Venture Partners,United Kingdom,Western Europe,2011,2000,500.0,14000.0,4,1000.0,2023-06-01,IPO,25000.0,80.0,40.0,25.0,500.0,10.0,200.0,2.0
27,Chainalysis,Blockchain Analytics,Technology,100.0,Series E,Private Equity,Accel,United States,North America,2014,1000,200.0,8600.0,6,500.0,2023-02-01,IPO,15000.0,70.0,1.0,0.5,200.0,100.0,2000.0,1.0
28,ConsenSys,Blockchain,Technology,200.0,Series D,Private Equity,JPMorgan Chase,United States,North America,2014,1000,100.0,7000.0,5,500.0,2023-03-01,IPO,12000.0,50.0,2.0,1.0,100.0,150.0,3000.0,2.0
29,Alchemy,Blockchain Infrastructure,Technology,250.0,Series C,Private Equity,Andreessen Horowitz,United States,North America,2017,500,50.0,10200.0,4,300.0,2023-04-01,IPO,18000.0,200.0,0.5,0.2,50.0,200.0,5000.0,1.0
30,OpenSea,NFT Marketplace,Technology,300.0,Series C,Private Equity,Andreessen Horowitz,United States,North America,2017,200,100.0,13300.0,4,400.0,2023-05-01,IPO,20000.0,300.0,1.0,0.5,100.0,50.0,1000.0,5.0
31,Magic Leap,Augmented Reality,Technology,500.0,Series D,Corporate,Google,United States,North America,2010,1000,50.0,2000.0,6,3000.0,2023-06-01,IPO,5000.0,10.0,0.1,0.05,50.0,500.0,2000.0,10.0
32,Oculus,Virtual Reality,Technology,2000.0,Series B,Corporate,Facebook,United States,North America,2012,400,100.0,2000.0,2,100.0,2023-02-01,Acquired,2000.0,100.0,2.0,1.0,100.0,100.0,500.0,5.0
33,WeWork,Real Estate,Technology,1000.0,Series H,Private Equity,SoftBank,United States,North America,2010,15000,3000.0,47000.0,12,20000.0,2023-03-01,Bankruptcy,5000.0,5.0,0.0,0.0,3000.0,0.0,0.0,0.0
34,Slack,Communication,Technology,400.0,Series H,Private Equity,Accel,United States,North America,2009,2000,900.0,28000.0,8,1200.0,2023-04-01,Acquired,28000.0,30.0,12.0,8.0,900.0,20.0,300.0,2.0
35,Spotify,Music Streaming,Entertainment,200.0,Series G,Private Equity,Technology Crossover Ventures,Sweden,Northern Europe,2006,8000,12000.0,30000.0,10,2000.0,2023-05-01,IPO,30000.0,20.0,400.0,350.0,12000.0,5.0,50.0,1.0
36,Snapchat,Social Media,Technology,500.0,Series F,Private Equity,General Atlantic,United States,North America,2011,5000,4000.0,24000.0,6,2000.0,2023-06-01,IPO,24000.0,40.0,300.0,250.0,4000.0,8.0,80.0,3.0
37,Pinterest,Social Media,Technology,300.0,Series H,Private Equity,Andreessen Horowitz,United States,North America,2010,3000,2000.0,12000.0,8,1500.0,2023-02-01,IPO,12000.0,25.0,450.0,400.0,2000.0,3.0,60.0,2.0
38,Twitter,Social Media,Technology,1000.0,Series G,Private Equity,Union Square Ventures,United States,North America,2006,5000,5000.0,44000.0,10,2000.0,2023-03-01,Acquired,44000.0,15.0,400.0,300.0,5000.0,10.0,100.0,4.0
39,LinkedIn,Professional Network,Technology,200.0,Series H,Private Equity,Greylock Partners,United States,North America,2002,20000,10000.0,26000.0,8,1000.0,2023-04-01,Acquired,26000.0,10.0,800.0,600.0,10000.0,15.0,200.0,1.0
40,WhatsApp,Messaging,Technology,19000.0,Series B,Corporate,Facebook,United States,North America,2009,50,0.0,19000.0,2,100.0,2023-05-01,Acquired,19000.0,200.0,2000.0,1800.0,0.0,0.0,0.0,0.0
41,Instagram,Social Media,Technology,1000.0,Series B,Corporate,Facebook,United States,North America,2010,13,0.0,1000.0,2,50.0,2023-06-01,Acquired,1000.0,300.0,1000.0,800.0,0.0,0.0,0.0,0.0
42,YouTube,Video Platform,Technology,1650.0,Series A,Corporate,Google,United States,North America,2005,100,0.0,1650.0,1,100.0,2023-02-01,Acquired,1650.0,500.0,2000.0,1500.0,0.0,0.0,0.0,0.0
43,Skype,Communication,Technology,8500.0,Series Unknown,Corporate,eBay,United States,North America,2003,1000,0.0,8500.0,3,100.0,2023-03-01,Acquired,8500.0,100.0,600.0,500.0,0.0,0.0,0.0,0.0
44,PayPal,Fintech,Financial Services,1500.0,Series Unknown,Corporate,eBay,United States,North America,1998,30000,25000.0,100000.0,5,2000.0,2023-04-01,IPO,100000.0,20.0,400.0,300.0,25000.0,25.0,500.0,2.0
45,Square,Fintech,Financial Services,200.0,Series E,Private Equity,Kleiner Perkins,United States,North America,2009,8000,12000.0,100000.0,6,1000.0,2023-05-01,IPO,100000.0,30.0,50.0,40.0,12000.0,30.0,600.0,3.0
46,Shopify,E-commerce,Technology,200.0,Series F,Private Equity,FirstMark Capital,Canada,North America,2006,10000,5000.0,200000.0,8,1500.0,2023-06-01,IPO,200000.0,40.0,2.0,1.5,5000.0,100.0,2000.0,2.0
47,Twilio,Communication,Technology,150.0,Series F,Private Equity,Bessemer Venture Partners,United States,North America,2008,8000,3000.0,50000.0,7,1000.0,2023-02-01,IPO,50000.0,35.0,0.5,0.3,3000.0,200.0,4000.0,1.0
48,Atlassian,Software,Technology,100.0,Series Unknown,Private Equity,Accel,Australia,Oceania,2002,8000,3000.0,100000.0,3,500.0,2023-03-01,IPO,100000.0,25.0,0.1,0.05,3000.0,500.0,10000.0,1.0
49,ServiceNow,Software,Technology,50.0,Series Unknown,Private Equity,Sequoia Capital,United States,North America,2004,20000,8000.0,150000.0,2,200.0,2023-04-01,IPO,150000.0,20.0,0.05,0.02,8000.0,1000.0,20000.0,0.5
50,Workday,Software,Technology,75.0,Series Unknown,Private Equity,Greylock Partners,United States,North America,2005,15000,5000.0,80000.0,3,300.0,2023-05-01,IPO,80000.0,15.0,0.1,0.05,5000.0,800.0,15000.0,1.0
51,Salesforce,Software,Technology,200.0,Series Unknown,Private Equity,Sequoia Capital,United States,North America,1999,80000,30000.0,300000.0,5,1000.0,2023-06-01,IPO,300000.0,10.0,0.2,0.1,30000.0,500.0,25000.0,0.5
52,HubSpot,Marketing,Technology,100.0,Series F,Private Equity,General Catalyst,United States,North America,2006,6000,1500.0,30000.0,6,800.0,2023-02-01,IPO,30000.0,30.0,0.1,0.05,1500.0,600.0,12000.0,1.0
53,Zoom,Communication,Technology,100.0,Series F,Private Equity,Sequoia Capital,United States,North America,2011,8000,4000.0,16000.0,5,500.0,2023-03-01,IPO,16000.0,50.0,0.3,0.2,4000.0,200.0,8000.0,2.0
54,Dropbox,Cloud Storage,Technology,50.0,Series F,Private Equity,Sequoia Capital,United States,North America,2007,3000,2000.0,10000.0,6,600.0,2023-04-01,IPO,10000.0,15.0,0.6,0.4,2000.0,100.0,5000.0,3.0
55,Box,Cloud Storage,Technology,25.0,Series F,Private Equity,Andreessen Horowitz,United States,North America,2005,2000,800.0,2000.0,8,400.0,2023-05-01,IPO,2000.0,10.0,0.1,0.05,800.0,150.0,3000.0,4.0
56,DocuSign,Digital Signature,Technology,30.0,Series F,Private Equity,Kleiner Perkins,United States,North America,2003,8000,2000.0,50000.0,7,500.0,2023-06-01,IPO,50000.0,25.0,0.1,0.05,2000.0,300.0,6000.0,2.0
57,Okta,Identity Management,Technology,40.0,Series F,Private Equity,Andreessen Horowitz,United States,North America,2009,6000,1200.0,30000.0,6,400.0,2023-02-01,IPO,30000.0,35.0,0.05,0.02,1200.0,400.0,8000.0,1.5
58,CrowdStrike,Cybersecurity,Technology,60.0,Series F,Private Equity,Accel,United States,North America,2011,8000,2000.0,80000.0,7,800.0,2023-03-01,IPO,80000.0,40.0,0.1,0.05,2000.0,500.0,10000.0,1.0
59,Zscaler,Cybersecurity,Technology,35.0,Series F,Private Equity,TCP Capital,United States,North America,2007,5000,1000.0,25000.0,6,300.0,2023-04-01,IPO,25000.0,30.0,0.05,0.02,1000.0,600.0,12000.0,1.5
60,Cloudflare,Web Security,Technology,45.0,Series F,Private Equity,Union Square Ventures,United States,North America,2009,4000,1000.0,40000.0,6,350.0,2023-05-01,IPO,40000.0,45.0,0.1,0.05,1000.0,200.0,4000.0,2.0
61,Databricks,Data Analytics,Technology,80.0,Series F,Private Equity,Andreessen Horowitz,United States,North America,2013,5000,1000.0,43000.0,6,600.0,2023-06-01,IPO,43000.0,60.0,0.05,0.02,1000.0,300.0,6000.0,1.0
62,Confluent,Data Streaming,Technology,50.0,Series F,Private Equity,Index Ventures,United States,North America,2014,3000,500.0,15000.0,5,400.0,2023-02-01,IPO,15000.0,50.0,0.02,0.01,500.0,400.0,8000.0,1.5
63,MongoDB,Database,Technology,40.0,Series F,Private Equity,Sequoia Capital,United States,North America,2007,5000,1000.0,30000.0,6,300.0,2023-03-01,IPO,30000.0,35.0,0.1,0.05,1000.0,250.0,5000.0,2.0
64,Elastic,Search Engine,Technology,30.0,Series F,Private Equity,Benchmark,United States,North America,2012,2000,600.0,8000.0,5,200.0,2023-04-01,IPO,8000.0,25.0,0.05,0.02,600.0,350.0,7000.0,2.5
65,New Relic,Application Monitoring,Technology,25.0,Series F,Private Equity,Benchmark,United States,North America,2008,3000,800.0,6000.0,6,250.0,2023-05-01,IPO,6000.0,20.0,0.1,0.05,800.0,300.0,6000.0,3.0
66,Splunk,Data Analytics,Technology,35.0,Series F,Private Equity,August Capital,United States,North America,2003,8000,3000.0,15000.0,7,400.0,2023-06-01,Acquired,15000.0,15.0,0.1,0.05,3000.0,200.0,4000.0,2.0
67,Tableau,Data Visualization,Technology,20.0,Series F,Private Equity,New Enterprise Associates,United States,North America,2003,5000,1200.0,10000.0,6,300.0,2023-02-01,Acquired,10000.0,18.0,0.1,0.05,1200.0,400.0,8000.0,2.5
68,Palantir,Data Analytics,Technology,1000.0,Series Unknown,Private Equity,Founders Fund,United States,North America,2003,3000,2000.0,20000.0,5,3000.0,2023-03-01,IPO,30000.0,30.0,5.0,2.0,2000.0,100.0,5000.0,3.0
69,DataRobot,AI Platform,Technology,60.0,Series F,Private Equity,New Enterprise Associates,United States,North America,2012,1000,100.0,6000.0,6,400.0,2023-04-01,IPO,6000.0,80.0,0.01,0.005,100.0,800.0,16000.0,2.0
70,H2O.ai,AI Platform,Technology,40.0,Series F,Private Equity,Nexus Venture Partners,United States,North America,2012,500,50.0,3000.0,5,250.0,2023-05-01,IPO,3000.0,70.0,0.005,0.002,50.0,1000.0,20000.0,2.5
71,Scale AI,AI Data,Technology,70.0,Series F,Private Equity,Accel,United States,North America,2016,2000,200.0,7300.0,5,600.0,2023-06-01,IPO,7300.0,90.0,0.01,0.005,200.0,600.0,12000.0,1.5
72,Anthropic,AI Safety,Technology,100.0,Series C,Private Equity,Andreessen Horowitz,United States,North America,2021,200,10.0,5000.0,3,800.0,2023-02-01,IPO,5000.0,200.0,0.001,0.0005,10.0,2000.0,40000.0,1.0
73,Cohere,AI Language,Technology,80.0,Series C,Private Equity,Index Ventures,Canada,North America,2019,300,5.0,2000.0,3,600.0,2023-03-01,IPO,2000.0,300.0,0.001,0.0005,5.0,1500.0,30000.0,1.5
74,Stability AI,AI Image,Technology,50.0,Series B,Private Equity,Coatue,United Kingdom,Western Europe,2020,100,2.0,1000.0,2,400.0,2023-04-01,IPO,1000.0,400.0,0.0005,0.0002,2.0,2500.0,50000.0,2.0
75,Hugging Face,AI Platform,Technology,30.0,Series C,Private Equity,Andreessen Horowitz,United States,North America,2016,200,20.0,2000.0,3,200.0,2023-05-01,IPO,2000.0,150.0,0.01,0.005,20.0,500.0,10000.0,1.0
76,Replit,AI Coding,Technology,20.0,Series B,Private Equity,Andreessen Horowitz,United States,North America,2016,100,5.0,1000.0,2,150.0,2023-06-01,IPO,1000.0,200.0,0.005,0.002,5.0,800.0,16000.0,1.5
77,Character.AI,AI Chat,Technology,15.0,Series B,Private Equity,Andreessen Horowitz,United States,North America,2021,50,1.0,1000.0,2,100.0,2023-02-01,IPO,1000.0,500.0,0.001,0.0005,1.0,1000.0,20000.0,2.0
78,Perplexity,AI Search,Technology,10.0,Series A,Private Equity,Andreessen Horowitz,United States,North America,2022,30,0.5,500.0,1,50.0,2023-03-01,IPO,500.0,1000.0,0.0001,0.00005,0.5,2000.0,40000.0,1.0
79,Runway,AI Video,Technology,25.0,Series C,Private Equity,Google Ventures,United States,North America,2018,150,10.0,1500.0,3,200.0,2023-04-01,IPO,1500.0,300.0,0.01,0.005,10.0,600.0,12000.0,1.5
80,Stripe,Fintech,Financial Services,6000.0,Series H,Private Equity,Sequoia Capital,United States,North America,2010,8000,12000.0,95000.0,8,22000.0,2023-05-01,IPO,120000.0,25.0,500.0,200.0,12000.0,15.0,800.0,2.0
81,Checkout.com,Fintech,Financial Services,1000.0,Series C,Private Equity,Insight Partners,United Kingdom,Western Europe,2012,2000,500.0,40000.0,3,2000.0,2023-06-01,IPO,40000.0,60.0,0.1,0.05,500.0,200.0,4000.0,2.5
82,Adyen,Fintech,Financial Services,200.0,Series F,Private Equity,General Atlantic,Netherlands,Western Europe,2006,3000,1000.0,50000.0,6,500.0,2023-02-01,IPO,50000.0,30.0,0.1,0.05,1000.0,300.0,6000.0,2.0
83,Rapyd,Fintech,Financial Services,50.0,Series D,Private Equity,Target Global,Israel,Middle East,2016,1000,200.0,2500.0,4,300.0,2023-03-01,IPO,2500.0,80.0,0.01,0.005,200.0,500.0,10000.0,3.0
84,Marqeta,Fintech,Financial Services,30.0,Series F,Private Equity,Goldman Sachs,United States,North America,2010,800,300.0,15000.0,6,200.0,2023-04-01,IPO,15000.0,40.0,0.05,0.02,300.0,400.0,8000.0,2.5
85,Affirm,Fintech,Financial Services,40.0,Series F,Private Equity,Andreessen Horowitz,United States,North America,2012,2000,1500.0,12000.0,6,300.0,2023-05-01,IPO,12000.0,50.0,0.1,0.05,1500.0,250.0,5000.0,3.0
86,Afterpay,Fintech,Financial Services,20.0,Series F,Private Equity,Matrix Partners,Australia,Oceania,2014,1000,800.0,29000.0,5,150.0,2023-06-01,Acquired,29000.0,60.0,0.1,0.05,800.0,200.0,4000.0,2.0
87,Klarna,Fintech,Financial Services,800.0,Series Unknown,Private Equity,Sequoia Capital,Sweden,Northern Europe,2005,5000,1000.0,6500.0,10,4000.0,2023-07-01,IPO,15000.0,20.0,150.0,100.0,1000.0,8.0,120.0,4.0
88,Revolut,Fintech,Financial Services,800.0,Series E,Private Equity,Tiger Global,United Kingdom,Western Europe,2015,8000,1000.0,33000.0,8,2000.0,2023-08-01,IPO,50000.0,60.0,35.0,25.0,1000.0,12.0,200.0,3.0
89,Nubank,Fintech,Financial Services,500.0,Series G,Private Equity,Sequoia Capital,Brazil,South America,2013,8000,2000.0,45000.0,8,2000.0,2023-09-01,IPO,45000.0,70.0,0.5,0.3,2000.0,100.0,2000.0,2.0
90,Chime,Fintech,Financial Services,1000.0,Series F,Private Equity,General Atlantic,United States,North America,2013,2000,1000.0,25000.0,7,2000.0,2023-10-01,IPO,40000.0,50.0,20.0,15.0,1000.0,15.0,300.0,2.0
91,SoFi,Fintech,Financial Services,80.0,Series F,Private Equity,SoftBank,United States,North America,2011,3000,1000.0,9000.0,6,400.0,2023-11-01,IPO,9000.0,35.0,0.1,0.05,1000.0,200.0,4000.0,2.5
92,Robinhood,Fintech,Financial Services,200.0,Series G,Private Equity,Index Ventures,United States,North America,2013,3000,2000.0,12000.0,7,2000.0,2023-12-01,IPO,20000.0,40.0,23.0,15.0,2000.0,25.0,300.0,3.0
93,Coinbase,Cryptocurrency,Financial Services,300.0,Series E,Private Equity,Andreessen Horowitz,United States,North America,2012,5000,8000.0,100000.0,8,5000.0,2024-01-01,IPO,150000.0,80.0,100.0,50.0,8000.0,15.0,200.0,2.0
94,Kraken,Cryptocurrency,Financial Services,100.0,Series C,Private Equity,Hummingbird Ventures,United States,North America,2011,3000,1000.0,10000.0,5,2000.0,2024-02-01,IPO,20000.0,60.0,9.0,6.0,1000.0,20.0,400.0,3.0
95,FTX,Cryptocurrency,Financial Services,400.0,Series B,Private Equity,Paradigm,United States,North America,2019,300,2000.0,32000.0,3,2000.0,2024-03-01,Bankruptcy,0.0,200.0,1.0,0.5,2000.0,50.0,1000.0,1.0
96,Binance,Cryptocurrency,Financial Services,500.0,Series Unknown,Private Equity,Sequoia Capital,Malta,Western Europe,2017,8000,20000.0,300000.0,5,10000.0,2024-04-01,IPO,500000.0,150.0,120.0,80.0,20000.0,5.0,50.0,1.0
97,Circle,Cryptocurrency,Financial Services,400.0,Series E,Private Equity,Goldman Sachs,United States,North America,2013,1000,1000.0,9000.0,6,1000.0,2024-05-01,IPO,15000.0,100.0,5.0,2.0,1000.0,30.0,600.0,2.0
98,Blockchain.com,Cryptocurrency,Financial Services,100.0,Series C,Private Equity,Lightspeed Venture Partners,United Kingdom,Western Europe,2011,2000,500.0,14000.0,4,1000.0,2024-06-01,IPO,25000.0,80.0,40.0,25.0,500.0,10.0,200.0,2.0
99,Chainalysis,Blockchain Analytics,Technology,100.0,Series E,Private Equity,Accel,United States,North America,2014,1000,200.0,8600.0,6,500.0,2024-07-01,IPO,15000.0,70.0,1.0,0.5,200.0,100.0,2000.0,1.0
100,ConsenSys,Blockchain,Technology,200.0,Series D,Private Equity,JPMorgan Chase,United States,North America,2014,1000,100.0,7000.0,5,500.0,2024-08-01,IPO,12000.0,50.0,2.0,1.0,100.0,150.0,3000.0,2.0
