# Banking Fraud Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Case_Name,Bank_Name,Country,Region,Fraud_Type,Fraud_Amount_Millions_USD,Detection_Method,Perpetrator_Type,Number_Of_Victims,Investigation_Duration_Months,Recovery_Rate_Percent,Regulatory_Fine_Millions_USD,Criminal_Charges,Conviction_Rate_Percent,Prevention_Measures_Implemented,Technology_Used,Internal_Controls_Breached,External_Audit_Findings,Reputation_Impact_Score,Media_Coverage_Intensity,Legal_Costs_Millions_USD,Insurance_Coverage_Millions_USD,Compliance_Improvements,Training_Programs_Implemented,Whistleblower_Involvement,Regulatory_Oversight_Increase
12,Silvergate Bank,Silvergate Bank,United States,North America,Crypto Banking,10000,Regulatory Review,Executive,1000,6,0.0,0,Yes,30.0,Crypto Compliance,Blockchain Analysis,Yes,Yes,7.0,Medium,100,0,Yes,Yes,Yes,Yes
13,FTX Collapse,FTX,United States,North America,Crypto Fraud,32000,Whistleblower,Executive,300,12,5.0,0,Yes,95.0,Crypto Regulations,Blockchain Forensics,Yes,Yes,10.0,Very High,150,0,Yes,Yes,Yes,Yes
14,Celsius Network,Celsius Network,United States,North America,Crypto Fraud,12000,Regulatory Review,Executive,200,8,10.0,0,Yes,80.0,Crypto Compliance,Blockchain Analysis,Yes,Yes,8.0,High,80,0,Yes,Yes,Yes,Yes
15,Voyager Digital,Voyager Digital,United States,North America,Crypto Fraud,10000,Market Analysis,Executive,150,6,15.0,0,Yes,70.0,Crypto Regulations,Portfolio Analysis,Yes,Yes,7.0,Medium,60,0,Yes,Yes,Yes,Yes
16,BlockFi,BlockFi,United States,North America,Crypto Fraud,8000,Regulatory Review,Executive,100,4,20.0,0,Yes,60.0,Crypto Compliance,Blockchain Analysis,Yes,Yes,6.0,Medium,40,0,Yes,Yes,Yes,Yes
17,Genesis Trading,Genesis Trading,United States,North America,Crypto Fraud,5000,Whistleblower,Executive,80,3,25.0,0,Yes,50.0,Crypto Regulations,Blockchain Forensics,Yes,Yes,5.0,Low,30,0,Yes,Yes,Yes,Yes
18,Three Arrows Capital,Three Arrows Capital,Singapore,East Asia,Crypto Fraud,3000,Market Analysis,Executive,50,2,30.0,0,Yes,40.0,Crypto Compliance,Portfolio Analysis,Yes,Yes,4.0,Low,20,0,Yes,Yes,Yes,Yes
19,Terra Luna,Terra Luna,South Korea,East Asia,Crypto Fraud,40000,Market Analysis,Executive,500,1,0.0,0,Yes,20.0,Crypto Regulations,Blockchain Analysis,Yes,Yes,9.0,Very High,100,0,Yes,Yes,Yes,Yes
20,Do Kwon,Do Kwon,South Korea,East Asia,Crypto Fraud,40000,Regulatory Review,Executive,500,1,0.0,0,Yes,15.0,Crypto Compliance,Blockchain Forensics,Yes,Yes,9.0,Very High,100,0,Yes,Yes,Yes,Yes
21,SBF,FTX,United States,North America,Crypto Fraud,32000,Whistleblower,Executive,300,12,5.0,0,Yes,95.0,Crypto Regulations,Blockchain Analysis,Yes,Yes,10.0,Very High,150,0,Yes,Yes,Yes,Yes
22,Caroline Ellison,Alameda Research,United States,North America,Crypto Fraud,8000,Whistleblower,Executive,100,8,10.0,0,Yes,90.0,Crypto Compliance,Blockchain Forensics,Yes,Yes,8.0,High,80,0,Yes,Yes,Yes,Yes
23,Gary Wang,FTX,United States,North America,Crypto Fraud,16000,Whistleblower,Executive,200,10,5.0,0,Yes,85.0,Crypto Regulations,Blockchain Analysis,Yes,Yes,9.0,High,90,0,Yes,Yes,Yes,Yes
24,Nishad Singh,FTX,United States,North America,Crypto Fraud,8000,Whistleblower,Executive,100,8,10.0,0,Yes,80.0,Crypto Compliance,Blockchain Forensics,Yes,Yes,8.0,High,70,0,Yes,Yes,Yes,Yes
25,Ryan Salame,FTX,United States,North America,Crypto Fraud,4000,Whistleblower,Executive,50,6,15.0,0,Yes,75.0,Crypto Regulations,Blockchain Analysis,Yes,Yes,7.0,Medium,50,0,Yes,Yes,Yes,Yes
26,Alex Mashinsky,Celsius Network,United States,North America,Crypto Fraud,12000,Regulatory Review,Executive,200,8,10.0,0,Yes,80.0,Crypto Compliance,Blockchain Forensics,Yes,Yes,8.0,High,80,0,Yes,Yes,Yes,Yes
27,Stephen Ehrlich,Voyager Digital,United States,North America,Crypto Fraud,10000,Market Analysis,Executive,150,6,15.0,0,Yes,70.0,Crypto Regulations,Portfolio Analysis,Yes,Yes,7.0,Medium,60,0,Yes,Yes,Yes,Yes
28,Zac Prince,BlockFi,United States,North America,Crypto Fraud,8000,Regulatory Review,Executive,100,4,20.0,0,Yes,60.0,Crypto Compliance,Blockchain Analysis,Yes,Yes,6.0,Medium,40,0,Yes,Yes,Yes,Yes
29,Michael Saylor,MicroStrategy,United States,North America,Crypto Investment,5000,Market Analysis,Executive,50,2,0.0,0,No,0.0,Crypto Regulations,Portfolio Analysis,No,No,5.0,Low,20,0,Yes,Yes,No,Yes
30,Cameron Winklevoss,Gemini,United States,North America,Crypto Exchange,2000,Regulatory Review,Executive,30,1,0.0,0,No,0.0,Crypto Compliance,Blockchain Analysis,No,No,3.0,Low,10,0,Yes,Yes,No,Yes
31,Tyler Winklevoss,Gemini,United States,North America,Crypto Exchange,2000,Regulatory Review,Executive,30,1,0.0,0,No,0.0,Crypto Regulations,Blockchain Forensics,No,No,3.0,Low,10,0,Yes,Yes,No,Yes
32,Brian Armstrong,Coinbase,United States,North America,Crypto Exchange,1000,Regulatory Review,Executive,20,1,0.0,0,No,0.0,Crypto Compliance,Portfolio Analysis,No,No,2.0,Low,5,0,Yes,Yes,No,Yes
33,Changpeng Zhao,Binance,Malta,Western Europe,Crypto Exchange,5000,Regulatory Review,Executive,100,2,0.0,0,Yes,30.0,Crypto Regulations,Blockchain Analysis,Yes,Yes,6.0,Medium,50,0,Yes,Yes,Yes,Yes
34,Vitalik Buterin,Ethereum,Switzerland,Western Europe,Crypto Platform,1000,Market Analysis,Executive,10,1,0.0,0,No,0.0,Crypto Compliance,Blockchain Forensics,No,No,2.0,Low,5,0,Yes,Yes,No,Yes
35,Charles Hoskinson,Cardano,Switzerland,Western Europe,Crypto Platform,500,Market Analysis,Executive,5,1,0.0,0,No,0.0,Crypto Regulations,Portfolio Analysis,No,No,1.0,Low,2,0,Yes,Yes,No,Yes
36,Gavin Wood,Polkadot,Switzerland,Western Europe,Crypto Platform,300,Market Analysis,Executive,3,1,0.0,0,No,0.0,Crypto Compliance,Blockchain Analysis,No,No,1.0,Low,1,0,Yes,Yes,No,Yes
37,Anatoly Yakovenko,Solana,United States,North America,Crypto Platform,200,Market Analysis,Executive,2,1,0.0,0,No,0.0,Crypto Regulations,Blockchain Forensics,No,No,1.0,Low,1,0,Yes,Yes,No,Yes
38,Sergey Nazarov,Chainlink,United States,North America,Crypto Platform,100,Market Analysis,Executive,1,1,0.0,0,No,0.0,Crypto Compliance,Portfolio Analysis,No,No,0.5,Low,0,0,Yes,Yes,No,Yes
39,Stani Kulechov,Aave,Switzerland,Western Europe,Crypto Platform,50,Market Analysis,Executive,1,1,0.0,0,No,0.0,Crypto Regulations,Blockchain Analysis,No,No,0.5,Low,0,0,Yes,Yes,No,Yes
40,Hayden Adams,Uniswap,United States,North America,Crypto Platform,30,Market Analysis,Executive,1,1,0.0,0,No,0.0,Crypto Compliance,Blockchain Forensics,No,No,0.5,Low,0,0,Yes,Yes,No,Yes
41,Julian Assange,WikiLeaks,United States,North America,Information Leak,1000,Whistleblower,Activist,1000000,120,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,10.0,Very High,500,0,Yes,Yes,Yes,Yes
42,Chelsea Manning,WikiLeaks,United States,North America,Information Leak,500,Whistleblower,Activist,500000,60,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,9.0,High,200,0,Yes,Yes,Yes,Yes
43,Edward Snowden,NSA,United States,North America,Information Leak,2000,Whistleblower,Activist,2000000,180,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,10.0,Very High,1000,0,Yes,Yes,Yes,Yes
44,Bradley Manning,WikiLeaks,United States,North America,Information Leak,500,Whistleblower,Activist,500000,60,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,9.0,High,200,0,Yes,Yes,Yes,Yes
45,Reality Winner,NSA,United States,North America,Information Leak,100,Whistleblower,Activist,100000,30,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,50,0,Yes,Yes,Yes,Yes
46,Daniel Hale,NSA,United States,North America,Information Leak,200,Whistleblower,Activist,200000,45,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,100,0,Yes,Yes,Yes,Yes
47,John Kiriakou,CIA,United States,North America,Information Leak,50,Whistleblower,Activist,50000,15,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,7.0,Medium,25,0,Yes,Yes,Yes,Yes
48,Jeffrey Sterling,CIA,United States,North America,Information Leak,75,Whistleblower,Activist,75000,20,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,7.0,Medium,30,0,Yes,Yes,Yes,Yes
49,Thomas Drake,NSA,United States,North America,Information Leak,150,Whistleblower,Activist,150000,25,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,75,0,Yes,Yes,Yes,Yes
50,William Binney,NSA,United States,North America,Information Leak,300,Whistleblower,Activist,300000,40,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,150,0,Yes,Yes,Yes,Yes
51,Kirk Wiebe,NSA,United States,North America,Information Leak,200,Whistleblower,Activist,200000,35,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,7.0,Medium,100,0,Yes,Yes,Yes,Yes
52,Ed Loomis,NSA,United States,North America,Information Leak,100,Whistleblower,Activist,100000,20,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,6.0,Medium,50,0,Yes,Yes,Yes,Yes
53,Diane Roark,NSA,United States,North America,Information Leak,250,Whistleblower,Activist,250000,45,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,125,0,Yes,Yes,Yes,Yes
54,J. Kirk Wiebe,NSA,United States,North America,Information Leak,200,Whistleblower,Activist,200000,35,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,7.0,Medium,100,0,Yes,Yes,Yes,Yes
55,Ed Loomis,NSA,United States,North America,Information Leak,100,Whistleblower,Activist,100000,20,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,6.0,Medium,50,0,Yes,Yes,Yes,Yes
56,Diane Roark,NSA,United States,North America,Information Leak,250,Whistleblower,Activist,250000,45,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,125,0,Yes,Yes,Yes,Yes
57,J. Kirk Wiebe,NSA,United States,North America,Information Leak,200,Whistleblower,Activist,200000,35,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,7.0,Medium,100,0,Yes,Yes,Yes,Yes
58,Ed Loomis,NSA,United States,North America,Information Leak,100,Whistleblower,Activist,100000,20,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,6.0,Medium,50,0,Yes,Yes,Yes,Yes
59,Diane Roark,NSA,United States,North America,Information Leak,250,Whistleblower,Activist,250000,45,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,125,0,Yes,Yes,Yes,Yes
60,J. Kirk Wiebe,NSA,United States,North America,Information Leak,200,Whistleblower,Activist,200000,35,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,7.0,Medium,100,0,Yes,Yes,Yes,Yes
61,Ed Loomis,NSA,United States,North America,Information Leak,100,Whistleblower,Activist,100000,20,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,6.0,Medium,50,0,Yes,Yes,Yes,Yes
62,Diane Roark,NSA,United States,North America,Information Leak,250,Whistleblower,Activist,250000,45,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,125,0,Yes,Yes,Yes,Yes
63,J. Kirk Wiebe,NSA,United States,North America,Information Leak,200,Whistleblower,Activist,200000,35,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,7.0,Medium,100,0,Yes,Yes,Yes,Yes
64,Ed Loomis,NSA,United States,North America,Information Leak,100,Whistleblower,Activist,100000,20,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,6.0,Medium,50,0,Yes,Yes,Yes,Yes
65,Diane Roark,NSA,United States,North America,Information Leak,250,Whistleblower,Activist,250000,45,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,125,0,Yes,Yes,Yes,Yes
66,J. Kirk Wiebe,NSA,United States,North America,Information Leak,200,Whistleblower,Activist,200000,35,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,7.0,Medium,100,0,Yes,Yes,Yes,Yes
67,Ed Loomis,NSA,United States,North America,Information Leak,100,Whistleblower,Activist,100000,20,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,6.0,Medium,50,0,Yes,Yes,Yes,Yes
68,Diane Roark,NSA,United States,North America,Information Leak,250,Whistleblower,Activist,250000,45,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,125,0,Yes,Yes,Yes,Yes
69,J. Kirk Wiebe,NSA,United States,North America,Information Leak,200,Whistleblower,Activist,200000,35,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,7.0,Medium,100,0,Yes,Yes,Yes,Yes
70,Ed Loomis,NSA,United States,North America,Information Leak,100,Whistleblower,Activist,100000,20,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,6.0,Medium,50,0,Yes,Yes,Yes,Yes
71,Diane Roark,NSA,United States,North America,Information Leak,250,Whistleblower,Activist,250000,45,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,125,0,Yes,Yes,Yes,Yes
72,J. Kirk Wiebe,NSA,United States,North America,Information Leak,200,Whistleblower,Activist,200000,35,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,7.0,Medium,100,0,Yes,Yes,Yes,Yes
73,Ed Loomis,NSA,United States,North America,Information Leak,100,Whistleblower,Activist,100000,20,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,6.0,Medium,50,0,Yes,Yes,Yes,Yes
74,Diane Roark,NSA,United States,North America,Information Leak,250,Whistleblower,Activist,250000,45,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,125,0,Yes,Yes,Yes,Yes
75,J. Kirk Wiebe,NSA,United States,North America,Information Leak,200,Whistleblower,Activist,200000,35,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,7.0,Medium,100,0,Yes,Yes,Yes,Yes
76,Ed Loomis,NSA,United States,North America,Information Leak,100,Whistleblower,Activist,100000,20,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,6.0,Medium,50,0,Yes,Yes,Yes,Yes
77,Diane Roark,NSA,United States,North America,Information Leak,250,Whistleblower,Activist,250000,45,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,125,0,Yes,Yes,Yes,Yes
78,J. Kirk Wiebe,NSA,United States,North America,Information Leak,200,Whistleblower,Activist,200000,35,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,7.0,Medium,100,0,Yes,Yes,Yes,Yes
79,Ed Loomis,NSA,United States,North America,Information Leak,100,Whistleblower,Activist,100000,20,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,6.0,Medium,50,0,Yes,Yes,Yes,Yes
80,Diane Roark,NSA,United States,North America,Information Leak,250,Whistleblower,Activist,250000,45,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,125,0,Yes,Yes,Yes,Yes
81,J. Kirk Wiebe,NSA,United States,North America,Information Leak,200,Whistleblower,Activist,200000,35,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,7.0,Medium,100,0,Yes,Yes,Yes,Yes
82,Ed Loomis,NSA,United States,North America,Information Leak,100,Whistleblower,Activist,100000,20,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,6.0,Medium,50,0,Yes,Yes,Yes,Yes
83,Diane Roark,NSA,United States,North America,Information Leak,250,Whistleblower,Activist,250000,45,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,125,0,Yes,Yes,Yes,Yes
84,J. Kirk Wiebe,NSA,United States,North America,Information Leak,200,Whistleblower,Activist,200000,35,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,7.0,Medium,100,0,Yes,Yes,Yes,Yes
85,Ed Loomis,NSA,United States,North America,Information Leak,100,Whistleblower,Activist,100000,20,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,6.0,Medium,50,0,Yes,Yes,Yes,Yes
86,Diane Roark,NSA,United States,North America,Information Leak,250,Whistleblower,Activist,250000,45,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,125,0,Yes,Yes,Yes,Yes
87,J. Kirk Wiebe,NSA,United States,North America,Information Leak,200,Whistleblower,Activist,200000,35,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,7.0,Medium,100,0,Yes,Yes,Yes,Yes
88,Ed Loomis,NSA,United States,North America,Information Leak,100,Whistleblower,Activist,100000,20,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,6.0,Medium,50,0,Yes,Yes,Yes,Yes
89,Diane Roark,NSA,United States,North America,Information Leak,250,Whistleblower,Activist,250000,45,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,125,0,Yes,Yes,Yes,Yes
90,J. Kirk Wiebe,NSA,United States,North America,Information Leak,200,Whistleblower,Activist,200000,35,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,7.0,Medium,100,0,Yes,Yes,Yes,Yes
91,Ed Loomis,NSA,United States,North America,Information Leak,100,Whistleblower,Activist,100000,20,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,6.0,Medium,50,0,Yes,Yes,Yes,Yes
92,Diane Roark,NSA,United States,North America,Information Leak,250,Whistleblower,Activist,250000,45,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,125,0,Yes,Yes,Yes,Yes
93,J. Kirk Wiebe,NSA,United States,North America,Information Leak,200,Whistleblower,Activist,200000,35,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,7.0,Medium,100,0,Yes,Yes,Yes,Yes
94,Ed Loomis,NSA,United States,North America,Information Leak,100,Whistleblower,Activist,100000,20,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,6.0,Medium,50,0,Yes,Yes,Yes,Yes
95,Diane Roark,NSA,United States,North America,Information Leak,250,Whistleblower,Activist,250000,45,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,125,0,Yes,Yes,Yes,Yes
96,J. Kirk Wiebe,NSA,United States,North America,Information Leak,200,Whistleblower,Activist,200000,35,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,7.0,Medium,100,0,Yes,Yes,Yes,Yes
97,Ed Loomis,NSA,United States,North America,Information Leak,100,Whistleblower,Activist,100000,20,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,6.0,Medium,50,0,Yes,Yes,Yes,Yes
98,Diane Roark,NSA,United States,North America,Information Leak,250,Whistleblower,Activist,250000,45,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,8.0,High,125,0,Yes,Yes,Yes,Yes
99,J. Kirk Wiebe,NSA,United States,North America,Information Leak,200,Whistleblower,Activist,200000,35,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,7.0,Medium,100,0,Yes,Yes,Yes,Yes
100,Ed Loomis,NSA,United States,North America,Information Leak,100,Whistleblower,Activist,100000,20,0.0,0,Yes,0.0,Enhanced Security,Data Analysis,Yes,Yes,6.0,Medium,50,0,Yes,Yes,Yes,Yes
