# Global Trade Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Exports_Billions_USD,Imports_Billions_USD,Trade_Balance_Billions_USD,Top_Export_Product,Top_Import_Product,Main_Trade_Partner,Export_Growth_Percent,Import_Growth_Percent,Trade_Volume_Billions_USD,Export_Diversification_Index
38,Slovakia,80,75,5,Machinery,Energy,Germany,6.5,5.8,155,0.71
39,Slovenia,35,35,0,Machinery,Energy,Germany,4.2,3.8,70,0.68
40,Estonia,20,25,-5,Machinery,Energy,Finland,5.8,4.9,45,0.65
41,Latvia,15,20,-5,Machinery,Energy,Germany,4.5,3.9,35,0.62
42,Lithuania,25,30,-5,Machinery,Energy,Germany,5.2,4.8,55,0.64
43,Ukraine,50,60,-10,Agricultural Products,Energy,Russia,3.8,5.2,110,0.52
44,Belarus,25,30,-5,Machinery,Energy,Russia,4.2,3.8,55,0.58
45,Moldova,3,5,-2,Agricultural Products,Energy,Russia,2.8,3.5,8,0.45
46,Georgia,4,6,-2,Agricultural Products,Energy,Turkey,3.2,4.2,10,0.48
47,Armenia,2,4,-2,Agricultural Products,Energy,Russia,2.5,3.8,6,0.42
48,Azerbaijan,15,12,3,Energy,Machinery,Turkey,4.8,3.2,27,0.38
49,Kazakhstan,50,35,15,Energy,Machinery,China,6.8,5.2,85,0.45
50,Uzbekistan,15,12,3,Agricultural Products,Energy,Russia,5.2,4.8,27,0.48
51,Turkmenistan,8,6,2,Energy,Machinery,Turkey,4.5,3.8,14,0.35
52,Tajikistan,2,3,-1,Agricultural Products,Energy,Russia,3.8,4.2,5,0.38
53,Kyrgyzstan,2,3,-1,Agricultural Products,Energy,Russia,3.5,4.5,5,0.35
54,Afghanistan,1,5,-4,Agricultural Products,Energy,Pakistan,2.8,5.8,6,0.28
55,Pakistan,25,55,-30,Textiles,Energy,China,4.8,6.8,80,0.52
56,Bangladesh,45,65,-20,Textiles,Energy,China,8.5,7.2,110,0.48
57,Sri Lanka,12,18,-6,Textiles,Energy,India,3.8,4.8,30,0.55
58,Nepal,2,8,-6,Agricultural Products,Energy,India,2.5,5.2,10,0.32
59,Bhutan,1,2,-1,Agricultural Products,Energy,India,3.2,4.5,3,0.25
60,Maldives,1,2,-1,Tourism,Energy,India,2.8,3.8,3,0.22
61,Myanmar,15,20,-5,Agricultural Products,Energy,China,4.2,5.8,35,0.45
62,Laos,5,8,-3,Agricultural Products,Energy,Thailand,3.8,4.8,13,0.38
63,Cambodia,18,25,-7,Textiles,Energy,China,6.8,7.5,43,0.52
64,Philippines,70,95,-25,Electronics,Energy,China,5.8,6.8,165,0.58
65,Brunei,8,4,4,Energy,Machinery,Japan,3.8,2.8,12,0.28
66,East Timor,1,2,-1,Energy,Machinery,Indonesia,2.5,3.8,3,0.18
67,Papua New Guinea,8,6,2,Minerals,Machinery,Australia,4.2,3.5,14,0.32
68,Fiji,1,2,-1,Agricultural Products,Energy,Australia,2.8,3.2,3,0.35
69,Vanuatu,0.5,1,-0.5,Agricultural Products,Energy,Australia,2.2,2.8,1.5,0.25
70,Solomon Islands,0.5,1,-0.5,Agricultural Products,Energy,Australia,2.5,3.2,1.5,0.28
71,Samoa,0.2,0.5,-0.3,Agricultural Products,Energy,New Zealand,1.8,2.5,0.7,0.22
72,Tonga,0.1,0.3,-0.2,Agricultural Products,Energy,New Zealand,1.5,2.2,0.4,0.18
73,Kiribati,0.1,0.2,-0.1,Agricultural Products,Energy,Australia,1.2,1.8,0.3,0.15
74,Tuvalu,0.05,0.1,-0.05,Agricultural Products,Energy,Australia,1.0,1.5,0.15,0.12
75,Nauru,0.1,0.2,-0.1,Minerals,Energy,Australia,1.5,2.0,0.3,0.18
76,Marshall Islands,0.1,0.2,-0.1,Agricultural Products,Energy,United States,1.2,1.8,0.3,0.15
77,Palau,0.1,0.2,-0.1,Tourism,Energy,United States,1.0,1.5,0.3,0.12
78,Micronesia,0.1,0.2,-0.1,Agricultural Products,Energy,United States,1.2,1.8,0.3,0.15
79,New Zealand,50,45,5,Agricultural Products,Machinery,China,4.8,3.8,95,0.58
80,Chile,80,70,10,Minerals,Machinery,China,5.8,4.8,150,0.52
81,Colombia,45,50,-5,Energy,Machinery,United States,4.2,5.2,95,0.48
82,Venezuela,25,15,10,Energy,Machinery,China,3.8,2.8,40,0.35
83,Peru,50,45,5,Minerals,Machinery,China,6.2,5.2,95,0.45
84,Ecuador,20,25,-5,Agricultural Products,Machinery,United States,4.5,5.8,45,0.48
85,Bolivia,8,10,-2,Minerals,Machinery,Brazil,3.8,4.5,18,0.38
86,Paraguay,8,10,-2,Agricultural Products,Machinery,Brazil,4.2,4.8,18,0.42
87,Uruguay,8,9,-1,Agricultural Products,Machinery,Brazil,3.8,4.2,17,0.45
88,Guyana,3,4,-1,Minerals,Machinery,United States,4.5,5.2,7,0.32
89,Suriname,2,3,-1,Minerals,Machinery,United States,3.8,4.5,5,0.28
90,French Guiana,1,2,-1,Agricultural Products,Machinery,France,2.8,3.8,3,0.25
91,Cuba,8,12,-4,Agricultural Products,Machinery,China,3.2,4.8,20,0.42
92,Jamaica,2,5,-3,Agricultural Products,Machinery,United States,2.8,4.2,7,0.35
93,Haiti,1,3,-2,Agricultural Products,Machinery,United States,2.2,3.8,4,0.28
94,Dominican Republic,10,15,-5,Agricultural Products,Machinery,United States,4.2,5.8,25,0.48
95,Puerto Rico,8,12,-4,Electronics,Machinery,United States,3.8,4.8,20,0.45
96,Trinidad and Tobago,8,6,2,Energy,Machinery,United States,4.5,3.8,14,0.38
97,Bahamas,1,2,-1,Tourism,Machinery,United States,2.5,3.2,3,0.25
98,Barbados,0.5,1.5,-1,Agricultural Products,Machinery,United States,2.2,3.5,2,0.22
99,Antigua and Barbuda,0.2,0.5,-0.3,Tourism,Machinery,United States,1.8,2.8,0.7,0.18
100,Dominica,0.1,0.3,-0.2,Agricultural Products,Machinery,United States,1.5,2.5,0.4,0.15
