# Taxes Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Corporate_Tax_Rate_Percent,Personal_Income_Tax_Rate_Percent,VAT_Rate_Percent,Capital_Gains_Tax_Rate_Percent,Inheritance_Tax_Rate_Percent,Property_Tax_Rate_Percent,Social_Security_Rate_Percent,Total_Tax_Burden_Percent,GDP_Per_Capita_USD,Tax_Revenue_GDP_Percent,Individual_Tax_Freedom_Day,Corporate_Tax_Freedom_Day,Tax_Complexity_Score,Digital_Services_Tax_Percent,Carbon_Tax_USD_Per_Ton,Wealth_Tax_Rate_Percent,Financial_Transaction_Tax_Percent,Tobacco_Tax_Percent,Alcohol_Tax_Percent,Fuel_Tax_USD_Per_Gallon,Import_Tariff_Average_Percent,Export_Tax_Percent
18,Romania,Eastern Europe,16.0,10.0,19.0,10.0,0.0,0.0,25.0,30.0,14000,30.0,75,75,5,0.0,0.0,0.0,0.0,100.0,50.0,1.2,8.0,0.0
19,Bulgaria,Eastern Europe,10.0,10.0,20.0,10.0,0.0,0.0,20.0,25.0,12000,25.0,65,65,4,0.0,0.0,0.0,0.0,100.0,50.0,1.0,7.0,0.0
20,Croatia,Eastern Europe,18.0,20.0,25.0,10.0,0.0,0.0,30.0,35.0,15000,35.0,88,88,6,0.0,0.0,0.0,0.0,100.0,50.0,1.5,10.0,0.0
21,Slovenia,Eastern Europe,19.0,22.0,22.0,25.0,0.0,0.0,38.0,42.0,28000,42.0,105,105,7,0.0,0.0,0.0,0.0,100.0,50.0,1.8,13.0,0.0
22,Germany,Western Europe,30.0,45.0,19.0,25.0,30.0,0.0,20.0,50.0,48000,50.0,125,125,9,0.0,0.0,0.0,0.0,100.0,50.0,3.5,20.0,0.0
23,France,Western Europe,25.0,45.0,20.0,30.0,45.0,0.0,15.0,50.0,42000,50.0,125,125,9,0.0,0.0,0.0,0.0,100.0,50.0,3.2,18.0,0.0
24,Italy,Western Europe,24.0,43.0,22.0,26.0,8.0,0.0,33.0,48.0,35000,48.0,120,120,8,0.0,0.0,0.0,0.0,100.0,50.0,3.0,17.0,0.0
25,Spain,Western Europe,25.0,45.0,21.0,23.0,34.0,0.0,30.0,48.0,30000,48.0,120,120,8,0.0,0.0,0.0,0.0,100.0,50.0,2.8,16.0,0.0
26,Netherlands,Western Europe,25.8,49.5,21.0,30.0,20.0,0.0,28.0,45.0,55000,45.0,112,112,8,0.0,0.0,0.0,0.0,100.0,50.0,2.5,15.0,0.0
27,Belgium,Western Europe,25.0,50.0,21.0,30.0,30.0,0.0,25.0,48.0,48000,48.0,120,120,8,0.0,0.0,0.0,0.0,100.0,50.0,2.7,16.0,0.0
28,Austria,Western Europe,25.0,50.0,20.0,27.5,30.0,0.0,25.0,47.0,52000,47.0,118,118,8,0.0,0.0,0.0,0.0,100.0,50.0,2.6,15.0,0.0
29,Sweden,Northern Europe,20.6,57.0,25.0,30.0,0.0,0.0,31.0,55.0,55000,55.0,140,140,9,0.0,0.0,0.0,0.0,100.0,50.0,3.8,22.0,0.0
30,Norway,Northern Europe,22.0,38.0,25.0,22.0,0.0,0.0,25.0,45.0,75000,45.0,112,112,8,0.0,0.0,0.0,0.0,100.0,50.0,3.0,18.0,0.0
31,Denmark,Northern Europe,22.0,55.0,25.0,42.0,0.0,0.0,8.0,50.0,65000,50.0,125,125,9,0.0,0.0,0.0,0.0,100.0,50.0,3.5,20.0,0.0
32,Finland,Northern Europe,20.0,31.0,24.0,30.0,0.0,0.0,25.0,42.0,52000,42.0,105,105,8,0.0,0.0,0.0,0.0,100.0,50.0,2.8,17.0,0.0
33,Iceland,Northern Europe,20.0,46.0,24.0,22.0,0.0,0.0,15.0,40.0,68000,40.0,100,100,7,0.0,0.0,0.0,0.0,100.0,50.0,2.9,18.0,0.0
34,United Kingdom,Western Europe,19.0,45.0,20.0,20.0,40.0,0.0,12.0,42.0,45000,42.0,105,105,7,0.0,0.0,0.0,0.0,100.0,50.0,2.2,14.0,0.0
35,Canada,North America,26.5,33.0,5.0,25.0,0.0,0.0,10.0,35.0,52000,35.0,88,88,6,0.0,0.0,0.0,0.0,100.0,50.0,1.8,11.0,0.0
36,United States,North America,21.0,37.0,0.0,20.0,40.0,0.0,15.0,38.0,65000,38.0,95,95,7,0.0,0.0,0.0,0.0,100.0,50.0,1.5,9.0,0.0
37,Australia,Oceania,30.0,45.0,10.0,23.0,0.0,0.0,10.0,40.0,55000,40.0,100,100,7,0.0,0.0,0.0,0.0,100.0,50.0,2.0,12.0,0.0
38,New Zealand,Oceania,28.0,33.0,15.0,33.0,0.0,0.0,10.0,38.0,45000,38.0,95,95,7,0.0,0.0,0.0,0.0,100.0,50.0,1.9,11.0,0.0
39,Japan,East Asia,30.6,55.0,10.0,20.0,55.0,0.0,15.0,50.0,42000,50.0,125,125,8,0.0,0.0,0.0,0.0,100.0,50.0,2.5,15.0,0.0
40,South Korea,East Asia,25.0,45.0,10.0,22.0,50.0,0.0,9.0,40.0,35000,40.0,100,100,7,0.0,0.0,0.0,0.0,100.0,50.0,2.1,13.0,0.0
41,China,East Asia,25.0,45.0,13.0,20.0,0.0,0.0,20.0,42.0,12000,42.0,105,105,7,0.0,0.0,0.0,0.0,100.0,50.0,1.8,10.0,0.0
42,Taiwan,East Asia,20.0,40.0,5.0,20.0,10.0,0.0,10.0,35.0,32000,35.0,88,88,6,0.0,0.0,0.0,0.0,100.0,50.0,1.6,9.0,0.0
43,Thailand,Southeast Asia,20.0,35.0,7.0,15.0,10.0,0.0,5.0,30.0,8000,30.0,75,75,5,0.0,0.0,0.0,0.0,100.0,50.0,1.2,7.0,0.0
44,Malaysia,Southeast Asia,24.0,30.0,6.0,10.0,0.0,0.0,12.0,28.0,12000,28.0,70,70,5,0.0,0.0,0.0,0.0,100.0,50.0,1.0,6.0,0.0
45,Indonesia,Southeast Asia,22.0,30.0,11.0,10.0,0.0,0.0,10.0,25.0,4500,25.0,62,62,4,0.0,0.0,0.0,0.0,100.0,50.0,0.8,5.0,0.0
46,Philippines,Southeast Asia,25.0,35.0,12.0,15.0,6.0,0.0,8.0,28.0,3500,28.0,70,70,5,0.0,0.0,0.0,0.0,100.0,50.0,0.9,5.5,0.0
47,Vietnam,Southeast Asia,20.0,35.0,10.0,20.0,10.0,0.0,8.0,30.0,3500,30.0,75,75,5,0.0,0.0,0.0,0.0,100.0,50.0,0.7,4.5,0.0
48,India,South Asia,30.0,30.0,18.0,20.0,0.0,0.0,12.0,35.0,2000,35.0,88,88,6,0.0,0.0,0.0,0.0,100.0,50.0,1.1,6.5,0.0
49,Pakistan,South Asia,29.0,35.0,17.0,15.0,0.0,0.0,10.0,32.0,1500,32.0,80,80,5,0.0,0.0,0.0,0.0,100.0,50.0,0.8,5.0,0.0
50,Bangladesh,South Asia,30.0,30.0,15.0,15.0,0.0,0.0,8.0,28.0,2500,28.0,70,70,5,0.0,0.0,0.0,0.0,100.0,50.0,0.6,4.0,0.0
51,Sri Lanka,South Asia,28.0,24.0,15.0,10.0,0.0,0.0,8.0,25.0,4000,25.0,62,62,4,0.0,0.0,0.0,0.0,100.0,50.0,0.9,5.5,0.0
52,Nepal,South Asia,25.0,25.0,13.0,5.0,0.0,0.0,5.0,22.0,1200,22.0,55,55,4,0.0,0.0,0.0,0.0,100.0,50.0,0.5,3.5,0.0
53,Bhutan,South Asia,25.0,25.0,0.0,0.0,0.0,0.0,5.0,15.0,3500,15.0,38,38,3,0.0,0.0,0.0,0.0,100.0,50.0,0.4,2.5,0.0
54,Afghanistan,South Asia,20.0,20.0,10.0,0.0,0.0,0.0,5.0,18.0,500,18.0,45,45,3,0.0,0.0,0.0,0.0,100.0,50.0,0.3,2.0,0.0
55,Turkey,Middle East,20.0,40.0,20.0,0.0,0.0,0.0,15.0,35.0,9500,35.0,88,88,6,0.0,0.0,0.0,0.0,100.0,50.0,1.3,8.0,0.0
56,Iran,Middle East,25.0,35.0,9.0,0.0,0.0,0.0,10.0,30.0,5000,30.0,75,75,5,0.0,0.0,0.0,0.0,100.0,50.0,0.4,2.5,0.0
57,Iraq,Middle East,15.0,15.0,0.0,0.0,0.0,0.0,5.0,12.0,4500,12.0,30,30,2,0.0,0.0,0.0,0.0,100.0,50.0,0.2,1.5,0.0
58,Syria,Middle East,10.0,10.0,0.0,0.0,0.0,0.0,5.0,8.0,2000,8.0,20,20,2,0.0,0.0,0.0,0.0,100.0,50.0,0.1,1.0,0.0
59,Lebanon,Middle East,15.0,25.0,11.0,0.0,0.0,0.0,8.0,20.0,8000,20.0,50,50,3,0.0,0.0,0.0,0.0,100.0,50.0,0.6,4.0,0.0
60,Jordan,Middle East,20.0,25.0,16.0,0.0,0.0,0.0,10.0,25.0,4500,25.0,62,62,4,0.0,0.0,0.0,0.0,100.0,50.0,0.8,5.0,0.0
61,Israel,Middle East,23.0,50.0,17.0,25.0,0.0,0.0,12.0,40.0,45000,40.0,100,100,7,0.0,0.0,0.0,0.0,100.0,50.0,2.0,12.0,0.0
62,Egypt,North Africa,22.5,25.0,14.0,0.0,0.0,0.0,12.0,25.0,4000,25.0,62,62,4,0.0,0.0,0.0,0.0,100.0,50.0,0.7,4.5,0.0
63,Libya,North Africa,20.0,10.0,0.0,0.0,0.0,0.0,5.0,10.0,6000,10.0,25,25,2,0.0,0.0,0.0,0.0,100.0,50.0,0.3,2.0,0.0
64,Tunisia,North Africa,25.0,35.0,19.0,0.0,0.0,0.0,15.0,30.0,3500,30.0,75,75,5,0.0,0.0,0.0,0.0,100.0,50.0,0.9,5.5,0.0
65,Algeria,North Africa,26.0,35.0,19.0,0.0,0.0,0.0,12.0,30.0,4000,30.0,75,75,5,0.0,0.0,0.0,0.0,100.0,50.0,0.8,5.0,0.0
66,Morocco,North Africa,30.0,38.0,20.0,0.0,0.0,0.0,15.0,32.0,3500,32.0,80,80,5,0.0,0.0,0.0,0.0,100.0,50.0,1.0,6.0,0.0
67,Sudan,North Africa,15.0,15.0,0.0,0.0,0.0,0.0,5.0,10.0,1500,10.0,25,25,2,0.0,0.0,0.0,0.0,100.0,50.0,0.2,1.5,0.0
68,South Africa,Sub-Saharan Africa,28.0,45.0,15.0,20.0,20.0,0.0,10.0,35.0,6500,35.0,88,88,6,0.0,0.0,0.0,0.0,100.0,50.0,1.2,7.5,0.0
69,Botswana,Sub-Saharan Africa,22.0,25.0,12.0,0.0,0.0,0.0,8.0,20.0,8000,20.0,50,50,3,0.0,0.0,0.0,0.0,100.0,50.0,0.6,4.0,0.0
70,Namibia,Sub-Saharan Africa,32.0,37.0,15.0,0.0,0.0,0.0,10.0,30.0,5000,30.0,75,75,5,0.0,0.0,0.0,0.0,100.0,50.0,0.8,5.0,0.0
71,Zimbabwe,Sub-Saharan Africa,24.0,40.0,15.0,0.0,0.0,0.0,8.0,28.0,1500,28.0,70,70,5,0.0,0.0,0.0,0.0,100.0,50.0,0.5,3.5,0.0
72,Zambia,Sub-Saharan Africa,35.0,37.5,16.0,0.0,0.0,0.0,10.0,32.0,1200,32.0,80,80,5,0.0,0.0,0.0,0.0,100.0,50.0,0.4,2.5,0.0
73,Malawi,Sub-Saharan Africa,30.0,30.0,16.5,0.0,0.0,0.0,8.0,28.0,500,28.0,70,70,5,0.0,0.0,0.0,0.0,100.0,50.0,0.3,2.0,0.0
74,Mozambique,Sub-Saharan Africa,32.0,32.0,17.0,0.0,0.0,0.0,8.0,30.0,500,30.0,75,75,5,0.0,0.0,0.0,0.0,100.0,50.0,0.3,2.0,0.0
75,Madagascar,Sub-Saharan Africa,20.0,20.0,20.0,0.0,0.0,0.0,5.0,25.0,500,25.0,62,62,4,0.0,0.0,0.0,0.0,100.0,50.0,0.2,1.5,0.0
76,Tanzania,Sub-Saharan Africa,30.0,30.0,18.0,0.0,0.0,0.0,8.0,28.0,1200,28.0,70,70,5,0.0,0.0,0.0,0.0,100.0,50.0,0.4,2.5,0.0
77,Kenya,Sub-Saharan Africa,30.0,30.0,16.0,0.0,0.0,0.0,8.0,28.0,2000,28.0,70,70,5,0.0,0.0,0.0,0.0,100.0,50.0,0.5,3.0,0.0
78,Uganda,Sub-Saharan Africa,30.0,30.0,18.0,0.0,0.0,0.0,8.0,28.0,800,28.0,70,70,5,0.0,0.0,0.0,0.0,100.0,50.0,0.3,2.0,0.0
79,Ghana,Sub-Saharan Africa,25.0,25.0,12.5,0.0,0.0,0.0,8.0,22.0,2000,22.0,55,55,4,0.0,0.0,0.0,0.0,100.0,50.0,0.4,2.5,0.0
80,Nigeria,Sub-Saharan Africa,30.0,24.0,7.5,0.0,0.0,0.0,8.0,20.0,2000,20.0,50,50,3,0.0,0.0,0.0,0.0,100.0,50.0,0.3,2.0,0.0
81,Senegal,Sub-Saharan Africa,30.0,30.0,18.0,0.0,0.0,0.0,8.0,28.0,1500,28.0,70,70,5,0.0,0.0,0.0,0.0,100.0,50.0,0.4,2.5,0.0
82,Mali,Sub-Saharan Africa,30.0,30.0,18.0,0.0,0.0,0.0,8.0,28.0,900,28.0,70,70,5,0.0,0.0,0.0,0.0,100.0,50.0,0.3,2.0,0.0
83,Burkina Faso,Sub-Saharan Africa,27.5,27.5,18.0,0.0,0.0,0.0,8.0,26.0,800,26.0,65,65,4,0.0,0.0,0.0,0.0,100.0,50.0,0.3,2.0,0.0
84,Niger,Sub-Saharan Africa,30.0,30.0,19.0,0.0,0.0,0.0,8.0,28.0,500,28.0,70,70,5,0.0,0.0,0.0,0.0,100.0,50.0,0.2,1.5,0.0
85,Chad,Sub-Saharan Africa,35.0,35.0,18.0,0.0,0.0,0.0,8.0,32.0,700,32.0,80,80,5,0.0,0.0,0.0,0.0,100.0,50.0,0.3,2.0,0.0
86,Central African Republic,Sub-Saharan Africa,30.0,30.0,19.0,0.0,0.0,0.0,8.0,28.0,400,28.0,70,70,5,0.0,0.0,0.0,0.0,100.0,50.0,0.2,1.5,0.0
87,Cameroon,Sub-Saharan Africa,30.0,35.0,19.25,0.0,0.0,0.0,8.0,30.0,1500,30.0,75,75,5,0.0,0.0,0.0,0.0,100.0,50.0,0.4,2.5,0.0
88,Democratic Republic of Congo,Sub-Saharan Africa,30.0,30.0,16.0,0.0,0.0,0.0,8.0,28.0,500,28.0,70,70,5,0.0,0.0,0.0,0.0,100.0,50.0,0.2,1.5,0.0
89,Angola,Sub-Saharan Africa,25.0,25.0,14.0,0.0,0.0,0.0,8.0,22.0,3000,22.0,55,55,4,0.0,0.0,0.0,0.0,100.0,50.0,0.5,3.0,0.0
90,Ethiopia,Sub-Saharan Africa,30.0,35.0,15.0,0.0,0.0,0.0,8.0,30.0,900,30.0,75,75,5,0.0,0.0,0.0,0.0,100.0,50.0,0.3,2.0,0.0
91,Somalia,Sub-Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.0,1,1,1,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0
92,Eritrea,Sub-Saharan Africa,30.0,30.0,0.0,0.0,0.0,0.0,8.0,25.0,700,25.0,62,62,4,0.0,0.0,0.0,0.0,100.0,50.0,0.2,1.5,0.0
93,Djibouti,Sub-Saharan Africa,25.0,30.0,0.0,0.0,0.0,0.0,8.0,22.0,3000,22.0,55,55,4,0.0,0.0,0.0,0.0,100.0,50.0,0.4,2.5,0.0
94,Comoros,Sub-Saharan Africa,30.0,30.0,0.0,0.0,0.0,0.0,8.0,25.0,1500,25.0,62,62,4,0.0,0.0,0.0,0.0,100.0,50.0,0.3,2.0,0.0
95,Seychelles,Sub-Saharan Africa,25.0,15.0,15.0,0.0,0.0,0.0,8.0,20.0,15000,20.0,50,50,3,0.0,0.0,0.0,0.0,100.0,50.0,0.8,5.0,0.0
96,Mauritius,Sub-Saharan Africa,15.0,15.0,15.0,0.0,0.0,0.0,8.0,18.0,12000,18.0,45,45,3,0.0,0.0,0.0,0.0,100.0,50.0,0.6,4.0,0.0
97,Madagascar,Sub-Saharan Africa,20.0,20.0,20.0,0.0,0.0,0.0,5.0,25.0,500,25.0,62,62,4,0.0,0.0,0.0,0.0,100.0,50.0,0.2,1.5,0.0
98,Reunion,Sub-Saharan Africa,25.0,45.0,20.0,0.0,0.0,0.0,15.0,40.0,25000,40.0,100,100,7,0.0,0.0,0.0,0.0,100.0,50.0,2.0,12.0,0.0
99,Mayotte,Sub-Saharan Africa,25.0,45.0,20.0,0.0,0.0,0.0,15.0,40.0,12000,40.0,100,100,7,0.0,0.0,0.0,0.0,100.0,50.0,1.5,9.0,0.0
100,French Guiana,Sub-Saharan Africa,25.0,45.0,20.0,0.0,0.0,0.0,15.0,40.0,15000,40.0,100,100,7,0.0,0.0,0.0,0.0,100.0,50.0,1.8,11.0,0.0
