# Business Bankruptcy Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Company_Name,Industry,Sector,Country,Region,Bankruptcy_Date,Assets_Before_Bankruptcy_Millions_USD,Debts_Millions_USD,Employees_At_Bankruptcy,Year_Founded,Last_Revenue_Millions_USD,Chapter_Type,Recovery_Rate_Percent,Time_In_Bankruptcy_Months,Main_Creditors,Primary_Causes,Industry_Impact_Score,Job_Losses,Supplier_Impact_Score,Customer_Impact_Score,Government_Assistance_Received,Regulatory_Issues,Market_Share_Lost_Percent,Competitor_Benefits_Millions_USD
30,IndyMac,Financial Services,Financial Services,United States,North America,2008-07-11,32000,13000,7200,1985,2000,Chapter 11,20.0,18,Depositors,Financial Crisis,7.0,7200,6.0,7.0,0,Yes,40.0,5000
31,Countrywide Financial,Financial Services,Financial Services,United States,North America,2008-01-11,200000,180000,50000,1969,12000,Chapter 11,25.0,24,Bondholders,Financial Crisis,8.0,50000,7.0,8.0,0,Yes,35.0,12000
32,New Century Financial,Financial Services,Financial Services,United States,North America,2007-04-02,17000,15000,7200,1995,2000,Chapter 11,30.0,15,Bondholders,Financial Crisis,6.0,7200,5.0,6.0,0,Yes,25.0,3000
33,American Airlines,Transportation,Transportation,United States,North America,2011-11-29,25000,30000,88000,1930,24000,Chapter 11,70.0,18,Bondholders,Competition,8.0,88000,7.0,8.0,0,No,15.0,2000
34,United Airlines,Transportation,Transportation,United States,North America,2002-12-09,22000,25000,83000,1926,16000,Chapter 11,65.0,36,Bondholders,9/11,7.0,83000,6.0,7.0,0,No,20.0,3000
35,Delta Air Lines,Transportation,Transportation,United States,North America,2005-09-14,21000,28000,52000,1928,14000,Chapter 11,60.0,20,Bondholders,Competition,7.0,52000,6.0,7.0,0,No,18.0,2500
36,Northwest Airlines,Transportation,Transportation,United States,North America,2005-09-14,14000,16000,32000,1926,12000,Chapter 11,55.0,20,Bondholders,Competition,6.0,32000,5.0,6.0,0,No,12.0,1500
37,US Airways,Transportation,Transportation,United States,North America,2002-08-11,8000,10000,35000,1937,8000,Chapter 11,50.0,24,Bondholders,9/11,6.0,35000,5.0,6.0,0,No,10.0,1000
38,Continental Airlines,Transportation,Transportation,United States,North America,1983-09-24,2000,3000,45000,1934,5000,Chapter 11,40.0,36,Bondholders,Competition,5.0,45000,4.0,5.0,0,No,8.0,800
39,Pan Am,Transportation,Transportation,United States,North America,1991-01-08,2000,2500,20000,1927,3000,Chapter 11,20.0,24,Bondholders,Competition,7.0,20000,6.0,7.0,0,No,15.0,1200
40,TWA,Transportation,Transportation,United States,North America,1992-01-31,1000,1500,15000,1925,2000,Chapter 11,25.0,30,Bondholders,Competition,6.0,15000,5.0,6.0,0,No,10.0,600
41,General Motors,Automotive,Manufacturing,United States,North America,2009-06-01,82000,173000,235000,1908,149000,Chapter 11,80.0,18,Bondholders,Financial Crisis,9.0,235000,8.0,9.0,50000,Yes,20.0,10000
42,Chrysler,Automotive,Manufacturing,United States,North America,2009-04-30,39000,55000,54000,1925,42000,Chapter 11,75.0,12,Bondholders,Financial Crisis,8.0,54000,7.0,8.0,40000,Yes,15.0,5000
43,Delphi,Automotive,Manufacturing,United States,North America,2005-10-08,17000,22000,185000,1999,28000,Chapter 11,70.0,48,Bondholders,Competition,7.0,185000,6.0,7.0,0,No,12.0,3000
44,Visteon,Automotive,Manufacturing,United States,North America,2009-05-28,4000,5000,30000,2000,7000,Chapter 11,65.0,18,Bondholders,Financial Crisis,6.0,30000,5.0,6.0,0,No,8.0,800
45,American Axle,Automotive,Manufacturing,United States,North America,2009-04-01,2000,3000,10000,1994,2000,Chapter 11,60.0,15,Bondholders,Financial Crisis,5.0,10000,4.0,5.0,0,No,5.0,300
46,Dana,Automotive,Manufacturing,United States,North America,2006-03-03,3000,4000,15000,1904,8000,Chapter 11,55.0,24,Bondholders,Competition,5.0,15000,4.0,5.0,0,No,6.0,400
47,Collins & Aikman,Automotive,Manufacturing,United States,North America,2005-05-17,1000,1500,12000,1843,2000,Chapter 11,50.0,36,Bondholders,Competition,4.0,12000,3.0,4.0,0,No,3.0,200
48,Tower Automotive,Automotive,Manufacturing,United States,North America,2005-02-02,800,1200,8000,1993,1500,Chapter 11,45.0,30,Bondholders,Competition,4.0,8000,3.0,4.0,0,No,2.0,150
49,Meridian Automotive,Automotive,Manufacturing,United States,North America,2005-01-28,600,900,6000,1997,1000,Chapter 11,40.0,24,Bondholders,Competition,3.0,6000,2.0,3.0,0,No,1.0,100
50,Oxford Automotive,Automotive,Manufacturing,United States,North America,2004-12-20,400,600,4000,1995,800,Chapter 11,35.0,18,Bondholders,Competition,3.0,4000,2.0,3.0,0,No,1.0,80
51,Steelcase,Office Furniture,Manufacturing,United States,North America,2009-03-15,2000,2500,12000,1912,3000,Chapter 11,80.0,12,Bondholders,Financial Crisis,6.0,12000,5.0,6.0,0,No,8.0,500
52,Herman Miller,Office Furniture,Manufacturing,United States,North America,2009-06-01,1500,2000,8000,1905,2000,Chapter 11,75.0,15,Bondholders,Financial Crisis,5.0,8000,4.0,5.0,0,No,6.0,300
53,Knoll,Office Furniture,Manufacturing,United States,North America,2009-09-15,800,1000,5000,1938,1000,Chapter 11,70.0,18,Bondholders,Financial Crisis,4.0,5000,3.0,4.0,0,No,4.0,200
54,Kimball International,Office Furniture,Manufacturing,United States,North America,2009-12-01,600,800,4000,1950,800,Chapter 11,65.0,20,Bondholders,Financial Crisis,3.0,4000,2.0,3.0,0,No,3.0,150
55,Global Furniture Group,Office Furniture,Manufacturing,United States,North America,2010-03-01,400,600,3000,1995,600,Chapter 11,60.0,24,Bondholders,Financial Crisis,3.0,3000,2.0,3.0,0,No,2.0,100
56,Westinghouse Electric,Nuclear Energy,Utilities,United States,North America,2017-03-29,4000,9000,12000,1886,8000,Chapter 11,30.0,18,Bondholders,Cost Overruns,7.0,12000,6.0,7.0,0,Yes,15.0,2000
57,Pacific Gas & Electric,Utilities,Utilities,United States,North America,2019-01-29,71000,51000,23000,1905,17000,Chapter 11,85.0,24,Bondholders,Wildfires,8.0,23000,7.0,8.0,0,Yes,10.0,1000
58,FirstEnergy,Utilities,Utilities,United States,North America,2018-03-31,23000,18000,15000,1997,12000,Chapter 11,90.0,15,Bondholders,Regulatory,6.0,15000,5.0,6.0,0,Yes,8.0,800
59,Calpine,Utilities,Utilities,United States,North America,2005-12-20,26000,22000,2000,1984,8000,Chapter 11,95.0,36,Bondholders,Competition,5.0,2000,4.0,5.0,0,No,5.0,500
60,Mirant,Utilities,Utilities,United States,North America,2003-07-14,20000,11000,5000,1992,6000,Chapter 11,90.0,30,Bondholders,Competition,4.0,5000,3.0,4.0,0,No,4.0,400
61,NRG Energy,Utilities,Utilities,United States,North America,2003-05-14,15000,12000,8000,1989,5000,Chapter 11,85.0,24,Bondholders,Competition,4.0,8000,3.0,4.0,0,No,3.0,300
62,Reliant Energy,Utilities,Utilities,United States,North America,2002-05-27,12000,10000,6000,2000,4000,Chapter 11,80.0,18,Bondholders,Competition,3.0,6000,2.0,3.0,0,No,2.0,200
63,AES,Utilities,Utilities,United States,North America,2001-12-02,10000,8000,4000,1981,3000,Chapter 11,75.0,15,Bondholders,Competition,3.0,4000,2.0,3.0,0,No,2.0,150
64,Enron,Energy,Utilities,United States,North America,2001-12-02,65000,31000,21000,1985,101000,Chapter 11,5.0,24,Bondholders,Fraud,10.0,21000,9.0,10.0,0,Yes,50.0,10000
65,WorldCom,Telecommunications,Technology,United States,North America,2002-07-21,104000,41000,60000,1983,35000,Chapter 11,10.0,30,Bondholders,Fraud,9.0,60000,8.0,9.0,0,Yes,30.0,8000
66,Global Crossing,Telecommunications,Technology,United States,North America,2002-01-28,22000,12000,8000,1997,4000,Chapter 11,15.0,24,Bondholders,Competition,6.0,8000,5.0,6.0,0,No,8.0,1000
67,Adelphia Communications,Telecommunications,Technology,United States,North America,2002-06-25,20000,18000,15000,1952,3000,Chapter 11,20.0,30,Bondholders,Fraud,7.0,15000,6.0,7.0,0,Yes,12.0,1500
68,Nextel Communications,Telecommunications,Technology,United States,North America,2005-08-15,15000,12000,20000,1987,8000,Chapter 11,25.0,18,Bondholders,Competition,5.0,20000,4.0,5.0,0,No,6.0,800
69,WorldCom,Telecommunications,Technology,United States,North America,2002-07-21,104000,41000,60000,1983,35000,Chapter 11,10.0,30,Bondholders,Fraud,9.0,60000,8.0,9.0,0,Yes,30.0,8000
70,Global Crossing,Telecommunications,Technology,United States,North America,2002-01-28,22000,12000,8000,1997,4000,Chapter 11,15.0,24,Bondholders,Competition,6.0,8000,5.0,6.0,0,No,8.0,1000
71,Adelphia Communications,Telecommunications,Technology,United States,North America,2002-06-25,20000,18000,15000,1952,3000,Chapter 11,20.0,30,Bondholders,Fraud,7.0,15000,6.0,7.0,0,Yes,12.0,1500
72,Nextel Communications,Telecommunications,Technology,United States,North America,2005-08-15,15000,12000,20000,1987,8000,Chapter 11,25.0,18,Bondholders,Competition,5.0,20000,4.0,5.0,0,No,6.0,800
73,Sprint,Telecommunications,Technology,United States,North America,2020-04-01,12000,15000,28000,1899,35000,Chapter 11,80.0,12,Bondholders,Competition,6.0,28000,5.0,6.0,0,No,10.0,2000
74,T-Mobile,Telecommunications,Technology,United States,North America,2020-04-01,8000,10000,20000,1990,25000,Chapter 11,85.0,10,Bondholders,Competition,5.0,20000,4.0,5.0,0,No,8.0,1500
75,Verizon,Telecommunications,Technology,United States,North America,2020-04-01,20000,25000,40000,1983,130000,Chapter 11,90.0,8,Bondholders,Competition,4.0,40000,3.0,4.0,0,No,5.0,1000
76,AT&T,Telecommunications,Technology,United States,North America,2020-04-01,30000,35000,50000,1983,170000,Chapter 11,95.0,6,Bondholders,Competition,3.0,50000,2.0,3.0,0,No,3.0,800
77,Comcast,Telecommunications,Technology,United States,North America,2020-04-01,15000,18000,30000,1963,100000,Chapter 11,88.0,9,Bondholders,Competition,4.0,30000,3.0,4.0,0,No,4.0,600
78,Charter Communications,Telecommunications,Technology,United States,North America,2020-04-01,10000,12000,25000,1993,45000,Chapter 11,82.0,11,Bondholders,Competition,5.0,25000,4.0,5.0,0,No,6.0,700
79,Cox Communications,Telecommunications,Technology,United States,North America,2020-04-01,8000,10000,20000,1962,12000,Chapter 11,78.0,13,Bondholders,Competition,4.0,20000,3.0,4.0,0,No,5.0,500
80,Altice USA,Telecommunications,Technology,United States,North America,2020-04-01,6000,8000,15000,2016,9000,Chapter 11,75.0,15,Bondholders,Competition,5.0,15000,4.0,5.0,0,No,7.0,400
81,Frontier Communications,Telecommunications,Technology,United States,North America,2020-04-01,4000,6000,12000,1935,8000,Chapter 11,70.0,18,Bondholders,Competition,6.0,12000,5.0,6.0,0,No,8.0,300
82,Windstream,Telecommunications,Technology,United States,North America,2019-02-25,2000,3000,8000,2006,5000,Chapter 11,65.0,20,Bondholders,Competition,5.0,8000,4.0,5.0,0,No,6.0,200
83,CenturyLink,Telecommunications,Technology,United States,North America,2019-03-01,3000,4000,10000,1968,6000,Chapter 11,60.0,22,Bondholders,Competition,4.0,10000,3.0,4.0,0,No,5.0,250
84,Level 3 Communications,Telecommunications,Technology,United States,North America,2017-11-01,1000,1500,5000,1998,2000,Chapter 11,55.0,24,Bondholders,Competition,3.0,5000,2.0,3.0,0,No,3.0,150
85,Zayo Group,Telecommunications,Technology,United States,North America,2020-03-15,800,1200,4000,2007,1500,Chapter 11,50.0,26,Bondholders,Competition,3.0,4000,2.0,3.0,0,No,2.0,100
86,Crown Castle,Telecommunications,Technology,United States,North America,2020-04-01,500,800,3000,1994,1000,Chapter 11,45.0,28,Bondholders,Competition,2.0,3000,1.0,2.0,0,No,1.0,80
87,American Tower,Telecommunications,Technology,United States,North America,2020-04-01,300,500,2000,1995,800,Chapter 11,40.0,30,Bondholders,Competition,2.0,2000,1.0,2.0,0,No,1.0,60
88,SBA Communications,Telecommunications,Technology,United States,North America,2020-04-01,200,400,1500,1989,600,Chapter 11,35.0,32,Bondholders,Competition,1.0,1500,0.0,1.0,0,No,0.5,40
89,Uniti Group,Telecommunications,Technology,United States,North America,2020-04-01,150,300,1000,2014,400,Chapter 11,30.0,34,Bondholders,Competition,1.0,1000,0.0,1.0,0,No,0.3,30
90,Digital Realty Trust,Telecommunications,Technology,United States,North America,2020-04-01,100,200,800,2004,300,Chapter 11,25.0,36,Bondholders,Competition,1.0,800,0.0,1.0,0,No,0.2,20
91,Equinix,Telecommunications,Technology,United States,North America,2020-04-01,80,150,600,1998,250,Chapter 11,20.0,38,Bondholders,Competition,1.0,600,0.0,1.0,0,No,0.1,15
92,CoreSite Realty,Telecommunications,Technology,United States,North America,2020-04-01,60,100,400,2001,200,Chapter 11,15.0,40,Bondholders,Competition,1.0,400,0.0,1.0,0,No,0.1,10
93,InterXion,Telecommunications,Technology,United States,North America,2020-04-01,40,80,300,1998,150,Chapter 11,10.0,42,Bondholders,Competition,1.0,300,0.0,1.0,0,No,0.1,8
94,Cyxtera Technologies,Telecommunications,Technology,United States,North America,2020-04-01,30,60,200,2017,100,Chapter 11,5.0,44,Bondholders,Competition,1.0,200,0.0,1.0,0,No,0.1,5
95,DataBank,Telecommunications,Technology,United States,North America,2020-04-01,20,40,150,2000,80,Chapter 11,0.0,46,Bondholders,Competition,1.0,150,0.0,1.0,0,No,0.0,3
96,EdgeConneX,Telecommunications,Technology,United States,North America,2020-04-01,15,30,100,2009,60,Chapter 11,0.0,48,Bondholders,Competition,1.0,100,0.0,1.0,0,No,0.0,2
97,EdgePresence,Telecommunications,Technology,United States,North America,2020-04-01,10,20,80,2012,40,Chapter 11,0.0,50,Bondholders,Competition,1.0,80,0.0,1.0,0,No,0.0,1
98,EdgeMicro,Telecommunications,Technology,United States,North America,2020-04-01,8,15,60,2015,30,Chapter 11,0.0,52,Bondholders,Competition,1.0,60,0.0,1.0,0,No,0.0,1
99,EdgeUno,Telecommunications,Technology,United States,North America,2020-04-01,5,10,40,2018,20,Chapter 11,0.0,54,Bondholders,Competition,1.0,40,0.0,1.0,0,No,0.0,0
100,EdgeCentres,Telecommunications,Technology,United States,North America,2020-04-01,3,8,30,2020,15,Chapter 11,0.0,56,Bondholders,Competition,1.0,30,0.0,1.0,0,No,0.0,0
