# Startup Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Company_Name,Founding_Year,Founders,Industry,Sector,Country,City,Funding_Rounds,Total_Funding_Millions_USD,Valuation_Millions_USD,Employees,Revenue_Millions_USD,Status,Last_Funding_Date,Investors
40,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
41,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
42,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
43,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
44,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
45,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
46,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
47,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
48,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
49,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
50,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
51,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
52,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
53,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
54,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
55,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
56,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
57,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
58,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
59,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
60,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
61,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
62,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
63,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
64,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
65,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
66,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
67,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
68,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
69,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
70,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
71,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
72,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
73,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
74,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
75,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
76,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
77,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
78,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
79,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
80,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
81,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
82,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
83,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
84,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
85,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
86,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
87,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
88,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
89,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
90,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
91,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
92,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
93,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
94,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
95,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
96,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
97,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
98,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
99,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
100,Weights & Biases,2017,Lukas Biewald,AI,Technology,United States,San Francisco,4,250,1000,200,50,Private,2023-08-01,Insight Partners
