# Retail Sales Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Total_Retail_Sales_Billions_USD,Retail_Sales_Growth_Rate_Percent,Per_Capita_Retail_Sales_USD,Online_Retail_Sales_Billions_USD,E_Commerce_Penetration_Percent,Food_Retail_Sales_Billions_USD,Clothing_Retail_Sales_Billions_USD,Electronics_Retail_Sales_Billions_USD,Home_Furniture_Retail_Sales_Billions_USD,Automotive_Retail_Sales_Billions_USD,Health_Beauty_Retail_Sales_Billions_USD,Sports_Recreation_Retail_Sales_Billions_USD,Books_Media_Retail_Sales_Billions_USD,Other_Retail_Sales_Billions_USD,Retail_Employment_Millions,Average_Store_Size_Square_Meters,Number_of_Stores_Thousands,Retail_Density_Per_1000_People,Consumer_Confidence_Index,Disposable_Income_Billions_USD,Inflation_Rate_Percent,Unemployment_Rate_Percent
20,Sweden,Northern Europe,130,2.8,12500,26,20.0,30,15,12,10,20,8,6,5,30,50,0.7,150,25,2.4,105.2,600,8.4,6.8
21,Poland,Eastern Europe,120,4.2,3200,24,20.0,40,20,15,12,18,8,6,5,25,45,2.5,200,80,2.1,102.5,800,11.4,5.5
22,Thailand,Southeast Asia,110,6.5,1600,22,20.0,50,25,20,15,15,8,6,5,20,40,4.5,150,100,1.5,100.5,600,1.2,1.2
23,Malaysia,Southeast Asia,100,5.5,3000,20,20.0,35,18,15,12,15,6,5,4,18,35,2.8,120,60,1.9,101.2,500,2.5,3.5
24,Philippines,Southeast Asia,90,8.5,800,18,20.0,45,22,18,15,12,6,5,4,15,30,6.5,100,150,1.4,99.8,400,6.0,4.5
25,Vietnam,Southeast Asia,80,12.5,850,16,20.0,35,18,15,12,10,5,4,3,12,25,5.5,80,120,1.3,99.2,350,4.7,2.2
26,Argentina,South America,70,2.8,1500,14,20.0,25,12,10,8,8,4,3,2,10,20,2.5,150,80,1.8,99.5,300,160.9,7.4
27,Chile,South America,65,3.5,3400,13,20.0,20,10,8,6,8,3,2,2,8,18,1.8,120,50,2.7,99.2,280,4.1,8.2
28,Colombia,South America,60,4.5,1200,12,20.0,25,12,10,8,6,3,2,2,7,16,2.8,100,80,1.6,98.8,250,11.8,11.8
29,Peru,South America,55,5.5,1700,11,20.0,20,10,8,6,6,3,2,2,6,15,2.2,80,60,1.9,99.5,200,5.0,5.0
30,Ecuador,South America,50,3.8,2800,10,20.0,18,9,7,5,5,2,2,1,5,13,1.5,70,40,2.4,99.2,180,2.7,3.1
31,Bolivia,South America,45,4.2,3800,9,20.0,16,8,6,4,4,2,1,1,4,12,1.2,60,30,2.6,99.2,160,3.1,4.2
32,Paraguay,South America,40,5.2,5600,8,20.0,14,7,5,3,3,1,1,1,3,10,1.0,50,25,3.5,99.2,140,4.9,4.9
33,Uruguay,South America,35,3.5,10000,7,20.0,12,6,4,3,3,1,1,1,3,9,0.8,40,20,2.9,99.2,120,5.2,5.2
34,Venezuela,South America,30,1.8,1000,6,20.0,10,5,4,2,2,1,1,1,2,8,0.6,30,15,0.5,95.8,100,189.8,25.8
35,South Africa,Sub-Saharan Africa,80,2.5,1300,16,20.0,25,12,10,8,10,4,3,2,12,20,2.5,150,100,1.7,99.5,400,6.0,32.9
36,Nigeria,Sub-Saharan Africa,70,8.5,320,14,20.0,30,15,12,10,8,3,2,2,8,18,8.5,100,200,0.9,94.5,300,24.5,24.5
37,Egypt,North Africa,60,5.5,600,12,20.0,20,10,8,6,6,3,2,2,6,15,3.5,80,120,1.2,97.8,250,33.9,7.2
38,Kenya,Sub-Saharan Africa,50,6.5,1000,10,20.0,18,9,7,5,5,2,2,1,5,13,2.8,60,80,1.7,96.5,200,7.7,7.7
39,Morocco,North Africa,45,4.5,1200,9,20.0,15,7,5,4,4,2,1,1,4,11,2.2,50,60,1.6,98.8,180,2.8,10.8
40,Algeria,North Africa,40,3.8,900,8,20.0,14,7,5,3,3,1,1,1,3,10,2.0,40,50,1.1,97.5,160,2.5,12.5
41,Tunisia,North Africa,35,2.8,3000,7,20.0,12,6,4,3,3,1,1,1,3,9,1.5,35,40,3.4,98.2,140,2.8,16.8
42,Ethiopia,Sub-Saharan Africa,30,12.5,250,6,20.0,12,6,4,3,3,1,1,1,3,8,2.5,30,100,0.9,96.8,120,28.2,28.2
43,Ghana,Sub-Saharan Africa,25,8.5,800,5,20.0,10,5,4,2,2,1,1,1,2,7,1.8,25,50,1.7,95.8,100,23.2,23.2
44,Tanzania,Sub-Saharan Africa,20,6.5,350,4,20.0,8,4,3,2,2,1,1,1,2,6,1.5,20,40,0.7,96.8,80,4.8,4.8
45,Uganda,Sub-Saharan Africa,18,5.5,400,3.6,20.0,7,3,2,1,1,0,0,0,1,5,1.2,18,30,0.7,96.8,70,5.2,5.2
46,Senegal,Sub-Saharan Africa,15,4.5,900,3,20.0,6,3,2,1,1,0,0,0,1,4,1.0,15,25,1.5,93.8,60,2.5,10.0
47,Mali,Sub-Saharan Africa,12,3.8,600,2.4,20.0,5,2,1,1,1,0,0,0,1,3,0.8,12,20,1.0,92.5,50,2.5,2.5
48,Burkina Faso,Sub-Saharan Africa,10,3.2,500,2,20.0,4,2,1,1,1,0,0,0,1,3,0.6,10,15,0.7,91.8,40,2.5,2.5
49,Niger,Sub-Saharan Africa,8,2.8,350,1.6,20.0,3,1,1,0,0,0,0,0,0,2,0.5,8,12,0.5,90.5,30,2.2,2.2
50,Chad,Sub-Saharan Africa,6,2.5,400,1.2,20.0,2,1,0,0,0,0,0,0,0,2,0.4,6,10,0.6,89.2,25,1.8,1.8
51,Central African Republic,Sub-Saharan Africa,4,2.2,200,0.8,20.0,1,0,0,0,0,0,0,0,0,1,0.3,4,8,0.2,87.8,20,1.5,1.5
52,Cameroon,Sub-Saharan Africa,15,4.8,600,3,20.0,6,3,2,1,1,0,0,0,1,4,1.2,15,30,1.2,92.5,60,2.8,2.8
53,Democratic Republic of Congo,Sub-Saharan Africa,12,6.5,300,2.4,20.0,5,2,1,1,1,0,0,0,1,3,1.0,12,25,0.3,85.5,50,1.2,1.2
54,Angola,Sub-Saharan Africa,18,5.5,6000,3.6,20.0,7,3,2,1,1,0,0,0,1,5,1.5,18,35,0.5,99.2,70,15.2,15.2
55,Madagascar,Sub-Saharan Africa,10,4.2,350,2,20.0,4,2,1,1,1,0,0,0,1,3,0.8,10,20,0.7,97.2,40,8.5,8.5
56,Mozambique,Sub-Saharan Africa,8,3.8,250,1.6,20.0,3,1,1,0,0,0,0,0,0,2,0.6,8,15,0.3,97.8,30,5.2,5.2
57,Malawi,Sub-Saharan Africa,6,3.2,300,1.2,20.0,2,1,0,0,0,0,0,0,0,2,0.5,6,12,0.6,96.8,25,25.2,25.2
58,Zambia,Sub-Saharan Africa,7,4.5,400,1.4,20.0,3,1,1,0,0,0,0,0,0,2,0.7,7,14,0.4,99.2,30,13.4,13.4
59,Zimbabwe,Sub-Saharan Africa,5,2.8,300,1,20.0,2,1,0,0,0,0,0,0,0,1,0.4,5,10,0.6,97.2,20,18.4,18.4
60,Lesotho,Sub-Saharan Africa,3,2.5,1400,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,5,2.3,95.8,15,2.0,2.0
61,Swaziland,Sub-Saharan Africa,2,2.2,1700,0.4,20.0,1,0,0,0,0,0,0,0,0,1,0.1,2,3,2.6,94.5,10,1.8,1.8
62,Botswana,Sub-Saharan Africa,4,3.5,1700,0.8,20.0,1,0,0,0,0,0,0,0,0,1,0.3,4,8,1.4,101.8,20,4.8,4.8
63,Namibia,Sub-Saharan Africa,3,3.2,1200,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,6,2.3,100.2,15,6.0,6.0
64,Swaziland,Sub-Saharan Africa,2,2.2,1700,0.4,20.0,1,0,0,0,0,0,0,0,0,1,0.1,2,3,2.6,94.5,10,1.8,1.8
65,Lesotho,Sub-Saharan Africa,3,2.5,1400,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,5,2.3,95.8,15,2.0,2.0
66,Botswana,Sub-Saharan Africa,4,3.5,1700,0.8,20.0,1,0,0,0,0,0,0,0,0,1,0.3,4,8,1.4,101.8,20,4.8,4.8
67,Namibia,Sub-Saharan Africa,3,3.2,1200,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,6,2.3,100.2,15,6.0,6.0
68,Swaziland,Sub-Saharan Africa,2,2.2,1700,0.4,20.0,1,0,0,0,0,0,0,0,0,1,0.1,2,3,2.6,94.5,10,1.8,1.8
69,Lesotho,Sub-Saharan Africa,3,2.5,1400,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,5,2.3,95.8,15,2.0,2.0
70,Botswana,Sub-Saharan Africa,4,3.5,1700,0.8,20.0,1,0,0,0,0,0,0,0,0,1,0.3,4,8,1.4,101.8,20,4.8,4.8
71,Namibia,Sub-Saharan Africa,3,3.2,1200,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,6,2.3,100.2,15,6.0,6.0
72,Swaziland,Sub-Saharan Africa,2,2.2,1700,0.4,20.0,1,0,0,0,0,0,0,0,0,1,0.1,2,3,2.6,94.5,10,1.8,1.8
73,Lesotho,Sub-Saharan Africa,3,2.5,1400,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,5,2.3,95.8,15,2.0,2.0
74,Botswana,Sub-Saharan Africa,4,3.5,1700,0.8,20.0,1,0,0,0,0,0,0,0,0,1,0.3,4,8,1.4,101.8,20,4.8,4.8
75,Namibia,Sub-Saharan Africa,3,3.2,1200,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,6,2.3,100.2,15,6.0,6.0
76,Swaziland,Sub-Saharan Africa,2,2.2,1700,0.4,20.0,1,0,0,0,0,0,0,0,0,1,0.1,2,3,2.6,94.5,10,1.8,1.8
77,Lesotho,Sub-Saharan Africa,3,2.5,1400,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,5,2.3,95.8,15,2.0,2.0
78,Botswana,Sub-Saharan Africa,4,3.5,1700,0.8,20.0,1,0,0,0,0,0,0,0,0,1,0.3,4,8,1.4,101.8,20,4.8,4.8
79,Namibia,Sub-Saharan Africa,3,3.2,1200,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,6,2.3,100.2,15,6.0,6.0
80,Swaziland,Sub-Saharan Africa,2,2.2,1700,0.4,20.0,1,0,0,0,0,0,0,0,0,1,0.1,2,3,2.6,94.5,10,1.8,1.8
81,Lesotho,Sub-Saharan Africa,3,2.5,1400,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,5,2.3,95.8,15,2.0,2.0
82,Botswana,Sub-Saharan Africa,4,3.5,1700,0.8,20.0,1,0,0,0,0,0,0,0,0,1,0.3,4,8,1.4,101.8,20,4.8,4.8
83,Namibia,Sub-Saharan Africa,3,3.2,1200,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,6,2.3,100.2,15,6.0,6.0
84,Swaziland,Sub-Saharan Africa,2,2.2,1700,0.4,20.0,1,0,0,0,0,0,0,0,0,1,0.1,2,3,2.6,94.5,10,1.8,1.8
85,Lesotho,Sub-Saharan Africa,3,2.5,1400,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,5,2.3,95.8,15,2.0,2.0
86,Botswana,Sub-Saharan Africa,4,3.5,1700,0.8,20.0,1,0,0,0,0,0,0,0,0,1,0.3,4,8,1.4,101.8,20,4.8,4.8
87,Namibia,Sub-Saharan Africa,3,3.2,1200,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,6,2.3,100.2,15,6.0,6.0
88,Swaziland,Sub-Saharan Africa,2,2.2,1700,0.4,20.0,1,0,0,0,0,0,0,0,0,1,0.1,2,3,2.6,94.5,10,1.8,1.8
89,Lesotho,Sub-Saharan Africa,3,2.5,1400,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,5,2.3,95.8,15,2.0,2.0
90,Botswana,Sub-Saharan Africa,4,3.5,1700,0.8,20.0,1,0,0,0,0,0,0,0,0,1,0.3,4,8,1.4,101.8,20,4.8,4.8
91,Namibia,Sub-Saharan Africa,3,3.2,1200,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,6,2.3,100.2,15,6.0,6.0
92,Swaziland,Sub-Saharan Africa,2,2.2,1700,0.4,20.0,1,0,0,0,0,0,0,0,0,1,0.1,2,3,2.6,94.5,10,1.8,1.8
93,Lesotho,Sub-Saharan Africa,3,2.5,1400,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,5,2.3,95.8,15,2.0,2.0
94,Botswana,Sub-Saharan Africa,4,3.5,1700,0.8,20.0,1,0,0,0,0,0,0,0,0,1,0.3,4,8,1.4,101.8,20,4.8,4.8
95,Namibia,Sub-Saharan Africa,3,3.2,1200,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,6,2.3,100.2,15,6.0,6.0
96,Swaziland,Sub-Saharan Africa,2,2.2,1700,0.4,20.0,1,0,0,0,0,0,0,0,0,1,0.1,2,3,2.6,94.5,10,1.8,1.8
97,Lesotho,Sub-Saharan Africa,3,2.5,1400,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,5,2.3,95.8,15,2.0,2.0
98,Botswana,Sub-Saharan Africa,4,3.5,1700,0.8,20.0,1,0,0,0,0,0,0,0,0,1,0.3,4,8,1.4,101.8,20,4.8,4.8
99,Namibia,Sub-Saharan Africa,3,3.2,1200,0.6,20.0,1,0,0,0,0,0,0,0,0,1,0.2,3,6,2.3,100.2,15,6.0,6.0
100,Swaziland,Sub-Saharan Africa,2,2.2,1700,0.4,20.0,1,0,0,0,0,0,0,0,0,1,0.1,2,3,2.6,94.5,10,1.8,1.8
