# Real Estate Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Avg_Home_Price_USD,Avg_Rent_Monthly_USD,Price_Per_Square_Meter_USD,Rent_Per_Square_Meter_USD,Home_Ownership_Rate_Percent,Price_to_Income_Ratio,Price_to_Rent_Ratio,Mortgage_Interest_Rate_Percent,Construction_Cost_Index,New_Housing_Units_Built,Construction_Starts,Construction_Completions,Housing_Stock_Millions,Population_Millions,Housing_Density_Per_1000_People,Urbanization_Rate_Percent,GDP_Per_Capita_USD,Unemployment_Rate_Percent,Population_Growth_Rate_Percent,Inflation_Rate_Percent,Government_Support_Index,Foreign_Investment_Restrictions,Property_Tax_Rate_Percent,Transaction_Costs_Percent
26,Poland,Eastern Europe,120000,400,1500,4,85,4.0,25.0,6.5,70,150000,130000,140000,15.0,37.8,397,60,16000,5.5,0.0,11.4,6,1,0.0,3.0
27,Czech Republic,Eastern Europe,100000,350,1200,3.5,80,3.5,23.8,5.0,65,25000,22000,24000,4.5,10.7,420,74,25000,2.8,0.1,10.7,6,1,0.0,2.5
28,Hungary,Eastern Europe,80000,300,1000,3,90,3.0,22.2,6.0,60,20000,18000,19000,4.0,9.7,412,72,18000,4.2,0.0,17.6,5,1,0.0,2.0
29,Slovakia,Eastern Europe,70000,250,900,2.5,90,2.5,23.3,5.8,55,15000,12000,14000,2.5,5.5,455,54,18000,5.8,0.0,10.9,5,1,0.0,1.5
30,Slovenia,Eastern Europe,90000,320,1100,3.2,85,3.5,23.4,4.5,60,5000,4000,4500,1.0,2.1,476,55,28000,4.2,0.1,7.3,6,1,0.0,2.5
31,Croatia,Eastern Europe,60000,200,800,2,85,2.5,25.0,3.5,50,8000,6000,7000,1.8,4.1,439,57,15000,6.8,0.0,8.1,5,1,0.0,2.0
32,Romania,Eastern Europe,50000,150,600,1.5,95,2.0,27.8,6.0,45,30000,25000,28000,8.0,19.3,415,55,14000,5.8,0.0,5.0,4,1,0.0,1.5
33,Bulgaria,Eastern Europe,40000,120,500,1.2,95,1.5,27.8,5.5,40,15000,12000,14000,3.5,6.9,507,76,12000,4.2,0.0,6.0,4,1,0.0,1.0
34,Russia,Eastern Europe,60000,200,800,2,90,2.5,25.0,12.0,50,200000,180000,190000,70.0,146.2,479,75,12000,3.2,0.0,5.9,3,2,0.0,2.0
35,Belarus,Eastern Europe,30000,100,400,1,95,1.5,25.0,15.0,35,25000,20000,22000,4.0,9.4,426,79,7000,4.5,0.0,6.8,3,2,0.0,1.5
36,Ukraine,Eastern Europe,20000,80,300,0.8,95,1.0,20.8,20.0,30,15000,12000,14000,20.0,44.1,454,70,5000,8.5,0.0,5.2,2,2,0.0,1.0
37,Moldova,Eastern Europe,15000,60,200,0.6,95,0.8,20.8,18.0,25,5000,4000,4500,1.2,2.6,462,43,5000,5.8,0.0,14.2,2,2,0.0,0.8
38,Georgia,Eastern Europe,25000,100,350,1,85,1.5,20.8,12.0,40,8000,6000,7000,1.0,3.7,270,60,5000,11.8,0.0,2.4,3,1,0.0,1.5
39,Armenia,Eastern Europe,20000,80,300,0.8,90,1.2,20.8,10.0,35,3000,2500,2800,0.8,3.0,267,63,5000,15.2,0.0,0.9,2,1,0.0,1.2
40,Azerbaijan,Eastern Europe,30000,120,400,1.2,85,1.8,20.8,8.0,45,10000,8000,9000,2.5,10.1,248,56,7000,5.8,0.0,12.0,3,1,0.0,1.8
41,Kazakhstan,Central Asia,40000,150,500,1.5,80,2.5,22.2,12.0,50,20000,18000,19000,7.0,19.0,368,58,10000,4.8,0.0,14.5,4,1,0.0,2.5
42,Uzbekistan,Central Asia,15000,60,200,0.6,95,1.0,20.8,15.0,25,50000,45000,48000,8.0,34.9,229,50,2000,9.5,0.0,12.3,2,2,0.0,1.0
43,Turkmenistan,Central Asia,20000,80,300,0.8,90,1.5,20.8,8.0,30,3000,2500,2800,1.5,6.0,250,53,7000,3.8,0.0,8.5,2,2,0.0,1.5
44,Tajikistan,Central Asia,10000,40,150,0.4,95,0.8,20.8,12.0,20,2000,1500,1800,1.0,9.7,103,28,1000,2.8,0.0,3.8,1,2,0.0,0.8
45,Kyrgyzstan,Central Asia,8000,30,120,0.3,95,0.6,22.2,15.0,15,1000,800,900,0.8,6.7,119,37,1500,4.8,0.0,7.3,1,2,0.0,0.6
46,Mongolia,East Asia,25000,100,350,1,85,2.0,20.8,13.0,40,5000,4000,4500,1.2,3.3,364,68,5000,6.8,0.0,8.5,3,1,0.0,2.0
47,China,East Asia,80000,300,1000,3,90,6.0,22.2,4.5,70,15000000,14000000,14500000,500.0,1400.0,357,64,12000,5.2,0.0,0.7,6,2,0.0,6.0
48,Taiwan,East Asia,200000,600,2500,6,85,8.0,27.8,2.0,80,80000,70000,75000,9.0,23.6,381,79,32000,3.5,0.0,1.8,7,1,0.0,8.0
49,Thailand,Southeast Asia,50000,200,600,2,80,2.5,20.8,3.5,45,100000,90000,95000,20.0,70.0,286,52,8000,1.2,0.0,1.2,5,1,0.0,2.5
50,Malaysia,Southeast Asia,80000,300,1000,3,75,4.0,22.2,3.8,60,150000,130000,140000,8.0,32.4,247,78,12000,3.5,0.0,3.5,6,1,0.0,4.0
51,Indonesia,Southeast Asia,30000,120,400,1.2,85,2.0,20.8,6.0,35,200000,180000,190000,70.0,275.8,254,57,4500,5.8,0.0,3.7,4,1,0.0,2.0
52,Philippines,Southeast Asia,25000,100,350,1,75,1.8,20.8,6.5,30,150000,130000,140000,25.0,109.6,228,48,3500,4.5,0.0,6.0,4,1,0.0,1.8
53,Vietnam,Southeast Asia,20000,80,300,0.8,90,1.5,20.8,8.0,25,100000,90000,95000,30.0,97.3,308,38,3500,2.2,0.0,4.7,4,1,0.0,1.5
54,Cambodia,Southeast Asia,15000,60,200,0.6,85,1.2,20.8,12.0,20,50000,45000,48000,4.0,16.7,240,24,1700,0.8,0.0,4.5,3,1,0.0,1.2
55,Laos,Southeast Asia,12000,50,150,0.5,90,1.0,20.0,10.0,18,8000,7000,7500,1.5,7.3,205,36,2500,2.5,0.0,4.2,3,1,0.0,1.0
56,Myanmar,Southeast Asia,10000,40,120,0.4,95,0.8,20.8,15.0,15,20000,18000,19000,12.0,54.4,221,31,1200,3.8,0.0,3.8,2,2,0.0,0.8
57,Bangladesh,South Asia,8000,30,100,0.3,95,0.6,22.2,8.0,12,100000,90000,95000,35.0,164.7,213,39,2000,4.2,0.0,9.5,2,1,0.0,0.6
58,India,South Asia,15000,60,200,0.6,90,1.2,20.8,7.0,20,2000000,1800000,1900000,300.0,1380.0,217,35,2000,7.2,0.0,5.4,4,1,0.0,1.2
59,Pakistan,South Asia,12000,50,150,0.5,85,1.0,20.0,15.0,18,150000,130000,140000,35.0,220.9,158,37,1500,6.5,0.0,29.2,3,1,0.0,1.0
60,Sri Lanka,South Asia,10000,40,120,0.4,90,0.8,20.8,18.0,15,25000,20000,23000,6.0,21.9,274,19,4000,5.8,0.0,4.0,2,1,0.0,0.8
61,Nepal,South Asia,8000,30,100,0.3,95,0.6,22.2,12.0,12,15000,12000,14000,6.0,29.1,206,21,1200,11.2,0.0,7.4,2,1,0.0,0.6
62,Bhutan,South Asia,15000,60,200,0.6,80,1.2,20.8,8.0,20,500,400,450,0.2,0.8,250,42,3500,2.5,0.0,4.2,3,1,0.0,1.2
63,Afghanistan,South Asia,5000,20,60,0.2,95,0.4,25.0,0.0,8,5000,4000,4500,8.0,40.4,198,26,500,40.0,0.0,5.0,1,2,0.0,0.4
64,Turkey,Middle East,40000,150,500,1.5,70,2.5,22.2,45.0,35,500000,450000,480000,25.0,84.8,295,76,9500,10.2,0.0,53.8,4,1,0.0,2.5
65,Iran,Middle East,25000,100,350,1,80,1.8,20.8,18.0,25,200000,180000,190000,25.0,85.0,294,75,5000,9.5,0.0,45.8,3,2,0.0,1.8
66,Iraq,Middle East,15000,60,200,0.6,85,1.2,20.8,0.0,20,50000,45000,48000,8.0,41.2,194,71,4500,15.8,0.0,25.8,2,2,0.0,1.2
67,Syria,Middle East,8000,30,100,0.3,90,0.6,22.2,0.0,12,5000,4000,4500,5.0,18.3,273,56,2000,25.8,0.0,85.2,1,2,0.0,0.6
68,Lebanon,Middle East,20000,80,300,0.8,75,1.5,20.8,0.0,25,3000,2500,2800,1.5,6.8,221,89,8000,35.8,0.0,123.5,2,2,0.0,1.5
69,Jordan,Middle East,30000,120,400,1.2,70,2.0,20.8,8.0,30,15000,12000,14000,2.5,10.2,245,91,4500,22.8,0.0,4.2,3,1,0.0,2.0
70,Israel,Middle East,350000,1200,4000,12,70,8.0,24.3,4.5,80,50000,45000,48000,3.5,9.4,372,93,45000,3.2,0.0,4.2,6,1,0.0,8.0
71,Saudi Arabia,Middle East,80000,300,1000,3,60,3.0,22.2,3.0,50,100000,90000,95000,8.0,35.0,229,84,52000,5.8,0.0,3.2,5,1,0.0,3.0
72,Kuwait,Middle East,60000,250,800,2.5,70,2.5,20.0,3.5,45,15000,12000,14000,1.5,4.3,349,100,55000,2.8,0.0,2.8,4,1,0.0,2.5
73,Qatar,Middle East,70000,300,900,3,65,3.0,19.4,3.0,50,10000,8000,9000,0.8,2.9,276,100,65000,0.2,0.0,3.5,4,1,0.0,3.0
74,Bahrain,Middle East,50000,200,700,2,60,2.5,20.8,4.0,40,8000,6000,7000,0.5,1.7,294,89,52000,1.8,0.0,2.2,3,1,0.0,2.5
75,Oman,Middle East,40000,150,600,1.5,70,2.0,22.2,5.0,35,20000,18000,19000,1.5,5.2,288,87,8000,3.2,0.0,2.8,3,1,0.0,2.0
76,Yemen,Middle East,8000,30,100,0.3,95,0.6,22.2,0.0,10,2000,1500,1800,2.0,30.0,67,38,2000,35.8,0.0,25.8,1,2,0.0,0.6
77,Egypt,North Africa,15000,60,200,0.6,85,1.2,20.8,18.0,20,100000,90000,95000,25.0,102.3,244,43,4000,7.2,0.0,33.9,3,1,0.0,1.2
78,Libya,North Africa,12000,50,150,0.5,90,1.0,20.0,0.0,15,5000,4000,4500,2.0,6.9,290,78,6000,15.8,0.0,2.2,2,2,0.0,1.0
79,Tunisia,North Africa,10000,40,120,0.4,85,0.8,20.8,8.0,12,8000,6000,7000,3.0,11.8,254,69,3500,16.8,0.0,2.8,2,1,0.0,0.8
80,Algeria,North Africa,8000,30,100,0.3,90,0.6,22.2,8.0,10,15000,12000,14000,8.0,44.2,181,74,4000,12.5,0.0,2.5,2,1,0.0,0.6
81,Morocco,North Africa,12000,50,150,0.5,80,1.0,20.0,6.0,15,20000,18000,19000,8.0,37.1,216,64,3500,10.8,0.0,2.8,2,1,0.0,1.0
82,Sudan,North Africa,5000,20,60,0.2,95,0.4,25.0,0.0,8,5000,4000,4500,8.0,45.7,175,35,1500,25.8,0.0,63.3,1,2,0.0,0.4
83,South Africa,Sub-Saharan Africa,80000,300,1000,3,70,5.0,22.2,13.0,50,50000,45000,48000,15.0,60.4,248,67,6500,32.9,0.0,6.0,4,1,0.0,5.0
84,Botswana,Sub-Saharan Africa,25000,100,350,1,75,2.0,20.8,8.0,25,5000,4000,4500,0.8,2.4,333,72,8000,23.8,0.0,4.8,3,1,0.0,2.0
85,Namibia,Sub-Saharan Africa,20000,80,300,0.8,80,1.8,20.8,8.0,20,3000,2500,2800,0.6,2.5,240,53,5000,32.0,0.0,6.0,3,1,0.0,1.8
86,Zimbabwe,Sub-Saharan Africa,15000,60,200,0.6,85,1.5,20.8,150.0,18,2000,1500,1800,3.0,15.2,197,32,1500,18.4,0.0,18.4,2,2,0.0,1.5
87,Zambia,Sub-Saharan Africa,12000,50,150,0.5,90,1.2,20.0,18.0,15,8000,6000,7000,3.0,18.4,163,45,2500,13.4,0.0,13.4,2,1,0.0,1.2
88,Malawi,Sub-Saharan Africa,8000,30,100,0.3,95,0.8,22.2,24.0,12,3000,2500,2800,2.0,19.1,105,17,1000,25.2,0.0,25.2,1,2,0.0,0.8
89,Mozambique,Sub-Saharan Africa,10000,40,120,0.4,85,1.0,20.8,17.0,15,5000,4000,4500,2.5,32.1,78,38,1200,5.2,0.0,5.2,2,1,0.0,1.0
90,Madagascar,Sub-Saharan Africa,6000,25,80,0.25,95,0.6,20.0,11.0,10,2000,1500,1800,5.0,28.9,173,39,500,8.5,0.0,8.5,1,2,0.0,0.6
91,Tanzania,Sub-Saharan Africa,8000,30,100,0.3,90,0.8,22.2,6.0,12,15000,12000,14000,12.0,59.7,201,35,1200,4.8,0.0,4.8,2,1,0.0,0.8
92,Kenya,Sub-Saharan Africa,12000,50,150,0.5,80,1.2,20.0,13.0,15,20000,18000,19000,15.0,53.8,279,28,2000,7.7,0.0,7.7,2,1,0.0,1.2
93,Uganda,Sub-Saharan Africa,6000,25,80,0.25,90,0.6,20.0,10.0,10,8000,6000,7000,8.0,45.7,175,26,1000,5.2,0.0,5.2,1,2,0.0,0.6
94,Ghana,Sub-Saharan Africa,10000,40,120,0.4,85,1.0,20.8,30.0,12,15000,12000,14000,8.0,31.7,252,58,2000,23.2,0.0,23.2,2,1,0.0,1.0
95,Nigeria,Sub-Saharan Africa,15000,60,200,0.6,75,1.2,20.8,18.0,15,100000,90000,95000,50.0,218.5,229,52,2000,24.5,0.0,24.5,2,1,0.0,1.2
96,Senegal,Sub-Saharan Africa,8000,30,100,0.3,90,0.8,22.2,0.0,10,5000,4000,4500,3.0,16.7,180,49,1500,10.0,0.0,10.0,1,2,0.0,0.8
97,Mali,Sub-Saharan Africa,6000,25,80,0.25,95,0.6,20.0,0.0,8,2000,1500,1800,2.0,20.3,99,44,900,2.8,0.0,2.8,1,2,0.0,0.6
98,Burkina Faso,Sub-Saharan Africa,5000,20,60,0.2,95,0.4,25.0,0.0,6,1500,1200,1400,1.5,21.5,70,31,700,2.5,0.0,2.5,1,2,0.0,0.4
99,Niger,Sub-Saharan Africa,4000,15,50,0.15,95,0.3,20.0,0.0,5,1000,800,900,1.0,25.1,40,17,500,1.2,0.0,1.2,1,2,0.0,0.3
100,Chad,Sub-Saharan Africa,3000,12,40,0.12,95,0.2,20.8,0.0,4,500,400,450,0.5,16.4,30,23,700,1.8,0.0,1.8,1,2,0.0,0.2
