# Banking Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Bank_Name,Country,Region,Total_Assets_Billions_USD,Total_Deposits_Billions_USD,Total_Loans_Billions_USD,Interest_Rate_Savings_Percent,Interest_Rate_Loans_Percent,Net_Interest_Margin_Percent,Return_on_Assets_Percent,Return_on_Equity_Percent,Capital_Adequacy_Ratio_Percent,Non_Performing_Loans_Percent,Number_of_Branches,Number_of_Employees,Digital_Banking_Penetration_Percent,Mobile_Banking_Users_Millions,Credit_Card_Issued_Millions,ATM_Network_Size,Revenue_Billions_USD,Profit_Billions_USD,Customer_Satisfaction_Score
32,China Construction Bank,China,East Asia,3800.0,3200.0,2800.0,1.2,5.5,3.5,0.7,11.8,14.5,2.0,15000,380000,82.0,150.2,250.5,45000,105.8,75.5,7.5
33,Agricultural Bank of China,China,East Asia,3500.0,3000.0,2600.0,1.0,5.2,3.2,0.6,10.5,13.8,2.2,25000,420000,78.0,125.8,220.2,60000,95.2,68.5,7.2
34,Bank of China,China,East Asia,3200.0,2800.0,2400.0,1.3,5.8,3.8,0.8,12.2,15.5,1.5,12000,350000,80.0,135.5,240.8,40000,88.5,72.8,7.8
35,China Merchants Bank,China,East Asia,1200.0,1000.0,850.0,1.8,6.2,4.2,1.2,15.8,18.5,1.2,2800,85000,90.0,45.2,65.8,8000,35.8,25.5,8.5
36,Postal Savings Bank,China,East Asia,1800.0,1500.0,1200.0,1.5,5.5,3.5,0.5,8.5,12.2,2.5,40000,280000,65.0,85.2,120.5,15000,45.2,18.5,6.8
37,State Bank of India,India,South Asia,650.0,550.0,450.0,3.5,8.8,4.8,0.8,12.5,15.8,2.8,22000,280000,70.0,85.2,120.5,45000,35.8,15.2,7.2
38,HDFC Bank,India,South Asia,280.0,220.0,180.0,4.2,9.5,5.2,1.8,18.5,22.8,1.5,5500,120000,85.0,35.2,45.8,12000,18.5,12.8,8.8
39,ICICI Bank,India,South Asia,220.0,180.0,150.0,3.8,9.2,5.0,1.5,16.8,20.5,1.8,4500,95000,82.0,28.5,38.2,10000,15.2,10.5,8.5
40,Axis Bank,India,South Asia,180.0,150.0,120.0,3.5,8.8,4.5,1.2,14.5,18.2,2.2,3800,75000,80.0,22.8,32.5,8000,12.8,8.8,8.2
41,Kotak Mahindra Bank,India,South Asia,120.0,100.0,80.0,4.5,9.8,5.5,2.0,20.5,25.2,1.2,1800,45000,88.0,15.2,22.8,3000,8.5,6.8,9.0
42,Yes Bank,India,South Asia,45.0,35.0,28.0,3.2,8.5,4.2,0.8,12.8,16.5,3.5,1200,25000,75.0,8.5,12.2,2000,3.2,1.8,7.5
43,Itau Unibanco,Brazil,South America,450.0,380.0,320.0,8.5,15.8,6.8,1.8,18.5,22.8,2.5,4500,95000,80.0,45.2,65.8,15000,25.8,18.5,8.2
44,Banco do Brasil,Brazil,South America,380.0,320.0,280.0,7.8,14.5,6.2,1.5,15.8,20.5,2.8,5500,120000,75.0,38.5,55.2,18000,22.5,15.2,7.8
45,Bradesco,Brazil,South America,320.0,280.0,240.0,8.2,15.2,6.5,1.6,16.8,21.2,2.2,3800,85000,78.0,32.8,48.5,12000,18.8,12.8,8.0
46,Santander Brasil,Brazil,South America,280.0,240.0,200.0,7.5,14.8,6.0,1.4,14.5,18.8,2.5,2800,65000,82.0,28.5,42.8,8000,15.5,10.2,7.5
47,Safra,Brazil,South America,120.0,100.0,85.0,6.8,13.5,5.5,1.8,18.2,22.5,1.8,800,25000,85.0,12.5,18.5,2000,8.5,6.8,8.8
48,BTG Pactual,Brazil,South America,85.0,70.0,60.0,5.5,12.8,6.8,2.2,22.5,28.8,1.2,45,15000,90.0,8.5,12.2,500,6.8,5.2,9.2
49,Sberbank,Russia,Eastern Europe,450.0,380.0,320.0,4.5,12.5,7.5,1.2,15.8,18.5,2.8,14000,280000,70.0,65.2,85.8,25000,35.8,25.5,7.8
50,VTB Bank,Russia,Eastern Europe,280.0,240.0,200.0,3.8,11.8,7.2,0.8,12.5,15.2,3.5,8000,180000,65.0,45.2,62.8,15000,22.5,15.8,7.2
51,Gazprombank,Russia,Eastern Europe,180.0,150.0,120.0,3.2,10.5,6.8,0.6,10.8,13.5,4.2,2800,85000,60.0,28.5,38.2,5000,15.2,8.5,6.8
52,Alfa-Bank,Russia,Eastern Europe,120.0,100.0,80.0,4.2,13.2,8.5,1.5,18.5,22.8,2.8,1800,45000,80.0,18.5,25.8,3000,8.5,6.2,8.5
53,Tinkoff Bank,Russia,Eastern Europe,85.0,70.0,55.0,5.5,15.8,9.8,2.5,25.2,32.5,1.8,0,12000,95.0,12.5,18.5,0,5.8,4.5,9.5
54,Rosbank,Russia,Eastern Europe,65.0,55.0,45.0,3.5,11.2,7.2,0.8,12.8,16.5,3.8,1200,35000,55.0,15.2,22.8,2000,4.2,2.8,7.0
55,Standard Bank,South Africa,Sub-Saharan Africa,180.0,150.0,120.0,5.8,12.5,6.2,1.8,15.8,18.5,2.8,1200,45000,75.0,18.5,25.8,3000,12.5,8.8,7.8
56,FirstRand,South Africa,Sub-Saharan Africa,120.0,100.0,80.0,5.5,11.8,5.8,1.5,14.5,17.2,2.5,800,35000,78.0,15.2,22.5,2000,8.5,6.2,8.0
57,Nedbank,South Africa,Sub-Saharan Africa,85.0,70.0,55.0,5.2,11.5,5.5,1.2,12.8,15.8,3.2,600,28000,72.0,12.5,18.5,1500,6.2,4.5,7.5
58,Capitec Bank,South Africa,Sub-Saharan Africa,45.0,38.0,30.0,6.8,13.5,6.2,2.2,18.5,22.8,1.8,800,25000,85.0,8.5,12.2,2000,4.5,3.2,8.8
59,Absa Bank,South Africa,Sub-Saharan Africa,65.0,55.0,45.0,5.0,10.8,5.2,1.0,11.5,14.2,3.5,700,32000,70.0,10.8,15.8,1800,5.8,3.8,7.2
60,Investec,South Africa,Sub-Saharan Africa,35.0,28.0,22.0,4.8,9.5,4.2,1.8,15.8,18.5,1.5,120,8000,90.0,5.2,8.5,200,3.2,2.5,9.0
61,NatWest Group,United Kingdom,Western Europe,800.0,650.0,500.0,0.2,4.8,4.2,0.3,4.5,10.8,3.8,1800,45000,68.0,12.5,18.5,3000,28.5,8.8,6.5
62,Halifax,United Kingdom,Western Europe,650.0,520.0,400.0,0.3,4.5,3.8,0.4,5.8,12.5,3.2,1200,35000,70.0,10.8,15.2,2500,22.5,7.5,6.8
63,Nationwide Building Society,United Kingdom,Western Europe,280.0,220.0,180.0,0.5,4.2,3.2,0.6,8.5,14.2,2.5,800,18000,75.0,8.5,12.8,1500,12.5,5.8,7.5
64,Coventry Building Society,United Kingdom,Western Europe,45.0,35.0,28.0,0.8,3.8,2.8,0.8,12.5,18.5,1.8,120,3500,80.0,2.5,3.8,200,3.2,1.8,8.2
65,Yorkshire Building Society,United Kingdom,Western Europe,38.0,30.0,24.0,0.6,3.5,2.5,0.7,10.8,16.2,2.0,100,2800,78.0,2.2,3.2,150,2.8,1.5,8.0
66,TSB Bank,United Kingdom,Western Europe,35.0,28.0,22.0,0.4,4.0,3.2,0.5,8.2,12.8,2.8,500,12000,72.0,3.5,5.2,800,2.5,1.2,7.2
67,Metro Bank,United Kingdom,Western Europe,25.0,20.0,16.0,0.8,4.5,3.5,0.6,9.5,14.5,2.2,80,3500,85.0,1.8,2.5,120,1.8,0.8,8.5
68,Starling Bank,United Kingdom,Western Europe,8.5,6.8,5.2,1.2,5.8,4.2,1.5,18.5,25.2,1.2,0,1200,95.0,2.5,3.8,0,0.8,0.5,9.2
69,Monzo,United Kingdom,Western Europe,6.2,5.0,3.8,1.5,6.2,4.5,1.8,22.5,32.8,1.0,0,800,98.0,2.2,3.2,0,0.6,0.4,9.5
70,Revolut,United Kingdom,Western Europe,12.5,10.0,7.5,0.8,5.5,4.2,2.2,28.5,42.8,0.8,0,2000,99.0,4.5,6.8,0,1.2,0.8,9.8
71,N26,Germany,Western Europe,8.8,7.0,5.2,0.5,4.8,3.8,1.8,20.5,28.2,1.0,0,1500,98.0,3.2,4.8,0,0.8,0.6,9.5
72,Chime,United States,North America,15.2,12.0,8.5,0.0,6.8,6.5,2.5,25.8,35.5,0.5,0,2500,99.0,8.5,12.2,0,1.8,1.2,9.8
73,Varo Bank,United States,North America,3.5,2.8,2.0,0.2,5.2,4.8,1.8,18.5,25.8,1.2,0,800,97.0,2.2,3.5,0,0.5,0.3,9.2
74,Current,United States,North America,2.8,2.2,1.5,0.5,5.8,5.2,2.0,22.8,32.5,0.8,0,600,98.0,1.8,2.8,0,0.4,0.2,9.5
75,Aspiration,United States,North America,1.5,1.2,0.8,0.8,6.2,5.5,2.2,25.2,38.5,0.5,0,400,99.0,1.2,1.8,0,0.3,0.2,9.8
76,SoFi Bank,United States,North America,25.8,20.0,15.0,1.2,6.8,5.5,2.8,28.5,42.8,1.0,0,5000,95.0,8.5,12.5,0,3.2,2.5,9.5
77,Ally Bank,United States,North America,180.0,150.0,120.0,1.5,5.5,3.8,1.2,12.5,18.2,1.8,0,12000,100.0,15.2,22.8,0,8.5,6.8,8.8
78,Capital One,United States,North America,450.0,380.0,320.0,0.8,4.8,3.5,1.0,10.8,15.5,2.2,0,55000,100.0,35.2,52.8,0,25.8,18.5,8.5
79,Discover Financial,United States,North America,120.0,100.0,85.0,1.2,6.2,4.8,1.8,15.8,22.5,2.5,0,18000,100.0,12.5,18.5,0,8.5,6.2,8.8
80,Synchrony Financial,United States,North America,85.0,70.0,60.0,0.5,5.8,5.2,2.0,18.5,25.8,2.8,0,12000,100.0,8.5,12.2,0,6.2,4.8,8.5
81,American Express,United States,North America,180.0,150.0,120.0,0.8,5.2,4.2,1.5,12.8,18.5,2.2,0,25000,100.0,18.5,25.8,0,15.2,12.5,8.2
82,PayPal,United States,North America,45.0,35.0,25.0,0.0,8.5,8.2,3.5,25.8,35.2,1.0,0,28000,100.0,25.8,35.2,0,8.5,6.8,9.0
83,Square,United States,North America,25.0,20.0,15.0,0.0,7.8,7.5,3.2,22.5,32.8,0.8,0,12000,100.0,15.2,22.8,0,5.8,4.5,9.2
84,Stripe,United States,North America,15.0,12.0,8.0,0.0,6.5,6.2,4.5,35.8,52.5,0.5,0,8000,100.0,8.5,12.2,0,3.2,2.8,9.5
85,Adyen,Netherlands,Western Europe,8.5,6.8,4.5,0.0,5.8,5.5,4.2,32.5,48.2,0.3,0,5000,100.0,5.2,7.8,0,2.5,2.2,9.8
86,Klarna,Sweden,Northern Europe,12.0,9.5,6.8,0.0,8.2,7.8,3.8,28.5,42.8,0.8,0,8000,100.0,8.5,12.5,0,3.8,3.2,9.5
87,Afterpay,Australia,Oceania,6.5,5.2,3.5,0.0,7.5,7.2,3.5,25.8,38.5,0.5,0,4000,100.0,4.5,6.8,0,2.2,1.8,9.2
88,Affirm,United States,North America,8.8,7.0,5.0,0.0,6.8,6.5,3.2,22.8,35.2,0.8,0,3000,100.0,3.5,5.2,0,1.8,1.5,9.0
89,Sezzle,United States,North America,2.5,2.0,1.2,0.0,8.5,8.2,4.5,35.8,52.5,0.3,0,1200,100.0,1.8,2.5,0,0.8,0.6,9.5
90,Zip,United States,North America,1.8,1.5,1.0,0.0,7.8,7.5,4.2,32.5,48.2,0.2,0,800,100.0,1.2,1.8,0,0.6,0.5,9.8
91,Perpay,United States,North America,1.2,1.0,0.6,0.0,6.5,6.2,3.8,28.5,42.8,0.1,0,500,100.0,0.8,1.2,0,0.4,0.3,9.5
92,Quadpay,United States,North America,0.8,0.6,0.4,0.0,5.8,5.5,3.5,25.8,38.5,0.1,0,300,100.0,0.5,0.8,0,0.3,0.2,9.2
93,Klarna,Sweden,Northern Europe,12.0,9.5,6.8,0.0,8.2,7.8,3.8,28.5,42.8,0.8,0,8000,100.0,8.5,12.5,0,3.8,3.2,9.5
94,Afterpay,Australia,Oceania,6.5,5.2,3.5,0.0,7.5,7.2,3.5,25.8,38.5,0.5,0,4000,100.0,4.5,6.8,0,2.2,1.8,9.2
95,Affirm,United States,North America,8.8,7.0,5.0,0.0,6.8,6.5,3.2,22.8,35.2,0.8,0,3000,100.0,3.5,5.2,0,1.8,1.5,9.0
96,Sezzle,United States,North America,2.5,2.0,1.2,0.0,8.5,8.2,4.5,35.8,52.5,0.3,0,1200,100.0,1.8,2.5,0,0.8,0.6,9.5
97,Zip,United States,North America,1.8,1.5,1.0,0.0,7.8,7.5,4.2,32.5,48.2,0.2,0,800,100.0,1.2,1.8,0,0.6,0.5,9.8
98,Perpay,United States,North America,1.2,1.0,0.6,0.0,6.5,6.2,3.8,28.5,42.8,0.1,0,500,100.0,0.8,1.2,0,0.4,0.3,9.5
99,Quadpay,United States,North America,0.8,0.6,0.4,0.0,5.8,5.5,3.5,25.8,38.5,0.1,0,300,100.0,0.5,0.8,0,0.3,0.2,9.2
100,Klarna,Sweden,Northern Europe,12.0,9.5,6.8,0.0,8.2,7.8,3.8,28.5,42.8,0.8,0,8000,100.0,8.5,12.5,0,3.8,3.2,9.5
