# Stock Price Simulations Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Date,Symbol,Company_Name,Open_Price,High_Price,Low_Price,Close_Price,Volume,Sector,Market_Cap_Billions
24,2024-01-04,TSLA,Tesla Inc,257.95,261.25,257.45,260.88,59012300,Consumer Discretionary,800
25,2024-01-05,TSLA,Tesla Inc,260.88,264.15,260.25,263.95,60123400,Consumer Discretionary,800
26,2024-01-01,META,Meta Platforms Inc,351.95,354.25,351.12,353.88,34567800,Technology,900
27,2024-01-02,META,Meta Platforms Inc,353.88,356.45,353.25,355.95,35678900,Technology,900
28,2024-01-03,META,Meta Platforms Inc,355.95,358.75,355.45,358.25,36789000,Technology,900
29,2024-01-04,META,Meta Platforms Inc,358.25,361.12,357.85,360.88,37890100,Technology,900
30,2024-01-05,META,Meta Platforms Inc,360.88,363.45,360.25,362.95,38901200,Technology,900
31,2024-01-01,NVDA,NVIDIA Corporation,481.87,485.25,480.95,484.95,45678900,Technology,1200
32,2024-01-02,NVDA,NVIDIA Corporation,484.95,488.75,484.25,487.88,46789000,Technology,1200
33,2024-01-03,NVDA,NVIDIA Corporation,487.88,492.15,487.25,491.25,47890100,Technology,1200
34,2024-01-04,NVDA,NVIDIA Corporation,491.25,495.45,490.85,494.75,48901200,Technology,1200
35,2024-01-05,NVDA,NVIDIA Corporation,494.75,498.95,494.25,497.88,49012300,Technology,1200
36,2024-01-01,BRK.A,Berkshire Hathaway Inc,542000.00,545000.00,541500.00,544500.00,1200,Financials,800
37,2024-01-02,BRK.A,Berkshire Hathaway Inc,544500.00,547500.00,543500.00,546500.00,1100,Financials,800
38,2024-01-03,BRK.A,Berkshire Hathaway Inc,546500.00,549500.00,545500.00,548500.00,1300,Financials,800
39,2024-01-04,BRK.A,Berkshire Hathaway Inc,548500.00,551500.00,547500.00,550500.00,1400,Financials,800
40,2024-01-05,BRK.A,Berkshire Hathaway Inc,550500.00,553500.00,549500.00,552500.00,1500,Financials,800
41,2024-01-01,JPM,JPMorgan Chase & Co,170.25,172.15,169.85,171.95,23456700,Financials,500
42,2024-01-02,JPM,JPMorgan Chase & Co,171.95,173.85,171.25,173.25,24567800,Financials,500
43,2024-01-03,JPM,JPMorgan Chase & Co,173.25,175.15,172.85,174.75,25678900,Financials,500
44,2024-01-04,JPM,JPMorgan Chase & Co,174.75,176.45,174.25,176.15,26789000,Financials,500
45,2024-01-05,JPM,JPMorgan Chase & Co,176.15,178.25,175.85,177.95,27890100,Financials,500
46,2024-01-01,JNJ,Johnson & Johnson,157.85,159.25,157.25,158.95,12345600,Healthcare,400
47,2024-01-02,JNJ,Johnson & Johnson,158.95,160.45,158.45,160.15,13456700,Healthcare,400
48,2024-01-03,JNJ,Johnson & Johnson,160.15,161.75,159.85,161.45,14567800,Healthcare,400
49,2024-01-04,JNJ,Johnson & Johnson,161.45,162.95,161.05,162.75,15678900,Healthcare,400
50,2024-01-05,JNJ,Johnson & Johnson,162.75,164.25,162.35,163.95,16789000,Healthcare,400
51,2024-01-01,V,Visa Inc,245.75,247.85,245.25,247.45,8901200,Financials,500
52,2024-01-02,V,Visa Inc,247.45,249.25,246.95,248.95,9012300,Financials,500
53,2024-01-03,V,Visa Inc,248.95,250.75,248.45,250.25,9123400,Financials,500
54,2024-01-04,V,Visa Inc,250.25,252.15,249.85,251.75,9234500,Financials,500
55,2024-01-05,V,Visa Inc,251.75,253.65,251.25,253.15,9345600,Financials,500
56,2024-01-01,PG,Procter & Gamble Co,152.45,153.85,151.95,153.55,6789000,Consumer Staples,350
57,2024-01-02,PG,Procter & Gamble Co,153.55,154.95,153.15,154.75,6890100,Consumer Staples,350
58,2024-01-03,PG,Procter & Gamble Co,154.75,156.15,154.35,155.95,6901200,Consumer Staples,350
59,2024-01-04,PG,Procter & Gamble Co,155.95,157.25,155.55,157.05,7012300,Consumer Staples,350
60,2024-01-05,PG,Procter & Gamble Co,157.05,158.45,156.75,158.25,7123400,Consumer Staples,350
61,2024-01-01,UNH,UnitedHealth Group Inc,525.25,528.95,524.75,528.45,2345600,Healthcare,500
62,2024-01-02,UNH,UnitedHealth Group Inc,528.45,531.25,527.95,530.75,2456700,Healthcare,500
63,2024-01-03,UNH,UnitedHealth Group Inc,530.75,533.45,530.25,532.95,2567800,Healthcare,500
64,2024-01-04,UNH,UnitedHealth Group Inc,532.95,535.75,532.45,535.25,2678900,Healthcare,500
65,2024-01-05,UNH,UnitedHealth Group Inc,535.25,538.15,534.85,537.75,2789000,Healthcare,500
66,2024-01-01,HD,Home Depot Inc,345.75,348.25,345.15,347.85,4567800,Consumer Discretionary,350
67,2024-01-02,HD,Home Depot Inc,347.85,350.15,347.35,349.75,4678900,Consumer Discretionary,350
68,2024-01-03,HD,Home Depot Inc,349.75,352.25,349.25,351.85,4789000,Consumer Discretionary,350
69,2024-01-04,HD,Home Depot Inc,351.85,354.15,351.35,353.75,4890100,Consumer Discretionary,350
70,2024-01-05,HD,Home Depot Inc,353.75,356.25,353.25,355.85,4901200,Consumer Discretionary,350
71,2024-01-01,MA,Mastercard Inc,425.25,428.15,424.75,427.85,3456700,Financials,400
72,2024-01-02,MA,Mastercard Inc,427.85,430.25,427.35,429.95,3567800,Financials,400
73,2024-01-03,MA,Mastercard Inc,429.95,432.45,429.45,431.85,3678900,Financials,400
74,2024-01-04,MA,Mastercard Inc,431.85,434.25,431.35,433.75,3789000,Financials,400
75,2024-01-05,MA,Mastercard Inc,433.75,436.15,433.25,435.65,3890100,Financials,400
76,2024-01-01,BAC,Bank of America Corp,33.45,33.85,33.25,33.75,45678000,Financials,300
77,2024-01-02,BAC,Bank of America Corp,33.75,34.15,33.45,34.05,46789000,Financials,300
78,2024-01-03,BAC,Bank of America Corp,34.05,34.45,33.85,34.35,47890000,Financials,300
79,2024-01-04,BAC,Bank of America Corp,34.35,34.75,34.15,34.65,48901000,Financials,300
80,2024-01-05,BAC,Bank of America Corp,34.65,35.05,34.45,34.95,49012000,Financials,300
81,2024-01-01,DIS,Walt Disney Co,95.25,96.45,94.85,96.15,12345600,Communication Services,200
82,2024-01-02,DIS,Walt Disney Co,96.15,97.25,95.85,97.05,13456700,Communication Services,200
83,2024-01-03,DIS,Walt Disney Co,97.05,98.15,96.75,97.95,14567800,Communication Services,200
84,2024-01-04,DIS,Walt Disney Co,97.95,99.05,97.65,98.85,15678900,Communication Services,200
85,2024-01-05,DIS,Walt Disney Co,98.85,99.95,98.55,99.75,16789000,Communication Services,200
86,2024-01-01,ADBE,Adobe Inc,575.25,578.45,574.75,577.85,2345600,Technology,250
87,2024-01-02,ADBE,Adobe Inc,577.85,580.15,577.35,579.95,2456700,Technology,250
88,2024-01-03,ADBE,Adobe Inc,579.95,582.25,579.45,581.85,2567800,Technology,250
89,2024-01-04,ADBE,Adobe Inc,581.85,584.15,581.35,583.75,2678900,Technology,250
90,2024-01-05,ADBE,Adobe Inc,583.75,586.05,583.25,585.65,2789000,Technology,250
91,2024-01-01,CRM,Salesforce Inc,245.75,247.85,245.25,247.45,4567800,Technology,200
92,2024-01-02,CRM,Salesforce Inc,247.45,249.25,246.95,248.95,4678900,Technology,200
93,2024-01-03,CRM,Salesforce Inc,248.95,250.75,248.45,250.25,4789000,Technology,200
94,2024-01-04,CRM,Salesforce Inc,250.25,252.15,249.85,251.75,4890100,Technology,200
95,2024-01-05,CRM,Salesforce Inc,251.75,253.65,251.25,253.15,4901200,Technology,200
96,2024-01-01,NFLX,Netflix Inc,485.25,488.15,484.75,487.85,3456700,Communication Services,200
97,2024-01-02,NFLX,Netflix Inc,487.85,490.25,487.35,489.95,3567800,Communication Services,200
98,2024-01-03,NFLX,Netflix Inc,489.95,492.45,489.45,491.85,3678900,Communication Services,200
99,2024-01-04,NFLX,Netflix Inc,491.85,494.25,491.35,493.75,3789000,Communication Services,200
100,2024-01-05,NFLX,Netflix Inc,493.75,496.15,493.25,495.65,3890100,Communication Services,200
