# Pension & Retirement Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Pension_Fund_Assets_Billions_USD,Public_Pension_Assets_Billions_USD,Private_Pension_Assets_Billions_USD,Pension_Fund_Assets_GDP_Percent,Pension_Coverage_Percent,Average_Pension_USD_Month,Retirement_Age_Men,Retirement_Age_Women,Life_Expectancy_At_65_Men,Life_Expectancy_At_65_Women,Replacement_Rate_Percent,Contribution_Rate_Employee_Percent,Contribution_Rate_Employer_Percent,Government_Contribution_Percent,Number_of_Beneficiaries_Millions,Active_Contributors_Millions,Dependency_Ratio_65_Plus,Funded_Ratio_Percent,Investment_Return_Average_Percent,Administrative_Costs_Percent,Indexation_System,Early_Retirement_Penalty_Percent,Delayed_Retirement_Bonus_Percent
24,Slovenia,Eastern Europe,10,0,10,20.0,90.0,550,65,65,17.5,20.0,45.0,8.85,8.85,0.0,0.5,1.0,20.0,100.0,5.8,2.1,Wage,6.0,8.0
25,Croatia,Eastern Europe,8,0,8,15.0,80.0,350,65,65,16.0,19.0,30.0,15.0,15.0,0.0,0.8,1.5,22.0,100.0,4.5,2.2,Wage,11.0,13.0
26,Romania,Eastern Europe,12,0,12,8.0,65.0,300,65,63,15.5,18.5,25.0,10.0,10.0,0.0,2.5,5.0,19.0,100.0,4.2,2.3,Wage,12.0,14.0
27,Bulgaria,Eastern Europe,6,0,6,12.0,70.0,250,65,63,15.0,18.0,20.0,12.9,12.9,0.0,1.5,3.0,21.0,100.0,4.0,2.4,Wage,13.0,15.0
28,Russia,Eastern Europe,80,0,80,6.0,60.0,200,65,60,14.0,17.0,15.0,22.0,22.0,0.0,25.0,50.0,15.0,100.0,6.0,2.5,Wage,14.0,16.0
29,Belarus,Eastern Europe,5,0,5,8.0,55.0,150,63,58,13.5,16.5,12.0,28.0,28.0,0.0,1.0,2.0,16.0,100.0,5.5,2.6,Wage,15.0,17.0
30,Ukraine,Eastern Europe,8,0,8,5.0,50.0,100,63,58,13.0,16.0,10.0,22.0,22.0,0.0,8.0,15.0,18.0,100.0,5.0,2.7,Wage,16.0,18.0
31,Moldova,Eastern Europe,2,0,2,8.0,45.0,80,63,58,12.5,15.5,8.0,25.0,25.0,0.0,0.5,1.0,17.0,100.0,4.8,2.8,Wage,17.0,19.0
32,Georgia,Eastern Europe,1,0,1,5.0,40.0,60,65,60,13.0,16.0,6.0,20.0,20.0,0.0,0.3,0.6,18.0,100.0,4.5,2.9,Wage,18.0,20.0
33,Armenia,Eastern Europe,1,0,1,4.0,35.0,50,65,63,12.0,15.0,5.0,18.0,18.0,0.0,0.2,0.4,16.0,100.0,4.2,3.0,Wage,19.0,21.0
34,Azerbaijan,Eastern Europe,2,0,2,6.0,45.0,70,65,60,12.5,15.5,7.0,22.0,22.0,0.0,0.4,0.8,12.0,100.0,4.8,3.1,Wage,20.0,22.0
35,Kazakhstan,Central Asia,8,0,8,4.0,50.0,120,63,58,13.0,16.0,12.0,20.0,20.0,0.0,1.5,3.0,8.0,100.0,5.2,3.2,Wage,21.0,23.0
36,Uzbekistan,Central Asia,3,0,3,3.0,40.0,80,63,58,12.0,15.0,8.0,25.0,25.0,0.0,3.0,6.0,6.0,100.0,4.8,3.3,Wage,22.0,24.0
37,Turkmenistan,Central Asia,1,0,1,2.0,30.0,50,63,58,11.5,14.5,5.0,30.0,30.0,0.0,0.5,1.0,5.0,100.0,4.5,3.4,Wage,23.0,25.0
38,Tajikistan,Central Asia,1,0,1,2.5,25.0,40,63,58,11.0,14.0,4.0,25.0,25.0,0.0,0.8,1.5,4.0,100.0,4.2,3.5,Wage,24.0,26.0
39,Kyrgyzstan,Central Asia,1,0,1,3.0,30.0,45,63,58,11.5,14.5,6.0,20.0,20.0,0.0,0.6,1.2,5.0,100.0,4.0,3.6,Wage,25.0,27.0
40,Mongolia,East Asia,2,0,2,8.0,45.0,70,65,60,12.5,15.5,10.0,18.0,18.0,0.0,0.3,0.6,6.0,100.0,5.0,3.7,Wage,26.0,28.0
41,China,East Asia,200,0,200,1.5,25.0,150,60,55,16.0,19.0,20.0,8.0,8.0,0.0,150.0,300.0,12.0,100.0,6.5,3.8,Wage,27.0,29.0
42,Taiwan,East Asia,50,0,50,8.0,60.0,400,65,65,17.0,20.0,35.0,6.0,6.0,0.0,2.5,5.0,15.0,100.0,5.8,3.9,Wage,28.0,30.0
43,Thailand,Southeast Asia,30,0,30,6.0,40.0,200,60,60,15.0,18.0,25.0,3.0,3.0,0.0,8.0,15.0,12.0,100.0,5.5,4.0,Wage,29.0,31.0
44,Malaysia,Southeast Asia,25,0,25,7.0,50.0,300,60,60,16.0,19.0,30.0,11.0,11.0,0.0,3.0,6.0,8.0,100.0,6.0,4.1,Wage,30.0,32.0
45,Indonesia,Southeast Asia,20,0,20,2.0,30.0,120,60,60,14.0,17.0,15.0,2.0,2.0,0.0,25.0,50.0,8.0,100.0,6.2,4.2,Wage,31.0,33.0
46,Philippines,Southeast Asia,15,0,15,4.0,35.0,100,60,60,13.5,16.5,12.0,3.0,3.0,0.0,10.0,20.0,6.0,100.0,5.8,4.3,Wage,32.0,34.0
47,Vietnam,Southeast Asia,10,0,10,3.0,25.0,80,60,60,13.0,16.0,10.0,8.0,8.0,0.0,8.0,15.0,7.0,100.0,5.5,4.4,Wage,33.0,35.0
48,Cambodia,Southeast Asia,2,0,2,8.0,20.0,60,60,60,12.0,15.0,8.0,8.0,8.0,0.0,1.5,3.0,5.0,100.0,5.0,4.5,Wage,34.0,36.0
49,Laos,Southeast Asia,1,0,1,5.0,15.0,50,60,60,11.5,14.5,6.0,6.0,6.0,0.0,0.8,1.5,4.0,100.0,4.8,4.6,Wage,35.0,37.0
50,Myanmar,Southeast Asia,1,0,1,2.0,10.0,40,60,60,11.0,14.0,4.0,2.0,2.0,0.0,5.0,10.0,6.0,100.0,4.5,4.7,Wage,36.0,38.0
51,Bangladesh,South Asia,5,0,5,1.5,20.0,60,60,60,12.5,15.5,8.0,2.0,2.0,0.0,15.0,30.0,5.0,100.0,5.2,4.8,Wage,37.0,39.0
52,India,South Asia,50,0,50,2.0,15.0,80,60,60,14.0,17.0,12.0,12.0,12.0,0.0,100.0,200.0,7.0,100.0,6.0,4.9,Wage,38.0,40.0
53,Pakistan,South Asia,8,0,8,2.5,25.0,70,60,60,13.0,16.0,10.0,1.0,1.0,0.0,20.0,40.0,5.0,100.0,5.5,5.0,Wage,39.0,41.0
54,Sri Lanka,South Asia,3,0,3,4.0,30.0,90,60,60,13.5,16.5,15.0,8.0,8.0,0.0,2.0,4.0,10.0,100.0,5.8,5.1,Wage,40.0,42.0
55,Nepal,South Asia,1,0,1,3.0,20.0,50,60,60,12.0,15.0,8.0,10.0,10.0,0.0,3.0,6.0,6.0,100.0,5.0,5.2,Wage,41.0,43.0
56,Bhutan,South Asia,0,0,0,2.0,15.0,40,60,60,11.5,14.5,6.0,5.0,5.0,0.0,0.3,0.6,5.0,100.0,4.8,5.3,Wage,42.0,44.0
57,Afghanistan,South Asia,0,0,0,1.0,5.0,20,60,60,10.0,13.0,3.0,0.0,0.0,0.0,2.0,4.0,3.0,100.0,4.0,5.4,Wage,43.0,45.0
58,Turkey,Middle East,25,0,25,3.0,40.0,200,60,60,15.0,18.0,25.0,14.0,14.0,0.0,8.0,15.0,8.0,100.0,6.5,5.5,Wage,44.0,46.0
59,Iran,Middle East,15,0,15,2.0,30.0,150,60,60,14.5,17.5,20.0,10.0,10.0,0.0,8.0,15.0,6.0,100.0,6.0,5.6,Wage,45.0,47.0
60,Iraq,Middle East,5,0,5,2.5,25.0,100,60,60,13.0,16.0,15.0,5.0,5.0,0.0,4.0,8.0,4.0,100.0,5.5,5.7,Wage,46.0,48.0
61,Syria,Middle East,2,0,2,1.5,20.0,60,60,60,12.0,15.0,10.0,3.0,3.0,0.0,2.0,4.0,5.0,100.0,5.0,5.8,Wage,47.0,49.0
62,Lebanon,Middle East,3,0,3,2.0,30.0,80,60,60,13.5,16.5,12.0,8.5,8.5,0.0,1.0,2.0,8.0,100.0,5.2,5.9,Wage,48.0,50.0
63,Jordan,Middle East,2,0,2,3.0,25.0,70,60,60,13.0,16.0,10.0,7.5,7.5,0.0,1.0,2.0,4.0,100.0,5.0,6.0,Wage,49.0,51.0
64,Israel,Middle East,8,0,8,2.0,60.0,300,67,67,17.0,20.0,40.0,6.0,6.0,0.0,1.0,2.0,12.0,100.0,6.8,6.1,Wage,50.0,52.0
65,Saudi Arabia,Middle East,20,0,20,3.0,35.0,250,60,60,14.0,17.0,20.0,9.0,9.0,0.0,3.0,6.0,3.0,100.0,6.5,6.2,Wage,51.0,53.0
66,Kuwait,Middle East,5,0,5,2.5,40.0,200,60,60,14.5,17.5,25.0,7.5,7.5,0.0,0.5,1.0,2.0,100.0,6.0,6.3,Wage,52.0,54.0
67,Qatar,Middle East,3,0,3,1.5,30.0,180,60,60,14.0,17.0,20.0,5.0,5.0,0.0,0.3,0.6,1.0,100.0,5.8,6.4,Wage,53.0,55.0
68,Bahrain,Middle East,2,0,2,2.0,35.0,150,60,60,13.5,16.5,18.0,7.0,7.0,0.0,0.2,0.4,1.5,100.0,5.5,6.5,Wage,54.0,56.0
69,Oman,Middle East,4,0,4,2.5,30.0,120,60,60,13.0,16.0,15.0,6.5,6.5,0.0,0.5,1.0,2.5,100.0,5.2,6.6,Wage,55.0,57.0
70,Yemen,Middle East,1,0,1,1.0,15.0,40,60,60,11.0,14.0,8.0,2.0,2.0,0.0,2.0,4.0,3.0,100.0,4.8,6.7,Wage,56.0,58.0
71,Egypt,North Africa,8,0,8,2.0,25.0,80,60,60,13.5,16.5,12.0,14.0,14.0,0.0,8.0,15.0,6.0,100.0,5.5,6.8,Wage,57.0,59.0
72,Libya,North Africa,2,0,2,1.5,20.0,60,60,60,12.5,15.5,10.0,5.0,5.0,0.0,1.0,2.0,4.0,100.0,5.0,6.9,Wage,58.0,60.0
73,Tunisia,North Africa,3,0,3,2.5,30.0,70,60,60,13.0,16.0,15.0,7.0,7.0,0.0,1.5,3.0,8.0,100.0,5.2,7.0,Wage,59.0,61.0
74,Algeria,North Africa,4,0,4,2.0,20.0,60,60,60,12.5,15.5,10.0,9.0,9.0,0.0,2.0,4.0,5.0,100.0,5.0,7.1,Wage,60.0,62.0
75,Morocco,North Africa,3,0,3,2.5,25.0,65,60,60,13.0,16.0,12.0,8.0,8.0,0.0,2.0,4.0,6.0,100.0,5.2,7.2,Wage,61.0,63.0
76,Sudan,North Africa,1,0,1,1.0,10.0,30,60,60,11.0,14.0,5.0,2.0,2.0,0.0,3.0,6.0,4.0,100.0,4.8,7.3,Wage,62.0,64.0
77,Ethiopia,Sub-Saharan Africa,2,0,2,1.5,15.0,40,60,60,11.5,14.5,8.0,5.0,5.0,0.0,8.0,15.0,4.0,100.0,5.0,7.4,Wage,63.0,65.0
78,Kenya,Sub-Saharan Africa,3,0,3,2.0,20.0,50,60,60,12.0,15.0,10.0,6.0,6.0,0.0,4.0,8.0,3.0,100.0,5.2,7.5,Wage,64.0,66.0
79,Uganda,Sub-Saharan Africa,1,0,1,1.5,10.0,35,60,60,11.0,14.0,6.0,5.0,5.0,0.0,3.0,6.0,3.0,100.0,4.8,7.6,Wage,65.0,67.0
80,Ghana,Sub-Saharan Africa,2,0,2,2.0,15.0,45,60,60,11.5,14.5,8.0,5.5,5.5,0.0,2.0,4.0,4.0,100.0,5.0,7.7,Wage,66.0,68.0
81,Nigeria,Sub-Saharan Africa,5,0,5,1.5,20.0,60,60,60,12.0,15.0,12.0,8.0,8.0,0.0,15.0,30.0,3.0,100.0,5.5,7.8,Wage,67.0,69.0
82,Senegal,Sub-Saharan Africa,1,0,1,1.0,12.0,35,60,60,11.0,14.0,7.0,4.0,4.0,0.0,2.0,4.0,3.0,100.0,4.8,7.9,Wage,68.0,70.0
83,Mali,Sub-Saharan Africa,1,0,1,1.5,8.0,30,60,60,10.5,13.5,5.0,3.0,3.0,0.0,1.5,3.0,3.0,100.0,4.5,8.0,Wage,69.0,71.0
84,Burkina Faso,Sub-Saharan Africa,0,0,0,1.0,5.0,25,60,60,10.0,13.0,4.0,2.0,2.0,0.0,1.0,2.0,3.0,100.0,4.2,8.1,Wage,70.0,72.0
85,Niger,Sub-Saharan Africa,0,0,0,0.8,3.0,20,60,60,9.5,12.5,3.0,1.0,1.0,0.0,1.0,2.0,3.0,100.0,4.0,8.2,Wage,71.0,73.0
86,Chad,Sub-Saharan Africa,0,0,0,0.5,2.0,15,60,60,9.0,12.0,2.0,0.5,0.5,0.0,0.5,1.0,3.0,100.0,3.8,8.3,Wage,72.0,74.0
87,Central African Republic,Sub-Saharan Africa,0,0,0,0.3,1.0,10,60,60,8.5,11.5,1.0,0.0,0.0,0.0,0.3,0.6,3.0,100.0,3.5,8.4,Wage,73.0,75.0
88,Cameroon,Sub-Saharan Africa,1,0,1,1.2,8.0,30,60,60,10.0,13.0,5.0,2.5,2.5,0.0,1.5,3.0,4.0,100.0,4.2,8.5,Wage,74.0,76.0
89,Democratic Republic of Congo,Sub-Saharan Africa,1,0,1,0.8,5.0,25,60,60,9.5,12.5,4.0,1.0,1.0,0.0,5.0,10.0,3.0,100.0,3.8,8.6,Wage,75.0,77.0
90,Angola,Sub-Saharan Africa,1,0,1,1.5,10.0,40,60,60,10.5,13.5,6.0,3.0,3.0,0.0,2.0,4.0,3.0,100.0,4.0,8.7,Wage,76.0,78.0
91,Madagascar,Sub-Saharan Africa,1,0,1,1.0,6.0,25,60,60,9.5,12.5,4.0,2.0,2.0,0.0,2.0,4.0,4.0,100.0,3.8,8.8,Wage,77.0,79.0
92,Mozambique,Sub-Saharan Africa,1,0,1,1.2,8.0,30,60,60,10.0,13.0,5.0,3.0,3.0,0.0,2.0,4.0,4.0,100.0,4.0,8.9,Wage,78.0,80.0
93,Malawi,Sub-Saharan Africa,0,0,0,0.8,4.0,20,60,60,9.0,12.0,3.0,1.0,1.0,0.0,1.5,3.0,4.0,100.0,3.5,9.0,Wage,79.0,81.0
94,Zambia,Sub-Saharan Africa,1,0,1,1.5,10.0,35,60,60,10.0,13.0,6.0,2.5,2.5,0.0,1.5,3.0,4.0,100.0,3.8,9.1,Wage,80.0,82.0
95,Zimbabwe,Sub-Saharan Africa,1,0,1,1.0,8.0,30,60,60,9.5,12.5,5.0,2.0,2.0,0.0,1.0,2.0,4.0,100.0,3.5,9.2,Wage,81.0,83.0
96,Lesotho,Sub-Saharan Africa,0,0,0,0.5,3.0,15,60,60,8.5,11.5,2.0,0.5,0.5,0.0,0.3,0.6,4.0,100.0,3.0,9.3,Wage,82.0,84.0
97,Swaziland,Sub-Saharan Africa,0,0,0,0.3,2.0,12,60,60,8.0,11.0,1.5,0.0,0.0,0.0,0.2,0.4,4.0,100.0,2.8,9.4,Wage,83.0,85.0
98,Botswana,Sub-Saharan Africa,1,0,1,1.8,15.0,50,60,60,10.5,13.5,8.0,5.0,5.0,0.0,0.3,0.6,4.0,100.0,4.0,9.5,Wage,84.0,86.0
99,Namibia,Sub-Saharan Africa,1,0,1,1.5,12.0,45,60,60,10.0,13.0,7.0,4.0,4.0,0.0,0.3,0.6,4.0,100.0,3.8,9.6,Wage,85.0,87.0
100,Swaziland,Sub-Saharan Africa,0,0,0,0.3,2.0,12,60,60,8.0,11.0,1.5,0.0,0.0,0.0,0.2,0.4,4.0,100.0,2.8,9.7,Wage,86.0,88.0
