# Athletes Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Athlete_Name,Sport,Nationality,Age,Height_cm,Weight_kg,Achievements,Annual_Earnings_Millions_USD,Team,Position,Years_Active,World_Rank
23,Charles Leclerc,Formula 1,Monaco,26,179,68,0x World Champion,25,Ferrari,Driver,2018-2024,3
24,Lando Norris,Formula 1,United Kingdom,24,180,68,0x World Champion,20,McLaren,Driver,2019-2024,4
25,George Russell,Formula 1,United Kingdom,26,185,70,0x World Champion,15,Mercedes,Driver,2019-2024,5
26,Rory McIlroy,Golf,Northern Ireland,34,175,73,4x Major Winner,25,Individual,Golfer,2007-2024,1
27,Scottie Scheffler,Golf,United States,27,185,79,2x Major Winner,30,Individual,Golfer,2020-2024,1
28,Jon Rahm,Golf,Spain,29,188,95,2x Major Winner,35,Individual,Golfer,2016-2024,2
29,Viktor Hovland,Golf,Norway,26,183,79,0x Major Winner,20,Individual,Golfer,2019-2024,3
30,Xander Schauffele,Golf,United States,30,185,79,1x Major Winner,25,Individual,Golfer,2015-2024,4
31,Shaun White,Snowboarding,United States,37,175,68,3x Olympic Gold Medalist,15,Individual,Snowboarder,2002-2022,1
32,Chloe Kim,Snowboarding,United States,24,160,54,2x Olympic Gold Medalist,10,Individual,Snowboarder,2018-2024,1
33,Ayumu Hirano,Snowboarding,Japan,25,170,65,2x Olympic Gold Medalist,8,Individual,Snowboarder,2014-2024,2
34,Red Gerard,Snowboarding,United States,23,175,68,1x Olympic Gold Medalist,5,Individual,Snowboarder,2018-2024,3
35,Zoi Sadowski-Synnott,Snowboarding,New Zealand,22,165,55,1x Olympic Gold Medalist,4,Individual,Snowboarder,2018-2024,4
36,Simone Biles,Gymnastics,United States,27,142,47,7x Olympic Medalist,20,Individual,Gymnast,2013-2024,1
37,Suni Lee,Gymnastics,United States,21,160,47,3x Olympic Medalist,8,Individual,Gymnast,2019-2024,2
38,Rebeca Andrade,Gymnastics,Brazil,25,155,48,2x Olympic Medalist,6,Individual,Gymnast,2016-2024,3
39,Artem Dolgopyat,Gymnastics,Israel,27,170,65,1x Olympic Gold Medalist,4,Individual,Gymnast,2014-2024,4
40,Carlos Yulo,Gymnastics,Philippines,24,150,52,1x World Champion,3,Individual,Gymnast,2018-2024,5
41,Katie Ledecky,Swimming,United States,27,183,68,7x Olympic Gold Medalist,15,Individual,Swimmer,2012-2024,1
42,Caeleb Dressel,Swimming,United States,27,191,86,7x Olympic Gold Medalist,12,Individual,Swimmer,2016-2024,2
43,Ariarne Titmus,Swimming,Australia,23,175,65,2x Olympic Gold Medalist,8,Individual,Swimmer,2017-2024,3
44,Adam Peaty,Swimming,United Kingdom,29,191,94,3x Olympic Gold Medalist,6,Individual,Swimmer,2014-2024,4
45,Emma McKeon,Swimming,Australia,30,170,60,7x Olympic Medalist,5,Individual,Swimmer,2012-2024,5
46,Eliud Kipchoge,Marathon,Kenya,39,167,52,2x Olympic Gold Medalist,10,Individual,Runner,2003-2024,1
47,Kelvin Kiptum,Marathon,Kenya,24,180,65,1x World Record Holder,8,Individual,Runner,2018-2024,2
48,Tigist Assefa,Marathon,Ethiopia,26,165,50,1x World Record Holder,6,Individual,Runner,2019-2024,3
49,Sifan Hassan,Marathon,Netherlands,31,165,50,3x Olympic Medalist,5,Individual,Runner,2013-2024,4
50,Brigid Kosgei,Marathon,Kenya,30,165,50,1x World Record Holder,4,Individual,Runner,2015-2024,5
51,Wayne Gretzky,Ice Hockey,Canada,63,183,84,4x Stanley Cup Winner,25,Retired,Center,1978-1999,1
52,Connor McDavid,Ice Hockey,Canada,27,185,88,0x Stanley Cup Winner,15,Edmonton Oilers,Center,2015-2024,1
53,Nathan MacKinnon,Ice Hockey,Canada,28,185,93,1x Stanley Cup Winner,12,Colorado Avalanche,Center,2013-2024,2
54,Auston Matthews,Ice Hockey,United States,26,191,100,0x Stanley Cup Winner,10,Toronto Maple Leafs,Center,2016-2024,3
55,Leon Draisaitl,Ice Hockey,Germany,28,188,95,0x Stanley Cup Winner,8,Edmonton Oilers,Center,2014-2024,4
56,Sidney Crosby,Ice Hockey,Canada,36,180,91,3x Stanley Cup Winner,20,Pittsburgh Penguins,Center,2005-2024,5
57,Alexander Ovechkin,Ice Hockey,Russia,38,188,104,1x Stanley Cup Winner,18,Washington Capitals,Left Wing,2005-2024,6
58,Patrick Kane,Ice Hockey,United States,35,180,82,3x Stanley Cup Winner,15,Detroit Red Wings,Right Wing,2007-2024,7
59,Steven Stamkos,Ice Hockey,Canada,34,185,88,2x Stanley Cup Winner,12,Tampa Bay Lightning,Center,2008-2024,8
60,Brad Marchand,Ice Hockey,Canada,35,175,82,1x Stanley Cup Winner,10,Boston Bruins,Left Wing,2009-2024,9
61,Mike Trout,Baseball,United States,32,191,106,3x MVP Winner,35,Los Angeles Angels,Outfield,2011-2024,1
62,Aaron Judge,Baseball,United States,31,201,128,1x MVP Winner,40,New York Yankees,Outfield,2016-2024,2
63,Mookie Betts,Baseball,United States,31,175,80,1x MVP Winner,30,Los Angeles Dodgers,Outfield,2014-2024,3
64,Ronald Acuna Jr,Baseball,Venezuela,26,185,95,1x MVP Winner,25,Atlanta Braves,Outfield,2018-2024,4
65,Juan Soto,Baseball,Dominican Republic,25,188,95,0x MVP Winner,20,New York Yankees,Outfield,2018-2024,5
66,Shohei Ohtani,Baseball,Japan,29,193,95,2x MVP Winner,50,Los Angeles Dodgers,Pitcher/DH,2018-2024,1
67,Gerrit Cole,Baseball,United States,33,193,95,1x Cy Young Winner,25,New York Yankees,Pitcher,2013-2024,2
68,Jacob deGrom,Baseball,United States,35,188,95,2x Cy Young Winner,20,Texas Rangers,Pitcher,2014-2024,3
69,Shane Bieber,Baseball,United States,28,188,95,1x Cy Young Winner,15,Cleveland Guardians,Pitcher,2018-2024,4
70,Corbin Burnes,Baseball,United States,29,191,95,1x Cy Young Winner,12,Baltimore Orioles,Pitcher,2018-2024,5
71,Virat Kohli,Cricket,India,35,175,69,1x World Cup Winner,25,Individual,Batsman,2008-2024,1
72,Babar Azam,Cricket,Pakistan,29,175,70,0x World Cup Winner,20,Individual,Batsman,2015-2024,2
73,Steve Smith,Cricket,Australia,35,175,70,1x World Cup Winner,18,Individual,Batsman,2010-2024,3
74,Kane Williamson,Cricket,New Zealand,33,175,70,0x World Cup Winner,15,Individual,Batsman,2010-2024,4
75,Joe Root,Cricket,England,33,175,70,1x World Cup Winner,12,Individual,Batsman,2012-2024,5
76,Pat Cummins,Cricket,Australia,30,188,85,1x World Cup Winner,10,Individual,Bowler,2011-2024,1
77,Jasprit Bumrah,Cricket,India,30,175,70,0x World Cup Winner,8,Individual,Bowler,2016-2024,2
78,Shaheen Afridi,Cricket,Pakistan,24,193,85,0x World Cup Winner,6,Individual,Bowler,2018-2024,3
79,Trent Boult,Cricket,New Zealand,34,188,85,0x World Cup Winner,5,Individual,Bowler,2011-2024,4
80,Kagiso Rabada,Cricket,South Africa,28,188,85,0x World Cup Winner,4,Individual,Bowler,2015-2024,5
81,Magnus Carlsen,Chess,Norway,33,185,75,5x World Champion,2,Individual,Grandmaster,2004-2024,1
82,Ding Liren,Chess,China,31,175,70,1x World Champion,1,Individual,Grandmaster,2009-2024,2
83,Ian Nepomniachtchi,Chess,Russia,33,180,75,0x World Champion,1,Individual,Grandmaster,2007-2024,3
84,Fabiano Caruana,Chess,United States,31,175,70,0x World Champion,1,Individual,Grandmaster,2007-2024,4
85,Hikaru Nakamura,Chess,United States,36,175,70,0x World Champion,1,Individual,Grandmaster,2005-2024,5
86,Judit Polgar,Chess,Hungary,47,165,60,0x World Champion,1,Individual,Grandmaster,1988-2014,6
87,Garry Kasparov,Chess,Russia,61,175,70,6x World Champion,1,Individual,Grandmaster,1978-2005,7
88,Anatoly Karpov,Chess,Russia,72,175,70,6x World Champion,1,Individual,Grandmaster,1969-2009,8
89,Bobby Fischer,Chess,United States,64,175,70,1x World Champion,1,Individual,Grandmaster,1958-1992,9
90,Vladimir Kramnik,Chess,Russia,49,185,80,1x World Champion,1,Individual,Grandmaster,1992-2019,10
91,Phil Mickelson,Golf,United States,54,188,95,6x Major Winner,20,Individual,Golfer,1992-2024,6
92,Tiger Woods,Golf,United States,48,185,84,15x Major Winner,50,Individual,Golfer,1996-2024,7
93,Jack Nicklaus,Golf,United States,84,180,84,18x Major Winner,30,Individual,Golfer,1961-2005,8
94,Arnold Palmer,Golf,United States,87,175,79,7x Major Winner,25,Individual,Golfer,1954-2006,9
95,Gary Player,Golf,South Africa,88,170,75,9x Major Winner,20,Individual,Golfer,1953-2009,10
96,Ben Hogan,Golf,United States,84,175,75,9x Major Winner,15,Individual,Golfer,1930-1971,11
97,Sam Snead,Golf,United States,89,175,75,7x Major Winner,12,Individual,Golfer,1934-1983,12
98,Byron Nelson,Golf,United States,94,175,75,5x Major Winner,10,Individual,Golfer,1935-1946,13
99,Gene Sarazen,Golf,United States,97,170,70,7x Major Winner,8,Individual,Golfer,1920-1973,14
100,Walter Hagen,Golf,United States,76,175,75,11x Major Winner,6,Individual,Golfer,1912-1940,15
