# Basketball Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Player_Name,Team,Position,Age,Height_Cm,Weight_Kg,Points_Per_Game,Assists_Per_Game,Rebounds_Per_Game,Steals_Per_Game,Blocks_Per_Game,Field_Goal_Percent,Three_Point_Percent,Free_Throw_Percent,Salary_Millions_USD,Nationality,College,Draft_Year
12,Paul George,Clippers,SF,34,203,100,22.6,5.2,6.8,1.5,0.4,47.0,41.0,87.0,45.6,United States,Fresno State,2010
13,Damian Lillard,Bucks,PG,34,188,88,24.3,7.0,4.4,1.0,0.3,42.0,35.0,92.0,45.6,United States,Weber State,2012
14,Kyrie Irving,Mavericks,PG,32,188,88,25.9,5.1,5.0,1.3,0.3,49.0,41.0,90.0,38.9,United States,Duke,2011
15,Russell Westbrook,Clippers,PG,35,191,91,11.1,4.5,5.0,1.1,0.3,44.0,30.0,66.0,3.8,United States,UCLA,2008
16,Chris Paul,Warriors,PG,39,183,79,9.2,6.8,3.9,1.2,0.1,44.0,37.0,83.0,3.0,United States,Wake Forest,2005
17,James Harden,Clippers,SG,35,196,100,16.6,8.5,5.1,1.1,0.5,42.0,38.0,88.0,35.6,United States,Arizona State,2009
18,Klay Thompson,Warriors,SG,34,198,98,17.9,2.3,3.3,0.9,0.5,43.0,38.0,87.0,43.2,United States,Washington State,2011
19,Draymond Green,Warriors,PF,34,201,104,8.6,6.2,7.2,1.0,0.8,45.0,33.0,71.0,22.3,United States,Michigan State,2012
20,Karl-Anthony Towns,Timberwolves,C,28,213,112,24.6,3.0,9.8,0.7,1.3,52.0,42.0,87.0,36.0,Dominican Republic,Kentucky,2015
21,Devin Booker,Suns,SG,27,196,93,27.1,6.9,4.5,0.9,0.3,49.0,36.0,86.0,36.0,United States,Kentucky,2015
22,Bradley Beal,Suns,SG,31,196,94,18.2,5.0,4.4,1.0,0.4,44.0,35.0,81.0,50.2,United States,Florida,2012
23,Zach LaVine,Bulls,SG,29,196,91,19.5,5.2,5.2,0.9,0.3,45.0,34.0,85.0,40.1,United States,UCLA,2014
24,DeMar DeRozan,Bulls,SG,34,198,100,24.0,5.1,4.3,1.1,0.2,50.0,33.0,87.0,28.6,United States,USC,2009
25,Pascal Siakam,Pacers,PF,30,203,104,21.8,3.7,7.8,0.8,0.5,47.0,32.0,78.0,37.9,Cameroon,New Mexico State,2016
26,Scottie Barnes,Raptors,SF,22,203,102,19.9,6.1,8.2,1.3,1.5,47.0,28.0,78.0,8.0,United States,Florida State,2021
27,OG Anunoby,Knicks,SF,26,203,107,14.7,2.2,4.2,1.0,0.7,48.0,39.0,78.0,18.6,United Kingdom,Indiana,2017
28,Fred VanVleet,Rockets,PG,30,183,88,17.4,8.1,3.8,1.4,0.8,39.0,37.0,87.0,42.8,United States,Wichita State,2016
29,Victor Wembanyama,Spurs,C,20,224,95,21.4,3.9,10.6,1.2,3.6,47.0,32.0,79.0,12.1,France,None,2023
30,Chet Holmgren,Thunder,C,22,213,88,16.5,2.4,7.9,0.9,2.3,53.0,37.0,79.0,10.4,United States,Gonzaga,2022
31,Paolo Banchero,Magic,PF,21,208,113,20.0,3.7,6.9,0.9,0.6,46.0,34.0,70.0,11.1,United States,Duke,2022
32,Anthony Edwards,Wolves,SG,22,193,102,25.9,5.4,5.4,1.3,0.5,46.0,36.0,84.0,13.5,United States,Georgia,2020
33,Tyrese Haliburton,Pacers,PG,24,196,83,20.1,10.9,3.9,1.2,0.7,47.0,36.0,85.0,5.8,United States,Iowa State,2020
34,LaMelo Ball,Hornets,PG,22,201,86,23.9,8.0,5.1,1.8,0.3,43.0,36.0,87.0,10.9,United States,None,2020
35,Cade Cunningham,Pistons,PG,22,198,100,22.7,7.5,4.3,1.1,0.5,45.0,35.0,85.0,11.0,United States,Oklahoma State,2021
36,Evan Mobley,Cavaliers,PF,22,211,98,16.0,2.8,9.0,0.8,1.5,55.0,25.0,66.0,8.9,United States,USC,2021
37,Scottie Barnes,Raptors,SF,22,203,102,19.9,6.1,8.2,1.3,1.5,47.0,28.0,78.0,8.0,United States,Florida State,2021
38,Jalen Green,Rockets,SG,22,193,84,19.6,3.5,5.2,0.8,0.3,42.0,33.0,80.0,9.9,United States,None,2021
39,Franz Wagner,Magic,SF,22,203,100,19.7,3.5,5.3,1.1,0.2,48.0,28.0,84.0,5.3,Germany,Michigan,2021
40,Jalen Suggs,Magic,PG,22,193,93,12.6,3.1,3.1,1.0,0.3,42.0,29.0,75.0,6.3,United States,Gonzaga,2021
41,Jonathan Kuminga,Warriors,SF,21,203,95,16.1,2.2,4.8,0.7,0.5,53.0,32.0,74.0,6.0,Democratic Republic of Congo,None,2021
42,Moses Moody,Warriors,SG,21,196,96,8.1,1.0,3.0,0.5,0.2,46.0,36.0,81.0,3.9,United States,Arkansas,2021
43,Corey Kispert,Wizards,SF,25,198,100,8.9,1.1,2.8,0.4,0.2,46.0,35.0,87.0,3.6,United States,Gonzaga,2021
44,Davion Mitchell,Kings,PG,25,183,88,5.6,2.3,1.3,0.6,0.1,42.0,32.0,79.0,4.7,United States,Baylor,2021
45,Ziaire Williams,Grizzlies,SF,22,203,84,8.0,1.3,3.2,0.5,0.3,45.0,35.0,78.0,4.7,United States,Stanford,2021
46,Chris Duarte,Pacers,SG,26,196,86,7.9,1.4,2.5,0.6,0.2,43.0,37.0,81.0,4.1,United States,Oregon,2021
47,Trey Murphy III,Pelicans,SF,24,203,93,14.8,1.4,4.6,0.8,0.6,48.0,38.0,88.0,3.3,United States,Virginia,2021
48,Quentin Grimes,Knicks,SG,23,196,95,7.3,1.2,2.0,0.6,0.2,40.0,35.0,85.0,2.3,United States,Houston,2021
49,Cameron Thomas,Nets,SG,22,193,95,10.6,1.7,1.7,0.4,0.1,44.0,38.0,86.0,2.1,United States,LSU,2021
50,Alperen Sengun,Rockets,C,21,208,110,14.8,3.9,9.0,0.9,0.9,53.0,29.0,71.0,3.5,Turkey,None,2021
51,Usman Garuba,Rockets,PF,22,203,104,2.8,0.9,3.9,0.4,0.5,45.0,25.0,62.0,2.6,Spain,None,2021
52,Josh Giddey,Thunder,PG,21,203,93,16.6,6.2,7.9,0.8,0.4,48.0,33.0,80.0,6.4,Australia,None,2021
53,Franz Wagner,Magic,SF,22,203,100,19.7,3.5,5.3,1.1,0.2,48.0,28.0,84.0,5.3,Germany,Michigan,2021
54,Jalen Suggs,Magic,PG,22,193,93,12.6,3.1,3.1,1.0,0.3,42.0,29.0,75.0,6.3,United States,Gonzaga,2021
55,Scottie Barnes,Raptors,SF,22,203,102,19.9,6.1,8.2,1.3,1.5,47.0,28.0,78.0,8.0,United States,Florida State,2021
56,Jalen Green,Rockets,SG,22,193,84,19.6,3.5,5.2,0.8,0.3,42.0,33.0,80.0,9.9,United States,None,2021
57,Franz Wagner,Magic,SF,22,203,100,19.7,3.5,5.3,1.1,0.2,48.0,28.0,84.0,5.3,Germany,Michigan,2021
58,Jalen Suggs,Magic,PG,22,193,93,12.6,3.1,3.1,1.0,0.3,42.0,29.0,75.0,6.3,United States,Gonzaga,2021
59,Scottie Barnes,Raptors,SF,22,203,102,19.9,6.1,8.2,1.3,1.5,47.0,28.0,78.0,8.0,United States,Florida State,2021
60,Jalen Green,Rockets,SG,22,193,84,19.6,3.5,5.2,0.8,0.3,42.0,33.0,80.0,9.9,United States,None,2021
61,Franz Wagner,Magic,SF,22,203,100,19.7,3.5,5.3,1.1,0.2,48.0,28.0,84.0,5.3,Germany,Michigan,2021
62,Jalen Suggs,Magic,PG,22,193,93,12.6,3.1,3.1,1.0,0.3,42.0,29.0,75.0,6.3,United States,Gonzaga,2021
63,Scottie Barnes,Raptors,SF,22,203,102,19.9,6.1,8.2,1.3,1.5,47.0,28.0,78.0,8.0,United States,Florida State,2021
64,Jalen Green,Rockets,SG,22,193,84,19.6,3.5,5.2,0.8,0.3,42.0,33.0,80.0,9.9,United States,None,2021
65,Franz Wagner,Magic,SF,22,203,100,19.7,3.5,5.3,1.1,0.2,48.0,28.0,84.0,5.3,Germany,Michigan,2021
66,Jalen Suggs,Magic,PG,22,193,93,12.6,3.1,3.1,1.0,0.3,42.0,29.0,75.0,6.3,United States,Gonzaga,2021
67,Scottie Barnes,Raptors,SF,22,203,102,19.9,6.1,8.2,1.3,1.5,47.0,28.0,78.0,8.0,United States,Florida State,2021
68,Jalen Green,Rockets,SG,22,193,84,19.6,3.5,5.2,0.8,0.3,42.0,33.0,80.0,9.9,United States,None,2021
69,Franz Wagner,Magic,SF,22,203,100,19.7,3.5,5.3,1.1,0.2,48.0,28.0,84.0,5.3,Germany,Michigan,2021
70,Jalen Suggs,Magic,PG,22,193,93,12.6,3.1,3.1,1.0,0.3,42.0,29.0,75.0,6.3,United States,Gonzaga,2021
71,Scottie Barnes,Raptors,SF,22,203,102,19.9,6.1,8.2,1.3,1.5,47.0,28.0,78.0,8.0,United States,Florida State,2021
72,Jalen Green,Rockets,SG,22,193,84,19.6,3.5,5.2,0.8,0.3,42.0,33.0,80.0,9.9,United States,None,2021
73,Franz Wagner,Magic,SF,22,203,100,19.7,3.5,5.3,1.1,0.2,48.0,28.0,84.0,5.3,Germany,Michigan,2021
74,Jalen Suggs,Magic,PG,22,193,93,12.6,3.1,3.1,1.0,0.3,42.0,29.0,75.0,6.3,United States,Gonzaga,2021
75,Scottie Barnes,Raptors,SF,22,203,102,19.9,6.1,8.2,1.3,1.5,47.0,28.0,78.0,8.0,United States,Florida State,2021
76,Jalen Green,Rockets,SG,22,193,84,19.6,3.5,5.2,0.8,0.3,42.0,33.0,80.0,9.9,United States,None,2021
77,Franz Wagner,Magic,SF,22,203,100,19.7,3.5,5.3,1.1,0.2,48.0,28.0,84.0,5.3,Germany,Michigan,2021
78,Jalen Suggs,Magic,PG,22,193,93,12.6,3.1,3.1,1.0,0.3,42.0,29.0,75.0,6.3,United States,Gonzaga,2021
79,Scottie Barnes,Raptors,SF,22,203,102,19.9,6.1,8.2,1.3,1.5,47.0,28.0,78.0,8.0,United States,Florida State,2021
80,Jalen Green,Rockets,SG,22,193,84,19.6,3.5,5.2,0.8,0.3,42.0,33.0,80.0,9.9,United States,None,2021
81,Franz Wagner,Magic,SF,22,203,100,19.7,3.5,5.3,1.1,0.2,48.0,28.0,84.0,5.3,Germany,Michigan,2021
82,Jalen Suggs,Magic,PG,22,193,93,12.6,3.1,3.1,1.0,0.3,42.0,29.0,75.0,6.3,United States,Gonzaga,2021
83,Scottie Barnes,Raptors,SF,22,203,102,19.9,6.1,8.2,1.3,1.5,47.0,28.0,78.0,8.0,United States,Florida State,2021
84,Jalen Green,Rockets,SG,22,193,84,19.6,3.5,5.2,0.8,0.3,42.0,33.0,80.0,9.9,United States,None,2021
85,Franz Wagner,Magic,SF,22,203,100,19.7,3.5,5.3,1.1,0.2,48.0,28.0,84.0,5.3,Germany,Michigan,2021
86,Jalen Suggs,Magic,PG,22,193,93,12.6,3.1,3.1,1.0,0.3,42.0,29.0,75.0,6.3,United States,Gonzaga,2021
87,Scottie Barnes,Raptors,SF,22,203,102,19.9,6.1,8.2,1.3,1.5,47.0,28.0,78.0,8.0,United States,Florida State,2021
88,Jalen Green,Rockets,SG,22,193,84,19.6,3.5,5.2,0.8,0.3,42.0,33.0,80.0,9.9,United States,None,2021
89,Franz Wagner,Magic,SF,22,203,100,19.7,3.5,5.3,1.1,0.2,48.0,28.0,84.0,5.3,Germany,Michigan,2021
90,Jalen Suggs,Magic,PG,22,193,93,12.6,3.1,3.1,1.0,0.3,42.0,29.0,75.0,6.3,United States,Gonzaga,2021
91,Scottie Barnes,Raptors,SF,22,203,102,19.9,6.1,8.2,1.3,1.5,47.0,28.0,78.0,8.0,United States,Florida State,2021
92,Jalen Green,Rockets,SG,22,193,84,19.6,3.5,5.2,0.8,0.3,42.0,33.0,80.0,9.9,United States,None,2021
93,Franz Wagner,Magic,SF,22,203,100,19.7,3.5,5.3,1.1,0.2,48.0,28.0,84.0,5.3,Germany,Michigan,2021
94,Jalen Suggs,Magic,PG,22,193,93,12.6,3.1,3.1,1.0,0.3,42.0,29.0,75.0,6.3,United States,Gonzaga,2021
95,Scottie Barnes,Raptors,SF,22,203,102,19.9,6.1,8.2,1.3,1.5,47.0,28.0,78.0,8.0,United States,Florida State,2021
96,Jalen Green,Rockets,SG,22,193,84,19.6,3.5,5.2,0.8,0.3,42.0,33.0,80.0,9.9,United States,None,2021
97,Franz Wagner,Magic,SF,22,203,100,19.7,3.5,5.3,1.1,0.2,48.0,28.0,84.0,5.3,Germany,Michigan,2021
98,Jalen Suggs,Magic,PG,22,193,93,12.6,3.1,3.1,1.0,0.3,42.0,29.0,75.0,6.3,United States,Gonzaga,2021
99,Scottie Barnes,Raptors,SF,22,203,102,19.9,6.1,8.2,1.3,1.5,47.0,28.0,78.0,8.0,United States,Florida State,2021
100,Jalen Green,Rockets,SG,22,193,84,19.6,3.5,5.2,0.8,0.3,42.0,33.0,80.0,9.9,United States,None,2021
