# Weather Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,City,Country,Date,Avg_Temperature_C,Min_Temperature_C,Max_Temperature_C,Precipitation_mm,Humidity_Percent,Wind_Speed_kmh,Pressure_hPa,Visibility_km,Weather_Condition,UV_Index,Sunrise,Sunset
31,Dhaka,Bangladesh,2024-01-15,22,19,26,8,80,10,1012,10,Light Rain,5,06:45,17:45
32,Karachi,Pakistan,2024-01-15,20,17,24,0,60,8,1015,15,Clear,6,07:00,18:00
33,Delhi,India,2024-01-15,15,12,19,0,65,8,1020,8,Clear,4,07:15,17:45
34,Kolkata,India,2024-01-15,25,22,28,5,70,8,1015,12,Light Rain,6,06:30,17:30
35,Chennai,India,2024-01-15,28,25,32,0,65,8,1012,15,Clear,7,06:45,18:15
36,Bangalore,India,2024-01-15,26,23,30,0,60,8,1015,15,Clear,7,06:30,18:00
37,Hyderabad,India,2024-01-15,24,21,28,0,65,8,1018,15,Clear,6,06:45,18:00
38,Pune,India,2024-01-15,22,19,26,0,60,8,1020,15,Clear,6,07:00,18:15
39,Ahmedabad,India,2024-01-15,20,17,24,0,55,8,1022,15,Clear,6,07:15,18:00
40,Surat,India,2024-01-15,22,19,26,0,60,8,1020,15,Clear,6,07:00,18:15
41,Jaipur,India,2024-01-15,18,15,22,0,50,8,1025,15,Clear,5,07:15,18:00
42,Lucknow,India,2024-01-15,16,13,20,0,60,8,1022,12,Clear,4,07:00,17:45
43,Kanpur,India,2024-01-15,17,14,21,0,55,8,1023,12,Clear,4,07:00,17:45
44,Nagpur,India,2024-01-15,24,21,28,0,55,8,1020,15,Clear,6,06:45,18:00
45,Indore,India,2024-01-15,22,19,26,0,50,8,1022,15,Clear,6,07:00,18:15
46,Thane,India,2024-01-15,26,23,30,0,65,8,1015,15,Clear,7,06:30,18:00
47,Bhopal,India,2024-01-15,20,17,24,0,55,8,1020,15,Clear,5,07:00,18:00
48,Visakhapatnam,India,2024-01-15,26,23,30,0,70,8,1015,15,Clear,7,06:30,18:00
49,Pimpri-Chinchwad,India,2024-01-15,22,19,26,0,60,8,1020,15,Clear,6,06:45,18:15
50,Patna,India,2024-01-15,18,15,22,0,65,8,1020,12,Clear,4,06:45,17:45
51,Vadodara,India,2024-01-15,22,19,26,0,60,8,1020,15,Clear,6,07:00,18:15
52,Ghaziabad,India,2024-01-15,16,13,20,0,60,8,1022,12,Clear,4,07:00,17:45
53,Ludhiana,India,2024-01-15,12,9,16,0,55,8,1025,12,Clear,3,07:15,17:45
54,Agra,India,2024-01-15,15,12,19,0,50,8,1025,12,Clear,4,07:00,17:45
55,Nashik,India,2024-01-15,20,17,24,0,55,8,1022,15,Clear,5,07:00,18:15
56,Faridabad,India,2024-01-15,16,13,20,0,60,8,1022,12,Clear,4,07:00,17:45
57,Meerut,India,2024-01-15,15,12,19,0,55,8,1023,12,Clear,4,07:00,17:45
58,Rajkot,India,2024-01-15,22,19,26,0,55,8,1022,15,Clear,6,07:00,18:15
59,Kalyan-Dombivali,India,2024-01-15,26,23,30,0,65,8,1015,15,Clear,7,06:30,18:00
60,Vasai-Virar,India,2024-01-15,26,23,30,0,65,8,1015,15,Clear,7,06:30,18:00
61,Varanasi,India,2024-01-15,18,15,22,0,65,8,1020,12,Clear,4,06:45,17:45
62,Srinagar,India,2024-01-15,2,0,5,8,75,8,1025,8,Light Snow,1,07:30,17:30
63,Aurangabad,India,2024-01-15,22,19,26,0,55,8,1020,15,Clear,6,07:00,18:15
64,Navi Mumbai,India,2024-01-15,26,23,30,0,65,8,1015,15,Clear,7,06:30,18:00
65,Solapur,India,2024-01-15,24,21,28,0,55,8,1020,15,Clear,6,06:45,18:15
66,Vijayawada,India,2024-01-15,26,23,30,0,70,8,1015,15,Clear,7,06:30,18:00
67,Kolhapur,India,2024-01-15,22,19,26,0,60,8,1020,15,Clear,6,07:00,18:15
68,Amritsar,India,2024-01-15,10,7,14,0,55,8,1025,12,Clear,3,07:15,17:45
69,Noida,India,2024-01-15,16,13,20,0,60,8,1022,12,Clear,4,07:00,17:45
70,Allahabad,India,2024-01-15,18,15,22,0,65,8,1020,12,Clear,4,06:45,17:45
71,Ranchi,India,2024-01-15,20,17,24,0,65,8,1020,12,Clear,5,06:45,17:45
72,Howrah,India,2024-01-15,25,22,28,5,70,8,1015,12,Light Rain,6,06:30,17:30
73,Coimbatore,India,2024-01-15,26,23,30,0,65,8,1018,15,Clear,7,06:30,18:15
74,Raipur,India,2024-01-15,22,19,26,0,60,8,1020,15,Clear,6,06:45,18:00
75,Jabalpur,India,2024-01-15,20,17,24,0,55,8,1020,15,Clear,5,07:00,18:00
76,Gwalior,India,2024-01-15,18,15,22,0,50,8,1022,15,Clear,5,07:00,18:00
77,Chandigarh,India,2024-01-15,12,9,16,0,55,8,1025,12,Clear,3,07:15,17:45
78,Tiruchirappalli,India,2024-01-15,28,25,32,0,65,8,1015,15,Clear,7,06:30,18:15
79,Mysore,India,2024-01-15,24,21,28,0,60,8,1020,15,Clear,6,06:30,18:00
80,Kochi,India,2024-01-15,30,27,33,0,75,8,1010,15,Clear,8,06:30,18:15
81,Bhubaneswar,India,2024-01-15,26,23,30,0,70,8,1015,15,Clear,7,06:30,17:45
82,Bhavnagar,India,2024-01-15,24,21,28,0,60,8,1020,15,Clear,6,07:00,18:15
83,Salem,India,2024-01-15,26,23,30,0,65,8,1018,15,Clear,7,06:30,18:15
84,Warangal,India,2024-01-15,24,21,28,0,65,8,1020,15,Clear,6,06:45,18:00
85,Guntur,India,2024-01-15,26,23,30,0,70,8,1015,15,Clear,7,06:30,18:00
86,Bhiwandi,India,2024-01-15,26,23,30,0,65,8,1015,15,Clear,7,06:30,18:00
87,Amravati,India,2024-01-15,22,19,26,0,55,8,1020,15,Clear,6,07:00,18:15
88,Nanded,India,2024-01-15,24,21,28,0,55,8,1020,15,Clear,6,06:45,18:15
89,Kolhapur,India,2024-01-15,22,19,26,0,60,8,1020,15,Clear,6,07:00,18:15
90,Sangli,India,2024-01-15,22,19,26,0,60,8,1020,15,Clear,6,07:00,18:15
91,Malegaon,India,2024-01-15,22,19,26,0,55,8,1020,15,Clear,6,07:00,18:15
92,Ulhasnagar,India,2024-01-15,26,23,30,0,65,8,1015,15,Clear,7,06:30,18:00
93,Jalgaon,India,2024-01-15,22,19,26,0,55,8,1020,15,Clear,6,07:00,18:15
94,Latur,India,2024-01-15,24,21,28,0,55,8,1020,15,Clear,6,06:45,18:15
95,Ahmadnagar,India,2024-01-15,22,19,26,0,55,8,1020,15,Clear,6,07:00,18:15
96,Dhule,India,2024-01-15,22,19,26,0,55,8,1020,15,Clear,6,07:00,18:15
97,Ichalkaranji,India,2024-01-15,22,19,26,0,60,8,1020,15,Clear,6,07:00,18:15
98,Parbhani,India,2024-01-15,24,21,28,0,55,8,1020,15,Clear,6,06:45,18:15
99,Jalna,India,2024-01-15,24,21,28,0,55,8,1020,15,Clear,6,06:45,18:15
100,Bhusawal,India,2024-01-15,22,19,26,0,55,8,1020,15,Clear,6,07:00,18:15
