# Poverty Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Poverty_Rate_Percent,Extreme_Poverty_Rate_Percent,Gini_Coefficient,Income_Inequality_Ratio,Median_Household_Income_USD,GDP_Per_Capita_USD,Social_Safety_Net_Coverage_Percent,Child_Poverty_Rate_Percent,Elderly_Poverty_Rate_Percent,Food_Security_Percent,Housing_Affordability_Index,Education_Access_Percent,Healthcare_Access_Percent,Social_Mobility_Index
22,Belgium,14.8,0.5,0.28,5.8,40000,46000,85.8,18.8,8.5,97.8,58.8,98.5,95.8,0.65
23,Argentina,35.5,8.8,0.45,18.5,8000,12000,45.8,45.8,25.8,82.5,25.8,88.5,78.5,0.35
24,Ireland,13.8,0.5,0.32,6.8,45000,85000,75.8,18.8,8.5,96.8,45.8,98.5,95.8,0.58
25,Israel,21.0,1.8,0.39,12.8,30000,45000,65.8,28.8,18.5,92.8,35.8,95.8,88.5,0.45
26,Norway,12.1,0.2,0.28,5.8,55000,75000,85.8,15.8,2.8,98.8,75.8,98.8,98.5,0.72
27,United Arab Emirates,19.5,0.5,0.42,12.8,35000,45000,45.8,25.8,8.5,95.8,55.8,95.8,88.5,0.48
28,South Africa,55.5,18.8,0.63,65.8,5000,7000,25.8,65.8,35.8,65.8,15.8,75.8,65.8,0.25
29,Malaysia,5.6,0.2,0.41,12.8,12000,12000,65.8,8.8,2.8,95.8,55.8,95.8,88.5,0.52
30,Singapore,0.5,0.0,0.45,15.8,45000,65000,85.8,1.8,0.8,98.8,75.8,98.8,98.5,0.68
31,Bangladesh,24.3,5.8,0.32,8.8,2000,2500,45.8,32.8,18.5,75.8,25.8,75.8,65.8,0.35
32,Vietnam,6.7,0.8,0.35,8.8,4000,3500,65.8,12.8,8.5,92.8,45.8,95.8,85.8,0.52
33,Thailand,6.8,0.5,0.40,12.8,6000,7500,55.8,12.8,8.5,92.8,45.8,95.8,85.8,0.48
34,Egypt,29.7,4.8,0.42,12.8,3000,4000,35.8,38.8,25.8,78.5,25.8,85.8,75.8,0.32
35,Poland,17.4,0.8,0.32,6.8,15000,16000,65.8,22.8,12.5,92.8,45.8,95.8,88.5,0.52
36,Pakistan,24.3,4.8,0.33,8.8,1500,1500,25.8,32.8,18.5,65.8,15.8,65.8,55.8,0.28
37,Philippines,16.6,2.8,0.42,12.8,4000,3500,35.8,22.8,18.5,82.5,28.8,88.5,75.8,0.38
38,Chile,8.6,0.8,0.46,15.8,12000,15000,55.8,15.8,8.5,92.8,45.8,95.8,88.5,0.48
39,Finland,12.1,0.2,0.27,5.8,45000,50000,85.8,15.8,2.8,98.8,75.8,98.8,98.5,0.72
40,Portugal,17.2,1.8,0.35,8.8,18000,22000,65.8,22.8,12.5,92.8,35.8,95.8,88.5,0.45
41,Romania,23.8,2.8,0.36,8.8,8000,12000,45.8,28.8,18.5,85.8,25.8,88.5,78.5,0.35
42,Greece,22.3,2.8,0.34,8.8,18000,20000,55.8,28.8,18.5,88.5,28.8,95.8,85.8,0.38
43,New Zealand,13.8,0.5,0.33,7.2,40000,42000,75.8,18.8,8.5,96.8,55.8,98.5,95.8,0.58
44,Peru,20.2,2.8,0.43,12.8,6000,7000,45.8,25.8,18.5,82.5,28.8,88.5,78.5,0.38
45,Czech Republic,9.6,0.5,0.25,5.8,20000,25000,75.8,12.8,2.8,96.8,65.8,98.5,95.8,0.65
46,Iraq,18.9,2.8,0.35,8.8,4000,5000,35.8,25.8,18.5,75.8,25.8,85.8,75.8,0.32
47,Qatar,0.4,0.0,0.42,12.8,35000,95000,85.8,1.8,0.8,98.8,85.8,98.8,98.5,0.68
48,Kazakhstan,4.3,0.2,0.28,6.8,8000,9000,65.8,8.8,2.8,95.8,55.8,95.8,88.5,0.58
49,Algeria,5.5,0.5,0.28,6.8,4000,4000,65.8,8.8,2.8,92.8,45.8,88.5,85.8,0.48
50,Kuwait,1.5,0.0,0.32,7.8,25000,35000,85.8,2.8,0.8,98.5,75.8,98.5,95.8,0.62
51,Hungary,12.3,0.5,0.30,6.8,15000,18000,65.8,15.8,8.5,92.8,45.8,95.8,88.5,0.52
52,Ukraine,1.1,0.2,0.26,5.8,3000,3500,65.8,2.8,0.8,88.5,35.8,95.8,85.8,0.45
53,Morocco,15.5,1.8,0.40,12.8,3000,3500,45.8,22.8,18.5,82.5,28.8,85.8,75.8,0.38
54,Ecuador,25.0,3.8,0.45,15.8,5000,6500,35.8,32.8,25.8,78.5,25.8,88.5,78.5,0.32
55,Slovakia,12.4,0.5,0.26,5.8,18000,20000,75.8,15.8,2.8,95.8,55.8,98.5,95.8,0.62
56,Angola,32.3,8.8,0.55,25.8,2000,3000,25.8,45.8,35.8,55.8,15.8,65.8,55.8,0.22
57,Oman,1.1,0.0,0.32,7.8,20000,20000,85.8,2.8,0.8,98.5,75.8,98.5,95.8,0.62
58,Myanmar,24.8,2.8,0.38,8.8,1500,1500,25.8,32.8,18.5,65.8,15.8,75.8,65.8,0.28
59,Sri Lanka,4.1,0.2,0.40,12.8,4000,4000,55.8,8.8,2.8,92.8,45.8,95.8,85.8,0.48
60,Dominican Republic,21.0,1.8,0.45,15.8,6000,8000,35.8,28.8,18.5,82.5,28.8,88.5,78.5,0.35
61,Kenya,36.1,8.8,0.48,18.5,1500,2000,25.8,48.8,35.8,65.8,15.8,75.8,65.8,0.25
62,Ethiopia,23.5,8.8,0.40,12.8,800,1000,25.8,32.8,25.8,55.8,15.8,65.8,55.8,0.22
63,Ghana,23.4,2.8,0.42,12.8,2000,2500,35.8,32.8,25.8,75.8,25.8,85.8,75.8,0.32
64,Bulgaria,22.0,2.8,0.38,8.8,8000,10000,55.8,28.8,18.5,85.8,28.8,95.8,85.8,0.38
65,Tanzania,26.4,8.8,0.40,12.8,800,1200,25.8,35.8,25.8,65.8,15.8,75.8,65.8,0.25
66,Tunisia,15.2,1.8,0.36,8.8,3000,4000,45.8,22.8,18.5,82.5,28.8,88.5,78.5,0.38
67,Croatia,19.5,1.8,0.30,6.8,12000,15000,65.8,25.8,12.5,88.5,35.8,95.8,88.5,0.45
68,Lebanon,27.4,2.8,0.42,12.8,4000,8000,35.8,35.8,25.8,75.8,25.8,88.5,78.5,0.32
69,Panama,14.7,1.8,0.50,18.5,8000,15000,45.8,22.8,18.5,88.5,35.8,95.8,88.5,0.42
70,Costa Rica,20.5,2.8,0.48,15.8,6000,12000,55.8,28.8,18.5,85.8,28.8,95.8,85.8,0.42
71,Lithuania,22.2,0.8,0.37,8.8,15000,20000,65.8,28.8,12.5,92.8,45.8,98.5,95.8,0.48
72,Slovenia,13.5,0.5,0.25,5.8,20000,25000,75.8,18.8,2.8,96.8,65.8,98.5,95.8,0.65
73,Serbia,25.5,2.8,0.36,8.8,6000,8000,45.8,32.8,25.8,82.5,25.8,88.5,78.5,0.32
74,Libya,33.0,8.8,0.40,12.8,4000,8000,25.8,45.8,35.8,65.8,15.8,85.8,75.8,0.25
75,Jordan,14.4,0.8,0.33,8.8,4000,5000,55.8,22.8,18.5,85.8,35.8,88.5,78.5,0.42
76,Paraguay,26.2,3.8,0.48,15.8,4000,5000,35.8,35.8,25.8,75.8,25.8,88.5,78.5,0.32
77,Bolivia,37.2,8.8,0.46,15.8,3000,3500,25.8,48.8,35.8,65.8,15.8,85.8,75.8,0.25
78,Cameroon,37.5,8.8,0.46,15.8,1500,1500,25.8,48.8,35.8,65.8,15.8,75.8,65.8,0.22
79,Uganda,21.4,8.8,0.42,12.8,800,800,25.8,32.8,25.8,65.8,15.8,75.8,65.8,0.25
80,Zambia,54.4,18.8,0.58,35.8,800,1500,25.8,65.8,45.8,55.8,15.8,75.8,65.8,0.18
81,Nepal,25.2,8.8,0.32,8.8,1000,1200,25.8,35.8,25.8,65.8,15.8,75.8,65.8,0.25
82,Afghanistan,54.5,18.8,0.29,8.8,500,500,15.8,65.8,45.8,45.8,8.8,45.8,35.8,0.15
83,Mali,42.1,18.8,0.33,8.8,800,800,25.8,55.8,35.8,55.8,15.8,65.8,55.8,0.18
84,Burkina Faso,40.1,18.8,0.35,8.8,600,700,25.8,52.8,35.8,55.8,15.8,65.8,55.8,0.18
85,Madagascar,70.7,41.8,0.42,12.8,400,500,15.8,85.8,65.8,35.8,8.8,65.8,55.8,0.12
86,Niger,40.8,18.8,0.34,8.8,500,600,25.8,52.8,35.8,45.8,15.8,55.8,45.8,0.15
87,Malawi,51.5,18.8,0.46,15.8,400,400,15.8,65.8,45.8,45.8,8.8,65.8,55.8,0.15
88,Chad,42.3,18.8,0.43,12.8,500,700,25.8,55.8,35.8,45.8,15.8,55.8,45.8,0.15
89,Somalia,73.0,41.8,0.35,8.8,300,300,5.8,85.8,65.8,25.8,5.8,35.8,25.8,0.08
90,Central African Republic,62.0,35.8,0.56,25.8,400,400,15.8,75.8,55.8,35.8,8.8,45.8,35.8,0.12
91,South Sudan,82.3,55.8,0.46,15.8,200,300,5.8,95.8,75.8,15.8,5.8,35.8,25.8,0.08
92,Burundi,64.6,35.8,0.38,8.8,300,300,15.8,75.8,55.8,35.8,8.8,55.8,45.8,0.12
93,Eritrea,50.0,18.8,0.40,12.8,400,500,25.8,65.8,45.8,45.8,15.8,55.8,45.8,0.15
94,Sierra Leone,56.8,18.8,0.35,8.8,400,500,25.8,65.8,45.8,45.8,15.8,55.8,45.8,0.15
95,Liberia,50.9,18.8,0.41,12.8,400,500,25.8,65.8,45.8,45.8,15.8,55.8,45.8,0.15
96,Guinea,43.7,18.8,0.33,8.8,500,600,25.8,55.8,35.8,55.8,15.8,65.8,55.8,0.18
97,Guinea-Bissau,67.0,35.8,0.50,18.5,300,400,15.8,75.8,55.8,35.8,8.8,45.8,35.8,0.12
98,Gambia,48.6,18.8,0.40,12.8,400,500,25.8,62.8,45.8,45.8,15.8,55.8,45.8,0.15
99,Cape Verde,35.0,8.8,0.42,12.8,2000,3500,45.8,45.8,35.8,65.8,25.8,85.8,75.8,0.28
100,Sao Tome and Principe,66.2,35.8,0.56,25.8,500,2000,25.8,75.8,55.8,35.8,15.8,65.8,55.8,0.15
