# Demographic Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Age_Group,Gender,Population_Millions,Income_Level_USD,Education_Level,Employment_Rate_Percent,Urban_Percent,Rural_Percent,Birth_Rate_Per_1000,Death_Rate_Per_1000,Life_Expectancy_Years,Median_Age_Years
20,Brazil,South America,0-14,Female,27.2,7800,Elementary,48.7,87.0,13.0,14.2,6.8,78.3,33.5
21,Brazil,South America,15-64,Male,78.9,12500,High School,82.7,87.0,13.0,14.2,6.8,71.2,33.5
22,Brazil,South America,15-64,Female,82.1,11200,High School,78.4,87.0,13.0,14.2,6.8,78.3,33.5
23,Brazil,South America,65+,Male,8.9,6800,Elementary,45.8,87.0,13.0,14.2,6.8,71.2,33.5
24,Brazil,South America,65+,Female,12.4,6200,Elementary,42.1,87.0,13.0,14.2,6.8,78.3,33.5
25,Nigeria,Africa,0-14,Male,45.2,2100,Primary,38.7,52.0,48.0,37.1,12.4,54.3,18.6
26,Nigeria,Africa,0-14,Female,42.8,1900,Primary,35.2,52.0,48.0,37.1,12.4,55.7,18.6
27,Nigeria,Africa,15-64,Male,78.5,4200,Secondary,68.9,52.0,48.0,37.1,12.4,54.3,18.6
28,Nigeria,Africa,15-64,Female,72.1,3800,Secondary,62.4,52.0,48.0,37.1,12.4,55.7,18.6
29,Nigeria,Africa,65+,Male,3.2,1800,Primary,28.5,52.0,48.0,37.1,12.4,54.3,18.6
30,Nigeria,Africa,65+,Female,4.1,1600,Primary,25.8,52.0,48.0,37.1,12.4,55.7,18.6
31,Germany,Europe,0-14,Male,6.8,45000,High School,12.5,77.4,22.6,8.6,11.8,78.9,44.3
32,Germany,Europe,0-14,Female,6.5,42000,High School,11.8,77.4,22.6,8.6,11.8,83.4,44.3
33,Germany,Europe,15-64,Male,28.9,52000,Bachelor's,89.2,77.4,22.6,8.6,11.8,78.9,44.3
34,Germany,Europe,15-64,Female,28.1,48000,Bachelor's,84.7,77.4,22.6,8.6,11.8,83.4,44.3
35,Germany,Europe,65+,Male,8.2,38000,High School,18.5,77.4,22.6,8.6,11.8,78.9,44.3
36,Germany,Europe,65+,Female,10.8,35000,High School,15.2,77.4,22.6,8.6,11.8,83.4,44.3
37,Japan,Asia,0-14,Male,8.9,42000,High School,8.2,91.7,8.3,6.8,10.9,81.2,48.6
38,Japan,Asia,0-14,Female,8.5,39000,High School,7.8,91.7,8.3,6.8,10.9,87.1,48.6
39,Japan,Asia,15-64,Male,42.8,48000,Bachelor's,92.1,91.7,8.3,6.8,10.9,81.2,48.6
40,Japan,Asia,15-64,Female,41.2,45000,Bachelor's,88.7,91.7,8.3,6.8,10.9,87.1,48.6
41,Japan,Asia,65+,Male,12.8,35000,High School,25.8,91.7,8.3,6.8,10.9,81.2,48.6
42,Japan,Asia,65+,Female,18.2,32000,High School,22.4,91.7,8.3,6.8,10.9,87.1,48.6
43,Russia,Europe,0-14,Male,12.8,15000,Secondary,15.2,74.2,25.8,12.9,13.2,66.2,40.3
44,Russia,Europe,0-14,Female,12.1,14000,Secondary,14.8,74.2,25.8,12.9,13.2,76.3,40.3
45,Russia,Europe,15-64,Male,52.4,18000,High School,78.9,74.2,25.8,12.9,13.2,66.2,40.3
46,Russia,Europe,15-64,Female,53.7,16500,High School,75.2,74.2,25.8,12.9,13.2,76.3,40.3
47,Russia,Europe,65+,Male,8.9,12000,Secondary,28.5,74.2,25.8,12.9,13.2,66.2,40.3
48,Russia,Europe,65+,Female,15.2,11000,Secondary,25.8,74.2,25.8,12.9,13.2,76.3,40.3
49,Mexico,North America,0-14,Male,18.5,8500,Elementary,25.8,80.2,19.8,16.8,5.9,72.1,29.3
50,Mexico,North America,0-14,Female,17.8,7800,Elementary,24.2,80.2,19.8,16.8,5.9,77.8,29.3
51,Mexico,North America,15-64,Male,42.8,12500,High School,82.7,80.2,19.8,16.8,5.9,72.1,29.3
52,Mexico,North America,15-64,Female,43.2,11200,High School,78.4,80.2,19.8,16.8,5.9,77.8,29.3
53,Mexico,North America,65+,Male,4.2,6800,Elementary,45.8,80.2,19.8,16.8,5.9,72.1,29.3
54,Mexico,North America,65+,Female,5.8,6200,Elementary,42.1,80.2,19.8,16.8,5.9,77.8,29.3
55,Indonesia,Asia,0-14,Male,28.5,4200,Primary,35.2,56.7,43.3,16.8,6.2,69.8,30.2
56,Indonesia,Asia,0-14,Female,27.2,3800,Primary,32.8,56.7,43.3,16.8,6.2,73.6,30.2
57,Indonesia,Asia,15-64,Male,78.9,6800,Secondary,78.9,56.7,43.3,16.8,6.2,69.8,30.2
58,Indonesia,Asia,15-64,Female,82.1,6200,Secondary,75.2,56.7,43.3,16.8,6.2,73.6,30.2
59,Indonesia,Asia,65+,Male,8.9,4200,Primary,38.2,56.7,43.3,16.8,6.2,69.8,30.2
60,Indonesia,Asia,65+,Female,12.4,3800,Primary,35.6,56.7,43.3,16.8,6.2,73.6,30.2
61,Turkey,Europe,0-14,Male,8.5,12500,Secondary,18.5,75.1,24.9,15.2,6.1,72.8,32.5
62,Turkey,Europe,0-14,Female,8.1,11200,Secondary,17.8,75.1,24.9,15.2,6.1,78.3,32.5
63,Turkey,Europe,15-64,Male,28.9,18500,High School,82.7,75.1,24.9,15.2,6.1,72.8,32.5
64,Turkey,Europe,15-64,Female,28.1,16800,High School,78.4,75.1,24.9,15.2,6.1,78.3,32.5
65,Turkey,Europe,65+,Male,3.2,12500,Secondary,28.5,75.1,24.9,15.2,6.1,72.8,32.5
66,Turkey,Europe,65+,Female,4.1,11200,Secondary,25.8,75.1,24.9,15.2,6.1,78.3,32.5
67,Iran,Asia,0-14,Male,8.9,8500,Secondary,22.4,74.9,25.1,17.2,5.8,74.1,32.0
68,Iran,Asia,0-14,Female,8.5,7800,Secondary,21.8,74.9,25.1,17.2,5.8,76.8,32.0
69,Iran,Asia,15-64,Male,28.9,12500,High School,78.9,74.9,25.1,17.2,5.8,74.1,32.0
70,Iran,Asia,15-64,Female,28.1,11200,High School,75.2,74.9,25.1,17.2,5.8,76.8,32.0
71,Iran,Asia,65+,Male,2.8,6800,Secondary,35.8,74.9,25.1,17.2,5.8,74.1,32.0
72,Iran,Asia,65+,Female,3.8,6200,Secondary,32.1,74.9,25.1,17.2,5.8,76.8,32.0
73,Thailand,Asia,0-14,Male,6.8,8500,Primary,15.2,51.1,48.9,10.8,7.8,71.2,40.1
74,Thailand,Asia,0-14,Female,6.5,7800,Primary,14.8,51.1,48.9,10.8,7.8,78.3,40.1
75,Thailand,Asia,15-64,Male,22.9,12500,Secondary,82.7,51.1,48.9,10.8,7.8,71.2,40.1
76,Thailand,Asia,15-64,Female,23.1,11200,Secondary,78.4,51.1,48.9,10.8,7.8,78.3,40.1
77,Thailand,Asia,65+,Male,3.2,6800,Primary,28.5,51.1,48.9,10.8,7.8,71.2,40.1
78,Thailand,Asia,65+,Female,4.8,6200,Primary,25.8,51.1,48.9,10.8,7.8,78.3,40.1
79,South Africa,Africa,0-14,Male,8.5,6800,Primary,25.8,66.4,33.6,20.1,9.3,61.2,27.6
80,South Africa,Africa,0-14,Female,8.1,6200,Primary,24.2,66.4,33.6,20.1,9.3,64.8,27.6
81,South Africa,Africa,15-64,Male,18.9,12500,Secondary,68.9,66.4,33.6,20.1,9.3,61.2,27.6
82,South Africa,Africa,15-64,Female,19.1,11200,Secondary,62.4,66.4,33.6,20.1,9.3,64.8,27.6
83,South Africa,Africa,65+,Male,1.8,6800,Primary,28.5,66.4,33.6,20.1,9.3,61.2,27.6
84,South Africa,Africa,65+,Female,2.8,6200,Primary,25.8,66.4,33.6,20.1,9.3,64.8,27.6
85,United Kingdom,Europe,0-14,Male,6.8,45000,High School,12.5,83.9,16.1,11.2,9.4,79.4,40.5
86,United Kingdom,Europe,0-14,Female,6.5,42000,High School,11.8,83.9,16.1,11.2,9.4,83.1,40.5
87,United Kingdom,Europe,15-64,Male,22.9,52000,Bachelor's,89.2,83.9,16.1,11.2,9.4,79.4,40.5
88,United Kingdom,Europe,15-64,Female,23.1,48000,Bachelor's,84.7,83.9,16.1,11.2,9.4,83.1,40.5
89,United Kingdom,Europe,65+,Male,6.2,38000,High School,18.5,83.9,16.1,11.2,9.4,79.4,40.5
90,United Kingdom,Europe,65+,Female,8.8,35000,High School,15.2,83.9,16.1,11.2,9.4,83.1,40.5
91,France,Europe,0-14,Male,6.2,42000,High School,11.2,80.7,19.3,11.8,9.1,79.2,42.3
92,France,Europe,0-14,Female,5.9,39000,High School,10.8,80.7,19.3,11.8,9.1,85.2,42.3
93,France,Europe,15-64,Male,21.8,48000,Bachelor's,88.7,80.7,19.3,11.8,9.1,79.2,42.3
94,France,Europe,15-64,Female,21.9,45000,Bachelor's,84.2,80.7,19.3,11.8,9.1,85.2,42.3
95,France,Europe,65+,Male,5.8,35000,High School,22.4,80.7,19.3,11.8,9.1,79.2,42.3
96,France,Europe,65+,Female,8.2,32000,High School,19.8,80.7,19.3,11.8,9.1,85.2,42.3
97,Italy,Europe,0-14,Male,4.8,38000,High School,8.2,71.4,28.6,7.1,10.2,80.5,47.0
98,Italy,Europe,0-14,Female,4.5,35000,High School,7.8,71.4,28.6,7.1,10.2,85.6,47.0
99,Italy,Europe,15-64,Male,20.8,45000,Bachelor's,85.2,71.4,28.6,7.1,10.2,80.5,47.0
100,Italy,Europe,15-64,Female,20.9,42000,Bachelor's,81.7,71.4,28.6,7.1,10.2,85.6,47.0
