# Transportation Infrastructure Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,City,Highway_Length_Km,Railway_Length_Km,Airports_Count,Ports_Count,Metro_Stations_Count,Public_Transport_Routes,Infrastructure_Quality_Score,Investment_Billions_USD,Maintenance_Cost_Annual_Millions_USD
66,Comoros,Moroni,300,50,1,0,0,3,6.8,1.2,75
67,Djibouti,Djibouti,800,200,1,1,0,8,6.9,3.8,225
68,Eritrea,Asmara,1200,300,1,0,0,10,6.7,4.5,275
69,Somalia,Mogadishu,1500,400,1,1,0,12,6.5,5.2,325
70,Sudan,Khartoum,18000,3200,1,0,0,50,6.8,28.9,1700
71,South Sudan,Juba,3500,800,1,0,0,15,6.4,8.2,500
72,Chad,N'Djamena,4500,1000,1,0,0,20,6.6,12.5,800
73,Niger,Niamey,3500,800,1,0,0,15,6.5,8.9,500
74,Mali,Bamako,6500,1500,1,0,0,25,6.7,15.8,900
75,Burkina Faso,Ouagadougou,4500,1000,1,0,0,18,6.6,10.2,600
76,Guinea,Conakry,3500,800,1,1,0,12,6.5,7.8,450
77,Sierra Leone,Freetown,2500,600,1,1,0,10,6.4,5.8,350
78,Liberia,Monrovia,2000,500,1,1,0,8,6.3,4.2,250
79,Gambia,Banjul,800,200,1,1,0,5,6.5,2.1,125
80,Guinea-Bissau,Bissau,600,150,1,1,0,4,6.4,1.8,100
81,Cape Verde,Praia,500,100,1,1,0,3,6.8,1.2,75
82,Sao Tome,Sao Tome,200,50,1,1,0,2,6.7,0.8,50
83,Equatorial Guinea,Malabo,800,200,1,1,0,5,6.6,2.5,150
84,Gabon,Libreville,1200,300,1,1,0,8,6.8,3.8,225
85,Congo,Brazzaville,1500,400,1,0,0,10,6.7,4.5,275
86,DRC,Kinshasa,18000,3200,1,1,0,50,6.5,28.9,1700
87,Central African Republic,Bangui,2500,600,1,0,0,12,6.4,6.8,400
88,Chad,N'Djamena,4500,1000,1,0,0,20,6.6,12.5,800
89,Cameroon,Yaounde,6500,1500,1,0,0,25,6.8,15.8,900
90,Nigeria,Kano,12000,2000,1,0,0,35,6.7,22.1,1300
91,Niger,Zinder,2000,500,1,0,0,8,6.5,4.2,250
92,Mali,Timbuktu,1500,400,1,0,0,6,6.4,3.1,200
93,Burkina Faso,Bobo-Dioulasso,2000,500,1,0,0,8,6.6,4.5,275
94,Ghana,Kumasi,3500,800,1,0,0,15,6.8,8.2,500
95,Togo,Lome,1500,400,1,1,0,6,6.7,3.8,225
96,Benin,Cotonou,2000,500,1,1,0,8,6.6,4.2,250
97,Nigeria,Ibadan,4500,1000,1,0,0,18,6.8,10.2,600
98,Nigeria,Port Harcourt,2500,600,1,1,0,12,6.7,6.8,400
99,Nigeria,Benin City,2000,500,1,0,0,8,6.6,4.5,275
100,Nigeria,Kaduna,3000,700,1,0,0,15,6.8,7.8,450
