# Urbanization Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,City,Country,Population_1950,Population_1970,Population_1990,Population_2010,Population_2020,Population_2030_Projected,Urban_Growth_Rate_Percent,Metro_Area_Population,Urban_Density_Per_Sq_Km,Urban_Sprawl_Index,Green_Space_Percent,Public_Transport_Usage_Percent
37,Paris,France,6200000,8500000,9300000,10840000,11000000,11500000,0.8,11000000,21000,2.8,24.6,51.7
38,Seoul,South Korea,1400000,5400000,10300000,9796000,9720846,10000000,0.1,9720846,16000,3.1,15.8,47.2
39,Nagoya,Japan,1300000,2000000,3100000,2280000,2300000,2400000,0.2,2300000,7000,2.3,18.7,42.8
40,Chicago,United States,3600000,3300000,2800000,2693976,2693976,2800000,0.0,2693976,4600,2.1,19.3,45.6
41,Ahmedabad,India,850000,1500000,3200000,5570585,8000000,12000000,4.8,8000000,8300,3.4,9.2,29.7
42,Kuala Lumpur,Malaysia,250000,650000,1200000,1400000,1580000,2000000,2.8,1580000,1700,2.6,22.4,41.8
43,Toronto,Canada,1000000,2100000,3800000,5583064,6150000,7000000,2.1,6150000,4400,2.4,26.8,48.9
44,Miami,United States,500000,1200000,2000000,2490000,2700000,3000000,1.6,2700000,4800,2.8,21.5,43.2
45,Barcelona,Spain,1200000,1800000,1700000,1600000,1600000,1700000,0.0,1600000,16000,2.9,28.3,52.1
46,Philadelphia,United States,2100000,2000000,1600000,1526006,1526006,1600000,-0.1,1526006,4500,2.3,20.7,46.8
47,Phoenix,United States,100000,580000,980000,1445632,1600000,1800000,2.1,1600000,1200,3.2,15.4,38.9
48,San Antonio,United States,400000,650000,940000,1327407,1500000,1700000,2.1,1500000,1200,3.1,18.6,41.2
49,San Diego,United States,300000,700000,1100000,1307402,1400000,1500000,1.4,1400000,1500,2.8,24.3,47.5
50,Dallas,United States,430000,850000,1000000,1197816,1300000,1400000,1.6,1300000,1400,2.9,19.8,44.7
51,San Jose,United States,95000,450000,780000,945942,1000000,1100000,1.1,1000000,2100,2.6,23.7,46.3
52,Austin,United States,150000,250000,470000,790390,1000000,1200000,3.8,1000000,1200,2.8,25.4,49.1
53,Jacksonville,United States,200000,400000,630000,821784,950000,1100000,2.8,950000,400,2.4,28.6,51.8
54,Columbus,United States,300000,540000,630000,787033,900000,1000000,2.1,900000,1400,2.5,22.3,47.2
55,Charlotte,United States,130000,240000,400000,731424,900000,1100000,3.8,900000,1000,2.7,26.1,48.9
56,Fort Worth,United States,180000,350000,450000,741206,900000,1000000,2.8,900000,800,2.6,24.7,46.8
57,Detroit,United States,1850000,1500000,1000000,713777,670000,700000,-1.2,670000,1900,2.8,18.4,42.1
58,El Paso,United States,130000,320000,520000,649121,700000,800000,1.4,700000,1000,2.9,21.8,45.3
59,Memphis,United States,400000,620000,610000,646889,650000,700000,0.1,650000,800,2.7,23.5,47.6
60,Nashville,United States,170000,320000,470000,601222,700000,800000,2.8,700000,1200,2.8,26.8,49.4
61,Louisville,United States,370000,360000,270000,597337,650000,700000,1.6,650000,1000,2.6,25.2,48.1
62,Baltimore,United States,950000,900000,740000,620961,600000,650000,-0.7,600000,3000,2.4,20.9,45.7
63,Milwaukee,United States,640000,720000,630000,594833,600000,650000,0.1,600000,2400,2.3,22.6,46.8
64,Albuquerque,United States,100000,250000,380000,545852,600000,650000,1.8,600000,1200,2.8,27.4,49.2
65,Tucson,United States,45000,260000,400000,520116,550000,600000,1.1,550000,1000,2.9,24.8,47.5
66,Fresno,United States,90000,170000,350000,494665,550000,600000,2.1,550000,1400,2.7,21.3,44.8
67,Sacramento,United States,140000,250000,370000,466488,500000,550000,1.4,500000,1800,2.6,26.7,48.9
68,Kansas City,United States,450000,500000,440000,459787,500000,550000,1.6,500000,600,2.4,28.1,50.3
69,Mesa,United States,17000,64000,290000,439041,500000,550000,2.8,500000,1400,2.9,22.4,46.7
70,Atlanta,United States,330000,500000,400000,420003,500000,550000,2.8,500000,700,2.5,29.6,51.8
71,Omaha,United States,250000,350000,340000,408958,450000,500000,1.8,450000,1200,2.3,26.8,48.4
72,Colorado Springs,United States,45000,140000,280000,416427,450000,500000,2.1,450000,1000,2.7,28.3,49.7
73,Raleigh,United States,65000,120000,210000,403892,450000,500000,2.8,450000,1000,2.6,27.9,50.1
74,Miami,United States,500000,1200000,2000000,2490000,2700000,3000000,1.6,2700000,4800,2.8,21.5,43.2
75,Virginia Beach,United States,5000,170000,390000,437994,450000,500000,0.6,450000,800,2.5,31.2,52.6
76,Oakland,United States,380000,360000,370000,390724,400000,450000,0.5,400000,2800,2.4,24.7,47.8
77,Minneapolis,United States,520000,440000,370000,382578,400000,450000,0.9,400000,2800,2.2,25.4,48.9
78,Tulsa,United States,180000,330000,360000,391906,400000,450000,0.5,400000,800,2.6,27.8,49.6
79,Arlington,United States,8000,90000,260000,365438,400000,450000,2.1,400000,2000,2.7,23.1,46.2
80,Tampa,United States,125000,280000,280000,335709,400000,450000,2.8,400000,1400,2.8,26.5,48.7
81,New Orleans,United States,570000,590000,500000,343829,390000,420000,-1.2,390000,800,2.4,22.8,45.9
82,Wichita,United States,170000,280000,300000,382368,400000,450000,1.6,400000,1000,2.5,28.7,50.4
83,Cleveland,United States,915000,750000,500000,396815,400000,420000,-1.2,400000,1900,2.6,19.6,44.2
88,Bakersfield,United States,35000,70000,175000,347483,400000,450000,2.8,400000,1000,2.8,20.4,44.6
89,Aurora,United States,11000,75000,220000,325078,400000,450000,3.1,400000,1400,2.9,25.3,47.9
90,Anaheim,United States,15000,170000,270000,336265,350000,400000,0.8,350000,2800,2.7,22.6,46.4
91,Honolulu,United States,350000,630000,370000,337256,350000,380000,-0.1,350000,1600,2.3,31.8,53.2
92,Santa Ana,United States,45000,150000,290000,324528,350000,400000,1.4,350000,6200,2.8,18.7,43.8
93,Corpus Christi,United States,108000,200000,250000,305215,350000,400000,2.1,350000,600,2.6,26.4,48.1
94,Riverside,United States,47000,140000,220000,303871,350000,400000,2.8,350000,1000,2.9,24.8,47.3
95,Lexington,United States,55000,110000,200000,295803,350000,400000,2.8,350000,1200,2.7,28.9,50.7
96,Pittsburgh,United States,680000,520000,370000,305704,300000,320000,-0.3,300000,2100,2.2,23.5,46.8
97,Anchorage,United States,12000,48000,225000,291826,300000,320000,0.6,300000,200,2.4,35.2,54.1
98,Cincinnati,United States,500000,450000,360000,296943,300000,320000,-0.1,300000,1500,2.3,24.8,47.6
99,Stockton,United States,70000,110000,210000,291707,300000,350000,0.6,300000,1800,2.8,22.1,45.3
100,Toledo,United States,300000,380000,330000,287208,300000,320000,0.4,300000,1500,2.4,21.7,46.2
