# Natural Disasters Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Disaster_Type,Event_Name,Country,Region,Date,Latitude,Longitude,Magnitude_Intensity,Deaths,Injured,Affected_People,Property_Damage_Millions_USD,Economic_Loss_Millions_USD,Rescue_Teams_Deployed,International_Aid_Received,Climate_Factor,Season,Recovery_Time_Days
50,Earthquake,Papua New Guinea Earthquake,Papua New Guinea,Highlands,2018-02-26,-6.315,142.950,7.5,160,500,500000,100,200,2000,Yes,Plate Tectonics,Summer,365
51,Flood,Mississippi River Flood,United States,Mississippi Valley,2019-03-01,38.627,-90.199,7.0,3,50000,500000,1000,1500,10000,Yes,Heavy Rainfall,Spring,180
52,Flood,Missouri River Flood,United States,Missouri Valley,2019-03-01,38.627,-90.199,7.5,4,100000,1000000,2000,3000,15000,Yes,Heavy Rainfall,Spring,365
53,Flood,Arkansas River Flood,United States,Arkansas,2019-05-01,34.746,-92.289,7.0,2,20000,200000,500,800,5000,Yes,Heavy Rainfall,Spring,90
54,Flood,Red River Flood,United States,North Dakota,2019-04-01,47.551,-101.002,7.0,0,10000,100000,200,400,2000,Yes,Heavy Rainfall,Spring,90
55,Flood,Missouri River Flood,United States,Missouri Valley,2019-06-01,38.627,-90.199,7.5,1,50000,500000,1000,1500,10000,Yes,Heavy Rainfall,Summer,180
56,Wildfire,California Kincade Fire,United States,California,2019-10-23,38.440,-122.754,7.0,0,200,200000,2000,2500,3000,Yes,Drought,Autumn,90
57,Wildfire,California Tick Fire,United States,California,2019-10-24,34.448,-118.242,6.5,0,100,100000,1000,1500,2000,Yes,Drought,Autumn,60
58,Wildfire,California Getty Fire,United States,California,2019-10-28,34.073,-118.400,6.0,0,50,50000,500,800,1000,Yes,Drought,Autumn,30
59,Wildfire,California Easy Fire,United States,California,2019-10-30,34.200,-118.800,6.5,0,75,75000,750,1000,1500,Yes,Drought,Autumn,45
60,Wildfire,California Maria Fire,United States,California,2019-10-31,34.400,-119.200,7.0,0,100,100000,1000,1500,2000,Yes,Drought,Autumn,60
61,Earthquake,Turkey Earthquake,Turkey,Elazig,2020-01-24,38.390,39.081,6.7,41,1600,100000,500,800,3000,Yes,Plate Tectonics,Winter,180
62,Earthquake,Croatia Earthquake,Croatia,Zagreb,2020-03-22,45.815,15.982,5.3,1,26,50000,100,200,500,Yes,Plate Tectonics,Spring,90
63,Earthquake,Idaho Earthquake,United States,Idaho,2020-03-31,44.240,-115.036,6.5,0,0,10000,50,100,200,Yes,Plate Tectonics,Spring,30
64,Earthquake,Nevada Earthquake,United States,Nevada,2020-05-15,38.419,-118.177,6.5,0,0,5000,25,50,100,Yes,Plate Tectonics,Spring,30
65,Earthquake,Alaska Earthquake,United States,Alaska,2020-07-22,55.331,-158.789,7.8,0,0,10000,100,200,500,Yes,Plate Tectonics,Summer,60
66,Flood,China Yangtze Flood,China,Yangtze Basin,2021-07-01,30.592,114.305,8.0,25,10000,1000000,2000,3000,20000,Yes,Heavy Rainfall,Summer,180
67,Flood,Germany Flood,Germany,North Rhine-Westphalia,2021-07-01,50.737,7.098,7.5,196,100000,1000000,5000,8000,15000,Yes,Heavy Rainfall,Summer,365
68,Flood,Belgium Flood,Belgium,Wallonia,2021-07-01,50.501,4.476,7.0,38,50000,500000,2000,3000,5000,Yes,Heavy Rainfall,Summer,180
69,Flood,Netherlands Flood,Netherlands,Limburg,2021-07-01,50.850,5.690,6.5,0,10000,100000,500,800,2000,Yes,Heavy Rainfall,Summer,90
70,Flood,Austria Flood,Austria,Tyrol,2021-07-01,47.270,11.385,6.0,0,5000,50000,200,400,1000,Yes,Heavy Rainfall,Summer,60
71,Wildfire,California Dixie Fire,United States,California,2021-07-13,40.000,-121.000,8.0,1,1000,100000,1000,1500,3000,Yes,Drought,Summer,180
72,Wildfire,California Caldor Fire,United States,California,2021-08-14,38.800,-120.000,7.5,0,500,50000,500,800,2000,Yes,Drought,Summer,120
73,Wildfire,California River Fire,United States,California,2021-08-16,38.900,-120.100,6.5,0,200,20000,200,400,1000,Yes,Drought,Summer,60
74,Wildfire,California French Fire,United States,California,2021-08-18,39.000,-120.200,6.0,0,100,10000,100,200,500,Yes,Drought,Summer,30
75,Wildfire,California Monument Fire,United States,California,2021-08-19,40.100,-121.100,7.0,0,300,30000,300,500,1500,Yes,Drought,Summer,90
76,Earthquake,Haiti Earthquake,Haiti,Port-au-Prince,2021-08-14,18.457,-72.533,7.2,2248,12500,800000,2000,3000,5000,Yes,Plate Tectonics,Summer,365
77,Earthquake,Alaska Earthquake,United States,Alaska,2021-07-29,55.331,-158.789,8.2,0,0,5000,50,100,200,Yes,Plate Tectonics,Summer,30
78,Earthquake,Peru Earthquake,Peru,Piura,2021-03-28,-5.194,-80.632,6.1,1,20,10000,50,100,200,Yes,Plate Tectonics,Autumn,60
79,Earthquake,Japan Fukushima Earthquake,Japan,Fukushima,2021-02-13,37.421,141.033,7.3,1,150,100000,500,800,1000,Yes,Plate Tectonics,Winter,90
80,Earthquake,Croatia Earthquake,Croatia,Petrinja,2020-12-29,45.440,16.290,6.4,7,26,50000,200,400,500,Yes,Plate Tectonics,Winter,180
81,Flood,Mississippi River Flood,United States,Mississippi Valley,2022-04-01,38.627,-90.199,7.0,0,10000,100000,500,800,2000,Yes,Heavy Rainfall,Spring,90
82,Flood,Missouri River Flood,United States,Missouri Valley,2022-05-01,38.627,-90.199,7.5,0,20000,200000,1000,1500,3000,Yes,Heavy Rainfall,Spring,180
83,Flood,Arkansas River Flood,United States,Arkansas,2022-06-01,34.746,-92.289,7.0,0,5000,50000,200,400,1000,Yes,Heavy Rainfall,Summer,60
84,Flood,Red River Flood,United States,North Dakota,2022-04-01,47.551,-101.002,7.0,0,2000,20000,100,200,500,Yes,Heavy Rainfall,Spring,30
85,Flood,Missouri River Flood,United States,Missouri Valley,2022-07-01,38.627,-90.199,7.5,0,10000,100000,500,800,1500,Yes,Heavy Rainfall,Summer,90
86,Wildfire,California Mosquito Fire,United States,California,2022-09-06,39.000,-120.500,7.5,0,500,50000,500,800,2000,Yes,Drought,Autumn,120
87,Wildfire,California Fairview Fire,United States,California,2022-09-05,33.700,-116.900,6.5,2,200,20000,200,400,1000,Yes,Drought,Autumn,60
88,Wildfire,California Radford Fire,United States,California,2022-09-02,34.200,-118.500,6.0,0,100,10000,100,200,500,Yes,Drought,Autumn,30
89,Wildfire,California Route Fire,United States,California,2022-08-31,34.400,-118.600,6.5,0,150,15000,150,300,750,Yes,Drought,Autumn,45
90,Wildfire,California Border Fire,United States,California,2022-08-30,32.600,-116.200,6.0,0,75,7500,75,150,375,Yes,Drought,Autumn,30
91,Earthquake,Turkey-Syria Earthquake,Turkey,Syria,2023-02-06,37.174,37.032,7.8,59659,121704,23000000,100000,150000,100000,Yes,Plate Tectonics,Winter,365
92,Earthquake,Morocco Earthquake,Morocco,High Atlas,2023-09-08,31.073,-8.407,6.8,2946,5674,300000,1000,2000,5000,Yes,Plate Tectonics,Autumn,180
93,Earthquake,Afghanistan Earthquake,Afghanistan,Herat,2023-10-07,34.610,61.920,6.3,2000,2000,40000,100,200,1000,Yes,Plate Tectonics,Autumn,90
94,Earthquake,Nepal Earthquake,Nepal,Karnali,2023-11-03,28.841,82.187,5.6,153,375,10000,50,100,500,Yes,Plate Tectonics,Autumn,60
95,Earthquake,China Earthquake,China,Gansu,2023-12-18,35.700,102.800,6.2,151,1000,50000,200,400,1000,Yes,Plate Tectonics,Winter,90
96,Flood,Libya Flood,Libya,Derna,2023-09-10,32.767,22.639,8.0,11300,10000,100000,2000,3000,5000,Yes,Heavy Rainfall,Autumn,180
97,Flood,India Flood,India,Himachal Pradesh,2023-07-01,31.104,77.173,7.5,500,100000,1000000,1000,2000,10000,Yes,Heavy Rainfall,Summer,365
98,Flood,Pakistan Flood,Pakistan,Sindh,2022-08-01,24.860,67.010,8.0,1739,12800,33000000,15000,20000,50000,Yes,Heavy Rainfall,Summer,730
99,Wildfire,Hawaii Maui Fire,United States,Hawaii,2023-08-08,20.798,-156.331,7.0,100,1000,100000,5500,6000,3000,Yes,Drought,Summer,180
100,Wildfire,Canada Wildfires,Canada,Alberta,2023-05-01,53.933,-116.576,8.5,0,10000,100000,2000,3000,5000,Yes,Heat Wave,Spring,365
