# Education Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Literacy_Rate_Percent,Primary_Enrollment_Percent,Secondary_Enrollment_Percent,Tertiary_Enrollment_Percent,Teachers_Per_Student_Ratio,Education_Expenditure_Percent_GDP,Average_Years_Schooling,Gender_Parity_Index,Student_Teacher_Ratio_Primary,Student_Teacher_Ratio_Secondary,Completion_Rate_Primary_Percent,Completion_Rate_Secondary_Percent,Dropout_Rate_Primary_Percent,Public_School_Percent,Private_School_Percent,Education_Quality_Index
41,Uruguay,South America,94.5,87.5,85.5,82.5,0.38,4.2,8.2,1.00,2.5,1.0,86.8,84.8,13.2,55.0,45.0,5.8
42,Argentina,South America,94.0,87.2,85.2,82.2,0.39,4.0,8.1,1.01,2.2,0.8,86.5,84.5,13.5,50.0,50.0,5.7
43,Costa Rica,Central America,93.5,86.8,84.8,81.8,0.40,6.8,8.0,1.00,2.0,0.5,86.2,84.2,13.8,45.0,55.0,5.6
44,Cuba,Caribbean,93.0,86.5,84.5,81.5,0.41,6.6,7.9,1.01,1.8,0.2,85.8,83.8,14.2,95.0,5.0,5.5
45,Panama,Central America,92.5,86.2,84.2,81.2,0.42,6.4,7.8,1.00,1.5,0.0,85.5,83.5,14.5,40.0,60.0,5.4
46,Mexico,North America,92.0,85.8,83.8,80.8,0.43,6.2,7.7,1.01,1.2,0.0,85.2,83.2,14.8,35.0,65.0,5.3
47,Brazil,South America,91.5,85.5,83.5,80.5,0.44,6.0,7.6,1.00,1.0,0.0,84.8,82.8,15.2,30.0,70.0,5.2
48,Colombia,South America,91.0,85.2,83.2,80.2,0.45,5.8,7.5,1.01,0.8,0.0,84.5,82.5,15.5,25.0,75.0,5.1
49,Peru,South America,90.5,84.8,82.8,79.8,0.46,5.6,7.4,1.00,0.5,0.0,84.2,82.2,15.8,20.0,80.0,5.0
50,Ecuador,South America,90.0,84.5,82.5,79.5,0.47,5.4,7.3,1.01,0.2,0.0,83.8,81.8,16.2,15.0,85.0,4.9
51,Bolivia,South America,89.5,84.2,82.2,79.2,0.48,5.2,7.2,1.00,0.0,0.0,83.5,81.5,16.5,10.0,90.0,4.8
52,Paraguay,South America,89.0,83.8,81.8,78.8,0.49,5.0,7.1,1.01,0.0,0.0,83.2,81.2,16.8,5.0,95.0,4.7
53,Venezuela,South America,88.5,83.5,81.5,78.5,0.50,4.8,7.0,1.00,0.0,0.0,82.8,80.8,17.2,0.0,100.0,4.6
54,China,East Asia,88.0,83.2,81.2,78.2,0.51,4.6,6.9,1.01,0.0,0.0,82.5,80.5,17.5,95.0,5.0,4.5
55,Thailand,Southeast Asia,87.5,82.8,80.8,77.8,0.52,4.4,6.8,1.00,0.0,0.0,82.2,80.2,17.8,90.0,10.0,4.4
56,Malaysia,Southeast Asia,87.0,82.5,80.5,77.5,0.53,4.2,6.7,1.01,0.0,0.0,81.8,79.8,18.2,85.0,15.0,4.3
57,Philippines,Southeast Asia,86.5,82.2,80.2,77.2,0.54,4.0,6.6,1.00,0.0,0.0,81.5,79.5,18.5,80.0,20.0,4.2
58,Indonesia,Southeast Asia,86.0,81.8,79.8,76.8,0.55,3.8,6.5,1.01,0.0,0.0,81.2,79.2,18.8,75.0,25.0,4.1
59,Vietnam,Southeast Asia,85.5,81.5,79.5,76.5,0.56,3.6,6.4,1.00,0.0,0.0,80.8,78.8,19.2,70.0,30.0,4.0
60,Cambodia,Southeast Asia,85.0,81.2,79.2,76.2,0.57,3.4,6.3,1.01,0.0,0.0,80.5,78.5,19.5,65.0,35.0,3.9
61,Laos,Southeast Asia,84.5,80.8,78.8,75.8,0.58,3.2,6.2,1.00,0.0,0.0,80.2,78.2,19.8,60.0,40.0,3.8
62,Myanmar,Southeast Asia,84.0,80.5,78.5,75.5,0.59,3.0,6.1,1.01,0.0,0.0,79.8,77.8,20.2,55.0,45.0,3.7
63,Bangladesh,South Asia,83.5,80.2,78.2,75.2,0.60,2.8,6.0,1.00,0.0,0.0,79.5,77.5,20.5,50.0,50.0,3.6
64,India,South Asia,83.0,79.8,77.8,74.8,0.61,2.6,5.9,1.01,0.0,0.0,79.2,77.2,20.8,45.0,55.0,3.5
65,Pakistan,South Asia,82.5,79.5,77.5,74.5,0.62,2.4,5.8,1.00,0.0,0.0,78.8,76.8,21.2,40.0,60.0,3.4
66,Sri Lanka,South Asia,82.0,79.2,77.2,74.2,0.63,2.2,5.7,1.01,0.0,0.0,78.5,76.5,21.5,35.0,65.0,3.3
67,Nepal,South Asia,81.5,78.8,76.8,73.8,0.64,2.0,5.6,1.00,0.0,0.0,78.2,76.2,21.8,30.0,70.0,3.2
68,Bhutan,South Asia,81.0,78.5,76.5,73.5,0.65,1.8,5.5,1.01,0.0,0.0,77.8,75.8,22.2,25.0,75.0,3.1
69,Maldives,South Asia,80.5,78.2,76.2,73.2,0.66,1.6,5.4,1.00,0.0,0.0,77.5,75.5,22.5,20.0,80.0,3.0
70,Afghanistan,South Asia,80.0,77.8,75.8,72.8,0.67,1.4,5.3,1.01,0.0,0.0,77.2,75.2,22.8,15.0,85.0,2.9
71,Turkey,Middle East,79.5,77.5,75.5,72.5,0.68,1.2,5.2,1.00,0.0,0.0,76.8,74.8,23.2,10.0,90.0,2.8
72,Iran,Middle East,79.0,77.2,75.2,72.2,0.69,1.0,5.1,1.01,0.0,0.0,76.5,74.5,23.5,5.0,95.0,2.7
73,Iraq,Middle East,78.5,76.8,74.8,71.8,0.70,0.8,5.0,1.00,0.0,0.0,76.2,74.2,23.8,0.0,100.0,2.6
74,Syria,Middle East,78.0,76.5,74.5,71.5,0.71,0.6,4.9,1.01,0.0,0.0,75.8,73.8,24.2,0.0,100.0,2.5
75,Lebanon,Middle East,77.5,76.2,74.2,71.2,0.72,0.4,4.8,1.00,0.0,0.0,75.5,73.5,24.5,0.0,100.0,2.4
76,Jordan,Middle East,77.0,75.8,73.8,70.8,0.73,0.2,4.7,1.01,0.0,0.0,75.2,73.2,24.8,0.0,100.0,2.3
77,Saudi Arabia,Middle East,76.5,75.5,73.5,70.5,0.74,0.0,4.6,1.00,0.0,0.0,74.8,72.8,25.2,0.0,100.0,2.2
78,UAE,Middle East,76.0,75.2,73.2,70.2,0.75,0.0,4.5,1.01,0.0,0.0,74.5,72.5,25.5,0.0,100.0,2.1
79,Kuwait,Middle East,75.5,74.8,72.8,69.8,0.76,0.0,4.4,1.00,0.0,0.0,74.2,72.2,25.8,0.0,100.0,2.0
80,Qatar,Middle East,75.0,74.5,72.5,69.5,0.77,0.0,4.3,1.01,0.0,0.0,73.8,71.8,26.2,0.0,100.0,1.9
81,Bahrain,Middle East,74.5,74.2,72.2,69.2,0.78,0.0,4.2,1.00,0.0,0.0,73.5,71.5,26.5,0.0,100.0,1.8
82,Oman,Middle East,74.0,73.8,71.8,68.8,0.79,0.0,4.1,1.01,0.0,0.0,73.2,71.2,26.8,0.0,100.0,1.7
83,Yemen,Middle East,73.5,73.5,71.5,68.5,0.80,0.0,4.0,1.00,0.0,0.0,72.8,70.8,27.2,0.0,100.0,1.6
84,Egypt,North Africa,73.0,73.2,71.2,68.2,0.81,0.0,3.9,1.01,0.0,0.0,72.5,70.5,27.5,0.0,100.0,1.5
85,Libya,North Africa,72.5,72.8,70.8,67.8,0.82,0.0,3.8,1.00,0.0,0.0,72.2,70.2,27.8,0.0,100.0,1.4
86,Tunisia,North Africa,72.0,72.5,70.5,67.5,0.83,0.0,3.7,1.01,0.0,0.0,71.8,69.8,28.2,0.0,100.0,1.3
87,Algeria,North Africa,71.5,72.2,70.2,67.2,0.84,0.0,3.6,1.00,0.0,0.0,71.5,69.5,28.5,0.0,100.0,1.2
88,Morocco,North Africa,71.0,71.8,69.8,66.8,0.85,0.0,3.5,1.01,0.0,0.0,71.2,69.2,28.8,0.0,100.0,1.1
89,Sudan,North Africa,70.5,71.5,69.5,66.5,0.86,0.0,3.4,1.00,0.0,0.0,70.8,68.8,29.2,0.0,100.0,1.0
90,South Africa,Sub-Saharan Africa,70.0,71.2,69.2,66.2,0.87,0.0,3.3,1.01,0.0,0.0,70.5,68.5,29.5,0.0,100.0,0.9
91,Botswana,Sub-Saharan Africa,69.5,70.8,68.8,65.8,0.88,0.0,3.2,1.00,0.0,0.0,70.2,68.2,29.8,0.0,100.0,0.8
92,Namibia,Sub-Saharan Africa,69.0,70.5,68.5,65.5,0.89,0.0,3.1,1.01,0.0,0.0,69.8,67.8,30.2,0.0,100.0,0.7
93,Zimbabwe,Sub-Saharan Africa,68.5,70.2,68.2,65.2,0.90,0.0,3.0,1.00,0.0,0.0,69.5,67.5,30.5,0.0,100.0,0.6
94,Zambia,Sub-Saharan Africa,68.0,69.8,67.8,64.8,0.91,0.0,2.9,1.01,0.0,0.0,69.2,67.2,30.8,0.0,100.0,0.5
95,Malawi,Sub-Saharan Africa,67.5,69.5,67.5,64.5,0.92,0.0,2.8,1.00,0.0,0.0,68.8,66.8,31.2,0.0,100.0,0.4
96,Mozambique,Sub-Saharan Africa,67.0,69.2,67.2,64.2,0.93,0.0,2.7,1.01,0.0,0.0,68.5,66.5,31.5,0.0,100.0,0.3
97,Madagascar,Sub-Saharan Africa,66.5,68.8,66.8,63.8,0.94,0.0,2.6,1.00,0.0,0.0,68.2,66.2,31.8,0.0,100.0,0.2
98,Tanzania,Sub-Saharan Africa,66.0,68.5,66.5,63.5,0.95,0.0,2.5,1.01,0.0,0.0,67.8,65.8,32.2,0.0,100.0,0.1
99,Kenya,Sub-Saharan Africa,65.5,68.2,66.2,63.2,0.96,0.0,2.4,1.00,0.0,0.0,67.5,65.5,32.5,0.0,100.0,0.0
100,Uganda,Sub-Saharan Africa,65.0,67.8,65.8,62.8,0.97,0.0,2.3,1.01,0.0,0.0,67.2,65.2,32.8,0.0,100.0,0.0
