# Global Health Stats Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Disease_Name,Cases_Annual,Deaths_Annual,Vaccination_Rate_Percent,Hospitals_Count,Doctors_Per_1000,Health_Expenditure_Percent_GDP,Life_Expectancy_Years,Infant_Mortality_Per_1000,Maternal_Mortality_Per_100000,Health_Index_Score
30,Germany,Europe,Dementia,1600000,100000,45.8,1900,4.3,11.3,81.2,3.2,7.0,78.9
31,Japan,Asia,COVID-19,1800000,19000,80.1,8500,2.4,10.9,84.6,1.9,5.0,82.1
32,Japan,Asia,Heart Disease,1200000,200000,78.4,8500,2.4,10.9,84.6,1.9,5.0,82.1
33,Japan,Asia,Cancer,1000000,370000,72.1,8500,2.4,10.9,84.6,1.9,5.0,82.1
34,Japan,Asia,Diabetes,10000000,14000,68.7,8500,2.4,10.9,84.6,1.9,5.0,82.1
35,Japan,Asia,Stroke,1200000,100000,65.2,8500,2.4,10.9,84.6,1.9,5.0,82.1
36,Russia,Europe,COVID-19,18000000,380000,45.2,5200,3.4,5.3,72.6,5.1,17.0,52.8
37,Russia,Europe,Heart Disease,2800000,1800000,58.7,5200,3.4,5.3,72.6,5.1,17.0,52.8
38,Russia,Europe,Cancer,600000,300000,52.4,5200,3.4,5.3,72.6,5.1,17.0,52.8
39,Russia,Europe,Diabetes,9000000,130000,48.9,5200,3.4,5.3,72.6,5.1,17.0,52.8
40,Russia,Europe,Tuberculosis,80000,8000,85.0,5200,3.4,5.3,72.6,5.1,17.0,52.8
41,Mexico,North America,COVID-19,3700000,300000,62.4,4200,2.3,5.5,75.1,12.1,33.0,55.2
42,Mexico,North America,Heart Disease,15000000,140000,58.2,4200,2.3,5.5,75.1,12.1,33.0,55.2
43,Mexico,North America,Cancer,200000,90000,52.8,4200,2.3,5.5,75.1,12.1,33.0,55.2
44,Mexico,North America,Diabetes,12000000,100000,48.7,4200,2.3,5.5,75.1,12.1,33.0,55.2
45,Mexico,North America,Obesity,24000000,200000,35.8,4200,2.3,5.5,75.1,12.1,33.0,55.2
46,Indonesia,Asia,COVID-19,4200000,144000,58.7,2800,0.3,3.1,71.7,20.2,177.0,48.9
47,Indonesia,Asia,Heart Disease,12000000,350000,42.1,2800,0.3,3.1,71.7,20.2,177.0,48.9
48,Indonesia,Asia,Cancer,400000,240000,38.7,2800,0.3,3.1,71.7,20.2,177.0,48.9
49,Indonesia,Asia,Diabetes,19000000,140000,35.2,2800,0.3,3.1,71.7,20.2,177.0,48.9
50,Indonesia,Asia,Dengue,130000,1200,25.8,2800,0.3,3.1,71.7,20.2,177.0,48.9
51,Turkey,Europe,COVID-19,15000000,98000,68.9,1200,1.8,4.2,78.3,9.6,15.0,62.4
52,Turkey,Europe,Heart Disease,3500000,180000,65.4,1200,1.8,4.2,78.3,9.6,15.0,62.4
53,Turkey,Europe,Cancer,200000,120000,58.2,1200,1.8,4.2,78.3,9.6,15.0,62.4
54,Turkey,Europe,Diabetes,7000000,80000,52.8,1200,1.8,4.2,78.3,9.6,15.0,62.4
55,Turkey,Europe,Obesity,20000000,50000,42.1,1200,1.8,4.2,78.3,9.6,15.0,62.4
56,Iran,Asia,COVID-19,7200000,140000,45.8,900,1.1,6.5,76.5,11.2,16.0,58.7
57,Iran,Asia,Heart Disease,2500000,180000,48.7,900,1.1,6.5,76.5,11.2,16.0,58.7
58,Iran,Asia,Cancer,120000,52000,45.2,900,1.1,6.5,76.5,11.2,16.0,58.7
59,Iran,Asia,Diabetes,5500000,43000,42.1,900,1.1,6.5,76.5,11.2,16.0,58.7
60,Iran,Asia,Stroke,150000,50000,38.7,900,1.1,6.5,76.5,11.2,16.0,58.7
61,Thailand,Asia,COVID-19,4700000,32000,75.8,1200,0.8,3.9,77.2,8.1,37.0,65.2
62,Thailand,Asia,Heart Disease,1800000,48000,72.1,1200,0.8,3.9,77.2,8.1,37.0,65.2
63,Thailand,Asia,Cancer,140000,84000,68.7,1200,0.8,3.9,77.2,8.1,37.0,65.2
64,Thailand,Asia,Diabetes,4500000,32000,65.2,1200,0.8,3.9,77.2,8.1,37.0,65.2
65,Thailand,Asia,Dengue,100000,100,58.2,1200,0.8,3.9,77.2,8.1,37.0,65.2
66,South Africa,Africa,COVID-19,3700000,100000,32.1,400,0.8,8.1,64.3,25.9,119.0,42.8
67,South Africa,Africa,HIV/AIDS,7800000,72000,85.0,400,0.8,8.1,64.3,25.9,119.0,42.8
68,South Africa,Africa,Tuberculosis,360000,58000,75.8,400,0.8,8.1,64.3,25.9,119.0,42.8
69,South Africa,Africa,Heart Disease,1800000,48000,58.7,400,0.8,8.1,64.3,25.9,119.0,42.8
70,South Africa,Africa,Cancer,120000,25000,52.4,400,0.8,8.1,64.3,25.9,119.0,42.8
71,United Kingdom,Europe,COVID-19,22000000,180000,78.9,1600,2.8,10.2,81.3,3.7,7.0,78.4
72,United Kingdom,Europe,Heart Disease,2800000,160000,82.7,1600,2.8,10.2,81.3,3.7,7.0,78.4
73,United Kingdom,Europe,Cancer,370000,165000,78.9,1600,2.8,10.2,81.3,3.7,7.0,78.4
74,United Kingdom,Europe,Diabetes,4500000,22000,85.2,1600,2.8,10.2,81.3,3.7,7.0,78.4
75,United Kingdom,Europe,Dementia,850000,70000,45.8,1600,2.8,10.2,81.3,3.7,7.0,78.4
76,France,Europe,COVID-19,38000000,150000,78.4,3000,3.2,11.2,82.9,3.8,8.0,79.8
77,France,Europe,Heart Disease,1200000,140000,78.9,3000,3.2,11.2,82.9,3.8,8.0,79.8
78,France,Europe,Cancer,400000,150000,75.8,3000,3.2,11.2,82.9,3.8,8.0,79.8
79,France,Europe,Diabetes,3500000,31000,82.7,3000,3.2,11.2,82.9,3.8,8.0,79.8
80,France,Europe,Dementia,1200000,65000,48.7,3000,3.2,11.2,82.9,3.8,8.0,79.8
81,Italy,Europe,COVID-19,25000000,180000,82.1,1000,4.0,8.7,83.4,2.5,4.0,81.2
82,Italy,Europe,Heart Disease,1000000,180000,78.4,1000,4.0,8.7,83.4,2.5,4.0,81.2
83,Italy,Europe,Cancer,370000,180000,75.8,1000,4.0,8.7,83.4,2.5,4.0,81.2
84,Italy,Europe,Diabetes,3500000,22000,82.7,1000,4.0,8.7,83.4,2.5,4.0,81.2
85,Italy,Europe,Dementia,1200000,70000,52.4,1000,4.0,8.7,83.4,2.5,4.0,81.2
86,Spain,Europe,COVID-19,12000000,100000,85.2,800,3.9,9.1,83.2,2.6,4.0,80.5
87,Spain,Europe,Heart Disease,800000,120000,78.9,800,3.9,9.1,83.2,2.6,4.0,80.5
88,Spain,Europe,Cancer,280000,110000,75.8,800,3.9,9.1,83.2,2.6,4.0,80.5
89,Spain,Europe,Diabetes,3000000,25000,82.7,800,3.9,9.1,83.2,2.6,4.0,80.5
90,Spain,Europe,Dementia,800000,45000,48.7,800,3.9,9.1,83.2,2.6,4.0,80.5
91,Canada,North America,COVID-19,4200000,45000,82.7,1200,2.7,10.8,82.2,4.5,7.0,79.8
92,Canada,North America,Heart Disease,2800000,52000,85.2,1200,2.7,10.8,82.2,4.5,7.0,79.8
93,Canada,North America,Cancer,230000,85000,78.9,1200,2.7,10.8,82.2,4.5,7.0,79.8
94,Canada,North America,Diabetes,2800000,7000,82.7,1200,2.7,10.8,82.2,4.5,7.0,79.8
95,Canada,North America,Dementia,500000,15000,45.8,1200,2.7,10.8,82.2,4.5,7.0,79.8
96,Australia,Oceania,COVID-19,10000000,15000,85.2,1300,3.8,9.3,83.0,3.0,6.0,80.1
97,Australia,Oceania,Heart Disease,1200000,18000,82.7,1300,3.8,9.3,83.0,3.0,6.0,80.1
98,Australia,Oceania,Cancer,150000,50000,78.9,1300,3.8,9.3,83.0,3.0,6.0,80.1
99,Australia,Oceania,Diabetes,1500000,5000,85.2,1300,3.8,9.3,83.0,3.0,6.0,80.1
100,Australia,Oceania,Dementia,450000,14000,52.4,1300,3.8,9.3,83.0,3.0,6.0,80.1
