# Environmental Footprint Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,CO2_Emissions_Per_Capita_Tons,Total_CO2_Emissions_Million_Tons,Water_Use_Per_Capita_Cubic_Meters,Total_Water_Use_Billion_Cubic_Meters,Air_Pollution_Index,Water_Pollution_Index,Soil_Pollution_Index,Plastic_Waste_Per_Capita_Kg,Total_Plastic_Waste_Million_Tons,Electricity_Consumption_Per_Capita_KWh,Total_Electricity_Consumption_TWh,Forest_Cover_Percent,Forest_Loss_Annual_Percent,Recycling_Rate_Percent,Waste_Generation_Per_Capita_Kg_Day,Total_Waste_Generation_Million_Tons_Year,Environmental_Performance_Index,Greenhouse_Gas_Emissions_Million_Tons_CO2_Equivalent,Energy_Intensity_MJ_Per_Dollar_GDP
27,Thailand,Southeast Asia,4.2,295.8,8,0.56,2,0,0,3.2,0.22,1200,85.8,31.8,3.5,100,0.0,0.0,100.0,385.2,0.0
28,Malaysia,Southeast Asia,3.8,125.8,6,0.20,1,0,0,2.8,0.09,1000,32.8,62.2,4.2,100,0.0,0.0,100.0,165.8,0.0
29,Indonesia,Southeast Asia,3.2,880.8,5,1.38,0,0,0,2.2,0.35,800,220.8,50.5,5.8,100,0.0,0.0,100.0,1150.8,0.0
30,Philippines,Southeast Asia,2.8,305.8,4,1.22,0,0,0,1.8,0.18,600,65.8,25.8,7.2,100,0.0,0.0,100.0,400.5,0.0
31,Vietnam,Southeast Asia,2.5,245.8,3,0.73,0,0,0,1.5,0.14,500,48.8,45.8,8.5,100,0.0,0.0,100.0,320.8,0.0
32,India,South Asia,2.2,2950.8,2,2.64,0,0,0,1.2,1.44,400,520.8,24.2,9.8,100,0.0,0.0,100.0,3850.8,0.0
33,Bangladesh,South Asia,1.8,295.8,1,0.16,0,0,0,0.8,0.13,300,48.8,11.2,12.5,100,0.0,0.0,100.0,385.2,0.0
34,Pakistan,South Asia,1.5,340.8,0.8,0.17,0,0,0,0.5,0.11,250,55.8,5.8,15.2,100,0.0,0.0,100.0,445.8,0.0
35,Sri Lanka,South Asia,1.2,25.8,0.6,0.13,0,0,0,0.2,0.04,200,4.2,29.8,18.5,100,0.0,0.0,100.0,33.8,0.0
36,Nepal,South Asia,0.8,22.8,0.4,0.11,0,0,0,0.1,0.03,150,4.4,25.8,22.8,100,0.0,0.0,100.0,29.8,0.0
37,Bhutan,South Asia,0.5,3.8,0.2,0.01,0,0,0,0.05,0.004,100,0.8,71.8,25.2,100,0.0,0.0,100.0,5.0,0.0
38,Afghanistan,South Asia,0.2,7.8,0.1,0.03,0,0,0,0.02,0.008,50,1.9,2.8,28.5,100,0.0,0.0,100.0,10.2,0.0
39,Ethiopia,Sub-Saharan Africa,0.1,11.8,0.05,0.06,0,0,0,0.01,0.01,25,2.8,15.8,32.8,100,0.0,0.0,100.0,15.5,0.0
40,Tanzania,Sub-Saharan Africa,0.08,4.8,0.03,0.02,0,0,0,0.008,0.004,20,1.1,37.8,38.2,100,0.0,0.0,100.0,6.2,0.0
41,Uganda,Sub-Saharan Africa,0.05,2.2,0.02,0.01,0,0,0,0.005,0.002,15,0.6,12.8,42.5,100,0.0,0.0,100.0,2.8,0.0
42,Kenya,Sub-Saharan Africa,0.03,1.5,0.01,0.005,0,0,0,0.003,0.001,10,0.4,6.8,48.8,100,0.0,0.0,100.0,1.9,0.0
43,Ghana,Sub-Saharan Africa,0.02,0.6,0.008,0.002,0,0,0,0.002,0.0006,8,0.2,21.8,52.2,100,0.0,0.0,100.0,0.8,0.0
44,Nigeria,Sub-Saharan Africa,0.01,2.1,0.005,0.001,0,0,0,0.001,0.0002,5,0.1,7.8,58.5,100,0.0,0.0,100.0,2.7,0.0
45,Senegal,Sub-Saharan Africa,0.008,0.13,0.003,0.0004,0,0,0,0.0008,0.0001,3,0.08,45.8,62.8,100,0.0,0.0,100.0,0.17,0.0
46,Mali,Sub-Saharan Africa,0.005,0.1,0.002,0.0003,0,0,0,0.0005,0.00008,2,0.05,10.2,68.5,100,0.0,0.0,100.0,0.13,0.0
47,Burkina Faso,Sub-Saharan Africa,0.003,0.06,0.001,0.0002,0,0,0,0.0003,0.00005,1,0.03,19.8,72.2,100,0.0,0.0,100.0,0.08,0.0
48,Niger,Sub-Saharan Africa,0.002,0.05,0.0008,0.0001,0,0,0,0.0002,0.00004,0.8,0.02,1.2,78.8,100,0.0,0.0,100.0,0.06,0.0
49,Chad,Sub-Saharan Africa,0.001,0.02,0.0005,0.00008,0,0,0,0.0001,0.00002,0.5,0.01,9.8,82.5,100,0.0,0.0,100.0,0.025,0.0
50,Central African Republic,Sub-Saharan Africa,0.0008,0.004,0.0003,0.00001,0,0,0,0.00008,0.000003,0.3,0.001,36.8,88.2,100,0.0,0.0,100.0,0.005,0.0
51,Cameroon,Sub-Saharan Africa,0.0006,0.015,0.0002,0.00005,0,0,0,0.00006,0.000015,0.2,0.005,42.8,92.8,100,0.0,0.0,100.0,0.02,0.0
52,Democratic Republic of Congo,Sub-Saharan Africa,0.0004,0.035,0.0001,0.00009,0,0,0,0.00004,0.000035,0.1,0.009,67.8,95.2,100,0.0,0.0,100.0,0.045,0.0
53,Angola,Sub-Saharan Africa,0.0003,0.01,0.00008,0.00002,0,0,0,0.00003,0.000008,0.08,0.002,47.2,98.5,100,0.0,0.0,100.0,0.013,0.0
54,Zambia,Sub-Saharan Africa,0.0002,0.003,0.00005,0.000009,0,0,0,0.00002,0.000003,0.05,0.001,66.8,100.0,100,0.0,0.0,100.0,0.004,0.0
55,Zimbabwe,Sub-Saharan Africa,0.0001,0.0015,0.00003,0.000005,0,0,0,0.00001,0.0000015,0.03,0.0008,40.8,100.0,100,0.0,0.0,100.0,0.002,0.0
56,Botswana,Sub-Saharan Africa,0.00008,0.0002,0.00002,0.0000004,0,0,0,0.000008,0.0000002,0.02,0.0001,19.8,100.0,100,0.0,0.0,100.0,0.0003,0.0
57,Namibia,Sub-Saharan Africa,0.00006,0.00015,0.000015,0.0000003,0,0,0,0.000006,0.00000015,0.015,0.00008,8.8,100.0,100,0.0,0.0,100.0,0.0002,0.0
58,Lesotho,Sub-Saharan Africa,0.00004,0.00008,0.00001,0.0000002,0,0,0,0.000004,0.00000008,0.01,0.00005,1.2,100.0,100,0.0,0.0,100.0,0.0001,0.0
59,Swaziland,Sub-Saharan Africa,0.00003,0.00004,0.000008,0.0000001,0,0,0,0.000003,0.00000004,0.008,0.00003,0.8,100.0,100,0.0,0.0,100.0,0.00005,0.0
60,Madagascar,Sub-Saharan Africa,0.00002,0.0005,0.000005,0.0000001,0,0,0,0.000002,0.00000005,0.005,0.00002,22.8,100.0,100,0.0,0.0,100.0,0.00006,0.0
61,Mauritius,Sub-Saharan Africa,0.000015,0.00002,0.000003,0.00000006,0,0,0,0.0000015,0.00000002,0.003,0.00001,17.2,100.0,100,0.0,0.0,100.0,0.000025,0.0
62,Seychelles,Sub-Saharan Africa,0.00001,0.00001,0.000002,0.00000004,0,0,0,0.000001,0.00000001,0.002,0.000008,88.5,100.0,100,0.0,0.0,100.0,0.000013,0.0
63,Comoros,Sub-Saharan Africa,0.000008,0.000007,0.000001,0.00000003,0,0,0,0.0000008,0.000000007,0.001,0.000005,1.8,100.0,100,0.0,0.0,100.0,0.000009,0.0
64,Djibouti,Sub-Saharan Africa,0.000005,0.000005,0.0000008,0.00000002,0,0,0,0.0000005,0.000000005,0.0008,0.000003,0.2,100.0,100,0.0,0.0,100.0,0.000006,0.0
65,Eritrea,Sub-Saharan Africa,0.000003,0.00001,0.0000005,0.000000015,0,0,0,0.0000003,0.00000001,0.0005,0.000002,15.8,100.0,100,0.0,0.0,100.0,0.000013,0.0
66,Somalia,Sub-Saharan Africa,0.000002,0.00003,0.0000003,0.00000005,0,0,0,0.0000002,0.00000003,0.0003,0.000001,10.8,100.0,100,0.0,0.0,100.0,0.00004,0.0
67,Sudan,North Africa,0.000001,0.00005,0.0000002,0.00000008,0,0,0,0.0000001,0.00000005,0.0002,0.0000008,9.2,100.0,100,0.0,0.0,100.0,0.000065,0.0
68,South Sudan,Sub-Saharan Africa,0.0000008,0.00002,0.0000001,0.00000002,0,0,0,0.00000008,0.00000002,0.0001,0.0000002,11.8,100.0,100,0.0,0.0,100.0,0.000025,0.0
69,Chad,Sub-Saharan Africa,0.0000006,0.00001,0.00000008,0.00000001,0,0,0,0.00000006,0.00000001,0.00008,0.0000001,0.8,100.0,100,0.0,0.0,100.0,0.000013,0.0
70,Niger,Sub-Saharan Africa,0.0000004,0.000008,0.00000005,0.000000008,0,0,0,0.00000004,0.000000008,0.00005,0.00000008,0.2,100.0,100,0.0,0.0,100.0,0.00001,0.0
71,Mali,Sub-Saharan Africa,0.0000003,0.000006,0.00000003,0.000000006,0,0,0,0.00000003,0.000000006,0.00003,0.00000006,0.1,100.0,100,0.0,0.0,100.0,0.000008,0.0
72,Burkina Faso,Sub-Saharan Africa,0.0000002,0.000004,0.00000002,0.000000004,0,0,0,0.00000002,0.000000004,0.00002,0.00000004,0.05,100.0,100,0.0,0.0,100.0,0.000005,0.0
73,Guinea,Sub-Saharan Africa,0.0000001,0.000001,0.00000001,0.000000001,0,0,0,0.00000001,0.000000001,0.00001,0.00000001,0.02,100.0,100,0.0,0.0,100.0,0.000001,0.0
74,Sierra Leone,Sub-Saharan Africa,0.00000008,0.0000006,0.000000008,0.0000000006,0,0,0,0.000000008,0.0000000006,0.000008,0.000000006,0.01,100.0,100,0.0,0.0,100.0,0.0000008,0.0
75,Liberia,Sub-Saharan Africa,0.00000006,0.0000003,0.000000005,0.0000000003,0,0,0,0.000000006,0.0000000003,0.000005,0.000000003,0.005,100.0,100,0.0,0.0,100.0,0.0000004,0.0
76,Gambia,Sub-Saharan Africa,0.00000004,0.0000001,0.000000003,0.0000000001,0,0,0,0.000000004,0.0000000001,0.000003,0.000000001,0.002,100.0,100,0.0,0.0,100.0,0.00000013,0.0
77,Guinea-Bissau,Sub-Saharan Africa,0.00000003,0.00000005,0.000000002,0.00000000005,0,0,0,0.000000003,0.00000000005,0.000002,0.0000000005,0.001,100.0,100,0.0,0.0,100.0,0.00000006,0.0
78,Cape Verde,Sub-Saharan Africa,0.00000002,0.00000001,0.000000001,0.00000000001,0,0,0,0.000000002,0.00000000001,0.000001,0.0000000001,0.0005,100.0,100,0.0,0.0,100.0,0.000000013,0.0
79,Sao Tome and Principe,Sub-Saharan Africa,0.00000001,0.000000002,0.0000000005,0.000000000002,0,0,0,0.000000001,0.000000000002,0.0000005,0.00000000002,0.0002,100.0,100,0.0,0.0,100.0,0.000000003,0.0
80,Equatorial Guinea,Sub-Saharan Africa,0.000000008,0.000000001,0.0000000003,0.000000000001,0,0,0,0.0000000008,0.000000000001,0.0000003,0.00000000001,0.0001,100.0,100,0.0,0.0,100.0,0.000000001,0.0
81,Gabon,Sub-Saharan Africa,0.000000006,0.000000001,0.0000000002,0.0000000000008,0,0,0,0.0000000006,0.0000000000008,0.0000002,0.000000000008,0.00005,100.0,100,0.0,0.0,100.0,0.000000001,0.0
82,Congo,Sub-Saharan Africa,0.000000004,0.000000002,0.0000000001,0.0000000000005,0,0,0,0.0000000004,0.0000000000005,0.0000001,0.000000000005,0.00002,100.0,100,0.0,0.0,100.0,0.000000003,0.0
83,Democratic Republic of Congo,Sub-Saharan Africa,0.000000003,0.000000025,0.00000000008,0.00000000002,0,0,0,0.0000000003,0.00000000002,0.00000008,0.00000000002,0.00001,100.0,100,0.0,0.0,100.0,0.000000032,0.0
84,Central African Republic,Sub-Saharan Africa,0.000000002,0.000000001,0.00000000005,0.0000000000004,0,0,0,0.0000000002,0.0000000000004,0.00000005,0.000000000004,0.000005,100.0,100,0.0,0.0,100.0,0.000000001,0.0
85,Chad,Sub-Saharan Africa,0.000000001,0.000000001,0.00000000003,0.0000000000003,0,0,0,0.0000000001,0.0000000000003,0.00000003,0.000000000003,0.000002,100.0,100,0.0,0.0,100.0,0.000000001,0.0
86,Cameroon,Sub-Saharan Africa,0.0000000008,0.000000002,0.00000000002,0.0000000000002,0,0,0,0.00000000008,0.0000000000002,0.00000002,0.000000000002,0.000001,100.0,100,0.0,0.0,100.0,0.000000003,0.0
87,Nigeria,Sub-Saharan Africa,0.0000000006,0.0000001,0.00000000001,0.0000000000001,0,0,0,0.00000000006,0.0000000000001,0.00000001,0.000000000001,0.0000005,100.0,100,0.0,0.0,100.0,0.00000013,0.0
88,Niger,Sub-Saharan Africa,0.0000000004,0.000000008,0.000000000008,0.00000000000008,0,0,0,0.00000000004,0.00000000000008,0.000000008,0.0000000000008,0.0000002,100.0,100,0.0,0.0,100.0,0.00000001,0.0
89,Mali,Sub-Saharan Africa,0.0000000003,0.000000006,0.000000000005,0.00000000000006,0,0,0,0.00000000003,0.00000000000006,0.000000005,0.0000000000006,0.0000001,100.0,100,0.0,0.0,100.0,0.000000008,0.0
90,Burkina Faso,Sub-Saharan Africa,0.0000000002,0.000000004,0.000000000003,0.00000000000004,0,0,0,0.00000000002,0.00000000000004,0.000000003,0.0000000000004,0.00000005,100.0,100,0.0,0.0,100.0,0.000000005,0.0
91,Ghana,Sub-Saharan Africa,0.0000000001,0.000000003,0.000000000002,0.00000000000003,0,0,0,0.00000000001,0.00000000000003,0.000000002,0.0000000000003,0.00000002,100.0,100,0.0,0.0,100.0,0.000000004,0.0
92,Togo,Sub-Saharan Africa,0.00000000008,0.0000000006,0.000000000001,0.000000000000006,0,0,0,0.000000000008,0.000000000000006,0.000000001,0.00000000000006,0.00000001,100.0,100,0.0,0.0,100.0,0.0000000008,0.0
93,Benin,Sub-Saharan Africa,0.00000000006,0.0000000007,0.0000000000008,0.000000000000007,0,0,0,0.000000000006,0.000000000000007,0.0000000008,0.00000000000007,0.000000005,100.0,100,0.0,0.0,100.0,0.0000000009,0.0
94,Cote d'Ivoire,Sub-Saharan Africa,0.00000000004,0.000000001,0.0000000000005,0.000000000000005,0,0,0,0.000000000004,0.000000000000005,0.0000000005,0.00000000000005,0.000000002,100.0,100,0.0,0.0,100.0,0.000000001,0.0
95,Senegal,Sub-Saharan Africa,0.00000000003,0.0000000005,0.0000000000003,0.000000000000003,0,0,0,0.000000000003,0.000000000000003,0.0000000003,0.00000000000003,0.000000001,100.0,100,0.0,0.0,100.0,0.0000000006,0.0
96,Mali,Sub-Saharan Africa,0.00000000002,0.0000000004,0.0000000000002,0.000000000000002,0,0,0,0.000000000002,0.000000000000002,0.0000000002,0.00000000000002,0.0000000005,100.0,100,0.0,0.0,100.0,0.0000000005,0.0
97,Burkina Faso,Sub-Saharan Africa,0.00000000001,0.0000000002,0.0000000000001,0.000000000000001,0,0,0,0.000000000001,0.000000000000001,0.0000000001,0.00000000000001,0.0000000002,100.0,100,0.0,0.0,100.0,0.0000000003,0.0
98,Niger,Sub-Saharan Africa,0.000000000008,0.00000000008,0.00000000000008,0.0000000000000008,0,0,0,0.0000000000008,0.0000000000000008,0.00000000008,0.000000000000008,0.0000000001,100.0,100,0.0,0.0,100.0,0.0000000001,0.0
99,Chad,Sub-Saharan Africa,0.000000000005,0.00000000005,0.00000000000005,0.0000000000000005,0,0,0,0.0000000000005,0.0000000000000005,0.00000000005,0.000000000000005,0.00000000005,100.0,100,0.0,0.0,100.0,0.00000000006,0.0
100,Central African Republic,Sub-Saharan Africa,0.000000000003,0.00000000001,0.00000000000003,0.00000000000000003,0,0,0,0.0000000000003,0.00000000000000003,0.00000000003,0.000000000000003,0.00000000002,100.0,100,0.0,0.0,100.0,0.000000000013,0.0
