# Rural vs Urban Population Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Region,Total_Population_Millions,Urban_Population_Millions,Rural_Population_Millions,Urban_Percent,Rural_Percent,Urban_Growth_Rate_Percent,Rural_Growth_Rate_Percent,Urban_Density_Per_SqKm,Rural_Density_Per_SqKm,Largest_City,Urban_Population_2020_Millions,Urban_Population_2030_Projected_Millions,Urban_Population_2040_Projected_Millions,Rural_Population_2020_Millions,Rural_Population_2030_Projected_Millions,Rural_Population_2040_Projected_Millions,Urbanization_Trend
35,China,East Asia,1439.3,901.9,537.4,62.6,37.4,1.2,-1.8,140,150,Shanghai,875.2,925.8,978.5,568.5,537.2,507.8,Declining Rural
36,Thailand,Southeast Asia,69.8,43.6,26.2,62.5,37.5,1.5,-0.8,85,50,Bangkok,41.8,45.2,48.8,28.2,27.5,26.8,Moderate Growth
37,Indonesia,Southeast Asia,273.5,170.8,102.7,62.5,37.5,2.2,0.1,95,55,Jakarta,162.8,178.2,194.8,105.2,103.8,102.5,Rapid Growth
38,Philippines,Southeast Asia,109.6,68.5,41.1,62.5,37.5,2.0,0.3,365,140,Manila,65.2,71.8,79.2,42.8,42.2,41.8,Rapid Growth
39,Vietnam,Southeast Asia,97.3,60.8,36.5,62.5,37.5,2.8,0.2,295,110,Ho Chi Minh City,57.2,65.8,75.8,38.5,37.8,37.2,Rapid Growth
40,India,South Asia,1380.0,483.0,897.0,35.0,65.0,2.1,0.8,420,280,Mumbai,425.8,485.2,552.8,925.8,912.5,898.2,Rapid Growth
41,Bangladesh,South Asia,164.7,57.6,107.1,35.0,65.0,3.2,1.1,1150,850,Dhaka,52.8,62.8,74.8,112.5,110.2,107.8,Rapid Growth
42,Pakistan,South Asia,225.2,78.8,146.4,35.0,65.0,2.8,1.2,180,95,Karachi,72.2,82.8,95.2,152.8,150.2,147.5,Rapid Growth
43,Nepal,South Asia,29.1,10.2,18.9,35.0,65.0,3.5,1.5,180,120,Kathmandu,9.2,11.2,13.8,20.2,19.8,19.2,Rapid Growth
44,Sri Lanka,South Asia,21.9,7.7,14.2,35.0,65.0,1.8,0.2,180,90,Colombo,7.2,8.2,9.2,14.8,14.5,14.2,Moderate Growth
45,Afghanistan,South Asia,38.9,13.6,25.3,35.0,65.0,4.2,2.1,85,45,Kabul,12.2,14.8,18.2,26.8,26.2,25.5,Rapid Growth
46,Ethiopia,Sub-Saharan Africa,117.9,41.3,76.6,35.0,65.0,4.5,2.2,45,25,Addis Ababa,37.2,45.8,56.2,82.5,80.8,78.8,Rapid Growth
47,Tanzania,Sub-Saharan Africa,59.7,20.9,38.8,35.0,65.0,4.8,2.5,25,15,Dar es Salaam,18.8,23.2,28.8,41.2,40.5,39.8,Rapid Growth
48,Uganda,Sub-Saharan Africa,45.7,16.0,29.7,35.0,65.0,5.2,2.8,180,95,Kampala,14.2,17.8,22.2,31.8,31.2,30.5,Rapid Growth
49,Kenya,Sub-Saharan Africa,53.8,18.8,35.0,35.0,65.0,4.1,2.1,45,25,Nairobi,17.2,20.8,25.2,37.2,36.5,35.8,Rapid Growth
50,Ghana,Sub-Saharan Africa,31.1,10.9,20.2,35.0,65.0,3.8,1.8,85,45,Accra,9.8,12.2,15.2,21.8,21.2,20.5,Rapid Growth
51,Nigeria,Sub-Saharan Africa,206.1,72.1,134.0,35.0,65.0,3.9,2.1,180,95,Lagos,68.2,78.8,91.2,142.5,140.2,137.8,Rapid Growth
52,Senegal,Sub-Saharan Africa,16.7,5.8,10.9,35.0,65.0,3.5,1.8,45,25,Dakar,5.2,6.2,7.8,11.8,11.5,11.2,Rapid Growth
53,Mali,Sub-Saharan Africa,20.3,7.1,13.2,35.0,65.0,4.2,2.2,15,8,Bamako,6.5,8.2,10.5,14.2,13.8,13.2,Rapid Growth
54,Burkina Faso,Sub-Saharan Africa,20.9,7.3,13.6,35.0,65.0,4.8,2.5,25,12,Ouagadougou,6.8,8.5,10.8,14.5,14.2,13.8,Rapid Growth
55,Niger,Sub-Saharan Africa,24.2,8.5,15.7,35.0,65.0,5.2,3.1,18,8,Niamey,7.8,9.8,12.5,16.8,16.2,15.5,Rapid Growth
56,Chad,Sub-Saharan Africa,16.4,5.7,10.7,35.0,65.0,4.5,2.8,12,6,N'Djamena,5.2,6.5,8.2,11.5,11.2,10.8,Rapid Growth
57,Central African Republic,Sub-Saharan Africa,4.8,1.7,3.1,35.0,65.0,3.8,2.1,8,4,Bangui,1.5,1.8,2.2,3.2,3.1,3.0,Rapid Growth
58,Cameroon,Sub-Saharan Africa,26.5,9.3,17.2,35.0,65.0,3.9,2.2,45,25,Douala,8.8,10.8,13.2,18.2,17.8,17.2,Rapid Growth
59,Democratic Republic of Congo,Sub-Saharan Africa,89.6,31.4,58.2,35.0,65.0,4.8,2.8,25,15,Kinshasa,29.8,36.2,44.2,62.5,61.2,59.8,Rapid Growth
60,Angola,Sub-Saharan Africa,32.9,11.5,21.4,35.0,65.0,4.2,2.5,15,8,Luanda,10.2,12.8,16.2,22.8,22.2,21.5,Rapid Growth
61,Zambia,Sub-Saharan Africa,18.4,6.4,12.0,35.0,65.0,4.1,2.2,18,8,Lusaka,5.8,7.2,9.2,12.8,12.5,12.2,Rapid Growth
62,Zimbabwe,Sub-Saharan Africa,14.9,5.2,9.7,35.0,65.0,3.5,1.8,25,12,Harare,4.8,5.8,7.2,10.2,9.8,9.5,Rapid Growth
63,Botswana,Sub-Saharan Africa,2.4,0.8,1.6,35.0,65.0,2.8,1.2,4,2,Gaborone,0.7,0.9,1.2,1.6,1.5,1.4,Moderate Growth
64,Namibia,Sub-Saharan Africa,2.5,0.9,1.6,35.0,65.0,3.2,1.5,3,1,Windhoek,0.8,1.0,1.3,1.7,1.6,1.5,Moderate Growth
65,South Africa,Sub-Saharan Africa,60.0,40.8,19.2,68.0,32.0,1.8,0.5,45,20,Johannesburg,38.2,42.8,47.8,20.5,19.8,19.0,Moderate Growth
66,Lesotho,Sub-Saharan Africa,2.1,0.7,1.4,35.0,65.0,3.8,2.1,25,12,Maseru,0.6,0.8,1.0,1.5,1.4,1.3,Rapid Growth
67,Swaziland,Sub-Saharan Africa,1.2,0.4,0.8,35.0,65.0,3.5,1.8,18,8,Mbabane,0.4,0.5,0.6,0.8,0.8,0.7,Rapid Growth
68,Madagascar,Sub-Saharan Africa,27.7,9.7,18.0,35.0,65.0,4.5,2.8,35,18,Antananarivo,8.8,11.2,14.2,19.2,18.8,18.2,Rapid Growth
69,Mauritius,Sub-Saharan Africa,1.3,0.5,0.8,35.0,65.0,0.8,0.2,625,315,Port Louis,0.5,0.5,0.5,0.8,0.8,0.8,Stable
70,Seychelles,Sub-Saharan Africa,0.1,0.04,0.06,35.0,65.0,1.2,0.5,200,100,Victoria,0.04,0.04,0.05,0.06,0.06,0.06,Stable
71,Comoros,Sub-Saharan Africa,0.9,0.3,0.6,35.0,65.0,3.2,1.8,450,225,Moroni,0.3,0.4,0.5,0.6,0.6,0.5,Rapid Growth
72,Djibouti,Sub-Saharan Africa,1.0,0.4,0.6,35.0,65.0,2.8,1.5,25,12,Djibouti,0.3,0.4,0.5,0.7,0.7,0.6,Moderate Growth
73,Eritrea,Sub-Saharan Africa,3.5,1.2,2.3,35.0,65.0,3.8,2.2,12,6,Asmara,1.1,1.4,1.8,2.4,2.3,2.2,Rapid Growth
74,Somalia,Sub-Saharan Africa,15.9,5.6,10.3,35.0,65.0,4.2,2.8,8,4,Mogadishu,5.0,6.2,7.8,10.8,10.5,10.2,Rapid Growth
75,Sudan,North Africa,43.8,15.3,28.5,35.0,65.0,3.8,2.2,12,6,Khartoum,14.2,17.2,20.8,30.2,29.8,29.2,Rapid Growth
76,South Sudan,Sub-Saharan Africa,11.2,3.9,7.3,35.0,65.0,4.5,2.8,8,4,Juba,3.5,4.2,5.2,7.8,7.5,7.2,Rapid Growth
77,Chad,Sub-Saharan Africa,16.4,5.7,10.7,35.0,65.0,4.5,2.8,12,6,N'Djamena,5.2,6.5,8.2,11.5,11.2,10.8,Rapid Growth
78,Niger,Sub-Saharan Africa,24.2,8.5,15.7,35.0,65.0,5.2,3.1,18,8,Niamey,7.8,9.8,12.5,16.8,16.2,15.5,Rapid Growth
79,Mali,Sub-Saharan Africa,20.3,7.1,13.2,35.0,65.0,4.2,2.2,15,8,Bamako,6.5,8.2,10.5,14.2,13.8,13.2,Rapid Growth
80,Burkina Faso,Sub-Saharan Africa,20.9,7.3,13.6,35.0,65.0,4.8,2.5,25,12,Ouagadougou,6.8,8.5,10.8,14.5,14.2,13.8,Rapid Growth
81,Guinea,Sub-Saharan Africa,13.1,4.6,8.5,35.0,65.0,4.2,2.5,18,8,Conakry,4.2,5.2,6.5,9.2,8.8,8.5,Rapid Growth
82,Sierra Leone,Sub-Saharan Africa,7.9,2.8,5.1,35.0,65.0,3.8,2.2,25,12,Freetown,2.5,3.2,4.0,5.6,5.4,5.2,Rapid Growth
83,Liberia,Sub-Saharan Africa,5.1,1.8,3.3,35.0,65.0,3.5,2.1,15,8,Monrovia,1.6,2.0,2.5,3.6,3.4,3.2,Rapid Growth
84,Gambia,Sub-Saharan Africa,2.4,0.8,1.6,35.0,65.0,3.2,1.8,180,90,Banjul,0.8,1.0,1.2,1.7,1.6,1.5,Rapid Growth
85,Guinea-Bissau,Sub-Saharan Africa,1.9,0.7,1.2,35.0,65.0,3.5,2.1,25,12,Bissau,0.6,0.8,1.0,1.3,1.2,1.1,Rapid Growth
86,Cape Verde,Sub-Saharan Africa,0.6,0.2,0.4,35.0,65.0,2.1,1.2,125,65,Praia,0.2,0.2,0.3,0.4,0.4,0.4,Moderate Growth
87,Sao Tome and Principe,Sub-Saharan Africa,0.2,0.07,0.13,35.0,65.0,2.8,1.5,200,100,Sao Tome,0.07,0.08,0.1,0.13,0.13,0.12,Moderate Growth
88,Equatorial Guinea,Sub-Saharan Africa,1.4,0.5,0.9,35.0,65.0,3.8,2.2,18,8,Malabo,0.4,0.5,0.7,1.0,0.9,0.8,Rapid Growth
89,Gabon,Sub-Saharan Africa,2.2,0.8,1.4,35.0,65.0,3.2,1.8,8,4,Libreville,0.7,0.9,1.1,1.5,1.4,1.3,Moderate Growth
90,Congo,Sub-Saharan Africa,5.5,1.9,3.6,35.0,65.0,3.8,2.2,12,6,Brazzaville,1.7,2.2,2.8,3.8,3.6,3.4,Rapid Growth
91,Democratic Republic of Congo,Sub-Saharan Africa,89.6,31.4,58.2,35.0,65.0,4.8,2.8,25,15,Kinshasa,29.8,36.2,44.2,62.5,61.2,59.8,Rapid Growth
92,Central African Republic,Sub-Saharan Africa,4.8,1.7,3.1,35.0,65.0,3.8,2.1,8,4,Bangui,1.5,1.8,2.2,3.2,3.1,3.0,Rapid Growth
93,Chad,Sub-Saharan Africa,16.4,5.7,10.7,35.0,65.0,4.5,2.8,12,6,N'Djamena,5.2,6.5,8.2,11.5,11.2,10.8,Rapid Growth
94,Cameroon,Sub-Saharan Africa,26.5,9.3,17.2,35.0,65.0,3.9,2.2,45,25,Douala,8.8,10.8,13.2,18.2,17.8,17.2,Rapid Growth
95,Nigeria,Sub-Saharan Africa,206.1,72.1,134.0,35.0,65.0,3.9,2.1,180,95,Lagos,68.2,78.8,91.2,142.5,140.2,137.8,Rapid Growth
96,Niger,Sub-Saharan Africa,24.2,8.5,15.7,35.0,65.0,5.2,3.1,18,8,Niamey,7.8,9.8,12.5,16.8,16.2,15.5,Rapid Growth
97,Mali,Sub-Saharan Africa,20.3,7.1,13.2,35.0,65.0,4.2,2.2,15,8,Bamako,6.5,8.2,10.5,14.2,13.8,13.2,Rapid Growth
98,Burkina Faso,Sub-Saharan Africa,20.9,7.3,13.6,35.0,65.0,4.8,2.5,25,12,Ouagadougou,6.8,8.5,10.8,14.5,14.2,13.8,Rapid Growth
99,Ghana,Sub-Saharan Africa,31.1,10.9,20.2,35.0,65.0,3.8,1.8,85,45,Accra,9.8,12.2,15.2,21.8,21.2,20.5,Rapid Growth
100,Togo,Sub-Saharan Africa,8.3,2.9,5.4,35.0,65.0,3.8,2.1,45,25,Lome,2.7,3.4,4.2,5.8,5.6,5.4,Rapid Growth
