# Energy Consumption Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Total_Energy_Consumption_TWh,Per_Capita_Energy_KWh,Coal_Percent,Oil_Percent,Natural_Gas_Percent,Nuclear_Percent,Renewable_Percent,CO2_Emissions_Million_Tons,Energy_Intensity_MJ_USD,Access_Electricity_Percent
24,Egypt,145,1400,0.8,35.2,58.9,0.0,5.1,245,6.8,99.6
25,Vietnam,125,1300,45.8,28.9,15.2,0.0,10.1,298,7.2,99.8
26,Argentina,125,2800,1.2,45.8,48.9,4.1,0.0,189,5.8,99.1
27,Netherlands,98,5700,8.9,35.2,55.8,1.8,8.3,158,3.2,100.0
28,Belgium,78,6800,2.8,35.2,25.8,50.2,0.0,89,2.8,100.0
29,Sweden,78,7800,0.8,25.8,1.2,30.8,41.4,42,2.1,100.0
30,Norway,78,14500,0.0,25.8,0.0,0.0,74.2,35,1.8,100.0
31,Switzerland,58,6800,0.0,35.2,0.0,35.8,29.0,35,1.9,100.0
32,Austria,58,6500,8.9,35.2,21.8,0.0,34.1,62,2.8,100.0
33,Denmark,45,7800,8.9,25.8,15.2,0.0,50.1,32,2.1,100.0
34,Finland,45,8200,8.9,25.8,8.9,18.5,37.9,38,2.8,100.0
35,Portugal,38,3700,8.9,45.2,15.2,0.0,30.7,42,3.2,100.0
36,Greece,38,3500,28.9,45.2,8.9,0.0,17.0,68,4.2,100.0
37,Czech Republic,58,5500,45.8,12.1,8.9,32.2,1.0,98,4.8,100.0
38,Hungary,38,3900,8.9,25.8,35.2,50.1,0.0,45,3.8,100.0
39,Romania,58,3000,18.5,25.8,28.9,18.5,8.3,78,5.2,100.0
40,Bulgaria,25,3500,45.8,25.8,8.9,18.5,1.0,42,6.2,100.0
41,Croatia,15,3600,8.9,35.2,25.8,0.0,30.1,18,3.8,100.0
42,Slovakia,25,4600,8.9,25.8,25.8,55.5,0.0,32,3.2,100.0
43,Slovenia,12,5800,8.9,35.2,15.2,35.8,4.9,15,2.8,100.0
44,Estonia,8,6200,85.8,8.9,0.0,0.0,5.3,12,4.8,100.0
45,Latvia,8,4200,0.0,25.8,25.8,0.0,48.4,8,3.2,100.0
46,Lithuania,12,4200,0.0,25.8,25.8,0.0,48.4,12,3.8,100.0
47,Ukraine,125,2900,25.8,8.9,35.2,25.8,4.3,189,8.9,100.0
48,Belarus,25,2600,0.0,25.8,65.2,0.0,9.0,58,6.8,100.0
49,Moldova,8,2200,0.0,25.8,65.2,0.0,9.0,8,5.8,100.0
50,Georgia,8,2200,0.0,25.8,65.2,0.0,9.0,8,5.8,100.0
51,Armenia,8,2800,0.0,25.8,35.2,35.8,3.2,8,4.8,100.0
52,Azerbaijan,25,2500,0.0,25.8,65.2,0.0,9.0,35,6.2,100.0
53,Kazakhstan,98,5200,45.8,25.8,25.8,0.0,2.6,189,8.9,100.0
54,Uzbekistan,58,1700,8.9,25.8,65.2,0.0,0.1,98,9.8,100.0
55,Turkmenistan,25,4200,0.0,25.8,65.2,0.0,9.0,45,12.1,100.0
56,Tajikistan,8,900,0.0,25.8,0.0,0.0,74.2,8,6.8,100.0
57,Kyrgyzstan,8,1200,0.0,25.8,0.0,0.0,74.2,8,7.2,100.0
58,Afghanistan,8,200,0.0,25.8,0.0,0.0,74.2,8,15.2,89.5
59,Pakistan,125,580,45.8,25.8,25.8,0.0,2.6,189,12.1,73.9
60,Bangladesh,98,580,45.8,25.8,25.8,0.0,2.6,158,9.8,96.0
61,Sri Lanka,15,700,8.9,35.2,0.0,0.0,55.9,25,6.8,100.0
62,Nepal,8,280,0.0,25.8,0.0,0.0,74.2,8,8.9,89.1
63,Bhutan,2,800,0.0,25.8,0.0,0.0,74.2,2,4.8,100.0
64,Maldives,1,2800,0.0,25.8,0.0,0.0,74.2,1,8.9,100.0
65,Myanmar,25,450,8.9,35.2,25.8,0.0,30.1,45,12.1,69.4
66,Laos,8,1200,0.0,25.8,0.0,0.0,74.2,8,6.8,95.3
67,Cambodia,8,500,8.9,35.2,0.0,0.0,55.9,12,8.9,75.0
68,Philippines,58,520,25.8,35.2,8.9,0.0,30.1,98,8.9,96.2
69,Brunei,8,18500,0.0,25.8,65.2,0.0,9.0,8,8.9,100.0
70,East Timor,1,800,0.0,25.8,0.0,0.0,74.2,1,6.8,100.0
71,Papua New Guinea,8,900,8.9,35.2,0.0,0.0,55.9,8,8.9,65.0
72,Fiji,2,2200,8.9,35.2,0.0,0.0,55.9,2,6.8,100.0
73,Vanuatu,1,3500,0.0,25.8,0.0,0.0,74.2,1,4.8,100.0
74,Solomon Islands,1,1500,0.0,25.8,0.0,0.0,74.2,1,6.8,75.0
75,Samoa,1,2800,0.0,25.8,0.0,0.0,74.2,1,4.8,100.0
76,Tonga,1,2200,0.0,25.8,0.0,0.0,74.2,1,6.8,100.0
77,Kiribati,1,1500,0.0,25.8,0.0,0.0,74.2,1,8.9,100.0
78,Tuvalu,1,3500,0.0,25.8,0.0,0.0,74.2,1,6.8,100.0
79,Nauru,1,2800,0.0,25.8,0.0,0.0,74.2,1,8.9,100.0
80,Marshall Islands,1,2200,0.0,25.8,0.0,0.0,74.2,1,6.8,100.0
81,Palau,1,2800,0.0,25.8,0.0,0.0,74.2,1,4.8,100.0
82,Micronesia,1,1500,0.0,25.8,0.0,0.0,74.2,1,6.8,100.0
83,New Zealand,45,9500,8.9,25.8,15.2,0.0,50.1,32,2.8,100.0
84,Chile,78,4200,8.9,45.2,25.8,0.0,20.1,89,4.8,100.0
85,Colombia,58,1200,8.9,35.2,25.8,0.0,30.1,78,6.8,99.2
86,Venezuela,98,2800,0.0,25.8,65.2,0.0,9.0,158,8.9,100.0
87,Peru,38,1200,8.9,35.2,25.8,0.0,30.1,58,6.8,95.6
88,Ecuador,25,1500,0.0,45.2,25.8,0.0,29.0,35,5.8,97.4
89,Bolivia,15,1300,0.0,45.2,25.8,0.0,29.0,25,6.8,95.0
90,Paraguay,8,1200,0.0,25.8,0.0,0.0,74.2,8,4.8,100.0
91,Uruguay,8,2200,0.0,25.8,0.0,0.0,74.2,8,3.8,100.0
92,Guyana,2,2800,0.0,25.8,0.0,0.0,74.2,2,6.8,100.0
93,Suriname,2,3500,0.0,25.8,0.0,0.0,74.2,2,6.8,100.0
94,French Guiana,1,3500,0.0,25.8,0.0,0.0,74.2,1,4.8,100.0
95,Cuba,25,2200,8.9,35.2,25.8,0.0,30.1,35,6.8,100.0
96,Jamaica,8,2800,8.9,35.2,25.8,0.0,30.1,8,6.8,100.0
97,Haiti,2,200,8.9,35.2,0.0,0.0,55.9,2,12.1,38.2
98,Dominican Republic,15,1400,8.9,35.2,25.8,0.0,30.1,25,6.8,100.0
99,Puerto Rico,15,4200,8.9,35.2,25.8,0.0,30.1,15,4.8,100.0
100,Trinidad and Tobago,8,5800,0.0,25.8,65.2,0.0,9.0,8,8.9,100.0
