# Cloud Services Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Service_Name,Provider,Category,Region,Price_Per_Hour_USD,Price_Per_Month_USD,Storage_GB,CPU_Cores,Memory_GB,Network_GB,Data_Transfer_GB,Availability_Percent,SLA_Percent,Support_Level,Compliance_Certifications,Data_Residency,Backup_Retention_Days,Monitoring_Features,Scaling_Type,API_Access,Documentation_Quality,Community_Support,Enterprise_Support,Free_Tier_Available,Free_Tier_Limits,Market_Share_Percent,Customer_Satisfaction_Score,Innovation_Score,Reliability_Score
11,Microsoft Azure Functions,Microsoft,Serverless,Global,0.0000166667,0.12,0,0,0,0,1,99.95,99.95,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,1000000,20.0,8.0,8.5,8.8
12,Google Cloud Functions,Google,Serverless,Global,0.0000166667,0.12,0,0,0,0,1,99.95,99.95,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,1000000,9.0,7.5,8.0,8.2
13,Amazon EKS,Amazon Web Services,Container,Global,0.10,70.00,0,0,0,0,1,99.95,99.95,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
14,Microsoft Azure AKS,Microsoft,Container,Global,0.10,70.00,0,0,0,0,1,99.95,99.95,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
15,Google Cloud GKE,Google,Container,Global,0.10,70.00,0,0,0,0,1,99.95,99.95,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
16,Amazon CloudFront,Amazon Web Services,CDN,Global,0.085,60.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,1,32.0,8.5,9.0,9.2
17,Microsoft Azure CDN,Microsoft,CDN,Global,0.087,62.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,1,20.0,8.0,8.5,8.8
18,Google Cloud CDN,Google,CDN,Global,0.080,58.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,1,9.0,7.5,8.0,8.2
19,Amazon Route 53,Amazon Web Services,DNS,Global,0.50,360.00,0,0,0,0,1,100.0,100.0,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
20,Microsoft Azure DNS,Microsoft,DNS,Global,0.50,360.00,0,0,0,0,1,100.0,100.0,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
21,Google Cloud DNS,Google,DNS,Global,0.20,144.00,0,0,0,0,1,100.0,100.0,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
22,Amazon CloudWatch,Amazon Web Services,Monitoring,Global,0.30,216.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
23,Microsoft Azure Monitor,Microsoft,Monitoring,Global,0.30,216.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
24,Google Cloud Monitoring,Google,Monitoring,Global,0.30,216.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
25,Amazon IAM,Amazon Web Services,Security,Global,0.00,0.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
26,Microsoft Azure AD,Microsoft,Security,Global,0.00,0.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
27,Google Cloud IAM,Google,Security,Global,0.00,0.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
28,Amazon VPC,Amazon Web Services,Networking,Global,0.00,0.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
29,Microsoft Azure VNet,Microsoft,Networking,Global,0.00,0.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
30,Google Cloud VPC,Google,Networking,Global,0.00,0.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
31,Amazon SNS,Amazon Web Services,Messaging,Global,0.50,360.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
32,Microsoft Azure Service Bus,Microsoft,Messaging,Global,0.50,360.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
33,Google Cloud Pub/Sub,Google,Messaging,Global,0.50,360.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
34,Amazon SQS,Amazon Web Services,Queue,Global,0.40,288.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
35,Microsoft Azure Queue,Microsoft,Queue,Global,0.40,288.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
36,Google Cloud Tasks,Google,Queue,Global,0.40,288.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
37,Amazon ElastiCache,Amazon Web Services,Cache,Global,0.048,35.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
38,Microsoft Azure Cache,Microsoft,Cache,Global,0.048,35.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
39,Google Cloud Memorystore,Google,Cache,Global,0.048,35.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
40,Amazon EMR,Amazon Web Services,Analytics,Global,0.27,195.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
41,Microsoft Azure HDInsight,Microsoft,Analytics,Global,0.27,195.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
42,Google Cloud Dataproc,Google,Analytics,Global,0.27,195.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
43,Amazon Redshift,Amazon Web Services,Data Warehouse,Global,0.25,180.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
44,Microsoft Azure Synapse,Microsoft,Data Warehouse,Global,0.25,180.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
45,Google Cloud BigQuery,Google,Data Warehouse,Global,0.25,180.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
46,Amazon Kinesis,Amazon Web Services,Streaming,Global,0.014,10.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
47,Microsoft Azure Stream Analytics,Microsoft,Streaming,Global,0.014,10.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
48,Google Cloud Dataflow,Google,Streaming,Global,0.014,10.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
49,Amazon SageMaker,Amazon Web Services,ML,Global,0.05,36.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
50,Microsoft Azure ML,Microsoft,ML,Global,0.05,36.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
51,Google Cloud AI Platform,Google,ML,Global,0.05,36.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
52,Amazon Comprehend,Amazon Web Services,NLP,Global,0.0001,0.07,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
53,Microsoft Azure Cognitive Services,Microsoft,NLP,Global,0.0001,0.07,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
54,Google Cloud Natural Language,Google,NLP,Global,0.0001,0.07,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
55,Amazon Rekognition,Amazon Web Services,Computer Vision,Global,0.001,0.72,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
56,Microsoft Azure Computer Vision,Microsoft,Computer Vision,Global,0.001,0.72,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
57,Google Cloud Vision,Google,Computer Vision,Global,0.001,0.72,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
58,Amazon Polly,Amazon Web Services,Speech,Global,0.004,2.88,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
59,Microsoft Azure Speech,Microsoft,Speech,Global,0.004,2.88,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
60,Google Cloud Speech,Google,Speech,Global,0.004,2.88,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
61,Amazon Translate,Amazon Web Services,Translation,Global,0.000015,0.01,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
62,Microsoft Azure Translator,Microsoft,Translation,Global,0.000015,0.01,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
63,Google Cloud Translation,Google,Translation,Global,0.000015,0.01,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
64,Amazon Textract,Amazon Web Services,Document Processing,Global,0.0015,1.08,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
65,Microsoft Azure Form Recognizer,Microsoft,Document Processing,Global,0.0015,1.08,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
66,Google Cloud Document AI,Google,Document Processing,Global,0.0015,1.08,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
67,Amazon Bedrock,Amazon Web Services,Generative AI,Global,0.008,5.76,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
68,Microsoft Azure OpenAI,Microsoft,Generative AI,Global,0.008,5.76,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
69,Google Cloud Vertex AI,Google,Generative AI,Global,0.008,5.76,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
70,Amazon WorkSpaces,Amazon Web Services,VDI,Global,0.25,180.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
71,Microsoft Azure Virtual Desktop,Microsoft,VDI,Global,0.25,180.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
72,Google Cloud Workstations,Google,VDI,Global,0.25,180.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
73,Amazon WorkMail,Amazon Web Services,Email,Global,4.00,2880.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
74,Microsoft Azure Exchange,Microsoft,Email,Global,4.00,2880.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
75,Google Cloud Gmail,Google,Email,Global,4.00,2880.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
76,Amazon Chime,Amazon Web Services,Communication,Global,3.00,2160.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
77,Microsoft Azure Teams,Microsoft,Communication,Global,3.00,2160.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
78,Google Cloud Meet,Google,Communication,Global,3.00,2160.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
79,Amazon WorkDocs,Amazon Web Services,Collaboration,Global,5.00,3600.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
80,Microsoft Azure SharePoint,Microsoft,Collaboration,Global,5.00,3600.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
81,Google Cloud Drive,Google,Collaboration,Global,5.00,3600.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
82,Amazon WorkSpaces,Amazon Web Services,VDI,Global,0.25,180.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
83,Microsoft Azure Virtual Desktop,Microsoft,VDI,Global,0.25,180.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
84,Google Cloud Workstations,Google,VDI,Global,0.25,180.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
85,Amazon WorkMail,Amazon Web Services,Email,Global,4.00,2880.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
86,Microsoft Azure Exchange,Microsoft,Email,Global,4.00,2880.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
87,Google Cloud Gmail,Google,Email,Global,4.00,2880.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
88,Amazon Chime,Amazon Web Services,Communication,Global,3.00,2160.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
89,Microsoft Azure Teams,Microsoft,Communication,Global,3.00,2160.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
90,Google Cloud Meet,Google,Communication,Global,3.00,2160.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
91,Amazon WorkDocs,Amazon Web Services,Collaboration,Global,5.00,3600.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
92,Microsoft Azure SharePoint,Microsoft,Collaboration,Global,5.00,3600.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
93,Google Cloud Drive,Google,Collaboration,Global,5.00,3600.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
94,Amazon WorkSpaces,Amazon Web Services,VDI,Global,0.25,180.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
95,Microsoft Azure Virtual Desktop,Microsoft,VDI,Global,0.25,180.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
96,Google Cloud Workstations,Google,VDI,Global,0.25,180.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
97,Amazon WorkMail,Amazon Web Services,Email,Global,4.00,2880.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
98,Microsoft Azure Exchange,Microsoft,Email,Global,4.00,2880.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.5,Yes,Yes,Yes,0,20.0,8.0,8.5,8.8
99,Google Cloud Gmail,Google,Email,Global,4.00,2880.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,8.0,Yes,Yes,Yes,0,9.0,7.5,8.0,8.2
100,Amazon Chime,Amazon Web Services,Communication,Global,3.00,2160.00,0,0,0,0,1,99.9,99.9,Basic,SOX,HIPAA,30,Yes,Auto,Yes,9.0,Yes,Yes,Yes,0,32.0,8.5,9.0,9.2
