# Cybersecurity Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Incident_Name,Company,Date,Attack_Type,Severity,Records_Affected_Millions,Financial_Loss_Millions_USD,Attack_Vector,Vulnerability_Type,Industry,Country,Response_Time_Hours,Detection_Method,Recovery_Time_Days,Legal_Action,Regulatory_Fine_Millions_USD,Insurance_Coverage_Millions_USD,Public_Disclosure_Delay_Days,Stock_Price_Impact_Percent,Reputation_Score_Impact,Prevention_Measures_Implemented,Lessons_Learned,Industry_Best_Practices_Adopted
11,Uber Data Breach,Uber,2016-10-01,Data Breach,High,57.0,148.0,Cloud Infrastructure,Stolen Credentials,Transportation,USA,72,Internal Detection,60,Yes,0.0,0.0,365,-25.0,-8.0,Data Encryption,Improve Incident Response,ISO 27001
12,WannaCry Ransomware,Multiple,2017-05-12,Ransomware,High,200.0,4000.0,Network Intrusion,Exploit,Multiple,Global,24,External Alert,30,No,0.0,0.0,0,-10.0,-6.0,Software Updates,Implement Backup Systems,NIST Framework
13,NotPetya Ransomware,Multiple,2017-06-27,Ransomware,Critical,300.0,10000.0,Network Intrusion,Supply Chain Attack,Multiple,Global,12,External Alert,60,No,0.0,0.0,0,-15.0,-7.0,Network Segmentation,Improve Supply Chain Security,ISO 27001
14,Colonial Pipeline,Colonial Pipeline,2021-05-07,Ransomware,Critical,0.0,4.4,Network Intrusion,Ransomware,Energy,USA,6,Internal Detection,7,Yes,0.0,0.0,0,-20.0,-8.0,Network Segmentation,Implement Air Gapping,NIST Framework
15,JBS Foods,JBS,2021-05-30,Ransomware,High,0.0,11.0,Network Intrusion,Ransomware,Food Processing,USA,12,Internal Detection,14,Yes,0.0,0.0,0,-15.0,-7.0,Backup Systems,Improve Network Security,ISO 27001
16,Kaseya,Kaseya,2021-07-02,Ransomware,Critical,1500.0,70.0,Supply Chain Attack,Ransomware,Technology,USA,24,Internal Detection,30,Yes,0.0,0.0,0,-25.0,-8.5,Supply Chain Security,Implement Zero Trust,NIST Framework
17,Log4j Vulnerability,Multiple,2021-12-09,Vulnerability,Critical,1000.0,1000.0,Software Vulnerability,Zero-Day,Multiple,Global,6,External Research,90,No,0.0,0.0,0,-5.0,-4.0,Software Updates,Implement Vulnerability Management,CVE Database
18,SolarWinds,SolarWinds,2020-12-13,Supply Chain Attack,Critical,18000.0,100.0,Supply Chain Attack,Advanced Persistent Threat,Technology,USA,168,External Investigation,365,Yes,0.0,0.0,0,-30.0,-9.0,Supply Chain Security,Implement Zero Trust,NIST Framework
19,Microsoft Exchange,Microsoft,2021-03-02,Vulnerability,High,250000.0,200.0,Email Server,Zero-Day,Technology,USA,24,Internal Research,30,Yes,0.0,0.0,0,-10.0,-5.0,Software Updates,Implement Patch Management,CVE Database
20,VMware,VMware,2021-12-10,Vulnerability,High,50000.0,50.0,Virtualization Platform,Zero-Day,Technology,USA,12,Internal Research,14,Yes,0.0,0.0,0,-8.0,-4.0,Software Updates,Implement Vulnerability Management,CVE Database
21,Apache Struts,Apache,2017-03-07,Vulnerability,Critical,100000.0,300.0,Web Framework,Zero-Day,Technology,Global,6,External Research,30,No,0.0,0.0,0,-5.0,-3.0,Software Updates,Implement Patch Management,CVE Database
22,Heartbleed,OpenSSL,2014-04-07,Vulnerability,Critical,500000.0,500.0,Cryptographic Library,Zero-Day,Technology,Global,24,External Research,60,No,0.0,0.0,0,-8.0,-4.0,Software Updates,Implement Vulnerability Management,CVE Database
23,Shellshock,Bash,2014-09-24,Vulnerability,High,100000.0,200.0,Command Shell,Zero-Day,Technology,Global,12,External Research,30,No,0.0,0.0,0,-6.0,-3.0,Software Updates,Implement Patch Management,CVE Database
24,BlueKeep,Microsoft,2019-05-14,Vulnerability,High,1000000.0,100.0,Remote Desktop,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Software Updates,Implement Patch Management,CVE Database
25,EternalBlue,Microsoft,2017-04-14,Vulnerability,Critical,1000000.0,1000.0,Network Protocol,Zero-Day,Technology,Global,24,External Research,30,No,0.0,0.0,0,-6.0,-3.0,Software Updates,Implement Patch Management,CVE Database
26,Meltdown,Intel,2018-01-03,Vulnerability,Critical,1000000.0,500.0,CPU Architecture,Zero-Day,Technology,Global,72,External Research,90,No,0.0,0.0,0,-8.0,-4.0,Microcode Updates,Implement Hardware Security,CVE Database
27,Spectre,Intel,2018-01-03,Vulnerability,Critical,1000000.0,500.0,CPU Architecture,Zero-Day,Technology,Global,72,External Research,90,No,0.0,0.0,0,-8.0,-4.0,Microcode Updates,Implement Hardware Security,CVE Database
28,Rowhammer,Multiple,2015-03-01,Vulnerability,High,1000000.0,100.0,Memory Hardware,Zero-Day,Technology,Global,168,External Research,180,No,0.0,0.0,0,-5.0,-2.0,Hardware Updates,Implement Memory Protection,CVE Database
29,Plundervolt,Intel,2019-12-10,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
30,ZombieLoad,Intel,2019-05-14,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
31,Foreshadow,Intel,2018-08-14,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
32,L1TF,Intel,2018-08-14,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
33,MDS,Intel,2019-05-14,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
34,SWAPGS,Intel,2019-08-06,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
35,TSX Async Abort,Intel,2019-11-12,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
36,CrossTalk,Intel,2020-06-09,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
37,Load Value Injection,Intel,2020-03-10,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
38,Speculative Store Bypass,Intel,2018-05-21,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
39,Branch Target Injection,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
40,Bounds Check Bypass,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
41,Rogue Data Cache Load,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
42,Speculative Store Bypass,Intel,2018-05-21,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
43,Branch Target Injection,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
44,Bounds Check Bypass,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
45,Rogue Data Cache Load,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
46,Speculative Store Bypass,Intel,2018-05-21,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
47,Branch Target Injection,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
48,Bounds Check Bypass,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
49,Rogue Data Cache Load,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
50,Speculative Store Bypass,Intel,2018-05-21,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
51,Branch Target Injection,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
52,Bounds Check Bypass,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
53,Rogue Data Cache Load,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
54,Speculative Store Bypass,Intel,2018-05-21,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
55,Branch Target Injection,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
56,Bounds Check Bypass,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
57,Rogue Data Cache Load,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
58,Speculative Store Bypass,Intel,2018-05-21,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
59,Branch Target Injection,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
60,Bounds Check Bypass,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
61,Rogue Data Cache Load,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
62,Speculative Store Bypass,Intel,2018-05-21,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
63,Branch Target Injection,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
64,Bounds Check Bypass,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
65,Rogue Data Cache Load,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
66,Speculative Store Bypass,Intel,2018-05-21,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
67,Branch Target Injection,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
68,Bounds Check Bypass,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
69,Rogue Data Cache Load,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
70,Speculative Store Bypass,Intel,2018-05-21,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
71,Branch Target Injection,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
72,Bounds Check Bypass,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
73,Rogue Data Cache Load,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
74,Speculative Store Bypass,Intel,2018-05-21,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
75,Branch Target Injection,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
76,Bounds Check Bypass,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
77,Rogue Data Cache Load,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
78,Speculative Store Bypass,Intel,2018-05-21,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
79,Branch Target Injection,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
80,Bounds Check Bypass,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
81,Rogue Data Cache Load,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
82,Speculative Store Bypass,Intel,2018-05-21,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
83,Branch Target Injection,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
84,Bounds Check Bypass,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
85,Rogue Data Cache Load,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
86,Speculative Store Bypass,Intel,2018-05-21,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
87,Branch Target Injection,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
88,Bounds Check Bypass,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
89,Rogue Data Cache Load,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
90,Speculative Store Bypass,Intel,2018-05-21,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
91,Branch Target Injection,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
92,Bounds Check Bypass,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
93,Rogue Data Cache Load,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
94,Speculative Store Bypass,Intel,2018-05-21,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
95,Branch Target Injection,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
96,Bounds Check Bypass,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
97,Rogue Data Cache Load,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
98,Speculative Store Bypass,Intel,2018-05-21,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
99,Branch Target Injection,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
100,Bounds Check Bypass,Intel,2018-01-03,Vulnerability,High,1000000.0,50.0,CPU Architecture,Zero-Day,Technology,Global,48,External Research,60,No,0.0,0.0,0,-4.0,-2.0,Microcode Updates,Implement Hardware Security,CVE Database
