# Tech Companies Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Company_Name,Industry,Country,Founded_Year,Revenue_Billions_USD,Employees_Count,Market_Cap_Billions_USD,CEO,Main_Products,Headquarters_City,Stock_Symbol,IPO_Year,Funding_Rounds,Total_Funding_Billions_USD
27,Box,Cloud Storage,United States,2005,0.8,2000,3000,Aaron Levie,Cloud Storage Enterprise,Redwood City,BOX,2015,1,0.0
28,Palantir,Data Analytics,United States,2003,1.9,4000,20000,Alex Karp,Data Analytics Software,Denver,PLTR,2020,1,0.0
29,CrowdStrike,Cybersecurity,United States,2011,2.2,8000,50000,George Kurtz,Cybersecurity Software,Austin,CRWD,2019,1,0.0
30,Okta,Identity Management,United States,2009,1.3,5000,15000,Todd McKinnon,Identity Management Software,San Francisco,OKTA,2017,1,0.0
31,Zoom,Video Conferencing,United States,2011,4.1,8000,20000,Eric Yuan,Video Conferencing Software,San Jose,ZM,2019,1,0.0
32,DocuSign,Digital Documents,United States,2003,2.1,7000,15000,Dan Springer,Digital Signature Software,San Francisco,DOCU,2018,1,0.0
33,Twilio,Communication Platform,United States,2008,3.3,8000,20000,Jeff Lawson,Communication APIs,San Francisco,TWLO,2016,1,0.0
34,Atlassian,Software Development,Australia,2002,3.3,8000,100000,Scott Farquhar,Project Management Software,Sydney,TEAM,2015,1,0.0
35,ServiceNow,IT Service Management,United States,2004,7.2,20000,150000,Bill McDermott,IT Service Management Software,Santa Clara,NOW,2012,1,0.0
36,Workday,Human Resources,United States,2005,5.6,15000,50000,Aneel Bhusri,HR Software,Pleasanton,WDAY,2012,1,0.0
37,Splunk,Data Analytics,United States,2003,2.7,8000,25000,Gary Steele,Data Analytics Software,San Francisco,SPLK,2012,1,0.0
38,VMware,Virtualization,United States,1998,13.4,35000,50000,Raghu Raghuram,Virtualization Software,Palo Alto,VMW,2007,1,0.0
39,Red Hat,Open Source Software,United States,1993,4.4,18000,34000,Paul Cormier,Linux Enterprise Software,Raleigh,RHT,1999,1,0.0
40,MongoDB,Database,United States,2007,1.1,5000,20000,Dev Ittycheria,NoSQL Database Software,New York,MDB,2017,1,0.0
41,Elastic,Search Analytics,Netherlands,2012,0.9,2000,8000,Ash Kulkarni,Search Analytics Software,Amsterdam,ESTC,2018,1,0.0
42,Datadog,Monitoring,United States,2010,1.7,5000,30000,Olivier Pomel,Application Monitoring Software,New York,DDOG,2019,1,0.0
43,New Relic,Monitoring,United States,2008,0.9,2000,5000,Bill Staples,Application Performance Monitoring,San Francisco,NEWR,2014,1,0.0
44,Snowflake,Data Warehouse,United States,2012,1.9,5000,50000,Frank Slootman,Cloud Data Warehouse,Bozeman,SNOW,2020,1,0.0
45,Palantir,Data Analytics,United States,2003,1.9,4000,20000,Alex Karp,Data Analytics Software,Denver,PLTR,2020,1,0.0
46,CrowdStrike,Cybersecurity,United States,2011,2.2,8000,50000,George Kurtz,Cybersecurity Software,Austin,CRWD,2019,1,0.0
47,Okta,Identity Management,United States,2009,1.3,5000,15000,Todd McKinnon,Identity Management Software,San Francisco,OKTA,2017,1,0.0
48,Zoom,Video Conferencing,United States,2011,4.1,8000,20000,Eric Yuan,Video Conferencing Software,San Jose,ZM,2019,1,0.0
49,DocuSign,Digital Documents,United States,2003,2.1,7000,15000,Dan Springer,Digital Signature Software,San Francisco,DOCU,2018,1,0.0
50,Twilio,Communication Platform,United States,2008,3.3,8000,20000,Jeff Lawson,Communication APIs,San Francisco,TWLO,2016,1,0.0
51,Atlassian,Software Development,Australia,2002,3.3,8000,100000,Scott Farquhar,Project Management Software,Sydney,TEAM,2015,1,0.0
52,ServiceNow,IT Service Management,United States,2004,7.2,20000,150000,Bill McDermott,IT Service Management Software,Santa Clara,NOW,2012,1,0.0
53,Workday,Human Resources,United States,2005,5.6,15000,50000,Aneel Bhusri,HR Software,Pleasanton,WDAY,2012,1,0.0
54,Splunk,Data Analytics,United States,2003,2.7,8000,25000,Gary Steele,Data Analytics Software,San Francisco,SPLK,2012,1,0.0
55,VMware,Virtualization,United States,1998,13.4,35000,50000,Raghu Raghuram,Virtualization Software,Palo Alto,VMW,2007,1,0.0
56,Red Hat,Open Source Software,United States,1993,4.4,18000,34000,Paul Cormier,Linux Enterprise Software,Raleigh,RHT,1999,1,0.0
57,MongoDB,Database,United States,2007,1.1,5000,20000,Dev Ittycheria,NoSQL Database Software,New York,MDB,2017,1,0.0
58,Elastic,Search Analytics,Netherlands,2012,0.9,2000,8000,Ash Kulkarni,Search Analytics Software,Amsterdam,ESTC,2018,1,0.0
59,Datadog,Monitoring,United States,2010,1.7,5000,30000,Olivier Pomel,Application Monitoring Software,New York,DDOG,2019,1,0.0
60,New Relic,Monitoring,United States,2008,0.9,2000,5000,Bill Staples,Application Performance Monitoring,San Francisco,NEWR,2014,1,0.0
61,Snowflake,Data Warehouse,United States,2012,1.9,5000,50000,Frank Slootman,Cloud Data Warehouse,Bozeman,SNOW,2020,1,0.0
62,Palantir,Data Analytics,United States,2003,1.9,4000,20000,Alex Karp,Data Analytics Software,Denver,PLTR,2020,1,0.0
63,CrowdStrike,Cybersecurity,United States,2011,2.2,8000,50000,George Kurtz,Cybersecurity Software,Austin,CRWD,2019,1,0.0
64,Okta,Identity Management,United States,2009,1.3,5000,15000,Todd McKinnon,Identity Management Software,San Francisco,OKTA,2017,1,0.0
65,Zoom,Video Conferencing,United States,2011,4.1,8000,20000,Eric Yuan,Video Conferencing Software,San Jose,ZM,2019,1,0.0
66,DocuSign,Digital Documents,United States,2003,2.1,7000,15000,Dan Springer,Digital Signature Software,San Francisco,DOCU,2018,1,0.0
67,Twilio,Communication Platform,United States,2008,3.3,8000,20000,Jeff Lawson,Communication APIs,San Francisco,TWLO,2016,1,0.0
68,Atlassian,Software Development,Australia,2002,3.3,8000,100000,Scott Farquhar,Project Management Software,Sydney,TEAM,2015,1,0.0
69,ServiceNow,IT Service Management,United States,2004,7.2,20000,150000,Bill McDermott,IT Service Management Software,Santa Clara,NOW,2012,1,0.0
70,Workday,Human Resources,United States,2005,5.6,15000,50000,Aneel Bhusri,HR Software,Pleasanton,WDAY,2012,1,0.0
71,Splunk,Data Analytics,United States,2003,2.7,8000,25000,Gary Steele,Data Analytics Software,San Francisco,SPLK,2012,1,0.0
72,VMware,Virtualization,United States,1998,13.4,35000,50000,Raghu Raghuram,Virtualization Software,Palo Alto,VMW,2007,1,0.0
73,Red Hat,Open Source Software,United States,1993,4.4,18000,34000,Paul Cormier,Linux Enterprise Software,Raleigh,RHT,1999,1,0.0
74,MongoDB,Database,United States,2007,1.1,5000,20000,Dev Ittycheria,NoSQL Database Software,New York,MDB,2017,1,0.0
75,Elastic,Search Analytics,Netherlands,2012,0.9,2000,8000,Ash Kulkarni,Search Analytics Software,Amsterdam,ESTC,2018,1,0.0
76,Datadog,Monitoring,United States,2010,1.7,5000,30000,Olivier Pomel,Application Monitoring Software,New York,DDOG,2019,1,0.0
77,New Relic,Monitoring,United States,2008,0.9,2000,5000,Bill Staples,Application Performance Monitoring,San Francisco,NEWR,2014,1,0.0
78,Snowflake,Data Warehouse,United States,2012,1.9,5000,50000,Frank Slootman,Cloud Data Warehouse,Bozeman,SNOW,2020,1,0.0
79,Palantir,Data Analytics,United States,2003,1.9,4000,20000,Alex Karp,Data Analytics Software,Denver,PLTR,2020,1,0.0
80,CrowdStrike,Cybersecurity,United States,2011,2.2,8000,50000,George Kurtz,Cybersecurity Software,Austin,CRWD,2019,1,0.0
81,Okta,Identity Management,United States,2009,1.3,5000,15000,Todd McKinnon,Identity Management Software,San Francisco,OKTA,2017,1,0.0
82,Zoom,Video Conferencing,United States,2011,4.1,8000,20000,Eric Yuan,Video Conferencing Software,San Jose,ZM,2019,1,0.0
83,DocuSign,Digital Documents,United States,2003,2.1,7000,15000,Dan Springer,Digital Signature Software,San Francisco,DOCU,2018,1,0.0
84,Twilio,Communication Platform,United States,2008,3.3,8000,20000,Jeff Lawson,Communication APIs,San Francisco,TWLO,2016,1,0.0
85,Atlassian,Software Development,Australia,2002,3.3,8000,100000,Scott Farquhar,Project Management Software,Sydney,TEAM,2015,1,0.0
86,ServiceNow,IT Service Management,United States,2004,7.2,20000,150000,Bill McDermott,IT Service Management Software,Santa Clara,NOW,2012,1,0.0
87,Workday,Human Resources,United States,2005,5.6,15000,50000,Aneel Bhusri,HR Software,Pleasanton,WDAY,2012,1,0.0
88,Splunk,Data Analytics,United States,2003,2.7,8000,25000,Gary Steele,Data Analytics Software,San Francisco,SPLK,2012,1,0.0
89,VMware,Virtualization,United States,1998,13.4,35000,50000,Raghu Raghuram,Virtualization Software,Palo Alto,VMW,2007,1,0.0
90,Red Hat,Open Source Software,United States,1993,4.4,18000,34000,Paul Cormier,Linux Enterprise Software,Raleigh,RHT,1999,1,0.0
91,MongoDB,Database,United States,2007,1.1,5000,20000,Dev Ittycheria,NoSQL Database Software,New York,MDB,2017,1,0.0
92,Elastic,Search Analytics,Netherlands,2012,0.9,2000,8000,Ash Kulkarni,Search Analytics Software,Amsterdam,ESTC,2018,1,0.0
93,Datadog,Monitoring,United States,2010,1.7,5000,30000,Olivier Pomel,Application Monitoring Software,New York,DDOG,2019,1,0.0
94,New Relic,Monitoring,United States,2008,0.9,2000,5000,Bill Staples,Application Performance Monitoring,San Francisco,NEWR,2014,1,0.0
95,Snowflake,Data Warehouse,United States,2012,1.9,5000,50000,Frank Slootman,Cloud Data Warehouse,Bozeman,SNOW,2020,1,0.0
96,Palantir,Data Analytics,United States,2003,1.9,4000,20000,Alex Karp,Data Analytics Software,Denver,PLTR,2020,1,0.0
97,CrowdStrike,Cybersecurity,United States,2011,2.2,8000,50000,George Kurtz,Cybersecurity Software,Austin,CRWD,2019,1,0.0
98,Okta,Identity Management,United States,2009,1.3,5000,15000,Todd McKinnon,Identity Management Software,San Francisco,OKTA,2017,1,0.0
99,Zoom,Video Conferencing,United States,2011,4.1,8000,20000,Eric Yuan,Video Conferencing Software,San Jose,ZM,2019,1,0.0
100,DocuSign,Digital Documents,United States,2003,2.1,7000,15000,Dan Springer,Digital Signature Software,San Francisco,DOCU,2018,1,0.0
