# Internet Usage Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Country,Year,Internet_Users_Millions,Internet_Penetration_Percent,Average_Speed_Mbps,Mobile_Internet_Percent,Broadband_Percent,4G_Coverage_Percent,5G_Coverage_Percent,Data_Usage_GB_Per_User,Total_Data_Consumption_PB,Internet_Infrastructure_Score,Digital_Divide_Score,Government_Support_Score,Private_Investment_Score,Innovation_Index,Cybersecurity_Score,Privacy_Score,Content_Localization_Percent,E_Commerce_Percent,Digital_Payments_Percent,Social_Media_Usage_Percent,Online_Education_Percent,Remote_Work_Percent
63,Nicaragua,2023,4.0,60.0,15.0,85.0,10.0,25.0,2.0,35.0,140.0,2.5,8.5,2.0,1.5,2.0,1.5,1.0,20.0,25.0,15.0,10.0,28.0,23.0
64,Costa Rica,2023,5.0,100.0,50.0,80.0,45.0,65.0,8.0,70.0,350.0,5.5,4.5,5.0,4.5,5.0,4.5,4.0,50.0,55.0,45.0,40.0,48.0,43.0
65,Panama,2023,4.0,95.0,45.0,82.0,40.0,60.0,6.0,65.0,260.0,5.0,5.0,4.5,4.0,4.5,4.0,3.5,45.0,50.0,40.0,35.0,45.0,40.0
66,Dominican Republic,2023,8.0,75.0,35.0,85.0,30.0,45.0,5.0,55.0,440.0,4.5,5.5,4.0,3.5,4.0,3.5,3.0,40.0,45.0,35.0,30.0,42.0,37.0
67,Haiti,2023,3.0,25.0,10.0,80.0,5.0,15.0,1.0,25.0,75.0,1.5,9.5,1.5,1.0,1.5,1.0,0.5,15.0,20.0,10.0,5.0,25.0,20.0
68,Jamaica,2023,3.0,100.0,40.0,80.0,35.0,50.0,4.0,60.0,180.0,4.5,5.5,4.0,3.5,4.0,3.5,3.0,40.0,45.0,35.0,30.0,42.0,37.0
69,Trinidad and Tobago,2023,1.0,75.0,50.0,75.0,45.0,60.0,6.0,70.0,70.0,5.0,5.0,4.5,4.0,4.5,4.0,3.5,45.0,50.0,40.0,35.0,45.0,40.0
70,Barbados,2023,0.3,100.0,60.0,80.0,55.0,70.0,8.0,80.0,24.0,5.5,4.5,5.0,4.5,5.0,4.5,4.0,50.0,55.0,45.0,40.0,48.0,43.0
71,Bahamas,2023,0.4,100.0,55.0,78.0,50.0,65.0,7.0,75.0,30.0,5.2,4.8,4.8,4.2,4.8,4.2,3.7,47.0,52.0,42.0,37.0,45.0,40.0
72,Belize,2023,0.3,80.0,30.0,75.0,25.0,40.0,3.0,50.0,15.0,3.5,6.5,3.0,2.5,3.0,2.5,2.0,30.0,35.0,25.0,20.0,35.0,30.0
73,Guyana,2023,0.6,80.0,25.0,80.0,20.0,35.0,2.0,45.0,27.0,3.0,7.0,2.5,2.0,2.5,2.0,1.5,25.0,30.0,20.0,15.0,32.0,27.0
74,Suriname,2023,0.5,85.0,35.0,78.0,30.0,45.0,3.0,55.0,27.5,3.8,6.2,3.2,2.7,3.2,2.7,2.2,32.0,37.0,27.0,22.0,37.0,32.0
75,French Guiana,2023,0.3,95.0,40.0,75.0,35.0,50.0,4.0,60.0,18.0,4.5,5.5,4.0,3.5,4.0,3.5,3.0,40.0,45.0,35.0,30.0,42.0,37.0
76,Cuba,2023,8.0,70.0,20.0,85.0,15.0,30.0,2.0,40.0,320.0,2.5,7.5,2.0,1.5,2.0,1.5,1.0,20.0,25.0,15.0,10.0,28.0,23.0
77,Jamaica,2023,3.0,100.0,40.0,80.0,35.0,50.0,4.0,60.0,180.0,4.5,5.5,4.0,3.5,4.0,3.5,3.0,40.0,45.0,35.0,30.0,42.0,37.0
78,Trinidad and Tobago,2023,1.0,75.0,50.0,75.0,45.0,60.0,6.0,70.0,70.0,5.0,5.0,4.5,4.0,4.5,4.0,3.5,45.0,50.0,40.0,35.0,45.0,40.0
79,Barbados,2023,0.3,100.0,60.0,80.0,55.0,70.0,8.0,80.0,24.0,5.5,4.5,5.0,4.5,5.0,4.5,4.0,50.0,55.0,45.0,40.0,48.0,43.0
80,Bahamas,2023,0.4,100.0,55.0,78.0,50.0,65.0,7.0,75.0,30.0,5.2,4.8,4.8,4.2,4.8,4.2,3.7,47.0,52.0,42.0,37.0,45.0,40.0
81,Belize,2023,0.3,80.0,30.0,75.0,25.0,40.0,3.0,50.0,15.0,3.5,6.5,3.0,2.5,3.0,2.5,2.0,30.0,35.0,25.0,20.0,35.0,30.0
82,Guyana,2023,0.6,80.0,25.0,80.0,20.0,35.0,2.0,45.0,27.0,3.0,7.0,2.5,2.0,2.5,2.0,1.5,25.0,30.0,20.0,15.0,32.0,27.0
83,Suriname,2023,0.5,85.0,35.0,78.0,30.0,45.0,3.0,55.0,27.5,3.8,6.2,3.2,2.7,3.2,2.7,2.2,32.0,37.0,27.0,22.0,37.0,32.0
84,French Guiana,2023,0.3,95.0,40.0,75.0,35.0,50.0,4.0,60.0,18.0,4.5,5.5,4.0,3.5,4.0,3.5,3.0,40.0,45.0,35.0,30.0,42.0,37.0
85,Cuba,2023,8.0,70.0,20.0,85.0,15.0,30.0,2.0,40.0,320.0,2.5,7.5,2.0,1.5,2.0,1.5,1.0,20.0,25.0,15.0,10.0,28.0,23.0
86,Jamaica,2023,3.0,100.0,40.0,80.0,35.0,50.0,4.0,60.0,180.0,4.5,5.5,4.0,3.5,4.0,3.5,3.0,40.0,45.0,35.0,30.0,42.0,37.0
87,Trinidad and Tobago,2023,1.0,75.0,50.0,75.0,45.0,60.0,6.0,70.0,70.0,5.0,5.0,4.5,4.0,4.5,4.0,3.5,45.0,50.0,40.0,35.0,45.0,40.0
88,Barbados,2023,0.3,100.0,60.0,80.0,55.0,70.0,8.0,80.0,24.0,5.5,4.5,5.0,4.5,5.0,4.5,4.0,50.0,55.0,45.0,40.0,48.0,43.0
89,Bahamas,2023,0.4,100.0,55.0,78.0,50.0,65.0,7.0,75.0,30.0,5.2,4.8,4.8,4.2,4.8,4.2,3.7,47.0,52.0,42.0,37.0,45.0,40.0
90,Belize,2023,0.3,80.0,30.0,75.0,25.0,40.0,3.0,50.0,15.0,3.5,6.5,3.0,2.5,3.0,2.5,2.0,30.0,35.0,25.0,20.0,35.0,30.0
91,Guyana,2023,0.6,80.0,25.0,80.0,20.0,35.0,2.0,45.0,27.0,3.0,7.0,2.5,2.0,2.5,2.0,1.5,25.0,30.0,20.0,15.0,32.0,27.0
92,Suriname,2023,0.5,85.0,35.0,78.0,30.0,45.0,3.0,55.0,27.5,3.8,6.2,3.2,2.7,3.2,2.7,2.2,32.0,37.0,27.0,22.0,37.0,32.0
93,French Guiana,2023,0.3,95.0,40.0,75.0,35.0,50.0,4.0,60.0,18.0,4.5,5.5,4.0,3.5,4.0,3.5,3.0,40.0,45.0,35.0,30.0,42.0,37.0
94,Cuba,2023,8.0,70.0,20.0,85.0,15.0,30.0,2.0,40.0,320.0,2.5,7.5,2.0,1.5,2.0,1.5,1.0,20.0,25.0,15.0,10.0,28.0,23.0
95,Jamaica,2023,3.0,100.0,40.0,80.0,35.0,50.0,4.0,60.0,180.0,4.5,5.5,4.0,3.5,4.0,3.5,3.0,40.0,45.0,35.0,30.0,42.0,37.0
96,Trinidad and Tobago,2023,1.0,75.0,50.0,75.0,45.0,60.0,6.0,70.0,70.0,5.0,5.0,4.5,4.0,4.5,4.0,3.5,45.0,50.0,40.0,35.0,45.0,40.0
97,Barbados,2023,0.3,100.0,60.0,80.0,55.0,70.0,8.0,80.0,24.0,5.5,4.5,5.0,4.5,5.0,4.5,4.0,50.0,55.0,45.0,40.0,48.0,43.0
98,Bahamas,2023,0.4,100.0,55.0,78.0,50.0,65.0,7.0,75.0,30.0,5.2,4.8,4.8,4.2,4.8,4.2,3.7,47.0,52.0,42.0,37.0,45.0,40.0
99,Belize,2023,0.3,80.0,30.0,75.0,25.0,40.0,3.0,50.0,15.0,3.5,6.5,3.0,2.5,3.0,2.5,2.0,30.0,35.0,25.0,20.0,35.0,30.0
100,Guyana,2023,0.6,80.0,25.0,80.0,20.0,35.0,2.0,45.0,27.0,3.0,7.0,2.5,2.0,2.5,2.0,1.5,25.0,30.0,20.0,15.0,32.0,27.0
