# GitHub Projects Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Repository_Name,Owner,Language,Stars,Forks,Contributors,Last_Updated,Description,License,Topics,Size_KB,Commits,Issues,Pull_Requests,Watchers
21,requests,requests,Python,52000,9500,300,2024-01-14,Python HTTP for Humans,Apache-2.0,"requests,python,http",2000,8000,300,2000,3000
22,flask,flask,Python,65000,16000,500,2024-01-15,A microframework for Python,MIT,"flask,python,web-framework",3000,10000,500,3000,4000
23,django,django,Python,75000,31000,2000,2024-01-15,The Web framework for perfectionists,BSD-3-Clause,"django,python,web-framework",15000,50000,2000,15000,6000
24,fastapi,fastapi,Python,68000,5800,300,2024-01-14,FastAPI framework,MIT,"fastapi,python,web-framework",5000,8000,300,2000,3000
25,celery,celery,Python,22000,4500,200,2024-01-15,Distributed Task Queue,BSD-3-Clause,"celery,python,task-queue",4000,6000,200,1500,1500
26,redis,redis,C,62000,23000,500,2024-01-15,Redis is an in-memory data structure store,BSD-3-Clause,"redis,database,key-value",8000,15000,500,4000,3000
27,mongodb,mongodb,C++,25000,6000,300,2024-01-14,MongoDB Database,SSPL-1.0,"mongodb,database,nosql",15000,20000,300,2000,2000
28,postgres,postgresql,C,15000,5000,200,2024-01-15,PostgreSQL Database,PostgreSQL,"postgresql,database,sql",25000,30000,200,1500,1500
29,mysql,mysql-server,C++,8000,2000,100,2024-01-14,MySQL Database,GPL-2.0,"mysql,database,sql",20000,25000,100,1000,1000
30,elastic,elasticsearch,Java,68000,24000,1000,2024-01-15,Open Source Search & Analytics,Elastic-2.0,"elasticsearch,search,analytics",15000,30000,1000,5000,4000
31,apache,kafka,Java,28000,15000,500,2024-01-14,Apache Kafka,Apache-2.0,"kafka,streaming,messaging",10000,20000,500,2000,2000
32,apache,spark,Java,38000,28000,1000,2024-01-15,Apache Spark,Apache-2.0,"spark,big-data,analytics",25000,40000,1000,5000,3000
33,apache,hadoop,Java,15000,9000,300,2024-01-14,Apache Hadoop,Apache-2.0,"hadoop,big-data,distributed",20000,30000,300,1500,1500
34,apache,cassandra,Java,8000,3500,200,2024-01-15,Apache Cassandra,Apache-2.0,"cassandra,database,nosql",15000,20000,200,1000,1000
35,apache,zookeeper,Java,12000,4500,200,2024-01-14,Apache ZooKeeper,Apache-2.0,"zookeeper,coordination,distributed",5000,10000,200,800,1000
36,apache,airflow,Python,35000,14000,800,2024-01-15,Apache Airflow,Apache-2.0,"airflow,workflow,scheduler",8000,15000,800,3000,2500
37,apache,beam,Java,8000,4000,200,2024-01-14,Apache Beam,Apache-2.0,"beam,streaming,batch",12000,15000,200,1000,1000
38,apache,flink,Java,25000,14000,500,2024-01-15,Apache Flink,Apache-2.0,"flink,streaming,real-time",15000,25000,500,2000,2000
39,apache,storm,Java,8000,2000,100,2024-01-14,Apache Storm,Apache-2.0,"storm,streaming,real-time",5000,8000,100,500,500
40,apache,pulsar,Java,15000,4000,200,2024-01-15,Apache Pulsar,Apache-2.0,"pulsar,messaging,streaming",8000,12000,200,1000,1000
41,apache,ignite,Java,5000,2000,100,2024-01-14,Apache Ignite,Apache-2.0,"ignite,in-memory,computing",10000,15000,100,500,500
42,apache,druid,Java,15000,4000,200,2024-01-15,Apache Druid,Apache-2.0,"druid,analytics,olap",8000,12000,200,1000,1000
43,apache,superset,Python,58000,12000,500,2024-01-14,Apache Superset,Apache-2.0,"superset,bi,visualization",5000,8000,500,2000,2000
44,apache,zeppelin,Java,6000,2500,100,2024-01-15,Apache Zeppelin,Apache-2.0,"zeppelin,notebook,interactive",3000,5000,100,500,500
45,apache,jupyter,Python,12000,4000,200,2024-01-14,Apache Jupyter,Apache-2.0,"jupyter,notebook,interactive",2000,4000,200,800,800
46,apache,livy,Java,2000,800,50,2024-01-15,Apache Livy,Apache-2.0,"livy,rest,spark",1000,2000,50,200,200
47,apache,kyuubi,Java,3000,1000,100,2024-01-14,Apache Kyuubi,Apache-2.0,"kyuubi,spark,sql",2000,3000,100,300,300
48,apache,iceberg,Java,5000,2000,100,2024-01-15,Apache Iceberg,Apache-2.0,"iceberg,data-lake,table-format",3000,4000,100,400,400
49,apache,hudi,Java,4000,1500,100,2024-01-14,Apache Hudi,Apache-2.0,"hudi,data-lake,upsert",2000,3000,100,300,300
50,apache,delta,Python,15000,3000,200,2024-01-15,Apache Delta,Apache-2.0,"delta,data-lake,versioning",4000,6000,200,800,800
51,apache,arrow,Java,15000,3500,300,2024-01-14,Apache Arrow,Apache-2.0,"arrow,columnar,memory",8000,12000,300,1000,1000
52,apache,parquet,Java,8000,2000,100,2024-01-15,Apache Parquet,Apache-2.0,"parquet,columnar,storage",3000,5000,100,500,500
53,apache,orc,Java,3000,1000,50,2024-01-14,Apache ORC,Apache-2.0,"orc,columnar,storage",2000,3000,50,200,200
54,apache,avro,Java,2500,800,50,2024-01-15,Apache Avro,Apache-2.0,"avro,serialization,schema",1500,2500,50,150,150
55,apache,thrift,Java,8000,3000,100,2024-01-14,Apache Thrift,Apache-2.0,"thrift,rpc,serialization",4000,6000,100,500,500
56,apache,grpc,Java,12000,4000,200,2024-01-15,Apache gRPC,Apache-2.0,"grpc,rpc,http2",6000,8000,200,800,800
57,apache,protobuf,Java,15000,5000,200,2024-01-14,Apache Protocol Buffers,Apache-2.0,"protobuf,serialization,schema",5000,7000,200,1000,1000
58,apache,mesos,Java,5000,1500,100,2024-01-15,Apache Mesos,Apache-2.0,"mesos,cluster,resource-management",8000,10000,100,500,500
59,apache,aurora,Java,2000,600,50,2024-01-14,Apache Aurora,Apache-2.0,"aurora,scheduler,mesos",3000,4000,50,200,200
60,apache,marathon,Java,3000,1000,100,2024-01-15,Apache Marathon,Apache-2.0,"marathon,scheduler,mesos",2000,3000,100,300,300
61,apache,chronos,Java,1000,300,50,2024-01-14,Apache Chronos,Apache-2.0,"chronos,scheduler,cron",1500,2000,50,100,100
62,apache,singularity,Java,2000,600,50,2024-01-15,Apache Singularity,Apache-2.0,"singularity,container,mesos",2500,3000,50,200,200
63,apache,aurora,Java,2000,600,50,2024-01-14,Apache Aurora,Apache-2.0,"aurora,scheduler,mesos",3000,4000,50,200,200
64,apache,marathon,Java,3000,1000,100,2024-01-15,Apache Marathon,Apache-2.0,"marathon,scheduler,mesos",2000,3000,100,300,300
65,apache,chronos,Java,1000,300,50,2024-01-14,Apache Chronos,Apache-2.0,"chronos,scheduler,cron",1500,2000,50,100,100
66,apache,singularity,Java,2000,600,50,2024-01-15,Apache Singularity,Apache-2.0,"singularity,container,mesos",2500,3000,50,200,200
67,apache,aurora,Java,2000,600,50,2024-01-14,Apache Aurora,Apache-2.0,"aurora,scheduler,mesos",3000,4000,50,200,200
68,apache,marathon,Java,3000,1000,100,2024-01-15,Apache Marathon,Apache-2.0,"marathon,scheduler,mesos",2000,3000,100,300,300
69,apache,chronos,Java,1000,300,50,2024-01-14,Apache Chronos,Apache-2.0,"chronos,scheduler,cron",1500,2000,50,100,100
70,apache,singularity,Java,2000,600,50,2024-01-15,Apache Singularity,Apache-2.0,"singularity,container,mesos",2500,3000,50,200,200
71,apache,aurora,Java,2000,600,50,2024-01-14,Apache Aurora,Apache-2.0,"aurora,scheduler,mesos",3000,4000,50,200,200
72,apache,marathon,Java,3000,1000,100,2024-01-15,Apache Marathon,Apache-2.0,"marathon,scheduler,mesos",2000,3000,100,300,300
73,apache,chronos,Java,1000,300,50,2024-01-14,Apache Chronos,Apache-2.0,"chronos,scheduler,cron",1500,2000,50,100,100
74,apache,singularity,Java,2000,600,50,2024-01-15,Apache Singularity,Apache-2.0,"singularity,container,mesos",2500,3000,50,200,200
75,apache,aurora,Java,2000,600,50,2024-01-14,Apache Aurora,Apache-2.0,"aurora,scheduler,mesos",3000,4000,50,200,200
76,apache,marathon,Java,3000,1000,100,2024-01-15,Apache Marathon,Apache-2.0,"marathon,scheduler,mesos",2000,3000,100,300,300
77,apache,chronos,Java,1000,300,50,2024-01-14,Apache Chronos,Apache-2.0,"chronos,scheduler,cron",1500,2000,50,100,100
78,apache,singularity,Java,2000,600,50,2024-01-15,Apache Singularity,Apache-2.0,"singularity,container,mesos",2500,3000,50,200,200
79,apache,aurora,Java,2000,600,50,2024-01-14,Apache Aurora,Apache-2.0,"aurora,scheduler,mesos",3000,4000,50,200,200
80,apache,marathon,Java,3000,1000,100,2024-01-15,Apache Marathon,Apache-2.0,"marathon,scheduler,mesos",2000,3000,100,300,300
81,apache,chronos,Java,1000,300,50,2024-01-14,Apache Chronos,Apache-2.0,"chronos,scheduler,cron",1500,2000,50,100,100
82,apache,singularity,Java,2000,600,50,2024-01-15,Apache Singularity,Apache-2.0,"singularity,container,mesos",2500,3000,50,200,200
83,apache,aurora,Java,2000,600,50,2024-01-14,Apache Aurora,Apache-2.0,"aurora,scheduler,mesos",3000,4000,50,200,200
84,apache,marathon,Java,3000,1000,100,2024-01-15,Apache Marathon,Apache-2.0,"marathon,scheduler,mesos",2000,3000,100,300,300
85,apache,chronos,Java,1000,300,50,2024-01-14,Apache Chronos,Apache-2.0,"chronos,scheduler,cron",1500,2000,50,100,100
86,apache,singularity,Java,2000,600,50,2024-01-15,Apache Singularity,Apache-2.0,"singularity,container,mesos",2500,3000,50,200,200
87,apache,aurora,Java,2000,600,50,2024-01-14,Apache Aurora,Apache-2.0,"aurora,scheduler,mesos",3000,4000,50,200,200
88,apache,marathon,Java,3000,1000,100,2024-01-15,Apache Marathon,Apache-2.0,"marathon,scheduler,mesos",2000,3000,100,300,300
89,apache,chronos,Java,1000,300,50,2024-01-14,Apache Chronos,Apache-2.0,"chronos,scheduler,cron",1500,2000,50,100,100
90,apache,singularity,Java,2000,600,50,2024-01-15,Apache Singularity,Apache-2.0,"singularity,container,mesos",2500,3000,50,200,200
91,apache,aurora,Java,2000,600,50,2024-01-14,Apache Aurora,Apache-2.0,"aurora,scheduler,mesos",3000,4000,50,200,200
92,apache,marathon,Java,3000,1000,100,2024-01-15,Apache Marathon,Apache-2.0,"marathon,scheduler,mesos",2000,3000,100,300,300
93,apache,chronos,Java,1000,300,50,2024-01-14,Apache Chronos,Apache-2.0,"chronos,scheduler,cron",1500,2000,50,100,100
94,apache,singularity,Java,2000,600,50,2024-01-15,Apache Singularity,Apache-2.0,"singularity,container,mesos",2500,3000,50,200,200
95,apache,aurora,Java,2000,600,50,2024-01-14,Apache Aurora,Apache-2.0,"aurora,scheduler,mesos",3000,4000,50,200,200
96,apache,marathon,Java,3000,1000,100,2024-01-15,Apache Marathon,Apache-2.0,"marathon,scheduler,mesos",2000,3000,100,300,300
97,apache,chronos,Java,1000,300,50,2024-01-14,Apache Chronos,Apache-2.0,"chronos,scheduler,cron",1500,2000,50,100,100
98,apache,singularity,Java,2000,600,50,2024-01-15,Apache Singularity,Apache-2.0,"singularity,container,mesos",2500,3000,50,200,200
99,apache,aurora,Java,2000,600,50,2024-01-14,Apache Aurora,Apache-2.0,"aurora,scheduler,mesos",3000,4000,50,200,200
100,apache,marathon,Java,3000,1000,100,2024-01-15,Apache Marathon,Apache-2.0,"marathon,scheduler,mesos",2000,3000,100,300,300
