# Artists Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Artist_Name,Art_Medium,Nationality,Birth_Year,Death_Year,Art_Movement,Famous_Works,Estimated_Value_Millions_USD,Exhibitions_Count,Museums_Represented,Style_Description
1,Leonardo da Vinci,Painting,Italian,1452,1519,Renaissance,Mona Lisa,Salvator Mundi,850,150,Louvre,Uffizi,Naturalistic
36,Man Ray,Photography,American,1890,1976,Dada,The Gift,Le Violon d'Ingres,1,1,MOMA,Pompidou Centre,Dada
37,Ansel Adams,Photography,American,1902,1984,Landscape Photography,Monolith,The Face of Half Dome,1,1,Ansel Adams Gallery,MOMA,Landscape
38,Henri Cartier-Bresson,Photography,French,1908,2004,Street Photography,Behind the Gare Saint-Lazare,The Decisive Moment,1,1,MOMA,Pompidou Centre,Street
39,Diane Arbus,Photography,American,1923,1971,Documentary Photography,Identical Twins,Child with Toy Hand Grenade,1,1,MOMA,Whitney Museum,Documentary
40,Richard Avedon,Photography,American,1923,2004,Fashion Photography,Dovima with Elephants,In the American West,1,1,MOMA,Whitney Museum,Fashion
41,Helmut Newton,Photography,German,1920,2004,Fashion Photography,Big Nudes,Portraits,1,1,MOMA,Whitney Museum,Fashion
42,Irving Penn,Photography,American,1917,2009,Fashion Photography,Cigarette No. 37,Portraits,1,1,MOMA,Whitney Museum,Fashion
43,Annie Leibovitz,Photography,American,1949,0,Portrait Photography,John Lennon and Yoko Ono,Vanity Fair Portraits,1,1,MOMA,Whitney Museum,Portrait
44,Cindy Sherman,Photography,American,1954,0,Conceptual Photography,Untitled Film Stills,History Portraits,1,1,MOMA,Whitney Museum,Conceptual
45,Andreas Gursky,Photography,German,1955,0,Contemporary Photography,Rhein II,99 Cent,1,1,MOMA,Pompidou Centre,Contemporary
46,Thomas Struth,Photography,German,1954,0,Contemporary Photography,Museum Photographs,Family Portraits,1,1,MOMA,Pompidou Centre,Contemporary
47,Candida Höfer,Photography,German,1944,0,Contemporary Photography,Libraries,Museums,1,1,MOMA,Pompidou Centre,Contemporary
48,Thomas Demand,Photography,German,1964,0,Contemporary Photography,Office,Kitchen,1,1,MOMA,Pompidou Centre,Contemporary
49,Gregory Crewdson,Photography,American,1962,0,Contemporary Photography,Beneath the Roses,Twilight,1,1,MOMA,Whitney Museum,Contemporary
50,Jeff Wall,Photography,Canadian,1946,0,Contemporary Photography,The Destroyed Room,A Sudden Gust of Wind,1,1,MOMA,Tate Modern,Contemporary
51,William Eggleston,Photography,American,1939,0,Color Photography,The Red Ceiling,Troubled Waters,1,1,MOMA,Whitney Museum,Color
52,Stephen Shore,Photography,American,1947,0,Color Photography,Uncommon Places,American Surfaces,1,1,MOMA,Whitney Museum,Color
53,Joel Meyerowitz,Photography,American,1938,0,Color Photography,Cape Light,Aftermath,1,1,MOMA,Whitney Museum,Color
54,Saul Leiter,Photography,American,1923,2013,Color Photography,Early Color,Early Black and White,1,1,MOMA,Whitney Museum,Color
55,Helen Levitt,Photography,American,1913,2009,Street Photography,In the Street,A Way of Seeing,1,1,MOMA,Whitney Museum,Street
56,Garry Winogrand,Photography,American,1928,1984,Street Photography,The Animals,Women are Beautiful,1,1,MOMA,Whitney Museum,Street
57,Lee Friedlander,Photography,American,1934,0,Street Photography,Self Portrait,The American Monument,1,1,MOMA,Whitney Museum,Street
58,Robert Frank,Photography,Swiss-American,1924,2019,Street Photography,The Americans,Black White and Things,1,1,MOMA,Whitney Museum,Street
59,Walker Evans,Photography,American,1903,1975,Documentary Photography,American Photographs,Let Us Now Praise Famous Men,1,1,MOMA,Whitney Museum,Documentary
60,Dorothea Lange,Photography,American,1895,1965,Documentary Photography,Migrant Mother,An American Exodus,1,1,MOMA,Whitney Museum,Documentary
61,Gordon Parks,Photography,American,1912,2006,Documentary Photography,American Gothic,A Choice of Weapons,1,1,MOMA,Whitney Museum,Documentary
62,James Van Der Zee,Photography,American,1886,1983,Portrait Photography,Harlem Renaissance,The Harlem Book of the Dead,1,1,MOMA,Whitney Museum,Portrait
63,Roy DeCarava,Photography,American,1919,2009,Portrait Photography,The Sweet Flypaper of Life,The Sound I Saw,1,1,MOMA,Whitney Museum,Portrait
64,Carrie Mae Weems,Photography,American,1953,0,Conceptual Photography,Kitchen Table Series,From Here I Saw What Happened,1,1,MOMA,Whitney Museum,Conceptual
65,Lorna Simpson,Photography,American,1960,0,Conceptual Photography,Guarded Conditions,Waterbearer,1,1,MOMA,Whitney Museum,Conceptual
66,Catherine Opie,Photography,American,1961,0,Conceptual Photography,Self-Portraits,Portraits,1,1,MOMA,Whitney Museum,Conceptual
67,Nan Goldin,Photography,American,1953,0,Documentary Photography,The Ballad of Sexual Dependency,The Other Side,1,1,MOMA,Whitney Museum,Documentary
68,Sally Mann,Photography,American,1951,0,Documentary Photography,Immediate Family,At Twelve,1,1,MOMA,Whitney Museum,Documentary
69,Richard Misrach,Photography,American,1949,0,Landscape Photography,Desert Cantos,Petrochemical America,1,1,MOMA,Whitney Museum,Landscape
70,Robert Adams,Photography,American,1937,0,Landscape Photography,The New West,Denver,1,1,MOMA,Whitney Museum,Landscape
71,Lewis Baltz,Photography,American,1945,2014,Landscape Photography,The New Industrial Parks,San Quentin Point,1,1,MOMA,Whitney Museum,Landscape
72,Stephen Shore,Photography,American,1947,0,Landscape Photography,Uncommon Places,American Surfaces,1,1,MOMA,Whitney Museum,Landscape
73,Joel Sternfeld,Photography,American,1944,0,Landscape Photography,American Prospects,On This Site,1,1,MOMA,Whitney Museum,Landscape
74,Mark Klett,Photography,American,1952,0,Landscape Photography,Second View,Reconstructing the View,1,1,MOMA,Whitney Museum,Landscape
75,Byron Wolfe,Photography,American,1967,0,Landscape Photography,Reconstructing the View,Second View,1,1,MOMA,Whitney Museum,Landscape
76,Mark Ruwedel,Photography,American,1954,0,Landscape Photography,Westward the Course of Empire,Desert Canto,1,1,MOMA,Whitney Museum,Landscape
77,David Maisel,Photography,American,1961,0,Landscape Photography,The Lake Project,Black Maps,1,1,MOMA,Whitney Museum,Landscape
78,Edward Burtynsky,Photography,Canadian,1955,0,Landscape Photography,Manufactured Landscapes,Water,1,1,MOMA,Tate Modern,Landscape
79,Andreas Gursky,Photography,German,1955,0,Landscape Photography,Rhein II,99 Cent,1,1,MOMA,Pompidou Centre,Landscape
80,Thomas Struth,Photography,German,1954,0,Landscape Photography,Museum Photographs,Family Portraits,1,1,MOMA,Pompidou Centre,Landscape
81,Candida Höfer,Photography,German,1944,0,Landscape Photography,Libraries,Museums,1,1,MOMA,Pompidou Centre,Landscape
82,Thomas Demand,Photography,German,1964,0,Landscape Photography,Office,Kitchen,1,1,MOMA,Pompidou Centre,Landscape
83,Gregory Crewdson,Photography,American,1962,0,Landscape Photography,Beneath the Roses,Twilight,1,1,MOMA,Whitney Museum,Landscape
84,Jeff Wall,Photography,Canadian,1946,0,Landscape Photography,The Destroyed Room,A Sudden Gust of Wind,1,1,MOMA,Tate Modern,Landscape
85,William Eggleston,Photography,American,1939,0,Landscape Photography,The Red Ceiling,Troubled Waters,1,1,MOMA,Whitney Museum,Landscape
86,Stephen Shore,Photography,American,1947,0,Landscape Photography,Uncommon Places,American Surfaces,1,1,MOMA,Whitney Museum,Landscape
87,Joel Meyerowitz,Photography,American,1938,0,Landscape Photography,Cape Light,Aftermath,1,1,MOMA,Whitney Museum,Landscape
88,Saul Leiter,Photography,American,1923,2013,Landscape Photography,Early Color,Early Black and White,1,1,MOMA,Whitney Museum,Landscape
89,Helen Levitt,Photography,American,1913,2009,Landscape Photography,In the Street,A Way of Seeing,1,1,MOMA,Whitney Museum,Landscape
90,Garry Winogrand,Photography,American,1928,1984,Landscape Photography,The Animals,Women are Beautiful,1,1,MOMA,Whitney Museum,Landscape
91,Lee Friedlander,Photography,American,1934,0,Landscape Photography,Self Portrait,The American Monument,1,1,MOMA,Whitney Museum,Landscape
92,Robert Frank,Photography,Swiss-American,1924,2019,Landscape Photography,The Americans,Black White and Things,1,1,MOMA,Whitney Museum,Landscape
93,Walker Evans,Photography,American,1903,1975,Landscape Photography,American Photographs,Let Us Now Praise Famous Men,1,1,MOMA,Whitney Museum,Landscape
94,Dorothea Lange,Photography,American,1895,1965,Landscape Photography,Migrant Mother,An American Exodus,1,1,MOMA,Whitney Museum,Landscape
95,Gordon Parks,Photography,American,1912,2006,Landscape Photography,American Gothic,A Choice of Weapons,1,1,MOMA,Whitney Museum,Landscape
96,James Van Der Zee,Photography,American,1886,1983,Landscape Photography,Harlem Renaissance,The Harlem Book of the Dead,1,1,MOMA,Whitney Museum,Landscape
97,Roy DeCarava,Photography,American,1919,2009,Landscape Photography,The Sweet Flypaper of Life,The Sound I Saw,1,1,MOMA,Whitney Museum,Landscape
98,Carrie Mae Weems,Photography,American,1953,0,Landscape Photography,Kitchen Table Series,From Here I Saw What Happened,1,1,MOMA,Whitney Museum,Landscape
99,Lorna Simpson,Photography,American,1960,0,Landscape Photography,Guarded Conditions,Waterbearer,1,1,MOMA,Whitney Museum,Landscape
100,Catherine Opie,Photography,American,1961,0,Landscape Photography,Self-Portraits,Portraits,1,1,MOMA,Whitney Museum,Landscape
