# Electric Vehicles Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Model,Manufacturer,Year,Price_USD,Battery_Capacity_kWh,Range_Miles,Charging_Time_Hours,Top_Speed_MPH,Acceleration_0_60_Seconds,Weight_Lbs,Seating_Capacity,Body_Style,Country_Origin,Production_Status
25,Taycan,Porsche,2023,82250,93.4,201,9,161,5.1,5080,4,Sedan,Germany,Production
26,Macan EV,Porsche,2024,80450,100,300,11,136,4.5,5200,5,SUV,Germany,Production
27,Lucid Air,Lucid,2023,77400,112,516,11,168,3.0,5162,5,Sedan,United States,Production
28,Rivian R1T,Rivian,2023,73000,135,314,11,115,3.0,7173,5,Truck,United States,Production
29,Rivian R1S,Rivian,2023,78000,135,316,11,115,3.0,7173,7,SUV,United States,Production
30,Fisker Ocean,Fisker,2023,37499,80,250,7,100,6.9,4400,5,SUV,United States,Production
31,Model S,Tesla,2023,94990,100,405,10,200,3.1,4561,5,Sedan,United States,Production
32,Model 3,Tesla,2023,40240,75,358,8,162,4.2,3549,5,Sedan,United States,Production
33,Model X,Tesla,2023,108990,100,348,10,155,3.8,5181,7,SUV,United States,Production
34,Model Y,Tesla,2023,47740,75,330,8,135,4.8,4416,7,SUV,United States,Production
35,iX,BMW,2023,83900,111.5,324,11,124,4.6,5661,5,SUV,Germany,Production
36,i4,BMW,2023,55400,83.9,301,8,118,5.5,4780,5,Sedan,Germany,Production
37,EQS,Mercedes-Benz,2023,102310,107.8,453,11,130,4.1,5467,5,Sedan,Germany,Production
38,EQC,Mercedes-Benz,2023,67900,80,259,10,112,5.1,5071,5,SUV,Germany,Production
39,e-tron,Audi,2023,66995,95,222,9,124,5.5,5467,5,SUV,Germany,Production
40,e-tron GT,Audi,2023,106500,93.4,238,9,152,3.9,5168,4,Sedan,Germany,Production
41,Ioniq 5,Hyundai,2023,41450,77.4,303,7,115,5.2,4300,5,SUV,South Korea,Production
42,Kona Electric,Hyundai,2023,33950,64,258,6,104,7.6,3748,5,SUV,South Korea,Production
43,EV6,Kia,2023,42015,77.4,310,7,115,5.2,4300,5,SUV,South Korea,Production
44,Niro EV,Kia,2023,39450,64,239,6,104,7.8,3748,5,SUV,South Korea,Production
45,Leaf,Nissan,2023,28140,40,149,8,90,7.4,3537,5,Hatchback,Japan,Production
46,Ariya,Nissan,2023,43190,87,304,9,100,7.5,4300,5,SUV,Japan,Production
47,Mustang Mach-E,Ford,2023,47995,88,312,8,124,3.8,4398,5,SUV,United States,Production
48,F-150 Lightning,Ford,2023,59974,131,320,8,112,4.4,6000,5,Truck,United States,Production
49,Bolt EV,Chevrolet,2023,25995,65,259,7,92,6.5,3583,5,Hatchback,United States,Production
50,Bolt EUV,Chevrolet,2023,27995,65,247,7,92,7.0,3684,5,SUV,United States,Production
51,ID.4,Volkswagen,2023,38995,82,275,7,100,7.7,4563,5,SUV,Germany,Production
52,ID.3,Volkswagen,2023,39995,58,263,6,99,7.3,3780,5,Hatchback,Germany,Production
53,Polestar 2,Polestar,2023,48300,78,270,8,127,4.7,4688,5,Sedan,Sweden,Production
54,XC40 Recharge,Volvo,2023,53950,78,223,8,112,4.9,4688,5,SUV,Sweden,Production
55,Taycan,Porsche,2023,82250,93.4,201,9,161,5.1,5080,4,Sedan,Germany,Production
56,Macan EV,Porsche,2024,80450,100,300,11,136,4.5,5200,5,SUV,Germany,Production
57,Lucid Air,Lucid,2023,77400,112,516,11,168,3.0,5162,5,Sedan,United States,Production
58,Rivian R1T,Rivian,2023,73000,135,314,11,115,3.0,7173,5,Truck,United States,Production
59,Rivian R1S,Rivian,2023,78000,135,316,11,115,3.0,7173,7,SUV,United States,Production
60,Fisker Ocean,Fisker,2023,37499,80,250,7,100,6.9,4400,5,SUV,United States,Production
61,Model S,Tesla,2023,94990,100,405,10,200,3.1,4561,5,Sedan,United States,Production
62,Model 3,Tesla,2023,40240,75,358,8,162,4.2,3549,5,Sedan,United States,Production
63,Model X,Tesla,2023,108990,100,348,10,155,3.8,5181,7,SUV,United States,Production
64,Model Y,Tesla,2023,47740,75,330,8,135,4.8,4416,7,SUV,United States,Production
65,iX,BMW,2023,83900,111.5,324,11,124,4.6,5661,5,SUV,Germany,Production
66,i4,BMW,2023,55400,83.9,301,8,118,5.5,4780,5,Sedan,Germany,Production
67,EQS,Mercedes-Benz,2023,102310,107.8,453,11,130,4.1,5467,5,Sedan,Germany,Production
68,EQC,Mercedes-Benz,2023,67900,80,259,10,112,5.1,5071,5,SUV,Germany,Production
69,e-tron,Audi,2023,66995,95,222,9,124,5.5,5467,5,SUV,Germany,Production
70,e-tron GT,Audi,2023,106500,93.4,238,9,152,3.9,5168,4,Sedan,Germany,Production
71,Ioniq 5,Hyundai,2023,41450,77.4,303,7,115,5.2,4300,5,SUV,South Korea,Production
72,Kona Electric,Hyundai,2023,33950,64,258,6,104,7.6,3748,5,SUV,South Korea,Production
73,EV6,Kia,2023,42015,77.4,310,7,115,5.2,4300,5,SUV,South Korea,Production
74,Niro EV,Kia,2023,39450,64,239,6,104,7.8,3748,5,SUV,South Korea,Production
75,Leaf,Nissan,2023,28140,40,149,8,90,7.4,3537,5,Hatchback,Japan,Production
76,Ariya,Nissan,2023,43190,87,304,9,100,7.5,4300,5,SUV,Japan,Production
77,Mustang Mach-E,Ford,2023,47995,88,312,8,124,3.8,4398,5,SUV,United States,Production
78,F-150 Lightning,Ford,2023,59974,131,320,8,112,4.4,6000,5,Truck,United States,Production
79,Bolt EV,Chevrolet,2023,25995,65,259,7,92,6.5,3583,5,Hatchback,United States,Production
80,Bolt EUV,Chevrolet,2023,27995,65,247,7,92,7.0,3684,5,SUV,United States,Production
81,ID.4,Volkswagen,2023,38995,82,275,7,100,7.7,4563,5,SUV,Germany,Production
82,ID.3,Volkswagen,2023,39995,58,263,6,99,7.3,3780,5,Hatchback,Germany,Production
83,Polestar 2,Polestar,2023,48300,78,270,8,127,4.7,4688,5,Sedan,Sweden,Production
84,XC40 Recharge,Volvo,2023,53950,78,223,8,112,4.9,4688,5,SUV,Sweden,Production
85,Taycan,Porsche,2023,82250,93.4,201,9,161,5.1,5080,4,Sedan,Germany,Production
86,Macan EV,Porsche,2024,80450,100,300,11,136,4.5,5200,5,SUV,Germany,Production
87,Lucid Air,Lucid,2023,77400,112,516,11,168,3.0,5162,5,Sedan,United States,Production
88,Rivian R1T,Rivian,2023,73000,135,314,11,115,3.0,7173,5,Truck,United States,Production
89,Rivian R1S,Rivian,2023,78000,135,316,11,115,3.0,7173,7,SUV,United States,Production
90,Fisker Ocean,Fisker,2023,37499,80,250,7,100,6.9,4400,5,SUV,United States,Production
91,Model S,Tesla,2023,94990,100,405,10,200,3.1,4561,5,Sedan,United States,Production
92,Model 3,Tesla,2023,40240,75,358,8,162,4.2,3549,5,Sedan,United States,Production
93,Model X,Tesla,2023,108990,100,348,10,155,3.8,5181,7,SUV,United States,Production
94,Model Y,Tesla,2023,47740,75,330,8,135,4.8,4416,7,SUV,United States,Production
95,iX,BMW,2023,83900,111.5,324,11,124,4.6,5661,5,SUV,Germany,Production
96,i4,BMW,2023,55400,83.9,301,8,118,5.5,4780,5,Sedan,Germany,Production
97,EQS,Mercedes-Benz,2023,102310,107.8,453,11,130,4.1,5467,5,Sedan,Germany,Production
98,EQC,Mercedes-Benz,2023,67900,80,259,10,112,5.1,5071,5,SUV,Germany,Production
99,e-tron,Audi,2023,66995,95,222,9,124,5.5,5467,5,SUV,Germany,Production
100,e-tron GT,Audi,2023,106500,93.4,238,9,152,3.9,5168,4,Sedan,Germany,Production
