33,Philippines AirAsia,Philippines,Manila Ninoy Aquino,60,40,15,2.0,6000,2011,7,None,Airbus A320
34,India AirAsia,India,Bangalore,80,60,20,3.0,8000,2013,7,None,Airbus A320
35,Japan AirAsia,Japan,Tokyo Narita,40,30,10,1.0,4000,2012,7,None,Airbus A320
36,VietJet Air,Vietnam,Ho Chi Minh City,80,60,20,3.0,10000,2011,7,None,Airbus A320,321
37,Bamboo Airways,Vietnam,Hanoi Noi Bai,30,20,5,1.0,3000,2017,6,None,Airbus A320,321
38,Pacific Airlines,Vietnam,Ho Chi Minh City,20,15,3,0.5,2000,1991,6,None,Boeing 737
39,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
40,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
41,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
42,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
43,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
44,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
45,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
46,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
47,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
48,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
49,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
50,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
51,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
52,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
53,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
54,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
55,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
56,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
57,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
58,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
59,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
60,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
61,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
62,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
63,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
64,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
65,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
66,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
67,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
68,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
69,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
70,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
71,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
72,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
73,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
74,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
75,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
76,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
77,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
78,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
79,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
80,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
81,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
82,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
83,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
84,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
85,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
86,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
87,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
88,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
89,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
90,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
91,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
92,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
93,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
94,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
95,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
96,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
97,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
98,Vietnam Airlines,Vietnam,Da Nang,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
99,Vietnam Airlines,Vietnam,Ho Chi Minh City,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
100,Vietnam Airlines,Vietnam,Hanoi Noi Bai,100,80,25,5.0,20000,1956,7,SkyTeam,Boeing 777,787,Airbus A350
