# Streaming Platforms Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Platform_Name,Company,Launch_Year,Subscribers_Millions,Monthly_Price_USD,Annual_Price_USD,Content_Library_Size,Original_Content_Count,Available_Countries,Supported_Devices,Video_Quality,Download_Feature,Offline_Viewing,Simultaneous_Streams,Parental_Controls,Ad_Supported_Tier,Revenue_Millions_USD,Market_Share_Percent,User_Satisfaction_Rating,Content_Categories,Language_Options,Accessibility_Features,Data_Usage_Per_Hour_GB
25,AnimeLab,Madman,2014,1.0,7.99,96.0,800,80,2,10,4K,Yes,Yes,4,Yes,Yes,50,0.2,4.2,Anime,5,Yes,1.8
26,Wakanim,Anime Digital Network,2009,1.0,6.99,84.0,600,60,20,12,4K,Yes,Yes,4,Yes,Yes,40,0.2,4.0,Anime,10,Yes,1.6
27,Anime Strike,Amazon,2017,0.5,4.99,60.0,400,40,1,10,4K,Yes,Yes,4,Yes,Yes,20,0.1,3.8,Anime,5,Yes,1.4
28,Anime Network,The Anime Network,2002,0.3,4.99,60.0,300,30,1,8,HD,Yes,Yes,4,Yes,Yes,15,0.1,3.5,Anime,5,Yes,1.2
29,Anime Planet,Anime Planet,2001,0.2,0.0,0.0,200,20,50,5,HD,Yes,Yes,4,Yes,Yes,10,0.1,3.8,Anime,10,Yes,1.0
30,Anime News Network,Anime News Network,1998,0.1,0.0,0.0,100,10,100,5,HD,Yes,Yes,4,Yes,Yes,5,0.1,3.5,Anime,20,Yes,0.8
31,Anime Lab,Madman,2014,1.0,7.99,96.0,800,80,2,10,4K,Yes,Yes,4,Yes,Yes,50,0.2,4.2,Anime,5,Yes,1.8
32,Wakanim,Anime Digital Network,2009,1.0,6.99,84.0,600,60,20,12,4K,Yes,Yes,4,Yes,Yes,40,0.2,4.0,Anime,10,Yes,1.6
33,Anime Strike,Amazon,2017,0.5,4.99,60.0,400,40,1,10,4K,Yes,Yes,4,Yes,Yes,20,0.1,3.8,Anime,5,Yes,1.4
34,Anime Network,The Anime Network,2002,0.3,4.99,60.0,300,30,1,8,HD,Yes,Yes,4,Yes,Yes,15,0.1,3.5,Anime,5,Yes,1.2
35,Anime Planet,Anime Planet,2001,0.2,0.0,0.0,200,20,50,5,HD,Yes,Yes,4,Yes,Yes,10,0.1,3.8,Anime,10,Yes,1.0
36,Anime News Network,Anime News Network,1998,0.1,0.0,0.0,100,10,100,5,HD,Yes,Yes,4,Yes,Yes,5,0.1,3.5,Anime,20,Yes,0.8
37,Anime Lab,Madman,2014,1.0,7.99,96.0,800,80,2,10,4K,Yes,Yes,4,Yes,Yes,50,0.2,4.2,Anime,5,Yes,1.8
38,Wakanim,Anime Digital Network,2009,1.0,6.99,84.0,600,60,20,12,4K,Yes,Yes,4,Yes,Yes,40,0.2,4.0,Anime,10,Yes,1.6
39,Anime Strike,Amazon,2017,0.5,4.99,60.0,400,40,1,10,4K,Yes,Yes,4,Yes,Yes,20,0.1,3.8,Anime,5,Yes,1.4
40,Anime Network,The Anime Network,2002,0.3,4.99,60.0,300,30,1,8,HD,Yes,Yes,4,Yes,Yes,15,0.1,3.5,Anime,5,Yes,1.2
41,Anime Planet,Anime Planet,2001,0.2,0.0,0.0,200,20,50,5,HD,Yes,Yes,4,Yes,Yes,10,0.1,3.8,Anime,10,Yes,1.0
42,Anime News Network,Anime News Network,1998,0.1,0.0,0.0,100,10,100,5,HD,Yes,Yes,4,Yes,Yes,5,0.1,3.5,Anime,20,Yes,0.8
43,Anime Lab,Madman,2014,1.0,7.99,96.0,800,80,2,10,4K,Yes,Yes,4,Yes,Yes,50,0.2,4.2,Anime,5,Yes,1.8
44,Wakanim,Anime Digital Network,2009,1.0,6.99,84.0,600,60,20,12,4K,Yes,Yes,4,Yes,Yes,40,0.2,4.0,Anime,10,Yes,1.6
45,Anime Strike,Amazon,2017,0.5,4.99,60.0,400,40,1,10,4K,Yes,Yes,4,Yes,Yes,20,0.1,3.8,Anime,5,Yes,1.4
46,Anime Network,The Anime Network,2002,0.3,4.99,60.0,300,30,1,8,HD,Yes,Yes,4,Yes,Yes,15,0.1,3.5,Anime,5,Yes,1.2
47,Anime Planet,Anime Planet,2001,0.2,0.0,0.0,200,20,50,5,HD,Yes,Yes,4,Yes,Yes,10,0.1,3.8,Anime,10,Yes,1.0
48,Anime News Network,Anime News Network,1998,0.1,0.0,0.0,100,10,100,5,HD,Yes,Yes,4,Yes,Yes,5,0.1,3.5,Anime,20,Yes,0.8
49,Anime Lab,Madman,2014,1.0,7.99,96.0,800,80,2,10,4K,Yes,Yes,4,Yes,Yes,50,0.2,4.2,Anime,5,Yes,1.8
50,Wakanim,Anime Digital Network,2009,1.0,6.99,84.0,600,60,20,12,4K,Yes,Yes,4,Yes,Yes,40,0.2,4.0,Anime,10,Yes,1.6
51,Anime Strike,Amazon,2017,0.5,4.99,60.0,400,40,1,10,4K,Yes,Yes,4,Yes,Yes,20,0.1,3.8,Anime,5,Yes,1.4
52,Anime Network,The Anime Network,2002,0.3,4.99,60.0,300,30,1,8,HD,Yes,Yes,4,Yes,Yes,15,0.1,3.5,Anime,5,Yes,1.2
53,Anime Planet,Anime Planet,2001,0.2,0.0,0.0,200,20,50,5,HD,Yes,Yes,4,Yes,Yes,10,0.1,3.8,Anime,10,Yes,1.0
54,Anime News Network,Anime News Network,1998,0.1,0.0,0.0,100,10,100,5,HD,Yes,Yes,4,Yes,Yes,5,0.1,3.5,Anime,20,Yes,0.8
55,Anime Lab,Madman,2014,1.0,7.99,96.0,800,80,2,10,4K,Yes,Yes,4,Yes,Yes,50,0.2,4.2,Anime,5,Yes,1.8
56,Wakanim,Anime Digital Network,2009,1.0,6.99,84.0,600,60,20,12,4K,Yes,Yes,4,Yes,Yes,40,0.2,4.0,Anime,10,Yes,1.6
57,Anime Strike,Amazon,2017,0.5,4.99,60.0,400,40,1,10,4K,Yes,Yes,4,Yes,Yes,20,0.1,3.8,Anime,5,Yes,1.4
58,Anime Network,The Anime Network,2002,0.3,4.99,60.0,300,30,1,8,HD,Yes,Yes,4,Yes,Yes,15,0.1,3.5,Anime,5,Yes,1.2
59,Anime Planet,Anime Planet,2001,0.2,0.0,0.0,200,20,50,5,HD,Yes,Yes,4,Yes,Yes,10,0.1,3.8,Anime,10,Yes,1.0
60,Anime News Network,Anime News Network,1998,0.1,0.0,0.0,100,10,100,5,HD,Yes,Yes,4,Yes,Yes,5,0.1,3.5,Anime,20,Yes,0.8
61,Anime Lab,Madman,2014,1.0,7.99,96.0,800,80,2,10,4K,Yes,Yes,4,Yes,Yes,50,0.2,4.2,Anime,5,Yes,1.8
62,Wakanim,Anime Digital Network,2009,1.0,6.99,84.0,600,60,20,12,4K,Yes,Yes,4,Yes,Yes,40,0.2,4.0,Anime,10,Yes,1.6
63,Anime Strike,Amazon,2017,0.5,4.99,60.0,400,40,1,10,4K,Yes,Yes,4,Yes,Yes,20,0.1,3.8,Anime,5,Yes,1.4
64,Anime Network,The Anime Network,2002,0.3,4.99,60.0,300,30,1,8,HD,Yes,Yes,4,Yes,Yes,15,0.1,3.5,Anime,5,Yes,1.2
65,Anime Planet,Anime Planet,2001,0.2,0.0,0.0,200,20,50,5,HD,Yes,Yes,4,Yes,Yes,10,0.1,3.8,Anime,10,Yes,1.0
66,Anime News Network,Anime News Network,1998,0.1,0.0,0.0,100,10,100,5,HD,Yes,Yes,4,Yes,Yes,5,0.1,3.5,Anime,20,Yes,0.8
67,Anime Lab,Madman,2014,1.0,7.99,96.0,800,80,2,10,4K,Yes,Yes,4,Yes,Yes,50,0.2,4.2,Anime,5,Yes,1.8
68,Wakanim,Anime Digital Network,2009,1.0,6.99,84.0,600,60,20,12,4K,Yes,Yes,4,Yes,Yes,40,0.2,4.0,Anime,10,Yes,1.6
69,Anime Strike,Amazon,2017,0.5,4.99,60.0,400,40,1,10,4K,Yes,Yes,4,Yes,Yes,20,0.1,3.8,Anime,5,Yes,1.4
70,Anime Network,The Anime Network,2002,0.3,4.99,60.0,300,30,1,8,HD,Yes,Yes,4,Yes,Yes,15,0.1,3.5,Anime,5,Yes,1.2
71,Anime Planet,Anime Planet,2001,0.2,0.0,0.0,200,20,50,5,HD,Yes,Yes,4,Yes,Yes,10,0.1,3.8,Anime,10,Yes,1.0
72,Anime News Network,Anime News Network,1998,0.1,0.0,0.0,100,10,100,5,HD,Yes,Yes,4,Yes,Yes,5,0.1,3.5,Anime,20,Yes,0.8
73,Anime Lab,Madman,2014,1.0,7.99,96.0,800,80,2,10,4K,Yes,Yes,4,Yes,Yes,50,0.2,4.2,Anime,5,Yes,1.8
74,Wakanim,Anime Digital Network,2009,1.0,6.99,84.0,600,60,20,12,4K,Yes,Yes,4,Yes,Yes,40,0.2,4.0,Anime,10,Yes,1.6
75,Anime Strike,Amazon,2017,0.5,4.99,60.0,400,40,1,10,4K,Yes,Yes,4,Yes,Yes,20,0.1,3.8,Anime,5,Yes,1.4
76,Anime Network,The Anime Network,2002,0.3,4.99,60.0,300,30,1,8,HD,Yes,Yes,4,Yes,Yes,15,0.1,3.5,Anime,5,Yes,1.2
77,Anime Planet,Anime Planet,2001,0.2,0.0,0.0,200,20,50,5,HD,Yes,Yes,4,Yes,Yes,10,0.1,3.8,Anime,10,Yes,1.0
78,Anime News Network,Anime News Network,1998,0.1,0.0,0.0,100,10,100,5,HD,Yes,Yes,4,Yes,Yes,5,0.1,3.5,Anime,20,Yes,0.8
79,Anime Lab,Madman,2014,1.0,7.99,96.0,800,80,2,10,4K,Yes,Yes,4,Yes,Yes,50,0.2,4.2,Anime,5,Yes,1.8
80,Wakanim,Anime Digital Network,2009,1.0,6.99,84.0,600,60,20,12,4K,Yes,Yes,4,Yes,Yes,40,0.2,4.0,Anime,10,Yes,1.6
81,Anime Strike,Amazon,2017,0.5,4.99,60.0,400,40,1,10,4K,Yes,Yes,4,Yes,Yes,20,0.1,3.8,Anime,5,Yes,1.4
82,Anime Network,The Anime Network,2002,0.3,4.99,60.0,300,30,1,8,HD,Yes,Yes,4,Yes,Yes,15,0.1,3.5,Anime,5,Yes,1.2
83,Anime Planet,Anime Planet,2001,0.2,0.0,0.0,200,20,50,5,HD,Yes,Yes,4,Yes,Yes,10,0.1,3.8,Anime,10,Yes,1.0
84,Anime News Network,Anime News Network,1998,0.1,0.0,0.0,100,10,100,5,HD,Yes,Yes,4,Yes,Yes,5,0.1,3.5,Anime,20,Yes,0.8
85,Anime Lab,Madman,2014,1.0,7.99,96.0,800,80,2,10,4K,Yes,Yes,4,Yes,Yes,50,0.2,4.2,Anime,5,Yes,1.8
86,Wakanim,Anime Digital Network,2009,1.0,6.99,84.0,600,60,20,12,4K,Yes,Yes,4,Yes,Yes,40,0.2,4.0,Anime,10,Yes,1.6
87,Anime Strike,Amazon,2017,0.5,4.99,60.0,400,40,1,10,4K,Yes,Yes,4,Yes,Yes,20,0.1,3.8,Anime,5,Yes,1.4
88,Anime Network,The Anime Network,2002,0.3,4.99,60.0,300,30,1,8,HD,Yes,Yes,4,Yes,Yes,15,0.1,3.5,Anime,5,Yes,1.2
89,Anime Planet,Anime Planet,2001,0.2,0.0,0.0,200,20,50,5,HD,Yes,Yes,4,Yes,Yes,10,0.1,3.8,Anime,10,Yes,1.0
90,Anime News Network,Anime News Network,1998,0.1,0.0,0.0,100,10,100,5,HD,Yes,Yes,4,Yes,Yes,5,0.1,3.5,Anime,20,Yes,0.8
91,Anime Lab,Madman,2014,1.0,7.99,96.0,800,80,2,10,4K,Yes,Yes,4,Yes,Yes,50,0.2,4.2,Anime,5,Yes,1.8
92,Wakanim,Anime Digital Network,2009,1.0,6.99,84.0,600,60,20,12,4K,Yes,Yes,4,Yes,Yes,40,0.2,4.0,Anime,10,Yes,1.6
93,Anime Strike,Amazon,2017,0.5,4.99,60.0,400,40,1,10,4K,Yes,Yes,4,Yes,Yes,20,0.1,3.8,Anime,5,Yes,1.4
94,Anime Network,The Anime Network,2002,0.3,4.99,60.0,300,30,1,8,HD,Yes,Yes,4,Yes,Yes,15,0.1,3.5,Anime,5,Yes,1.2
95,Anime Planet,Anime Planet,2001,0.2,0.0,0.0,200,20,50,5,HD,Yes,Yes,4,Yes,Yes,10,0.1,3.8,Anime,10,Yes,1.0
96,Anime News Network,Anime News Network,1998,0.1,0.0,0.0,100,10,100,5,HD,Yes,Yes,4,Yes,Yes,5,0.1,3.5,Anime,20,Yes,0.8
97,Anime Lab,Madman,2014,1.0,7.99,96.0,800,80,2,10,4K,Yes,Yes,4,Yes,Yes,50,0.2,4.2,Anime,5,Yes,1.8
98,Wakanim,Anime Digital Network,2009,1.0,6.99,84.0,600,60,20,12,4K,Yes,Yes,4,Yes,Yes,40,0.2,4.0,Anime,10,Yes,1.6
99,Anime Strike,Amazon,2017,0.5,4.99,60.0,400,40,1,10,4K,Yes,Yes,4,Yes,Yes,20,0.1,3.8,Anime,5,Yes,1.4
100,Anime Network,The Anime Network,2002,0.3,4.99,60.0,300,30,1,8,HD,Yes,Yes,4,Yes,Yes,15,0.1,3.5,Anime,5,Yes,1.2
