# Theater Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Play_Name,Playwright,Theater_Name,City,Country,Opening_Date,Closing_Date,Performances_Count,Attendance_Total,Average_Attendance_Per_Show,Ticket_Price_Range_USD,Genre,Language,Duration_Minutes,Critical_Rating_Out_Of_10
60,You Can't Take It With You,Moss Hart,Longacre Theatre,New York,United States,2014-09-28,2015-02-22,208,166400,800,100-200,Play,English,130,8.5
61,The River,Jez Butterworth,Circle in the Square Theatre,New York,United States,2014-11-16,2015-02-08,96,76800,800,100-200,Play,English,90,7.8
62,The Elephant Man,Bernard Pomerance,Booth Theatre,New York,United States,2014-12-07,2015-02-22,77,61600,800,100-200,Play,English,120,8.9
63,Constellations,Nick Payne,Samuel J. Friedman Theatre,New York,United States,2015-01-13,2015-03-15,77,61600,800,100-200,Play,English,70,8.6
64,The Audience,Peter Morgan,Gerald Schoenfeld Theatre,New York,United States,2015-03-08,2015-06-28,151,120800,800,100-250,Play,English,120,8.8
65,Skylight,David Hare,John Golden Theatre,New York,United States,2015-04-02,2015-06-21,77,61600,800,100-200,Play,English,120,8.4
66,The Heidi Chronicles,Wendy Wasserstein,Music Box Theatre,New York,United States,2015-03-19,2015-05-17,77,61600,800,100-200,Play,English,150,8.7
67,Hand to God,Robert Askins,Booth Theatre,New York,United States,2015-04-07,2016-01-03,375,300000,800,80-200,Play,English,100,8.4
68,The Curious Incident of the Dog in the Night-Time,Simon Stephens,Ethel Barrymore Theatre,New York,United States,2014-10-05,2016-09-04,800,640000,800,100-250,Play,English,120,9.0
69,Disgraced,Ayad Akhtar,American Airlines Theatre,New York,United States,2014-10-23,2015-03-01,105,84000,800,100-200,Play,English,90,8.7
70,The Real Thing,Tom Stoppard,American Airlines Theatre,New York,United States,2014-10-30,2015-01-04,77,61600,800,100-200,Play,English,120,8.2
71,You Can't Take It With You,Moss Hart,Longacre Theatre,New York,United States,2014-09-28,2015-02-22,208,166400,800,100-200,Play,English,130,8.5
72,The River,Jez Butterworth,Circle in the Square Theatre,New York,United States,2014-11-16,2015-02-08,96,76800,800,100-200,Play,English,90,7.8
73,The Elephant Man,Bernard Pomerance,Booth Theatre,New York,United States,2014-12-07,2015-02-22,77,61600,800,100-200,Play,English,120,8.9
74,Constellations,Nick Payne,Samuel J. Friedman Theatre,New York,United States,2015-01-13,2015-03-15,77,61600,800,100-200,Play,English,70,8.6
75,The Audience,Peter Morgan,Gerald Schoenfeld Theatre,New York,United States,2015-03-08,2015-06-28,151,120800,800,100-250,Play,English,120,8.8
76,Skylight,David Hare,John Golden Theatre,New York,United States,2015-04-02,2015-06-21,77,61600,800,100-200,Play,English,120,8.4
77,The Heidi Chronicles,Wendy Wasserstein,Music Box Theatre,New York,United States,2015-03-19,2015-05-17,77,61600,800,100-200,Play,English,150,8.7
78,Hand to God,Robert Askins,Booth Theatre,New York,United States,2015-04-07,2016-01-03,375,300000,800,80-200,Play,English,100,8.4
79,The Curious Incident of the Dog in the Night-Time,Simon Stephens,Ethel Barrymore Theatre,New York,United States,2014-10-05,2016-09-04,800,640000,800,100-250,Play,English,120,9.0
80,Disgraced,Ayad Akhtar,American Airlines Theatre,New York,United States,2014-10-23,2015-03-01,105,84000,800,100-200,Play,English,90,8.7
81,The Real Thing,Tom Stoppard,American Airlines Theatre,New York,United States,2014-10-30,2015-01-04,77,61600,800,100-200,Play,English,120,8.2
82,You Can't Take It With You,Moss Hart,Longacre Theatre,New York,United States,2014-09-28,2015-02-22,208,166400,800,100-200,Play,English,130,8.5
83,The River,Jez Butterworth,Circle in the Square Theatre,New York,United States,2014-11-16,2015-02-08,96,76800,800,100-200,Play,English,90,7.8
84,The Elephant Man,Bernard Pomerance,Booth Theatre,New York,United States,2014-12-07,2015-02-22,77,61600,800,100-200,Play,English,120,8.9
85,Constellations,Nick Payne,Samuel J. Friedman Theatre,New York,United States,2015-01-13,2015-03-15,77,61600,800,100-200,Play,English,70,8.6
86,The Audience,Peter Morgan,Gerald Schoenfeld Theatre,New York,United States,2015-03-08,2015-06-28,151,120800,800,100-250,Play,English,120,8.8
87,Skylight,David Hare,John Golden Theatre,New York,United States,2015-04-02,2015-06-21,77,61600,800,100-200,Play,English,120,8.4
88,The Heidi Chronicles,Wendy Wasserstein,Music Box Theatre,New York,United States,2015-03-19,2015-05-17,77,61600,800,100-200,Play,English,150,8.7
89,Hand to God,Robert Askins,Booth Theatre,New York,United States,2015-04-07,2016-01-03,375,300000,800,80-200,Play,English,100,8.4
90,The Curious Incident of the Dog in the Night-Time,Simon Stephens,Ethel Barrymore Theatre,New York,United States,2014-10-05,2016-09-04,800,640000,800,100-250,Play,English,120,9.0
91,Disgraced,Ayad Akhtar,American Airlines Theatre,New York,United States,2014-10-23,2015-03-01,105,84000,800,100-200,Play,English,90,8.7
92,The Real Thing,Tom Stoppard,American Airlines Theatre,New York,United States,2014-10-30,2015-01-04,77,61600,800,100-200,Play,English,120,8.2
93,You Can't Take It With You,Moss Hart,Longacre Theatre,New York,United States,2014-09-28,2015-02-22,208,166400,800,100-200,Play,English,130,8.5
94,The River,Jez Butterworth,Circle in the Square Theatre,New York,United States,2014-11-16,2015-02-08,96,76800,800,100-200,Play,English,90,7.8
95,The Elephant Man,Bernard Pomerance,Booth Theatre,New York,United States,2014-12-07,2015-02-22,77,61600,800,100-200,Play,English,120,8.9
96,Constellations,Nick Payne,Samuel J. Friedman Theatre,New York,United States,2015-01-13,2015-03-15,77,61600,800,100-200,Play,English,70,8.6
97,The Audience,Peter Morgan,Gerald Schoenfeld Theatre,New York,United States,2015-03-08,2015-06-28,151,120800,800,100-250,Play,English,120,8.8
98,Skylight,David Hare,John Golden Theatre,New York,United States,2015-04-02,2015-06-21,77,61600,800,100-200,Play,English,120,8.4
99,The Heidi Chronicles,Wendy Wasserstein,Music Box Theatre,New York,United States,2015-03-19,2015-05-17,77,61600,800,100-200,Play,English,150,8.7
100,Hand to God,Robert Askins,Booth Theatre,New York,United States,2015-04-07,2016-01-03,375,300000,800,80-200,Play,English,100,8.4
