# Awards Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Award_Name,Category,Year,Winner,Work_Title,Genre,Platform,Country,Age,Gender,Previous_Wins,Previous_Nominations,Box_Office_Millions_USD,IMDb_Rating,Rotten_Tomatoes_Percent,Metacritic_Score,Audience_Score,Social_Media_Reaction,Controversy_Level,Acceptance_Speech_Length_Seconds,Red_Carpet_Rating,After_Party_Rating,Media_Coverage_Hours,Public_Reaction_Score,Cultural_Impact_Score
11,Golden Globe,Best Motion Picture Drama,2023,The Fabelmans,Drama,Theater,USA,0,0,0,0,16.0,7.6,92,84,88,Positive,Low,0,8.5,8.0,18,8.8,8.9
12,Golden Globe,Best Motion Picture Musical Comedy,2023,The Banshees of Inisherin,Comedy,Theater,Ireland,0,0,0,0,9.0,7.8,96,87,90,Positive,Low,0,8.0,7.5,15,8.9,9.0
13,Golden Globe,Best Director,2023,Steven Spielberg,The Fabelmans,Drama,Theater,USA,76,Male,3,8,16.0,7.6,92,84,88,Positive,Low,0,9.0,8.5,20,9.2,9.5
14,Golden Globe,Best Actor Drama,2023,Austin Butler,Elvis,Biography,Theater,USA,31,Male,0,0,288.0,7.3,78,64,72,Positive,Medium,0,8.5,8.0,17,8.7,8.8
15,Golden Globe,Best Actress Drama,2023,Cate Blanchett,Tár,Drama,Theater,Australia,54,Female,2,8,6.0,7.4,91,88,85,Positive,Low,0,8.0,7.5,16,8.9,9.1
16,Golden Globe,Best Actor Musical Comedy,2023,Colin Farrell,The Banshees of Inisherin,Comedy,Theater,Ireland,46,Male,0,1,9.0,7.8,96,87,90,Positive,Low,0,8.5,8.0,14,8.8,8.9
17,Golden Globe,Best Actress Musical Comedy,2023,Michelle Yeoh,Everything Everywhere All at Once,Sci-Fi Comedy,Theater,USA,60,Female,0,0,143.0,8.1,95,81,85,Positive,Low,0,9.0,8.5,19,9.3,9.5
18,Golden Globe,Best Supporting Actor,2023,Ke Huy Quan,Everything Everywhere All at Once,Sci-Fi Comedy,Theater,USA,51,Male,0,0,143.0,8.1,95,81,85,Positive,Low,0,8.5,8.0,17,9.0,9.2
19,Golden Globe,Best Supporting Actress,2023,Angela Bassett,Black Panther: Wakanda Forever,Action,Theater,USA,64,Female,0,1,859.0,6.7,84,67,75,Positive,Medium,0,8.0,7.5,16,8.6,8.7
20,Golden Globe,Best Screenplay,2023,Martin McDonagh,The Banshees of Inisherin,Comedy,Theater,Ireland,52,Male,0,2,9.0,7.8,96,87,90,Positive,Low,0,8.0,7.5,13,8.8,8.9
21,Golden Globe,Best Original Score,2023,Justin Hurwitz,Babylon,Drama,Theater,USA,37,Male,2,3,63.0,7.1,55,60,65,Positive,Low,0,7.5,7.0,11,8.0,8.2
22,Golden Globe,Best Original Song,2023,Naatu Naatu,RRR,Action,Theater,India,0,0,0,0,160.0,8.0,87,68,80,Positive,High,0,8.5,8.0,22,9.0,9.3
23,Golden Globe,Best Animated Feature,2023,Guillermo del Toro,Guillermo del Toro's Pinocchio,Fantasy,Theater,USA,58,Male,2,3,25.0,7.4,97,79,82,Positive,Low,0,8.0,7.5,15,8.8,8.9
24,Golden Globe,Best Non-English Language Film,2023,Edward Berger,All Quiet on the Western Front,War,Theater,Germany,52,Male,0,0,15.0,7.8,90,76,78,Positive,Low,0,7.5,7.0,13,8.5,8.6
25,Golden Globe,Best TV Series Drama,2023,House of the Dragon,Drama,HBO,USA,0,0,0,0,0.0,8.5,85,68,75,Positive,Medium,0,8.5,8.0,20,8.7,8.8
26,Golden Globe,Best TV Series Musical Comedy,2023,Abbott Elementary,Comedy,ABC,USA,0,0,0,0,0.0,8.1,98,78,85,Positive,Low,0,8.0,7.5,16,8.8,8.9
27,Golden Globe,Best TV Actor Drama,2023,Kevin Costner,Yellowstone,Drama,Paramount,USA,68,Male,0,0,0.0,8.7,84,76,80,Positive,Low,0,8.5,8.0,18,8.6,8.7
28,Golden Globe,Best TV Actress Drama,2023,Zendaya,Euphoria,Drama,HBO,USA,26,Female,0,0,0.0,8.4,87,68,75,Positive,Medium,0,9.0,8.5,22,8.9,9.0
29,Golden Globe,Best TV Actor Musical Comedy,2023,Jeremy Allen White,The Bear,Comedy,FX,USA,32,Male,0,0,0.0,8.6,100,88,92,Positive,Low,0,8.0,7.5,15,8.8,8.9
30,Golden Globe,Best TV Actress Musical Comedy,2023,Quinta Brunson,Abbott Elementary,Comedy,ABC,USA,33,Female,0,0,0.0,8.1,98,78,85,Positive,Low,0,8.5,8.0,17,8.9,9.0
31,Golden Globe,Best TV Supporting Actor,2023,Tyler James Williams,Abbott Elementary,Comedy,ABC,USA,30,Male,0,0,0.0,8.1,98,78,85,Positive,Low,0,8.0,7.5,14,8.7,8.8
32,Golden Globe,Best TV Supporting Actress,2023,Julia Garner,Ozark,Drama,Netflix,USA,29,Female,0,0,0.0,8.2,82,70,78,Positive,Low,0,8.5,8.0,16,8.6,8.7
33,Golden Globe,Best TV Limited Series,2023,The White Lotus,Drama,HBO,USA,0,0,0,0,0.0,8.0,89,75,82,Positive,Medium,0,8.5,8.0,19,8.8,8.9
34,Golden Globe,Best TV Actor Limited Series,2023,Evan Peters,Dahmer,Crime,Netflix,USA,36,Male,0,0,0.0,7.8,58,52,60,Positive,High,0,7.5,7.0,21,8.0,8.2
35,Golden Globe,Best TV Actress Limited Series,2023,Amanda Seyfried,The Dropout,Biography,Hulu,USA,37,Female,0,0,0.0,7.9,97,81,88,Positive,Low,0,8.0,7.5,18,8.7,8.8
36,Golden Globe,Best TV Supporting Actor Limited Series,2023,Paul Walter Hauser,Black Bird,Crime,Apple TV+,USA,36,Male,0,0,0.0,8.1,95,82,85,Positive,Low,0,7.5,7.0,13,8.6,8.7
37,Golden Globe,Best TV Supporting Actress Limited Series,2023,Jennifer Coolidge,The White Lotus,Drama,HBO,USA,61,Female,0,0,0.0,8.0,89,75,82,Positive,Low,0,8.0,7.5,17,8.8,8.9
38,Golden Globe,Best TV Director,2023,Ben Stiller,Severance,Drama,Apple TV+,USA,57,Male,0,0,0.0,8.7,97,85,90,Positive,Low,0,8.0,7.5,15,8.9,9.0
39,Golden Globe,Best TV Screenplay,2023,Quinta Brunson,Abbott Elementary,Comedy,ABC,USA,33,Female,0,0,0.0,8.1,98,78,85,Positive,Low,0,8.5,8.0,16,8.9,9.0
40,Golden Globe,Best TV Original Score,2023,Nicholas Britell,Succession,Drama,HBO,USA,37,Male,0,0,0.0,8.8,95,89,92,Positive,Low,0,8.0,7.5,14,8.8,8.9
41,Golden Globe,Best TV Original Song,2023,Lizzo,Watch Out for the Big Grrrls,Reality,Prime Video,USA,34,Female,0,0,0.0,7.5,85,70,78,Positive,Medium,0,8.5,8.0,18,8.6,8.7
42,Golden Globe,Best TV Animated Series,2023,Arcane,Animation,Netflix,USA,0,0,0,0,0.0,9.0,100,90,95,Positive,Low,0,8.0,7.5,12,8.9,9.0
43,Golden Globe,Best TV Non-English Language Series,2023,Pachinko,Drama,Apple TV+,South Korea,0,0,0,0,0.0,8.1,98,85,88,Positive,Low,0,8.5,8.0,16,8.8,8.9
44,Golden Globe,Best TV Comedy Special,2023,Jerrod Carmichael,Jerrod Carmichael: Rothaniel,Comedy,HBO,USA,35,Male,0,0,0.0,7.8,92,80,85,Positive,Medium,0,7.5,7.0,13,8.5,8.6
45,Golden Globe,Best TV Reality Competition,2023,The Amazing Race,Reality,CBS,USA,0,0,0,0,0.0,7.5,85,70,78,Positive,Low,0,7.0,6.5,10,8.0,8.1
46,Golden Globe,Best TV Talk Show,2023,The Late Show with Stephen Colbert,Talk Show,CBS,USA,59,Male,0,0,0.0,7.2,75,65,70,Positive,Low,0,8.0,7.5,12,8.2,8.3
47,Golden Globe,Best TV Variety Series,2023,Saturday Night Live,Variety,NBC,USA,0,0,0,0,0.0,7.8,80,70,75,Positive,Low,0,8.5,8.0,15,8.5,8.6
48,Golden Globe,Best TV Documentary,2023,The Last Movie Stars,Documentary,HBO,USA,0,0,0,0,0.0,8.3,95,85,90,Positive,Low,0,7.5,7.0,11,8.7,8.8
49,Golden Globe,Best TV Short Form Series,2023,The Bear,Comedy,FX,USA,0,0,0,0,0.0,8.6,100,88,92,Positive,Low,0,8.0,7.5,14,8.8,8.9
50,Golden Globe,Best TV New Series,2023,The Bear,Comedy,FX,USA,0,0,0,0,0.0,8.6,100,88,92,Positive,Low,0,8.0,7.5,16,8.9,9.0
51,Golden Globe,Best TV Returning Series,2023,Succession,Drama,HBO,USA,0,0,0,0,0.0,8.8,95,89,92,Positive,Low,0,8.5,8.0,18,8.9,9.0
52,Golden Globe,Best TV Ensemble Cast,2023,The White Lotus,Drama,HBO,USA,0,0,0,0,0.0,8.0,89,75,82,Positive,Low,0,8.5,8.0,17,8.8,8.9
53,Golden Globe,Best TV Breakthrough Performance,2023,Jenna Ortega,Wednesday,Comedy,Netflix,USA,20,Female,0,0,0.0,8.1,85,72,80,Positive,Medium,0,9.0,8.5,20,8.7,8.8
54,Golden Globe,Best TV Guest Performance,2023,Julia Garner,Ozark,Drama,Netflix,USA,29,Female,0,0,0.0,8.2,82,70,78,Positive,Low,0,8.5,8.0,15,8.6,8.7
55,Golden Globe,Best TV Stunt Performance,2023,Tom Cruise,Top Gun: Maverick,Action,Theater,USA,60,Male,0,0,1488.0,8.3,96,78,85,Positive,Low,0,9.0,8.5,22,8.9,9.0
56,Golden Globe,Best TV Visual Effects,2023,Avatar: The Way of Water,Sci-Fi,Theater,USA,0,0,0,0,2312.0,7.8,76,67,75,Positive,Low,0,8.5,8.0,19,8.7,8.8
57,Golden Globe,Best TV Sound Design,2023,Top Gun: Maverick,Action,Theater,USA,0,0,0,0,1488.0,8.3,96,78,85,Positive,Low,0,8.5,8.0,17,8.8,8.9
58,Golden Globe,Best TV Cinematography,2023,Top Gun: Maverick,Action,Theater,USA,0,0,0,0,1488.0,8.3,96,78,85,Positive,Low,0,8.5,8.0,16,8.8,8.9
59,Golden Globe,Best TV Editing,2023,Top Gun: Maverick,Action,Theater,USA,0,0,0,0,1488.0,8.3,96,78,85,Positive,Low,0,8.5,8.0,15,8.8,8.9
60,Golden Globe,Best TV Production Design,2023,Avatar: The Way of Water,Sci-Fi,Theater,USA,0,0,0,0,2312.0,7.8,76,67,75,Positive,Low,0,8.5,8.0,18,8.7,8.8
61,Golden Globe,Best TV Costume Design,2023,Black Panther: Wakanda Forever,Action,Theater,USA,0,0,0,0,859.0,6.7,84,67,75,Positive,Low,0,8.0,7.5,16,8.6,8.7
62,Golden Globe,Best TV Makeup and Hairstyling,2023,The Whale,Drama,Theater,USA,0,0,0,0,54.0,7.7,64,60,70,Positive,Low,0,7.5,7.0,14,8.5,8.6
63,Golden Globe,Best TV Original Song,2023,Naatu Naatu,RRR,Action,Theater,India,0,0,0,0,160.0,8.0,87,68,80,Positive,High,0,8.5,8.0,21,9.0,9.2
64,Golden Globe,Best TV Original Score,2023,Justin Hurwitz,Babylon,Drama,Theater,USA,37,Male,2,3,63.0,7.1,55,60,65,Positive,Low,0,7.5,7.0,12,8.0,8.2
65,Golden Globe,Best TV Sound Mixing,2023,Top Gun: Maverick,Action,Theater,USA,0,0,0,0,1488.0,8.3,96,78,85,Positive,Low,0,8.5,8.0,16,8.8,8.9
66,Golden Globe,Best TV Sound Editing,2023,Top Gun: Maverick,Action,Theater,USA,0,0,0,0,1488.0,8.3,96,78,85,Positive,Low,0,8.5,8.0,15,8.8,8.9
67,Golden Globe,Best TV Visual Effects,2023,Avatar: The Way of Water,Sci-Fi,Theater,USA,0,0,0,0,2312.0,7.8,76,67,75,Positive,Low,0,8.5,8.0,18,8.7,8.8
68,Golden Globe,Best TV Animated Feature,2023,Guillermo del Toro,Guillermo del Toro's Pinocchio,Fantasy,Theater,USA,58,Male,2,3,25.0,7.4,97,79,82,Positive,Low,0,8.0,7.5,14,8.8,8.9
69,Golden Globe,Best TV International Feature,2023,Edward Berger,All Quiet on the Western Front,War,Theater,Germany,52,Male,0,0,15.0,7.8,90,76,78,Positive,Low,0,7.5,7.0,13,8.5,8.6
70,Golden Globe,Best TV Documentary Feature,2023,Daniel Roher,Navalny,Documentary,Theater,USA,30,Male,0,0,2.0,7.8,98,85,90,Positive,Medium,0,7.5,7.0,11,8.7,8.8
71,Golden Globe,Best TV Short Film,2023,An Irish Goodbye,Comedy,Theater,UK,0,0,0,0,1.0,7.5,95,80,85,Positive,Low,0,7.0,6.5,9,8.5,8.6
72,Golden Globe,Best TV Live Action Short,2023,An Irish Goodbye,Comedy,Theater,UK,0,0,0,0,1.0,7.5,95,80,85,Positive,Low,0,7.0,6.5,9,8.5,8.6
73,Golden Globe,Best TV Animated Short,2023,The Boy the Mole the Fox and the Horse,Animation,Theater,UK,0,0,0,0,0.5,8.0,98,90,95,Positive,Low,0,7.5,7.0,10,8.7,8.8
74,Golden Globe,Best TV Documentary Short,2023,The Elephant Whisperers,Documentary,Theater,India,0,0,0,0,0.2,7.8,95,85,90,Positive,Low,0,7.5,7.0,8,8.6,8.7
75,Golden Globe,Best TV Student Film,2023,The Red Suitcase,Drama,Theater,USA,0,0,0,0,0.1,7.2,85,75,80,Positive,Low,0,6.5,6.0,6,8.0,8.1
76,Golden Globe,Best TV First-Time Filmmaker,2023,Charlotte Wells,Aftersun,Drama,Theater,UK,35,Female,0,0,2.0,7.7,96,89,92,Positive,Low,0,7.5,7.0,12,8.8,8.9
77,Golden Globe,Best TV Breakthrough Director,2023,Charlotte Wells,Aftersun,Drama,Theater,UK,35,Female,0,0,2.0,7.7,96,89,92,Positive,Low,0,7.5,7.0,13,8.8,8.9
78,Golden Globe,Best TV Breakthrough Screenplay,2023,Charlotte Wells,Aftersun,Drama,Theater,UK,35,Female,0,0,2.0,7.7,96,89,92,Positive,Low,0,7.5,7.0,11,8.8,8.9
79,Golden Globe,Best TV Breakthrough Performance,2023,Paul Mescal,Aftersun,Drama,Theater,Ireland,27,Male,0,0,2.0,7.7,96,89,92,Positive,Low,0,8.0,7.5,14,8.8,8.9
80,Golden Globe,Best TV Breakthrough Performance,2023,Frankie Corio,Aftersun,Drama,Theater,UK,12,Female,0,0,2.0,7.7,96,89,92,Positive,Low,0,8.5,8.0,15,8.9,9.0
81,Golden Globe,Best TV Breakthrough Performance,2023,Barry Keoghan,The Banshees of Inisherin,Comedy,Theater,Ireland,30,Male,0,0,9.0,7.8,96,87,90,Positive,Low,0,8.0,7.5,13,8.8,8.9
82,Golden Globe,Best TV Breakthrough Performance,2023,Kerry Condon,The Banshees of Inisherin,Comedy,Theater,Ireland,40,Female,0,0,9.0,7.8,96,87,90,Positive,Low,0,8.0,7.5,12,8.8,8.9
83,Golden Globe,Best TV Breakthrough Performance,2023,Brendan Gleeson,The Banshees of Inisherin,Comedy,Theater,Ireland,67,Male,0,0,9.0,7.8,96,87,90,Positive,Low,0,8.0,7.5,11,8.8,8.9
84,Golden Globe,Best TV Breakthrough Performance,2023,Colin Farrell,The Banshees of Inisherin,Comedy,Theater,Ireland,46,Male,0,1,9.0,7.8,96,87,90,Positive,Low,0,8.5,8.0,14,8.8,8.9
85,Golden Globe,Best TV Breakthrough Performance,2023,Martin McDonagh,The Banshees of Inisherin,Comedy,Theater,Ireland,52,Male,0,2,9.0,7.8,96,87,90,Positive,Low,0,8.0,7.5,13,8.8,8.9
86,Golden Globe,Best TV Breakthrough Performance,2023,Steven Spielberg,The Fabelmans,Drama,Theater,USA,76,Male,3,8,16.0,7.6,92,84,88,Positive,Low,0,9.0,8.5,20,9.2,9.5
87,Golden Globe,Best TV Breakthrough Performance,2023,Michelle Williams,The Fabelmans,Drama,Theater,USA,42,Female,0,4,16.0,7.6,92,84,88,Positive,Low,0,8.5,8.0,17,8.9,9.0
88,Golden Globe,Best TV Breakthrough Performance,2023,Gabriel LaBelle,The Fabelmans,Drama,Theater,USA,20,Male,0,0,16.0,7.6,92,84,88,Positive,Low,0,8.5,8.0,16,8.8,8.9
89,Golden Globe,Best TV Breakthrough Performance,2023,Paul Dano,The Fabelmans,Drama,Theater,USA,38,Male,0,0,16.0,7.6,92,84,88,Positive,Low,0,8.0,7.5,15,8.8,8.9
90,Golden Globe,Best TV Breakthrough Performance,2023,Judd Hirsch,The Fabelmans,Drama,Theater,USA,87,Male,0,1,16.0,7.6,92,84,88,Positive,Low,0,8.0,7.5,14,8.8,8.9
91,Golden Globe,Best TV Breakthrough Performance,2023,Seth Rogen,The Fabelmans,Drama,Theater,USA,41,Male,0,0,16.0,7.6,92,84,88,Positive,Low,0,8.0,7.5,13,8.8,8.9
92,Golden Globe,Best TV Breakthrough Performance,2023,Julia Butters,The Fabelmans,Drama,Theater,USA,14,Female,0,0,16.0,7.6,92,84,88,Positive,Low,0,8.5,8.0,15,8.8,8.9
93,Golden Globe,Best TV Breakthrough Performance,2023,Jeannie Berlin,The Fabelmans,Drama,Theater,USA,73,Female,0,0,16.0,7.6,92,84,88,Positive,Low,0,8.0,7.5,12,8.8,8.9
94,Golden Globe,Best TV Breakthrough Performance,2023,Robin Bartlett,The Fabelmans,Drama,Theater,USA,85,Female,0,0,16.0,7.6,92,84,88,Positive,Low,0,8.0,7.5,11,8.8,8.9
95,Golden Globe,Best TV Breakthrough Performance,2023,Sam Rechner,The Fabelmans,Drama,Theater,USA,20,Male,0,0,16.0,7.6,92,84,88,Positive,Low,0,8.0,7.5,10,8.8,8.9
96,Golden Globe,Best TV Breakthrough Performance,2023,Oakes Fegley,The Fabelmans,Drama,Theater,USA,18,Male,0,0,16.0,7.6,92,84,88,Positive,Low,0,8.0,7.5,9,8.8,8.9
97,Golden Globe,Best TV Breakthrough Performance,2023,Chloe East,The Fabelmans,Drama,Theater,USA,26,Female,0,0,16.0,7.6,92,84,88,Positive,Low,0,8.0,7.5,8,8.8,8.9
98,Golden Globe,Best TV Breakthrough Performance,2023,Isabelle Kusman,The Fabelmans,Drama,Theater,USA,20,Female,0,0,16.0,7.6,92,84,88,Positive,Low,0,8.0,7.5,7,8.8,8.9
99,Golden Globe,Best TV Breakthrough Performance,2023,Keeley Karsten,The Fabelmans,Drama,Theater,USA,20,Female,0,0,16.0,7.6,92,84,88,Positive,Low,0,8.0,7.5,6,8.8,8.9
100,Golden Globe,Best TV Breakthrough Performance,2023,Stephen Hill,The Fabelmans,Drama,Theater,USA,20,Male,0,0,16.0,7.6,92,84,88,Positive,Low,0,8.0,7.5,5,8.8,8.9
