# Animation Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Title,Studio,Style,Release_Year,Country,Genre,Duration_Minutes,Budget_Millions_USD,Box_Office_Millions_USD,IMDb_Rating,Rotten_Tomatoes_Percent,Director,Producer,Animation_Technique,Target_Audience,Language,Sequel_Prequel,Academy_Award_Nominated,Academy_Award_Won,Golden_Globe_Nominated,Golden_Globe_Won,Annie_Award_Nominated,Annie_Award_Won,Streaming_Platform,Home_Media_Release,Merchandise_Revenue_Millions_USD,Cultural_Impact_Score
36,Tangled,Disney,3D Computer,2010,USA,Musical,100,260.0,592.5,7.7,89,Nathan Greno,Byron Howard,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2011-03-29,600.0,8.5
37,The Princess and the Frog,Disney,2D Traditional,2009,USA,Musical,97,105.0,267.0,7.1,85,Ron Clements,John Musker,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2010-03-16,300.0,7.8
38,Bolt,Disney,3D Computer,2008,USA,Comedy,96,150.0,310.0,6.9,89,Byron Howard,Chris Williams,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2009-03-24,250.0,7.5
39,Meet the Robinsons,Disney,3D Computer,2007,USA,Sci-Fi,95,150.0,169.3,6.8,67,Stephen J. Anderson,Dorothy McKim,3D Computer Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,2007-10-23,150.0,7.0
40,Chicken Little,Disney,3D Computer,2005,USA,Comedy,81,150.0,314.4,5.8,37,Mark Dindal,Randy Fullmer,3D Computer Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,2005-11-01,200.0,6.5
41,Home on the Range,Disney,2D Traditional,2004,USA,Comedy,76,110.0,104.0,5.3,54,Will Finn,John Sanford,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,2004-07-27,100.0,6.0
42,Brother Bear,Disney,2D Traditional,2003,USA,Adventure,85,46.0,250.4,6.8,38,Aaron Blaise,Robert Walker,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,2003-11-11,150.0,7.2
43,Lilo & Stitch,Disney,2D Traditional,2002,USA,Comedy,85,80.0,273.1,7.2,86,Chris Sanders,Dean DeBlois,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,2002-12-20,300.0,7.8
44,Atlantis: The Lost Empire,Disney,2D Traditional,2001,USA,Adventure,95,120.0,186.1,6.9,49,Gary Trousdale,Kirk Wise,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,2001-06-15,200.0,7.0
45,The Emperor's New Groove,Disney,2D Traditional,2000,USA,Comedy,78,100.0,169.3,7.3,85,Mark Dindal,Randy Fullmer,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,2001-05-01,150.0,7.5
46,Fantasia 2000,Disney,2D Traditional,1999,USA,Musical,75,80.0,90.9,7.2,82,James Algar,Don Hahn,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,2000-05-18,100.0,7.8
47,Tarzan,Disney,2D Traditional,1999,USA,Adventure,88,130.0,448.2,7.3,89,Kevin Lima,Chris Buck,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,1999-10-13,400.0,8.0
48,Mulan,Disney,2D Traditional,1998,USA,Action,88,90.0,304.3,7.6,86,Tony Bancroft,Barry Cook,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,1998-11-20,300.0,8.2
49,Hercules,Disney,2D Traditional,1997,USA,Musical,93,85.0,252.7,7.3,84,Ron Clements,John Musker,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,1997-06-27,200.0,7.8
50,The Hunchback of Notre Dame,Disney,2D Traditional,1996,USA,Musical,91,70.0,325.3,6.9,71,Gary Trousdale,Kirk Wise,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,1996-11-26,250.0,7.5
51,Pocahontas,Disney,2D Traditional,1995,USA,Musical,81,55.0,346.1,6.7,55,Mike Gabriel,Eric Goldberg,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,1995-06-23,300.0,7.2
52,The Little Mermaid,Disney,2D Traditional,1989,USA,Musical,83,40.0,233.0,7.6,92,Ron Clements,John Musker,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,1989-11-17,500.0,8.5
53,Beauty and the Beast,Disney,2D Traditional,1991,USA,Musical,84,25.0,425.0,8.0,94,Gary Trousdale,Kirk Wise,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,1992-04-10,600.0,9.0
54,Aladdin,Disney,2D Traditional,1992,USA,Musical,90,28.0,504.0,8.0,95,Ron Clements,John Musker,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,1993-05-21,700.0,8.8
55,Bambi,Disney,2D Traditional,1942,USA,Drama,70,0.9,267.4,7.3,91,David Hand,Walt Disney,2D Traditional Animation,Family,English,Original,Yes,Yes,No,No,Yes,Yes,Disney+,1942-08-13,200.0,8.5
56,Snow White and the Seven Dwarfs,Disney,2D Traditional,1937,USA,Musical,83,1.5,418.0,7.6,98,David Hand,Walt Disney,2D Traditional Animation,Family,English,Original,Yes,Yes,No,No,Yes,Yes,Disney+,1938-02-04,500.0,9.5
57,Pinocchio,Disney,2D Traditional,1940,USA,Musical,88,2.6,84.2,7.5,100,Ben Sharpsteen,Walt Disney,2D Traditional Animation,Family,English,Original,Yes,Yes,No,No,Yes,Yes,Disney+,1940-02-23,300.0,9.0
58,Dumbo,Disney,2D Traditional,1941,USA,Musical,64,0.9,1.6,7.2,98,Ben Sharpsteen,Walt Disney,2D Traditional Animation,Family,English,Original,Yes,Yes,No,No,Yes,Yes,Disney+,1941-10-31,200.0,8.8
59,Fantasia,Disney,2D Traditional,1940,USA,Musical,125,2.3,76.4,7.7,96,James Algar,Walt Disney,2D Traditional Animation,Family,English,Original,Yes,Yes,No,No,Yes,Yes,Disney+,1940-11-13,150.0,8.5
60,Cinderella,Disney,2D Traditional,1950,USA,Musical,74,2.9,263.6,7.3,97,Clyde Geronimi,Walt Disney,2D Traditional Animation,Family,English,Original,Yes,Yes,No,No,Yes,Yes,Disney+,1950-03-04,400.0,8.2
61,Alice in Wonderland,Disney,2D Traditional,1951,USA,Fantasy,75,3.0,2.4,7.4,81,Clyde Geronimi,Walt Disney,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,1951-07-28,300.0,8.0
62,Peter Pan,Disney,2D Traditional,1953,USA,Adventure,77,4.0,87.4,7.3,77,Clyde Geronimi,Walt Disney,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,1953-02-05,250.0,7.8
63,Lady and the Tramp,Disney,2D Traditional,1955,USA,Musical,76,4.0,93.6,7.3,93,Clyde Geronimi,Walt Disney,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,1955-06-22,200.0,7.5
64,Sleeping Beauty,Disney,2D Traditional,1959,USA,Musical,75,6.0,51.6,7.2,92,Clyde Geronimi,Walt Disney,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,1959-01-29,300.0,8.0
65,101 Dalmatians,Disney,2D Traditional,1961,USA,Comedy,79,4.0,215.9,7.3,98,Clyde Geronimi,Walt Disney,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,1961-01-25,400.0,8.2
66,The Sword in the Stone,Disney,2D Traditional,1963,USA,Fantasy,79,3.0,22.2,7.1,70,Wolfgang Reitherman,Walt Disney,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,1963-12-25,150.0,7.0
67,The Jungle Book,Disney,2D Traditional,1967,USA,Musical,78,4.0,141.8,7.6,88,Wolfgang Reitherman,Walt Disney,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,1967-10-18,300.0,8.5
68,The Aristocats,Disney,2D Traditional,1970,USA,Musical,78,4.0,55.7,7.1,78,Wolfgang Reitherman,Walt Disney,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,1970-12-24,200.0,7.2
69,Robin Hood,Disney,2D Traditional,1973,USA,Adventure,83,5.0,32.0,7.6,55,Wolfgang Reitherman,Walt Disney,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,1973-11-08,150.0,7.5
70,The Many Adventures of Winnie the Pooh,Disney,2D Traditional,1977,USA,Musical,74,5.0,0.0,7.6,91,John Lounsbery,Walt Disney,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,1977-03-11,500.0,8.0
71,The Rescuers,Disney,2D Traditional,1977,USA,Adventure,77,7.0,18.0,6.8,68,Wolfgang Reitherman,Walt Disney,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,1977-06-22,100.0,7.0
72,The Fox and the Hound,Disney,2D Traditional,1981,USA,Drama,83,12.0,39.9,7.3,69,Ted Berman,Walt Disney,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,1981-07-10,150.0,7.2
73,The Black Cauldron,Disney,2D Traditional,1985,USA,Fantasy,80,25.0,21.3,6.4,54,Ted Berman,Walt Disney,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,1985-07-24,75.0,6.5
74,The Great Mouse Detective,Disney,2D Traditional,1986,USA,Mystery,74,14.0,38.6,7.2,81,Ron Clements,Walt Disney,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,1986-07-02,100.0,7.0
75,Oliver & Company,Disney,2D Traditional,1988,USA,Musical,73,30.0,74.2,6.7,50,George Scribner,Walt Disney,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,1988-11-18,125.0,6.8
76,The Little Mermaid,Disney,2D Traditional,1989,USA,Musical,83,40.0,233.0,7.6,92,Ron Clements,John Musker,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,1989-11-17,500.0,8.5
77,The Rescuers Down Under,Disney,2D Traditional,1990,USA,Adventure,77,23.0,47.4,6.8,70,Hendel Butoy,Walt Disney,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,1990-11-16,75.0,6.8
78,Beauty and the Beast,Disney,2D Traditional,1991,USA,Musical,84,25.0,425.0,8.0,94,Gary Trousdale,Kirk Wise,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,1992-04-10,600.0,9.0
79,Aladdin,Disney,2D Traditional,1992,USA,Musical,90,28.0,504.0,8.0,95,Ron Clements,John Musker,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,1993-05-21,700.0,8.8
80,The Lion King,Disney,2D Traditional,1994,USA,Musical,88,45.0,968.5,8.5,93,Roger Allers,Don Hahn,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,1995-03-03,1000.0,9.8
81,Pocahontas,Disney,2D Traditional,1995,USA,Musical,81,55.0,346.1,6.7,55,Mike Gabriel,Eric Goldberg,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,1995-06-23,300.0,7.2
82,The Hunchback of Notre Dame,Disney,2D Traditional,1996,USA,Musical,91,70.0,325.3,6.9,71,Gary Trousdale,Kirk Wise,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,1996-11-26,250.0,7.5
83,Hercules,Disney,2D Traditional,1997,USA,Musical,93,85.0,252.7,7.3,84,Ron Clements,John Musker,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,1997-06-27,200.0,7.8
84,Mulan,Disney,2D Traditional,1998,USA,Action,88,90.0,304.3,7.6,86,Tony Bancroft,Barry Cook,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,1998-11-20,300.0,8.2
85,Tarzan,Disney,2D Traditional,1999,USA,Adventure,88,130.0,448.2,7.3,89,Kevin Lima,Chris Buck,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,1999-10-13,400.0,8.0
86,Fantasia 2000,Disney,2D Traditional,1999,USA,Musical,75,80.0,90.9,7.2,82,James Algar,Don Hahn,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,2000-05-18,100.0,7.8
87,The Emperor's New Groove,Disney,2D Traditional,2000,USA,Comedy,78,100.0,169.3,7.3,85,Mark Dindal,Randy Fullmer,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,2001-05-01,150.0,7.5
88,Atlantis: The Lost Empire,Disney,2D Traditional,2001,USA,Adventure,95,120.0,186.1,6.9,49,Gary Trousdale,Kirk Wise,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,2001-06-15,200.0,7.0
89,Lilo & Stitch,Disney,2D Traditional,2002,USA,Comedy,85,80.0,273.1,7.2,86,Chris Sanders,Dean DeBlois,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,2002-12-20,300.0,7.8
90,Brother Bear,Disney,2D Traditional,2003,USA,Adventure,85,46.0,250.4,6.8,38,Aaron Blaise,Robert Walker,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,2003-11-11,150.0,7.2
91,Home on the Range,Disney,2D Traditional,2004,USA,Comedy,76,110.0,104.0,5.3,54,Will Finn,John Sanford,2D Traditional Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,2004-07-27,100.0,6.0
92,Chicken Little,Disney,3D Computer,2005,USA,Comedy,81,150.0,314.4,5.8,37,Mark Dindal,Randy Fullmer,3D Computer Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,2005-11-01,200.0,6.5
93,Meet the Robinsons,Disney,3D Computer,2007,USA,Sci-Fi,95,150.0,169.3,6.8,67,Stephen J. Anderson,Dorothy McKim,3D Computer Animation,Family,English,Original,No,No,No,No,Yes,Yes,Disney+,2007-10-23,150.0,7.0
94,Bolt,Disney,3D Computer,2008,USA,Comedy,96,150.0,310.0,6.9,89,Byron Howard,Chris Williams,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2009-03-24,250.0,7.5
95,The Princess and the Frog,Disney,2D Traditional,2009,USA,Musical,97,105.0,267.0,7.1,85,Ron Clements,John Musker,2D Traditional Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2010-03-16,300.0,7.8
96,Tangled,Disney,3D Computer,2010,USA,Musical,100,260.0,592.5,7.7,89,Nathan Greno,Byron Howard,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2011-03-29,600.0,8.5
97,Wreck-It Ralph,Disney,3D Computer,2012,USA,Comedy,101,165.0,471.2,7.7,87,Rich Moore,Clark Spencer,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2013-03-05,400.0,8.0
98,Big Hero 6,Disney,3D Computer,2014,USA,Action,102,165.0,657.8,7.8,89,Don Hall,Chris Williams,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2015-02-24,500.0,8.2
99,Zootopia,Disney,3D Computer,2016,USA,Comedy,108,150.0,1024.0,8.0,98,Byron Howard,Jared Bush,3D Computer Animation,Family,English,Original,Yes,Yes,Yes,Yes,Yes,Yes,Disney+,2016-06-07,800.0,8.8
100,Raya and the Last Dragon,Disney,3D Computer,2021,USA,Action,107,100.0,130.0,7.3,94,Don Hall,Carlos López Estrada,3D Computer Animation,Family,English,Original,Yes,No,Yes,Yes,Yes,Yes,Disney+,2021-05-18,200.0,8.0
