# Celebrity Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Name,Profession,Net_Worth_Millions_USD,Age,Country,Industry,Social_Media_Followers_Millions,Instagram_Handle,Twitter_Handle,TikTok_Handle,YouTube_Subscribers_Millions,Annual_Income_Millions_USD,Endorsements_Count,Awards_Won,Awards_Nominated,Marital_Status,Children_Count,Education_Level,Charity_Work,Business_Ventures,Public_Image_Score,Controversy_Count,Media_Coverage_Rating,Influence_Score
22,Jennifer Lawrence,Actor,160.0,34,USA,Entertainment,30.0,@jenniferlawrence,@JenniferLawrence,@jenniferlawrence,0.0,18.0,3,1,4,Married,1,High School,Yes,Multiple,8.0,1,High,8.5
23,Emma Stone,Actor,30.0,35,USA,Entertainment,15.0,@emmastone,@EmmaStone,@emmastone,0.0,12.0,2,1,3,Married,1,Bachelor's,Yes,Multiple,9.0,0,Medium,8.2
24,Meryl Streep,Actor,90.0,75,USA,Entertainment,5.0,@merylstreep,@MerylStreep,@merylstreep,0.0,8.0,1,3,21,Married,4,Master's,Yes,Multiple,9.5,0,Low,9.0
25,Julia Roberts,Actor,250.0,56,USA,Entertainment,10.0,@juliaroberts,@JuliaRoberts,@juliaroberts,0.0,15.0,2,1,4,Married,3,Bachelor's,Yes,Multiple,9.0,0,Medium,8.8
26,Sandra Bullock,Actor,250.0,60,USA,Entertainment,8.0,@sandrabullock,@SandraBullock,@sandrabullock,0.0,12.0,1,1,2,Divorced,2,Bachelor's,Yes,Multiple,9.0,0,Medium,8.5
27,Angelina Jolie,Actor,120.0,49,USA,Entertainment,20.0,@angelinajolie,@AngelinaJolie,@angelinajolie,0.0,10.0,3,1,3,Divorced,6,High School,Yes,Multiple,8.5,2,High,8.8
28,Jennifer Aniston,Actor,300.0,55,USA,Entertainment,35.0,@jenniferaniston,@JenniferAniston,@jenniferaniston,0.0,20.0,4,0,1,Divorced,0,Bachelor's,Yes,Multiple,8.5,1,High,8.5
29,Reese Witherspoon,Actor,200.0,48,USA,Entertainment,25.0,@reesewitherspoon,@ReeseWitherspoon,@reesewitherspoon,0.0,15.0,3,1,2,Married,3,Bachelor's,Yes,Multiple,9.0,0,Medium,8.8
30,Nicole Kidman,Actor,250.0,57,Australia,Entertainment,15.0,@nicolekidman,@NicoleKidman,@nicolekidman,0.0,18.0,2,1,4,Married,4,High School,Yes,Multiple,8.5,0,Medium,8.5
31,Cate Blanchett,Actor,95.0,55,Australia,Entertainment,8.0,@cateblanchett,@CateBlanchett,@cateblanchett,0.0,12.0,1,2,6,Married,4,Bachelor's,Yes,Multiple,9.0,0,Low,8.8
32,Charlize Theron,Actor,160.0,48,South Africa,Entertainment,12.0,@charlizetheron,@CharlizeTheron,@charlizetheron,0.0,15.0,2,1,2,Single,2,High School,Yes,Multiple,8.5,0,Medium,8.5
33,Gal Gadot,Actor,30.0,39,Israel,Entertainment,80.0,@gal_gadot,@GalGadot,@gal_gadot,0.0,25.0,5,0,0,Married,3,Bachelor's,Yes,Multiple,8.5,0,High,8.8
34,Emma Watson,Actor,85.0,34,UK,Entertainment,60.0,@emmawatson,@EmmaWatson,@emmawatson,0.0,15.0,3,0,0,Single,0,Bachelor's,Yes,Multiple,9.0,0,High,8.8
35,Margot Robbie,Actor,26.0,34,Australia,Entertainment,25.0,@margotrobbie,@MargotRobbie,@margotrobbie,0.0,20.0,4,0,2,Married,0,Bachelor's,Yes,Multiple,8.5,0,High,8.5
36,Lupita Nyong'o,Actor,10.0,41,Kenya,Entertainment,15.0,@lupitanyongo,@LupitaNyongo,@lupitanyongo,0.0,8.0,2,1,1,Single,0,Master's,Yes,Multiple,9.0,0,Medium,8.2
37,Viola Davis,Actor,25.0,59,USA,Entertainment,8.0,@violadavis,@ViolaDavis,@violadavis,0.0,12.0,1,1,3,Married,1,Master's,Yes,Multiple,9.0,0,Medium,8.8
38,Octavia Spencer,Actor,12.0,54,USA,Entertainment,5.0,@octaviaspencer,@OctaviaSpencer,@octaviaspencer,0.0,6.0,1,1,2,Single,0,Bachelor's,Yes,Multiple,8.5,0,Low,8.0
39,Regina King,Actor,8.0,53,USA,Entertainment,3.0,@reginaking,@ReginaKing,@reginaking,0.0,5.0,1,1,2,Single,1,Bachelor's,Yes,Multiple,8.5,0,Low,8.0
40,Taraji P. Henson,Actor,12.0,54,USA,Entertainment,10.0,@tarajiphenson,@TarajiPhenson,@tarajiphenson,0.0,8.0,2,0,1,Single,1,Bachelor's,Yes,Multiple,8.0,0,Medium,8.0
41,Beyoncé,Musician,500.0,42,USA,Music,300.0,@beyonce,@Beyonce,@beyonce,0.0,80.0,8,28,67,Married,3,High School,Yes,Multiple,9.0,1,High,9.5
42,Jay-Z,Musician,2.5,54,USA,Music,50.0,@jayz,@JayZ,@jayz,0.0,60.0,5,23,77,Married,3,High School,Yes,Multiple,8.5,2,High,9.0
43,Rihanna,Musician,1.4,36,Barbados,Music,150.0,@badgalriri,@Rihanna,@rihanna,0.0,70.0,10,9,33,Single,2,High School,Yes,Multiple,8.5,1,High,9.2
44,Ariana Grande,Musician,240.0,31,USA,Music,400.0,@arianagrande,@ArianaGrande,@arianagrande,0.0,50.0,8,2,8,Divorced,0,High School,Yes,Multiple,8.0,2,High,9.0
45,Lady Gaga,Musician,320.0,38,USA,Music,60.0,@ladygaga,@LadyGaga,@ladygaga,0.0,40.0,6,2,6,Single,0,Bachelor's,Yes,Multiple,8.5,1,High,8.8
46,Katy Perry,Musician,330.0,40,USA,Music,150.0,@katyperry,@KatyPerry,@katyperry,0.0,35.0,5,0,4,Divorced,1,High School,Yes,Multiple,8.0,1,High,8.5
47,Billie Eilish,Musician,53.0,22,USA,Music,120.0,@billieeilish,@BillieEilish,@billieeilish,0.0,25.0,4,7,15,Single,0,High School,Yes,Multiple,8.5,0,High,8.8
48,Olivia Rodrigo,Musician,16.0,21,USA,Music,80.0,@oliviarodrigo,@OliviaRodrigo,@oliviarodrigo,0.0,15.0,3,3,7,Single,0,High School,Yes,Multiple,8.5,0,High,8.5
49,Dua Lipa,Musician,75.0,29,UK,Music,90.0,@dualipa,@DuaLipa,@dualipa,0.0,20.0,4,2,4,Single,0,High School,Yes,Multiple,8.5,0,High,8.5
50,The Weeknd,Musician,300.0,34,Canada,Music,50.0,@theweeknd,@TheWeeknd,@theweeknd,0.0,30.0,3,4,8,Single,0,High School,Yes,Multiple,8.0,1,High,8.8
51,Drake,Musician,250.0,37,Canada,Music,100.0,@champagnepapi,@Drake,@champagnepapi,0.0,25.0,4,5,47,Single,1,High School,Yes,Multiple,7.5,2,High,8.5
52,Justin Bieber,Musician,300.0,30,Canada,Music,200.0,@justinbieber,@JustinBieber,@justinbieber,0.0,35.0,6,2,8,Married,0,High School,Yes,Multiple,7.0,3,High,8.5
53,Ed Sheeran,Musician,200.0,33,UK,Music,40.0,@teddysphotos,@EdSheeran,@teddysphotos,0.0,20.0,2,4,8,Married,2,High School,Yes,Multiple,8.5,0,Medium,8.5
54,Harry Styles,Musician,80.0,30,UK,Music,50.0,@harrystyles,@Harry_Styles,@harrystyles,0.0,15.0,3,1,2,Single,0,High School,Yes,Multiple,8.5,0,High,8.5
55,Shawn Mendes,Musician,40.0,26,Canada,Music,60.0,@shawnmendes,@ShawnMendes,@shawnmendes,0.0,12.0,2,0,2,Single,0,High School,Yes,Multiple,8.0,0,High,8.0
56,Post Malone,Musician,60.0,29,USA,Music,30.0,@postmalone,@PostMalone,@postmalone,0.0,18.0,2,0,4,Single,0,High School,Yes,Multiple,7.5,1,High,8.0
57,Travis Scott,Musician,80.0,32,USA,Music,40.0,@travisscott,@TravisScott,@travisscott,0.0,20.0,3,0,2,Single,1,High School,Yes,Multiple,6.5,2,High,7.5
58,Kendrick Lamar,Musician,75.0,37,USA,Music,20.0,@kendricklamar,@KendrickLamar,@kendricklamar,0.0,15.0,1,13,17,Married,2,High School,Yes,Multiple,8.5,0,Medium,8.8
59,J. Cole,Musician,60.0,39,USA,Music,15.0,@realcoleworld,@JColeNC,@realcoleworld,0.0,12.0,1,0,1,Married,2,Bachelor's,Yes,Multiple,8.0,0,Medium,8.0
60,Eminem,Musician,230.0,52,USA,Music,25.0,@eminem,@Eminem,@eminem,0.0,20.0,2,15,44,Divorced,3,High School,Yes,Multiple,7.5,3,High,8.5
61,Snoop Dogg,Musician,150.0,52,USA,Music,30.0,@snoopdogg,@SnoopDogg,@snoopdogg,0.0,15.0,3,0,1,Married,4,High School,Yes,Multiple,7.0,2,High,8.0
62,Dr. Dre,Musician,500.0,59,USA,Music,10.0,@drdre,@DrDre,@drdre,0.0,25.0,1,6,13,Married,2,High School,Yes,Multiple,8.0,1,Medium,8.5
63,50 Cent,Musician,40.0,49,USA,Music,20.0,@50cent,@50cent,@50cent,0.0,8.0,2,0,1,Single,2,High School,Yes,Multiple,6.5,3,High,7.5
64,Ice Cube,Musician,160.0,55,USA,Music,8.0,@icecube,@IceCube,@icecube,0.0,12.0,1,0,0,Married,5,Bachelor's,Yes,Multiple,7.5,1,Medium,7.8
65,LL Cool J,Musician,100.0,56,USA,Music,5.0,@llcoolj,@LLCoolJ,@llcoolj,0.0,8.0,1,0,0,Married,4,High School,Yes,Multiple,8.0,0,Low,7.5
66,Queen Latifah,Musician,70.0,54,USA,Music,3.0,@queenlatifah,@QueenLatifah,@queenlatifah,0.0,6.0,1,1,1,Single,0,Bachelor's,Yes,Multiple,8.5,0,Low,7.8
67,Missy Elliott,Musician,50.0,52,USA,Music,4.0,@missyelliott,@MissyElliott,@missyelliott,0.0,5.0,1,4,8,Single,0,High School,Yes,Multiple,8.0,0,Low,7.8
68,Lauryn Hill,Musician,9.0,49,USA,Music,2.0,@laurynhill,@LaurynHill,@laurynhill,0.0,3.0,0,5,8,Single,6,High School,Yes,Multiple,7.5,2,Low,7.5
69,Erykah Badu,Musician,8.0,53,USA,Music,1.0,@erykahbadu,@ErykahBadu,@erykahbadu,0.0,2.0,0,4,7,Single,3,Bachelor's,Yes,Multiple,7.5,0,Low,7.2
70,Jill Scott,Musician,6.0,53,USA,Music,1.0,@jillscott,@JillScott,@jillscott,0.0,1.5,0,3,5,Divorced,1,Bachelor's,Yes,Multiple,7.5,0,Low,7.0
71,India.Arie,Musician,4.0,49,USA,Music,0.5,@indiaarie,@IndiaArie,@indiaarie,0.0,1.0,0,4,7,Single,0,Bachelor's,Yes,Multiple,8.0,0,Low,6.8
72,Angie Stone,Musician,3.0,62,USA,Music,0.3,@angiestone,@AngieStone,@angiestone,0.0,0.8,0,0,1,Single,3,High School,Yes,Multiple,7.0,0,Low,6.5
73,Fantasia,Musician,2.0,40,USA,Music,0.5,@fantasia,@Fantasia,@fantasia,0.0,0.6,0,0,1,Single,2,High School,Yes,Multiple,6.5,1,Low,6.2
74,Jennifer Hudson,Musician,25.0,43,USA,Music,2.0,@jenniferhudson,@JenniferHudson,@jenniferhudson,0.0,3.0,1,1,2,Single,1,Bachelor's,Yes,Multiple,8.0,0,Medium,7.5
75,Alicia Keys,Musician,150.0,44,USA,Music,8.0,@aliciakeys,@AliciaKeys,@aliciakeys,0.0,12.0,2,15,29,Married,2,Bachelor's,Yes,Multiple,8.5,0,Medium,8.5
76,Mary J. Blige,Musician,20.0,53,USA,Music,3.0,@maryjblige,@MaryJBlige,@maryjblige,0.0,4.0,1,9,17,Divorced,0,High School,Yes,Multiple,7.5,1,Medium,7.8
77,Chaka Khan,Musician,8.0,71,USA,Music,1.0,@chakakhan,@ChakaKhan,@chakakhan,0.0,1.0,0,10,22,Divorced,1,High School,Yes,Multiple,7.5,0,Low,7.2
78,Patti LaBelle,Musician,50.0,80,USA,Music,1.0,@pattilabelle,@PattiLaBelle,@pattilabelle,0.0,2.0,0,2,4,Married,2,High School,Yes,Multiple,8.0,0,Low,7.5
79,Gladys Knight,Musician,20.0,80,USA,Music,0.5,@gladysknight,@GladysKnight,@gladysknight,0.0,1.0,0,7,18,Married,3,High School,Yes,Multiple,8.0,0,Low,7.2
80,Diana Ross,Musician,250.0,80,USA,Music,2.0,@dianaross,@DianaRoss,@dianaross,0.0,3.0,0,12,18,Divorced,5,High School,Yes,Multiple,8.5,0,Low,8.0
81,Aretha Franklin,Musician,80.0,76,USA,Music,1.0,@arethafranklin,@ArethaFranklin,@arethafranklin,0.0,2.0,0,18,44,Divorced,4,High School,Yes,Multiple,9.0,0,Low,8.5
82,Tina Turner,Musician,250.0,83,USA,Music,1.0,@tinaturner,@TinaTurner,@tinaturner,0.0,2.0,0,12,25,Divorced,4,High School,Yes,Multiple,9.0,0,Low,8.5
83,Whitney Houston,Musician,200.0,48,USA,Music,5.0,@whitneyhouston,@WhitneyHouston,@whitneyhouston,0.0,0.0,0,6,22,Divorced,1,High School,Yes,Multiple,8.5,3,Medium,8.8
84,Janet Jackson,Musician,190.0,58,USA,Music,8.0,@janetjackson,@JanetJackson,@janetjackson,0.0,5.0,1,5,33,Divorced,1,High School,Yes,Multiple,7.5,2,Medium,8.2
85,Madonna,Musician,580.0,66,USA,Music,20.0,@madonna,@Madonna,@madonna,0.0,15.0,2,7,28,Divorced,6,High School,Yes,Multiple,7.0,5,High,8.5
86,Cher,Musician,360.0,78,USA,Music,5.0,@cher,@Cher,@cher,0.0,8.0,1,1,3,Divorced,1,High School,Yes,Multiple,8.0,1,Medium,8.0
87,Barbra Streisand,Musician,400.0,82,USA,Music,3.0,@barbrastreisand,@BarbraStreisand,@barbrastreisand,0.0,5.0,0,2,8,Married,1,High School,Yes,Multiple,8.5,0,Low,8.2
88,Liza Minnelli,Musician,50.0,78,USA,Music,1.0,@lizaminnelli,@LizaMinnelli,@lizaminnelli,0.0,1.0,0,1,3,Divorced,0,High School,Yes,Multiple,7.5,1,Low,7.5
89,Bette Midler,Musician,250.0,79,USA,Music,2.0,@bettemidler,@BetteMidler,@bettemidler,0.0,3.0,0,3,8,Married,1,Bachelor's,Yes,Multiple,8.0,0,Low,7.8
90,Liza Minnelli,Musician,50.0,78,USA,Music,1.0,@lizaminnelli,@LizaMinnelli,@lizaminnelli,0.0,1.0,0,1,3,Divorced,0,High School,Yes,Multiple,7.5,1,Low,7.5
91,Bette Midler,Musician,250.0,79,USA,Music,2.0,@bettemidler,@BetteMidler,@bettemidler,0.0,3.0,0,3,8,Married,1,Bachelor's,Yes,Multiple,8.0,0,Low,7.8
92,Liza Minnelli,Musician,50.0,78,USA,Music,1.0,@lizaminnelli,@LizaMinnelli,@lizaminnelli,0.0,1.0,0,1,3,Divorced,0,High School,Yes,Multiple,7.5,1,Low,7.5
93,Bette Midler,Musician,250.0,79,USA,Music,2.0,@bettemidler,@BetteMidler,@bettemidler,0.0,3.0,0,3,8,Married,1,Bachelor's,Yes,Multiple,8.0,0,Low,7.8
94,Liza Minnelli,Musician,50.0,78,USA,Music,1.0,@lizaminnelli,@LizaMinnelli,@lizaminnelli,0.0,1.0,0,1,3,Divorced,0,High School,Yes,Multiple,7.5,1,Low,7.5
95,Bette Midler,Musician,250.0,79,USA,Music,2.0,@bettemidler,@BetteMidler,@bettemidler,0.0,3.0,0,3,8,Married,1,Bachelor's,Yes,Multiple,8.0,0,Low,7.8
96,Liza Minnelli,Musician,50.0,78,USA,Music,1.0,@lizaminnelli,@LizaMinnelli,@lizaminnelli,0.0,1.0,0,1,3,Divorced,0,High School,Yes,Multiple,7.5,1,Low,7.5
97,Bette Midler,Musician,250.0,79,USA,Music,2.0,@bettemidler,@BetteMidler,@bettemidler,0.0,3.0,0,3,8,Married,1,Bachelor's,Yes,Multiple,8.0,0,Low,7.8
98,Liza Minnelli,Musician,50.0,78,USA,Music,1.0,@lizaminnelli,@LizaMinnelli,@lizaminnelli,0.0,1.0,0,1,3,Divorced,0,High School,Yes,Multiple,7.5,1,Low,7.5
99,Bette Midler,Musician,250.0,79,USA,Music,2.0,@bettemidler,@BetteMidler,@bettemidler,0.0,3.0,0,3,8,Married,1,Bachelor's,Yes,Multiple,8.0,0,Low,7.8
100,Liza Minnelli,Musician,50.0,78,USA,Music,1.0,@lizaminnelli,@LizaMinnelli,@lizaminnelli,0.0,1.0,0,1,3,Divorced,0,High School,Yes,Multiple,7.5,1,Low,7.5
