# Comics Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Title,Publisher,Author,Artist,Release_Year,Genre,Issue_Number,Page_Count,Price_USD,Print_Run,First_Appearance_Character,Main_Character,Supporting_Characters,Villain,Setting,Story_Arc,Continuity,Rating,Box_Office_Millions_USD,IMDb_Rating,Rotten_Tomatoes_Percent,Metacritic_Score,Audience_Score,Social_Media_Reaction,Controversy_Level,Media_Coverage_Hours,Public_Reaction_Score,Cultural_Impact_Score
39,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
40,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
41,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
42,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
43,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
44,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
45,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
46,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
47,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
48,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
49,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
50,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
51,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
52,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
53,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
54,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
55,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
56,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
57,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
58,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
59,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
60,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
61,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
62,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
63,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
64,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
65,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
66,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
67,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
68,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
69,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
70,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
71,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
72,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
73,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
74,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
75,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
76,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
77,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
78,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
79,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
80,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
81,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
82,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
83,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
84,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
85,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
86,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
87,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
88,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
89,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
90,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
91,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
92,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
93,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
94,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
95,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
96,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
97,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
98,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
99,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
100,The Ray #1,DC Comics,Lou Fine,Lou Fine,1940,Superhero,1,64,0.10,200000,The Ray,The Ray,Ray Terrill,Ray Terrill,Gotham City,Origin,Golden Age,7.0,0.0,0.0,0,0,0,Positive,Low,0,7.3,7.4
