# Books Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Title,Author,Genre,Publication_Year,Publisher,Page_Count,Language,ISBN,Price_USD,Bestseller_Status,Sales_Millions,Rating_Goodreads,Country_Origin
48,The Memory Keeper's Daughter,Kim Edwards,Literary Fiction,2005,Viking Press,401,English,9780670034246,15.99,Yes,4,3.91,United States
49,The Kite Runner,Khaled Hosseini,Historical Fiction,2003,Riverhead Books,371,English,9781594480003,16.99,Yes,7,4.30,Afghanistan
50,The Book Thief,Markus Zusak,Historical Fiction,2005,Picador,584,English,9780330423304,14.99,Yes,16,4.38,Australia
51,Gone Girl,Gillian Flynn,Psychological Thriller,2012,Crown Publishing,432,English,9780307588364,16.99,Yes,20,4.06,United States
52,The Fault in Our Stars,John Green,Young Adult,2012,Dutton Books,313,English,9780525478812,13.99,Yes,23,4.26,United States
53,The Hunger Games,Suzanne Collins,Dystopian Fiction,2008,Scholastic Press,374,English,9780439023481,12.99,Yes,28,4.33,United States
54,Twilight,Stephenie Meyer,Paranormal Romance,2005,Little Brown and Company,498,English,9780316015844,11.99,Yes,100,3.59,United States
55,Fifty Shades of Grey,E.L. James,Erotic Romance,2011,Vintage Books,514,English,9780345803481,15.99,Yes,125,3.37,United Kingdom
56,The Girl with the Dragon Tattoo,Stieg Larsson,Crime Thriller,2005,Norstedts Förlag,672,Swedish,9780307269751,16.99,Yes,80,4.15,Sweden
57,The Help,Kathryn Stockett,Historical Fiction,2009,Amy Einhorn Books,464,English,9780399155345,15.99,Yes,5,4.47,United States
58,Water for Elephants,Sara Gruen,Historical Fiction,2006,Algonquin Books,335,English,9781565125605,14.99,Yes,4,4.09,United States
59,The Time Traveler's Wife,Audrey Niffenegger,Romance,2003,MacAdam/Cage,518,English,9780965817139,15.99,Yes,2.5,3.96,United States
60,Eat Pray Love,Elizabeth Gilbert,Memoir,2006,Viking Press,334,English,9780670034710,16.99,Yes,12,3.51,United States
61,The Lovely Bones,Alice Sebold,Literary Fiction,2002,Little Brown and Company,328,English,9780316166686,14.99,Yes,5,3.81,United States
62,The Secret Life of Bees,Sue Monk Kidd,Literary Fiction,2002,Viking Press,301,English,9780670033768,15.99,Yes,6,4.05,United States
63,The Poisonwood Bible,Barbara Kingsolver,Literary Fiction,1998,HarperCollins,546,English,9780060175405,16.99,Yes,4,4.02,United States
64,The Red Tent,Anita Diamant,Historical Fiction,1997,Picador,321,English,9780312195519,14.99,Yes,3,4.19,United States
65,The Memory Keeper's Daughter,Kim Edwards,Literary Fiction,2005,Viking Press,401,English,9780670034246,15.99,Yes,4,3.91,United States
66,The Kite Runner,Khaled Hosseini,Historical Fiction,2003,Riverhead Books,371,English,9781594480003,16.99,Yes,7,4.30,Afghanistan
67,The Book Thief,Markus Zusak,Historical Fiction,2005,Picador,584,English,9780330423304,14.99,Yes,16,4.38,Australia
68,Gone Girl,Gillian Flynn,Psychological Thriller,2012,Crown Publishing,432,English,9780307588364,16.99,Yes,20,4.06,United States
69,The Fault in Our Stars,John Green,Young Adult,2012,Dutton Books,313,English,9780525478812,13.99,Yes,23,4.26,United States
70,The Hunger Games,Suzanne Collins,Dystopian Fiction,2008,Scholastic Press,374,English,9780439023481,12.99,Yes,28,4.33,United States
71,Twilight,Stephenie Meyer,Paranormal Romance,2005,Little Brown and Company,498,English,9780316015844,11.99,Yes,100,3.59,United States
72,Fifty Shades of Grey,E.L. James,Erotic Romance,2011,Vintage Books,514,English,9780345803481,15.99,Yes,125,3.37,United Kingdom
73,The Girl with the Dragon Tattoo,Stieg Larsson,Crime Thriller,2005,Norstedts Förlag,672,Swedish,9780307269751,16.99,Yes,80,4.15,Sweden
74,The Help,Kathryn Stockett,Historical Fiction,2009,Amy Einhorn Books,464,English,9780399155345,15.99,Yes,5,4.47,United States
75,Water for Elephants,Sara Gruen,Historical Fiction,2006,Algonquin Books,335,English,9781565125605,14.99,Yes,4,4.09,United States
76,The Time Traveler's Wife,Audrey Niffenegger,Romance,2003,MacAdam/Cage,518,English,9780965817139,15.99,Yes,2.5,3.96,United States
77,Eat Pray Love,Elizabeth Gilbert,Memoir,2006,Viking Press,334,English,9780670034710,16.99,Yes,12,3.51,United States
78,The Lovely Bones,Alice Sebold,Literary Fiction,2002,Little Brown and Company,328,English,9780316166686,14.99,Yes,5,3.81,United States
79,The Secret Life of Bees,Sue Monk Kidd,Literary Fiction,2002,Viking Press,301,English,9780670033768,15.99,Yes,6,4.05,United States
80,The Poisonwood Bible,Barbara Kingsolver,Literary Fiction,1998,HarperCollins,546,English,9780060175405,16.99,Yes,4,4.02,United States
81,The Red Tent,Anita Diamant,Historical Fiction,1997,Picador,321,English,9780312195519,14.99,Yes,3,4.19,United States
82,The Memory Keeper's Daughter,Kim Edwards,Literary Fiction,2005,Viking Press,401,English,9780670034246,15.99,Yes,4,3.91,United States
83,The Kite Runner,Khaled Hosseini,Historical Fiction,2003,Riverhead Books,371,English,9781594480003,16.99,Yes,7,4.30,Afghanistan
84,The Book Thief,Markus Zusak,Historical Fiction,2005,Picador,584,English,9780330423304,14.99,Yes,16,4.38,Australia
85,Gone Girl,Gillian Flynn,Psychological Thriller,2012,Crown Publishing,432,English,9780307588364,16.99,Yes,20,4.06,United States
86,The Fault in Our Stars,John Green,Young Adult,2012,Dutton Books,313,English,9780525478812,13.99,Yes,23,4.26,United States
87,The Hunger Games,Suzanne Collins,Dystopian Fiction,2008,Scholastic Press,374,English,9780439023481,12.99,Yes,28,4.33,United States
88,Twilight,Stephenie Meyer,Paranormal Romance,2005,Little Brown and Company,498,English,9780316015844,11.99,Yes,100,3.59,United States
89,Fifty Shades of Grey,E.L. James,Erotic Romance,2011,Vintage Books,514,English,9780345803481,15.99,Yes,125,3.37,United Kingdom
90,The Girl with the Dragon Tattoo,Stieg Larsson,Crime Thriller,2005,Norstedts Förlag,672,Swedish,9780307269751,16.99,Yes,80,4.15,Sweden
91,The Help,Kathryn Stockett,Historical Fiction,2009,Amy Einhorn Books,464,English,9780399155345,15.99,Yes,5,4.47,United States
92,Water for Elephants,Sara Gruen,Historical Fiction,2006,Algonquin Books,335,English,9781565125605,14.99,Yes,4,4.09,United States
93,The Time Traveler's Wife,Audrey Niffenegger,Romance,2003,MacAdam/Cage,518,English,9780965817139,15.99,Yes,2.5,3.96,United States
94,Eat Pray Love,Elizabeth Gilbert,Memoir,2006,Viking Press,334,English,9780670034710,16.99,Yes,12,3.51,United States
95,The Lovely Bones,Alice Sebold,Literary Fiction,2002,Little Brown and Company,328,English,9780316166686,14.99,Yes,5,3.81,United States
96,The Secret Life of Bees,Sue Monk Kidd,Literary Fiction,2002,Viking Press,301,English,9780670033768,15.99,Yes,6,4.05,United States
97,The Poisonwood Bible,Barbara Kingsolver,Literary Fiction,1998,HarperCollins,546,English,9780060175405,16.99,Yes,4,4.02,United States
98,The Red Tent,Anita Diamant,Historical Fiction,1997,Picador,321,English,9780312195519,14.99,Yes,3,4.19,United States
99,The Memory Keeper's Daughter,Kim Edwards,Literary Fiction,2005,Viking Press,401,English,9780670034246,15.99,Yes,4,3.91,United States
100,The Kite Runner,Khaled Hosseini,Historical Fiction,2003,Riverhead Books,371,English,9781594480003,16.99,Yes,7,4.30,Afghanistan
