# TV Shows Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Show_Name,Genre,Seasons,Episodes,Network,Release_Year,End_Year,Rating_IMDb,Rating_Rotten_Tomatoes,Country_Origin,Language,Creator,Main_Cast,Average_Episode_Duration_Minutes,Status
83,The IT Crowd,Comedy,4,25,Channel 4,2006,2013,8.5,89,United Kingdom,English,Graham Linehan,Chris O'Dowd Richard Ayoade,25,Ended
84,Blackadder,Comedy,4,24,BBC One,1983,1989,8.7,92,United Kingdom,English,Richard Curtis,Rowan Atkinson Hugh Laurie,30,Ended
85,Fawlty Towers,Comedy,2,12,BBC Two,1975,1979,8.8,100,United Kingdom,English,John Cleese,John Cleese Prunella Scales,30,Ended
86,Only Fools and Horses,Comedy,7,64,BBC One,1981,2003,8.7,89,United Kingdom,English,John Sullivan,David Jason Nicholas Lyndhurst,30,Ended
87,The Thick of It,Comedy,4,24,BBC Two,2005,2012,8.8,95,United Kingdom,English,Armando Iannucci,Peter Capaldi Chris Addison,30,Ended
88,Yes Minister,Comedy,3,21,BBC Two,1980,1984,8.8,96,United Kingdom,English,Antony Jay,Paul Eddington Nigel Hawthorne,30,Ended
89,The Office US,Comedy,9,201,NBC,2005,2013,8.9,81,United States,English,Greg Daniels,Steve Carell John Krasinski,22,Ended
90,Parks and Recreation,Comedy,7,125,NBC,2009,2015,8.6,93,United States,English,Greg Daniels,Amy Poehler Nick Offerman,22,Ended
91,30 Rock,Comedy,7,138,NBC,2006,2013,8.2,90,United States,English,Tina Fey,Tina Fey Alec Baldwin,22,Ended
92,Community,Comedy,6,110,NBC,2009,2015,8.5,88,United States,English,Dan Harmon,Joel McHale Donald Glover,22,Ended
93,It's Always Sunny in Philadelphia,Comedy,16,170,FX,2005,2023,8.8,95,United States,English,Rob McElhenney,Charlie Day Rob McElhenney,22,Ongoing
94,The Office UK,Comedy,2,14,BBC Two,2001,2003,8.5,88,United Kingdom,English,Ricky Gervais,Ricky Gervais Martin Freeman,30,Ended
95,Fleabag,Comedy,2,12,BBC Three,2016,2019,8.7,100,United Kingdom,English,Phoebe Waller-Bridge,Phoebe Waller-Bridge Sian Clifford,25,Ended
96,Peaky Blinders,Drama,6,36,BBC Two,2013,2022,8.8,92,United Kingdom,English,Steven Knight,Cillian Murphy Helen McCrory,55,Ended
97,Sherlock,Drama,4,15,BBC One,2010,2017,9.1,78,United Kingdom,English,Mark Gatiss,Benedict Cumberbatch Martin Freeman,90,Ended
98,Downton Abbey,Drama,6,52,ITV,2010,2015,8.7,87,United Kingdom,English,Julian Fellowes,Hugh Bonneville Maggie Smith,50,Ended
99,The Great British Bake Off,Reality,14,140,BBC One,2010,2023,8.6,95,United Kingdom,English,Love Productions,Paul Hollywood Prue Leith,60,Ongoing
100,Top Gear,Reality,32,300,BBC Two,2002,2023,8.7,89,United Kingdom,English,BBC,Jeremy Clarkson Richard Hammond,60,Ongoing
