# Podcast Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Show_Name,Hosts,Genre,Release_Frequency,Platforms,Country,Launch_Year,Episode_Count,Average_Duration_Minutes,Monthly_Downloads_Millions,Language,Target_Demographic,Sponsor_Count,Revenue_Monthly_USD,Production_Quality,Social_Media_Followers_Millions,Website_Traffic_Monthly_Thousands,Email_Subscribers_Thousands,Merchandise_Sales_USD,Patron_Support_USD
38,Ask Me Another,Multiple,Comedy,Weekly,NPR,USA,2012,400,30,0.4,English,Adults,2,30000,Professional,0.1,40,10,3000,15000
39,Snap Judgment,Multiple,Storytelling,Weekly,NPR,USA,2010,500,60,0.5,English,Adults,2,35000,Professional,0.1,50,12,3500,16000
40,Latino USA,Multiple,Latino Culture,Weekly,NPR,USA,1992,800,30,0.3,English,Adults,2,25000,Professional,0.1,30,8,2500,12000
41,Alt.Latino,Multiple,Music,Weekly,NPR,USA,2010,400,30,0.2,English,Adults,1,20000,Professional,0.1,25,6,2000,10000
42,Code Switch,Multiple,Social Issues,Weekly,NPR,USA,2016,200,30,0.4,English,Adults,2,30000,Professional,0.1,40,10,3000,14000
43,Embedded,Multiple,Investigative,Seasonal,NPR,USA,2016,50,30,0.3,English,Adults,1,25000,Professional,0.1,25,6,2500,12000
44,Invisibilia,Multiple,Psychology,Seasonal,NPR,USA,2015,60,50,0.4,English,Adults,2,30000,Professional,0.1,35,8,3000,15000
45,How I Built This,Guy Raz,Business,Weekly,NPR,USA,2016,300,60,1.0,English,Adults,4,80000,Professional,0.3,150,40,8000,30000
46,TED Radio Hour,Guy Raz,Education,Weekly,NPR,USA,2012,400,60,0.8,English,Adults,3,60000,Professional,0.2,100,25,6000,25000
47,How to Do Everything,Multiple,Comedy,Weekly,NPR,USA,2010,300,30,0.3,English,Adults,1,20000,Professional,0.1,20,5,2000,10000
48,Ask Me Another,Multiple,Comedy,Weekly,NPR,USA,2012,400,30,0.2,English,Adults,1,15000,Professional,0.1,15,4,1500,8000
49,Wait Wait Don't Tell Me,Multiple,Comedy,Weekly,NPR,USA,1998,1000,50,0.8,English,Adults,3,50000,Professional,0.2,80,20,5000,20000
50,Car Talk,Multiple,Comedy,Weekly,NPR,USA,1977,800,60,0.5,English,Adults,2,30000,Professional,0.1,40,10,3000,15000
51,Prairie Home Companion,Multiple,Variety,Weekly,NPR,USA,1974,2000,120,0.6,English,Adults,3,40000,Professional,0.2,60,15,4000,18000
52,A Prairie Home Companion,Multiple,Variety,Weekly,NPR,USA,1974,2000,120,0.4,English,Adults,2,30000,Professional,0.1,40,10,3000,15000
53,Live from Here,Multiple,Variety,Weekly,NPR,USA,2016,200,120,0.3,English,Adults,1,20000,Professional,0.1,25,6,2000,12000
54,The Moth Radio Hour,Multiple,Storytelling,Weekly,NPR,USA,2009,400,60,0.4,English,Adults,2,25000,Professional,0.1,30,8,2500,13000
55,Snap Judgment,Multiple,Storytelling,Weekly,NPR,USA,2010,500,60,0.3,English,Adults,1,20000,Professional,0.1,25,6,2000,11000
56,The Moth,Multiple,Storytelling,Weekly,NPR,USA,1997,600,15,0.2,English,Adults,1,15000,Professional,0.1,20,5,1500,9000
57,This American Life,Ira Glass,Documentary,Weekly,NPR,USA,1995,800,60,0.6,English,Adults,2,40000,Professional,0.2,60,15,4000,18000
58,Serial,Sarah Koenig,True Crime,Seasonal,NPR,USA,2014,50,45,0.8,English,Adults,2,50000,Professional,0.2,80,20,5000,20000
59,S-Town,Brian Reed,True Crime,Seasonal,NPR,USA,2017,7,60,0.4,English,Adults,1,30000,Professional,0.1,40,10,3000,15000
60,Dirty John,Multiple,True Crime,Seasonal,NPR,USA,2017,8,30,0.3,English,Adults,1,25000,Professional,0.1,30,8,2500,13000
61,Dr. Death,Multiple,True Crime,Seasonal,NPR,USA,2018,8,40,0.3,English,Adults,1,25000,Professional,0.1,30,8,2500,13000
62,The Shrink Next Door,Multiple,True Crime,Seasonal,NPR,USA,2019,8,35,0.2,English,Adults,1,20000,Professional,0.1,25,6,2000,12000
63,The Dropout,Multiple,True Crime,Seasonal,NPR,USA,2019,6,45,0.2,English,Adults,1,20000,Professional,0.1,25,6,2000,12000
64,The Catch and Kill Podcast,Multiple,True Crime,Seasonal,NPR,USA,2019,6,50,0.2,English,Adults,1,20000,Professional,0.1,25,6,2000,12000
65,The Last Days of August,Multiple,True Crime,Seasonal,NPR,USA,2019,5,40,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
66,The Dating Game Killer,Multiple,True Crime,Seasonal,NPR,USA,2019,6,35,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
67,The Thing About Pam,Multiple,True Crime,Seasonal,NPR,USA,2019,6,30,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
68,The Apology Line,Multiple,True Crime,Seasonal,NPR,USA,2020,6,25,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
69,The Line,Multiple,True Crime,Seasonal,NPR,USA,2020,6,30,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
70,The Agent,Multiple,True Crime,Seasonal,NPR,USA,2020,6,35,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
71,The Coldest Case in Laramie,Multiple,True Crime,Seasonal,NPR,USA,2020,8,40,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
72,The Daily,Multiple,News,Daily,New York Times,USA,2017,1500,25,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
73,Radiolab,Multiple,Science,Weekly,NPR,USA,2002,400,60,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
74,Planet Money,Multiple,Economics,Weekly,NPR,USA,2008,600,20,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
75,99% Invisible,Multiple,Design,Weekly,Multiple,USA,2010,500,25,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
76,Hardcore History,Multiple,History,Irregular,Multiple,USA,2006,100,240,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
77,The Indicator,Multiple,Economics,Daily,NPR,USA,2017,1000,10,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
78,Up First,Multiple,News,Daily,NPR,USA,2017,1500,15,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
79,Code Switch,Multiple,Social Issues,Weekly,NPR,USA,2016,200,30,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
80,Throughline,Multiple,History,Weekly,NPR,USA,2019,150,40,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
81,Short Wave,Multiple,Science,Daily,NPR,USA,2019,800,10,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
82,Pop Culture Happy Hour,Multiple,Entertainment,Weekly,NPR,USA,2010,600,30,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
83,Wait Wait Don't Tell Me,Multiple,Comedy,Weekly,NPR,USA,1998,1000,50,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
84,All Things Considered,Multiple,News,Daily,NPR,USA,1971,10000,60,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
85,Morning Edition,Multiple,News,Daily,NPR,USA,1979,10000,60,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
86,Weekend Edition,Multiple,News,Weekends,NPR,USA,1985,5000,60,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
87,Marketplace,Multiple,Business,Daily,NPR,USA,1989,8000,30,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
88,On the Media,Multiple,Media,Weekly,NPR,USA,2001,800,50,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
89,The Takeaway,Multiple,News,Daily,NPR,USA,2008,3000,30,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
90,1A,Multiple,News,Daily,NPR,USA,2017,1500,60,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
91,Here & Now,Multiple,News,Daily,NPR,USA,1997,8000,60,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
92,The World,Multiple,International,Weekdays,NPR,USA,1996,6000,30,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
93,Science Friday,Multiple,Science,Weekly,NPR,USA,1991,1200,90,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
94,Ask Me Another,Multiple,Comedy,Weekly,NPR,USA,2012,400,30,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
95,Snap Judgment,Multiple,Storytelling,Weekly,NPR,USA,2010,500,60,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
96,Latino USA,Multiple,Latino Culture,Weekly,NPR,USA,1992,800,30,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
97,Alt.Latino,Multiple,Music,Weekly,NPR,USA,2010,400,30,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
98,Embedded,Multiple,Investigative,Seasonal,NPR,USA,2016,50,30,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
99,Invisibilia,Multiple,Psychology,Seasonal,NPR,USA,2015,60,50,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
100,How I Built This,Multiple,Business,Weekly,NPR,USA,2016,300,60,0.1,English,Adults,1,15000,Professional,0.1,20,5,1500,10000
