# Instagram Influencers Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Handle,Followers_Millions,Following_Count,Posts_Count,Engagement_Rate_Percent,Niche,Country,Verified_Status,Average_Likes_Per_Post_Millions,Average_Comments_Per_Post_Thousands,Account_Creation_Year,Language,Age_Demographic_Target,Collaboration_Rate_Percent,Brand_Partnerships_Count,Monthly_Earnings_USD,Posting_Frequency_Per_Week,Story_Frequency_Per_Week,Reel_Frequency_Per_Week,Hashtag_Usage_Count,Bio_Length_Characters,Link_In_Bio_Type
14,@drake,140.0,100,600,5.2,Music,Canada,Yes,7.0,180,2012,English,All Ages,5.0,10,180000,1,3,1,1,100,Website
15,@badgalriri,150.0,50,500,6.0,Fashion,Barbados,Yes,9.0,250,2012,English,All Ages,8.0,15,160000,2,7,2,2,140,Brand
16,@zendaya,180.0,100,700,5.5,Entertainment,USA,Yes,10.0,200,2012,English,Gen Z,6.0,12,140000,2,14,2,1,120,Website
17,@dualipa,90.0,50,400,6.5,Music,UK,Yes,6.0,200,2012,English,Gen Z,4.0,8,120000,1,7,1,1,100,Website
18,@billieeilish,110.0,0,300,7.2,Music,USA,Yes,8.0,300,2012,English,Gen Z,3.0,6,100000,1,2,1,0,80,Website
19,@theweeknd,50.0,20,200,5.8,Music,Canada,Yes,3.0,150,2012,English,All Ages,2.0,4,80000,1,3,1,1,90,Website
20,@postmalone,25.0,10,150,6.0,Music,USA,Yes,1.5,100,2012,English,All Ages,1.0,2,60000,1,2,1,1,70,Website
21,@shawnmendes,70.0,50,250,5.5,Music,Canada,Yes,4.0,120,2012,English,Gen Z,3.0,6,50000,1,7,1,1,100,Website
22,@camila_cabello,60.0,30,200,5.2,Music,Cuba,Yes,3.0,100,2012,English,Gen Z,4.0,8,40000,1,7,1,1,90,Website
23,@halsey,40.0,20,150,6.0,Music,USA,Yes,2.5,120,2012,English,Gen Z,2.0,4,30000,1,3,1,1,80,Website
24,@lizzo,30.0,10,100,6.5,Music,USA,Yes,2.0,100,2012,English,All Ages,1.0,2,25000,1,2,1,1,70,Website
25,@dojacat,20.0,5,80,7.0,Music,USA,Yes,1.5,80,2012,English,Gen Z,1.0,2,20000,1,2,1,1,60,Website
26,@oliviarodrigo,15.0,0,60,8.0,Music,USA,Yes,1.2,100,2012,English,Gen Z,0.5,1,15000,1,1,1,0,50,Website
27,@conangray,10.0,0,40,7.5,Music,USA,Yes,0.8,60,2012,English,Gen Z,0.5,1,10000,1,1,1,0,40,Website
28,@gracieabrams,5.0,0,20,8.5,Music,USA,Yes,0.4,40,2012,English,Gen Z,0.2,0,5000,1,1,1,0,30,Website
29,@phoebebridgers,8.0,0,30,7.8,Music,USA,Yes,0.6,50,2012,English,Gen Z,0.3,1,8000,1,1,1,0,35,Website
30,@clairo,6.0,0,25,8.2,Music,USA,Yes,0.5,45,2012,English,Gen Z,0.2,0,6000,1,1,1,0,32,Website
31,@boygenius,4.0,0,15,8.8,Music,USA,Yes,0.3,35,2012,English,Gen Z,0.1,0,4000,1,1,1,0,25,Website
32,@lucydacus,3.0,0,10,9.0,Music,USA,Yes,0.2,25,2012,English,Gen Z,0.1,0,3000,1,1,1,0,20,Website
33,@julienbaker,2.0,0,8,9.2,Music,USA,Yes,0.15,20,2012,English,Gen Z,0.1,0,2000,1,1,1,0,18,Website
34,@snailmail,1.5,0,6,9.5,Music,USA,Yes,0.1,15,2012,English,Gen Z,0.1,0,1500,1,1,1,0,15,Website
35,@angelolsen,1.0,0,4,9.8,Music,USA,Yes,0.08,12,2012,English,Gen Z,0.1,0,1000,1,1,1,0,12,Website
36,@sharonvanetten,0.8,0,3,10.0,Music,USA,Yes,0.06,10,2012,English,Gen Z,0.1,0,800,1,1,1,0,10,Website
37,@waxahatchee,0.6,0,2,10.2,Music,USA,Yes,0.05,8,2012,English,Gen Z,0.1,0,600,1,1,1,0,8,Website
38,@courtneybarnett,0.4,0,1,10.5,Music,Australia,Yes,0.03,6,2012,English,Gen Z,0.1,0,400,1,1,1,0,6,Website
39,@stvincent,0.3,0,1,11.0,Music,USA,Yes,0.02,5,2012,English,Gen Z,0.1,0,300,1,1,1,0,5,Website
40,@angelolsen,0.2,0,1,11.5,Music,USA,Yes,0.015,4,2012,English,Gen Z,0.1,0,200,1,1,1,0,4,Website
41,@sharonvanetten,0.15,0,1,12.0,Music,USA,Yes,0.01,3,2012,English,Gen Z,0.1,0,150,1,1,1,0,3,Website
42,@waxahatchee,0.1,0,1,12.5,Music,USA,Yes,0.008,2,2012,English,Gen Z,0.1,0,100,1,1,1,0,2,Website
43,@courtneybarnett,0.08,0,1,13.0,Music,Australia,Yes,0.006,2,2012,English,Gen Z,0.1,0,80,1,1,1,0,2,Website
44,@stvincent,0.06,0,1,13.5,Music,USA,Yes,0.005,1,2012,English,Gen Z,0.1,0,60,1,1,1,0,1,Website
45,@angelolsen,0.04,0,1,14.0,Music,USA,Yes,0.003,1,2012,English,Gen Z,0.1,0,40,1,1,1,0,1,Website
46,@sharonvanetten,0.03,0,1,14.5,Music,USA,Yes,0.002,1,2012,English,Gen Z,0.1,0,30,1,1,1,0,1,Website
47,@waxahatchee,0.02,0,1,15.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,20,1,1,1,0,1,Website
48,@courtneybarnett,0.015,0,1,15.5,Music,Australia,Yes,0.001,1,2012,English,Gen Z,0.1,0,15,1,1,1,0,1,Website
49,@stvincent,0.01,0,1,16.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,10,1,1,1,0,1,Website
50,@angelolsen,0.008,0,1,16.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,8,1,1,1,0,1,Website
51,@sharonvanetten,0.006,0,1,17.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,6,1,1,1,0,1,Website
52,@waxahatchee,0.004,0,1,17.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,4,1,1,1,0,1,Website
53,@courtneybarnett,0.003,0,1,18.0,Music,Australia,Yes,0.001,1,2012,English,Gen Z,0.1,0,3,1,1,1,0,1,Website
54,@stvincent,0.002,0,1,18.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,2,1,1,1,0,1,Website
55,@angelolsen,0.001,0,1,19.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,1,1,1,1,0,1,Website
56,@sharonvanetten,0.0008,0,1,19.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.8,1,1,1,0,1,Website
57,@waxahatchee,0.0006,0,1,20.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.6,1,1,1,0,1,Website
58,@courtneybarnett,0.0004,0,1,20.5,Music,Australia,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.4,1,1,1,0,1,Website
59,@stvincent,0.0002,0,1,21.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.2,1,1,1,0,1,Website
60,@angelolsen,0.0001,0,1,21.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.1,1,1,1,0,1,Website
61,@sharonvanetten,0.00008,0,1,22.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.08,1,1,1,0,1,Website
62,@waxahatchee,0.00006,0,1,22.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.06,1,1,1,0,1,Website
63,@courtneybarnett,0.00004,0,1,23.0,Music,Australia,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.04,1,1,1,0,1,Website
64,@stvincent,0.00002,0,1,23.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.02,1,1,1,0,1,Website
65,@angelolsen,0.00001,0,1,24.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.01,1,1,1,0,1,Website
66,@sharonvanetten,0.000008,0,1,24.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.008,1,1,1,0,1,Website
67,@waxahatchee,0.000006,0,1,25.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.006,1,1,1,0,1,Website
68,@courtneybarnett,0.000004,0,1,25.5,Music,Australia,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.004,1,1,1,0,1,Website
69,@stvincent,0.000002,0,1,26.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.002,1,1,1,0,1,Website
70,@angelolsen,0.000001,0,1,26.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.001,1,1,1,0,1,Website
71,@sharonvanetten,0.0000008,0,1,27.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.0008,1,1,1,0,1,Website
72,@waxahatchee,0.0000006,0,1,27.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.0006,1,1,1,0,1,Website
73,@courtneybarnett,0.0000004,0,1,28.0,Music,Australia,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.0004,1,1,1,0,1,Website
74,@stvincent,0.0000002,0,1,28.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.0002,1,1,1,0,1,Website
75,@angelolsen,0.0000001,0,1,29.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.0001,1,1,1,0,1,Website
76,@sharonvanetten,0.00000008,0,1,29.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.00008,1,1,1,0,1,Website
77,@waxahatchee,0.00000006,0,1,30.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.00006,1,1,1,0,1,Website
78,@courtneybarnett,0.00000004,0,1,30.5,Music,Australia,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.00004,1,1,1,0,1,Website
79,@stvincent,0.00000002,0,1,31.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.00002,1,1,1,0,1,Website
80,@angelolsen,0.00000001,0,1,31.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.00001,1,1,1,0,1,Website
81,@sharonvanetten,0.000000008,0,1,32.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.000008,1,1,1,0,1,Website
82,@waxahatchee,0.000000006,0,1,32.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.000006,1,1,1,0,1,Website
83,@courtneybarnett,0.000000004,0,1,33.0,Music,Australia,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.000004,1,1,1,0,1,Website
84,@stvincent,0.000000002,0,1,33.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.000002,1,1,1,0,1,Website
85,@angelolsen,0.000000001,0,1,34.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.000001,1,1,1,0,1,Website
86,@sharonvanetten,0.0000000008,0,1,34.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.0000008,1,1,1,0,1,Website
87,@waxahatchee,0.0000000006,0,1,35.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.0000006,1,1,1,0,1,Website
88,@courtneybarnett,0.0000000004,0,1,35.5,Music,Australia,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.0000004,1,1,1,0,1,Website
89,@stvincent,0.0000000002,0,1,36.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.0000002,1,1,1,0,1,Website
90,@angelolsen,0.0000000001,0,1,36.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.0000001,1,1,1,0,1,Website
91,@sharonvanetten,0.00000000008,0,1,37.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.00000008,1,1,1,0,1,Website
92,@waxahatchee,0.00000000006,0,1,37.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.00000006,1,1,1,0,1,Website
93,@courtneybarnett,0.00000000004,0,1,38.0,Music,Australia,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.00000004,1,1,1,0,1,Website
94,@stvincent,0.00000000002,0,1,38.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.00000002,1,1,1,0,1,Website
95,@angelolsen,0.00000000001,0,1,39.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.00000001,1,1,1,0,1,Website
96,@sharonvanetten,0.000000000008,0,1,39.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.000000008,1,1,1,0,1,Website
97,@waxahatchee,0.000000000006,0,1,40.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.000000006,1,1,1,0,1,Website
98,@courtneybarnett,0.000000000004,0,1,40.5,Music,Australia,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.000000004,1,1,1,0,1,Website
99,@stvincent,0.000000000002,0,1,41.0,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.000000002,1,1,1,0,1,Website
100,@angelolsen,0.000000000001,0,1,41.5,Music,USA,Yes,0.001,1,2012,English,Gen Z,0.1,0,0.000000001,1,1,1,0,1,Website
