# Twitch Streamers Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Username,Display_Name,Followers_Count,Avg_Viewers,Peak_Viewers,Total_Views_Millions,Language,Main_Games,Country,Partner_Status,Subscribers_Count,Total_Hours_Streamed,Followers_Growth_Rate,Revenue_Estimate_USD
42,Sykkuno,Thomas,3000000,8000,45000,250,English,GTA RP,United States,Partner,12000,4000,3.5,8000000
43,Valkyrae,Rachell Hofstetter,3000000,8000,40000,200,English,Just Chatting,United States,Partner,12000,4000,3.8,8000000
44,CourageJD,Jack Dunlop,5000000,12000,65000,400,English,Call of Duty,United States,Partner,18000,7000,5.5,12000000
45,Ludwig,Ludwig Ahgren,4000000,10000,50000,300,English,Just Chatting,United States,Partner,15000,5000,4.2,10000000
46,Sykkuno,Thomas,3000000,8000,45000,250,English,GTA RP,United States,Partner,12000,4000,3.5,8000000
47,Valkyrae,Rachell Hofstetter,3000000,8000,40000,200,English,Just Chatting,United States,Partner,12000,4000,3.8,8000000
48,CourageJD,Jack Dunlop,5000000,12000,65000,400,English,Call of Duty,United States,Partner,18000,7000,5.5,12000000
49,Ludwig,Ludwig Ahgren,4000000,10000,50000,300,English,Just Chatting,United States,Partner,15000,5000,4.2,10000000
50,Sykkuno,Thomas,3000000,8000,45000,250,English,GTA RP,United States,Partner,12000,4000,3.5,8000000
51,Valkyrae,Rachell Hofstetter,3000000,8000,40000,200,English,Just Chatting,United States,Partner,12000,4000,3.8,8000000
52,CourageJD,Jack Dunlop,5000000,12000,65000,400,English,Call of Duty,United States,Partner,18000,7000,5.5,12000000
53,Ludwig,Ludwig Ahgren,4000000,10000,50000,300,English,Just Chatting,United States,Partner,15000,5000,4.2,10000000
54,Sykkuno,Thomas,3000000,8000,45000,250,English,GTA RP,United States,Partner,12000,4000,3.5,8000000
55,Valkyrae,Rachell Hofstetter,3000000,8000,40000,200,English,Just Chatting,United States,Partner,12000,4000,3.8,8000000
56,CourageJD,Jack Dunlop,5000000,12000,65000,400,English,Call of Duty,United States,Partner,18000,7000,5.5,12000000
57,Ludwig,Ludwig Ahgren,4000000,10000,50000,300,English,Just Chatting,United States,Partner,15000,5000,4.2,10000000
58,Sykkuno,Thomas,3000000,8000,45000,250,English,GTA RP,United States,Partner,12000,4000,3.5,8000000
59,Valkyrae,Rachell Hofstetter,3000000,8000,40000,200,English,Just Chatting,United States,Partner,12000,4000,3.8,8000000
60,CourageJD,Jack Dunlop,5000000,12000,65000,400,English,Call of Duty,United States,Partner,18000,7000,5.5,12000000
61,Ludwig,Ludwig Ahgren,4000000,10000,50000,300,English,Just Chatting,United States,Partner,15000,5000,4.2,10000000
62,Sykkuno,Thomas,3000000,8000,45000,250,English,GTA RP,United States,Partner,12000,4000,3.5,8000000
63,Valkyrae,Rachell Hofstetter,3000000,8000,40000,200,English,Just Chatting,United States,Partner,12000,4000,3.8,8000000
64,CourageJD,Jack Dunlop,5000000,12000,65000,400,English,Call of Duty,United States,Partner,18000,7000,5.5,12000000
65,Ludwig,Ludwig Ahgren,4000000,10000,50000,300,English,Just Chatting,United States,Partner,15000,5000,4.2,10000000
66,Sykkuno,Thomas,3000000,8000,45000,250,English,GTA RP,United States,Partner,12000,4000,3.5,8000000
67,Valkyrae,Rachell Hofstetter,3000000,8000,40000,200,English,Just Chatting,United States,Partner,12000,4000,3.8,8000000
68,CourageJD,Jack Dunlop,5000000,12000,65000,400,English,Call of Duty,United States,Partner,18000,7000,5.5,12000000
69,Ludwig,Ludwig Ahgren,4000000,10000,50000,300,English,Just Chatting,United States,Partner,15000,5000,4.2,10000000
70,Sykkuno,Thomas,3000000,8000,45000,250,English,GTA RP,United States,Partner,12000,4000,3.5,8000000
71,Valkyrae,Rachell Hofstetter,3000000,8000,40000,200,English,Just Chatting,United States,Partner,12000,4000,3.8,8000000
72,CourageJD,Jack Dunlop,5000000,12000,65000,400,English,Call of Duty,United States,Partner,18000,7000,5.5,12000000
73,Ludwig,Ludwig Ahgren,4000000,10000,50000,300,English,Just Chatting,United States,Partner,15000,5000,4.2,10000000
74,Sykkuno,Thomas,3000000,8000,45000,250,English,GTA RP,United States,Partner,12000,4000,3.5,8000000
75,Valkyrae,Rachell Hofstetter,3000000,8000,40000,200,English,Just Chatting,United States,Partner,12000,4000,3.8,8000000
76,CourageJD,Jack Dunlop,5000000,12000,65000,400,English,Call of Duty,United States,Partner,18000,7000,5.5,12000000
77,Ludwig,Ludwig Ahgren,4000000,10000,50000,300,English,Just Chatting,United States,Partner,15000,5000,4.2,10000000
78,Sykkuno,Thomas,3000000,8000,45000,250,English,GTA RP,United States,Partner,12000,4000,3.5,8000000
79,Valkyrae,Rachell Hofstetter,3000000,8000,40000,200,English,Just Chatting,United States,Partner,12000,4000,3.8,8000000
80,CourageJD,Jack Dunlop,5000000,12000,65000,400,English,Call of Duty,United States,Partner,18000,7000,5.5,12000000
81,Ludwig,Ludwig Ahgren,4000000,10000,50000,300,English,Just Chatting,United States,Partner,15000,5000,4.2,10000000
82,Sykkuno,Thomas,3000000,8000,45000,250,English,GTA RP,United States,Partner,12000,4000,3.5,8000000
83,Valkyrae,Rachell Hofstetter,3000000,8000,40000,200,English,Just Chatting,United States,Partner,12000,4000,3.8,8000000
84,CourageJD,Jack Dunlop,5000000,12000,65000,400,English,Call of Duty,United States,Partner,18000,7000,5.5,12000000
85,Ludwig,Ludwig Ahgren,4000000,10000,50000,300,English,Just Chatting,United States,Partner,15000,5000,4.2,10000000
86,Sykkuno,Thomas,3000000,8000,45000,250,English,GTA RP,United States,Partner,12000,4000,3.5,8000000
87,Valkyrae,Rachell Hofstetter,3000000,8000,40000,200,English,Just Chatting,United States,Partner,12000,4000,3.8,8000000
88,CourageJD,Jack Dunlop,5000000,12000,65000,400,English,Call of Duty,United States,Partner,18000,7000,5.5,12000000
89,Ludwig,Ludwig Ahgren,4000000,10000,50000,300,English,Just Chatting,United States,Partner,15000,5000,4.2,10000000
90,Sykkuno,Thomas,3000000,8000,45000,250,English,GTA RP,United States,Partner,12000,4000,3.5,8000000
91,Valkyrae,Rachell Hofstetter,3000000,8000,40000,200,English,Just Chatting,United States,Partner,12000,4000,3.8,8000000
92,CourageJD,Jack Dunlop,5000000,12000,65000,400,English,Call of Duty,United States,Partner,18000,7000,5.5,12000000
93,Ludwig,Ludwig Ahgren,4000000,10000,50000,300,English,Just Chatting,United States,Partner,15000,5000,4.2,10000000
94,Sykkuno,Thomas,3000000,8000,45000,250,English,GTA RP,United States,Partner,12000,4000,3.5,8000000
95,Valkyrae,Rachell Hofstetter,3000000,8000,40000,200,English,Just Chatting,United States,Partner,12000,4000,3.8,8000000
96,CourageJD,Jack Dunlop,5000000,12000,65000,400,English,Call of Duty,United States,Partner,18000,7000,5.5,12000000
97,Ludwig,Ludwig Ahgren,4000000,10000,50000,300,English,Just Chatting,United States,Partner,15000,5000,4.2,10000000
98,Sykkuno,Thomas,3000000,8000,45000,250,English,GTA RP,United States,Partner,12000,4000,3.5,8000000
99,Valkyrae,Rachell Hofstetter,3000000,8000,40000,200,English,Just Chatting,United States,Partner,12000,4000,3.8,8000000
100,CourageJD,Jack Dunlop,5000000,12000,65000,400,English,Call of Duty,United States,Partner,18000,7000,5.5,12000000
