# TikTok Creators Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Username,Followers_Millions,Likes_Millions,Category,Region,Country,Account_Creation_Year,Verified_Status,Average_Views_Per_Video_Millions,Engagement_Rate_Percent,Content_Type,Language,Age_Demographic_Target,Collaboration_Rate_Percent,Brand_Partnerships_Count,Monthly_Earnings_USD,Video_Frequency_Per_Week,Hashtag_Usage_Count,Music_Usage_Percent,Trend_Participation_Rate_Percent
35,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
36,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
37,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
38,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
39,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
40,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
41,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
42,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
43,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
44,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
45,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
46,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
47,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
48,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
49,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
50,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
51,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
52,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
53,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
54,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
55,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
56,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
57,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
58,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
59,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
60,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
61,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
62,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
63,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
64,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
65,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
66,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
67,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
68,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
69,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
70,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
71,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
72,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
73,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
74,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
75,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
76,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
77,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
78,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
79,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
80,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
81,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
82,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
83,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
84,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
85,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
86,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
87,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
88,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
89,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
90,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
91,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
92,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
93,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
94,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
95,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
96,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
97,@bellapoarch,45.0,4000.0,Dance,North America,USA,2019,Yes,15.0,8.8,Dance Videos,English,Gen Z,12.0,18,180000,6,4,95.0,95.0
98,@jamescharles,35.0,3000.0,Beauty,North America,USA,2015,Yes,10.0,8.5,Beauty Tutorials,English,Gen Z,8.0,20,120000,4,2,60.0,75.0
99,@mrbeast,200.0,18000.0,Entertainment,North America,USA,2012,Yes,35.0,9.5,Challenges,English,All Ages,5.0,30,800000,3,2,40.0,70.0
100,@khaby00,80.0,7500.0,Comedy,Europe,Italy,2020,Yes,20.0,9.0,Comedy Skits,Italian,All Ages,6.0,12,300000,4,1,50.0,60.0
