# Religions Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Religion_Name,Followers_Millions,Percentage_World_Population,Founding_Year,Founder,Main_Texts,Primary_Regions,Main_Beliefs,Practices,Festivals,Sacred_Places,Denominations
13,Jainism,5,0.1,599 BCE,Mahavira,Agamas Sutras,India,Non-violence Karma Liberation,Vegetarianism Meditation,Diwali Paryushana,Palitana Shravanabelagola,Digambara Svetambara
14,Shinto,4,0.1,Prehistoric,No founder,Kojiki Nihon Shoki,Japan,Kami Nature spirits,Rituals Purification,New Year Obon,Shrines Ise,Kokugaku Sectarian
15,Taoism,12,0.2,500 BCE,Laozi,Tao Te Ching,China Taiwan,Natural harmony Wu Wei,Tai Chi Meditation,Tomb Sweeping Day,Five Sacred Mountains,Philosophical Religious
16,Confucianism,6,0.1,551 BCE,Confucius,Analects,China Korea,Five Relationships Filial piety,Rituals Education,Confucius Birthday,Confucius Temple,No denominations
17,Zoroastrianism,0.1,0.001,1500 BCE,Zoroaster,Avesta,Iran India,Good vs Evil Dualism,Fire worship Prayer,Nowruz Yalda,Fire temples,No denominations
18,Jainism,5,0.1,599 BCE,Mahavira,Agamas Sutras,India,Non-violence Karma Liberation,Vegetarianism Meditation,Diwali Paryushana,Palitana Shravanabelagola,Digambara Svetambara
19,Shinto,4,0.1,Prehistoric,No founder,Kojiki Nihon Shoki,Japan,Kami Nature spirits,Rituals Purification,New Year Obon,Shrines Ise,Kokugaku Sectarian
20,Taoism,12,0.2,500 BCE,Laozi,Tao Te Ching,China Taiwan,Natural harmony Wu Wei,Tai Chi Meditation,Tomb Sweeping Day,Five Sacred Mountains,Philosophical Religious
21,Confucianism,6,0.1,551 BCE,Confucius,Analects,China Korea,Five Relationships Filial piety,Rituals Education,Confucius Birthday,Confucius Temple,No denominations
22,Zoroastrianism,0.1,0.001,1500 BCE,Zoroaster,Avesta,Iran India,Good vs Evil Dualism,Fire worship Prayer,Nowruz Yalda,Fire temples,No denominations
23,Jainism,5,0.1,599 BCE,Mahavira,Agamas Sutras,India,Non-violence Karma Liberation,Vegetarianism Meditation,Diwali Paryushana,Palitana Shravanabelagola,Digambara Svetambara
24,Shinto,4,0.1,Prehistoric,No founder,Kojiki Nihon Shoki,Japan,Kami Nature spirits,Rituals Purification,New Year Obon,Shrines Ise,Kokugaku Sectarian
25,Taoism,12,0.2,500 BCE,Laozi,Tao Te Ching,China Taiwan,Natural harmony Wu Wei,Tai Chi Meditation,Tomb Sweeping Day,Five Sacred Mountains,Philosophical Religious
26,Confucianism,6,0.1,551 BCE,Confucius,Analects,China Korea,Five Relationships Filial piety,Rituals Education,Confucius Birthday,Confucius Temple,No denominations
27,Zoroastrianism,0.1,0.001,1500 BCE,Zoroaster,Avesta,Iran India,Good vs Evil Dualism,Fire worship Prayer,Nowruz Yalda,Fire temples,No denominations
28,Jainism,5,0.1,599 BCE,Mahavira,Agamas Sutras,India,Non-violence Karma Liberation,Vegetarianism Meditation,Diwali Paryushana,Palitana Shravanabelagola,Digambara Svetambara
29,Shinto,4,0.1,Prehistoric,No founder,Kojiki Nihon Shoki,Japan,Kami Nature spirits,Rituals Purification,New Year Obon,Shrines Ise,Kokugaku Sectarian
30,Taoism,12,0.2,500 BCE,Laozi,Tao Te Ching,China Taiwan,Natural harmony Wu Wei,Tai Chi Meditation,Tomb Sweeping Day,Five Sacred Mountains,Philosophical Religious
31,Confucianism,6,0.1,551 BCE,Confucius,Analects,China Korea,Five Relationships Filial piety,Rituals Education,Confucius Birthday,Confucius Temple,No denominations
32,Zoroastrianism,0.1,0.001,1500 BCE,Zoroaster,Avesta,Iran India,Good vs Evil Dualism,Fire worship Prayer,Nowruz Yalda,Fire temples,No denominations
33,Jainism,5,0.1,599 BCE,Mahavira,Agamas Sutras,India,Non-violence Karma Liberation,Vegetarianism Meditation,Diwali Paryushana,Palitana Shravanabelagola,Digambara Svetambara
34,Shinto,4,0.1,Prehistoric,No founder,Kojiki Nihon Shoki,Japan,Kami Nature spirits,Rituals Purification,New Year Obon,Shrines Ise,Kokugaku Sectarian
35,Taoism,12,0.2,500 BCE,Laozi,Tao Te Ching,China Taiwan,Natural harmony Wu Wei,Tai Chi Meditation,Tomb Sweeping Day,Five Sacred Mountains,Philosophical Religious
36,Confucianism,6,0.1,551 BCE,Confucius,Analects,China Korea,Five Relationships Filial piety,Rituals Education,Confucius Birthday,Confucius Temple,No denominations
37,Zoroastrianism,0.1,0.001,1500 BCE,Zoroaster,Avesta,Iran India,Good vs Evil Dualism,Fire worship Prayer,Nowruz Yalda,Fire temples,No denominations
38,Jainism,5,0.1,599 BCE,Mahavira,Agamas Sutras,India,Non-violence Karma Liberation,Vegetarianism Meditation,Diwali Paryushana,Palitana Shravanabelagola,Digambara Svetambara
39,Shinto,4,0.1,Prehistoric,No founder,Kojiki Nihon Shoki,Japan,Kami Nature spirits,Rituals Purification,New Year Obon,Shrines Ise,Kokugaku Sectarian
40,Taoism,12,0.2,500 BCE,Laozi,Tao Te Ching,China Taiwan,Natural harmony Wu Wei,Tai Chi Meditation,Tomb Sweeping Day,Five Sacred Mountains,Philosophical Religious
41,Confucianism,6,0.1,551 BCE,Confucius,Analects,China Korea,Five Relationships Filial piety,Rituals Education,Confucius Birthday,Confucius Temple,No denominations
42,Zoroastrianism,0.1,0.001,1500 BCE,Zoroaster,Avesta,Iran India,Good vs Evil Dualism,Fire worship Prayer,Nowruz Yalda,Fire temples,No denominations
43,Jainism,5,0.1,599 BCE,Mahavira,Agamas Sutras,India,Non-violence Karma Liberation,Vegetarianism Meditation,Diwali Paryushana,Palitana Shravanabelagola,Digambara Svetambara
44,Shinto,4,0.1,Prehistoric,No founder,Kojiki Nihon Shoki,Japan,Kami Nature spirits,Rituals Purification,New Year Obon,Shrines Ise,Kokugaku Sectarian
45,Taoism,12,0.2,500 BCE,Laozi,Tao Te Ching,China Taiwan,Natural harmony Wu Wei,Tai Chi Meditation,Tomb Sweeping Day,Five Sacred Mountains,Philosophical Religious
46,Confucianism,6,0.1,551 BCE,Confucius,Analects,China Korea,Five Relationships Filial piety,Rituals Education,Confucius Birthday,Confucius Temple,No denominations
47,Zoroastrianism,0.1,0.001,1500 BCE,Zoroaster,Avesta,Iran India,Good vs Evil Dualism,Fire worship Prayer,Nowruz Yalda,Fire temples,No denominations
48,Jainism,5,0.1,599 BCE,Mahavira,Agamas Sutras,India,Non-violence Karma Liberation,Vegetarianism Meditation,Diwali Paryushana,Palitana Shravanabelagola,Digambara Svetambara
49,Shinto,4,0.1,Prehistoric,No founder,Kojiki Nihon Shoki,Japan,Kami Nature spirits,Rituals Purification,New Year Obon,Shrines Ise,Kokugaku Sectarian
50,Taoism,12,0.2,500 BCE,Laozi,Tao Te Ching,China Taiwan,Natural harmony Wu Wei,Tai Chi Meditation,Tomb Sweeping Day,Five Sacred Mountains,Philosophical Religious
51,Confucianism,6,0.1,551 BCE,Confucius,Analects,China Korea,Five Relationships Filial piety,Rituals Education,Confucius Birthday,Confucius Temple,No denominations
52,Zoroastrianism,0.1,0.001,1500 BCE,Zoroaster,Avesta,Iran India,Good vs Evil Dualism,Fire worship Prayer,Nowruz Yalda,Fire temples,No denominations
53,Jainism,5,0.1,599 BCE,Mahavira,Agamas Sutras,India,Non-violence Karma Liberation,Vegetarianism Meditation,Diwali Paryushana,Palitana Shravanabelagola,Digambara Svetambara
54,Shinto,4,0.1,Prehistoric,No founder,Kojiki Nihon Shoki,Japan,Kami Nature spirits,Rituals Purification,New Year Obon,Shrines Ise,Kokugaku Sectarian
55,Taoism,12,0.2,500 BCE,Laozi,Tao Te Ching,China Taiwan,Natural harmony Wu Wei,Tai Chi Meditation,Tomb Sweeping Day,Five Sacred Mountains,Philosophical Religious
56,Confucianism,6,0.1,551 BCE,Confucius,Analects,China Korea,Five Relationships Filial piety,Rituals Education,Confucius Birthday,Confucius Temple,No denominations
57,Zoroastrianism,0.1,0.001,1500 BCE,Zoroaster,Avesta,Iran India,Good vs Evil Dualism,Fire worship Prayer,Nowruz Yalda,Fire temples,No denominations
58,Jainism,5,0.1,599 BCE,Mahavira,Agamas Sutras,India,Non-violence Karma Liberation,Vegetarianism Meditation,Diwali Paryushana,Palitana Shravanabelagola,Digambara Svetambara
59,Shinto,4,0.1,Prehistoric,No founder,Kojiki Nihon Shoki,Japan,Kami Nature spirits,Rituals Purification,New Year Obon,Shrines Ise,Kokugaku Sectarian
60,Taoism,12,0.2,500 BCE,Laozi,Tao Te Ching,China Taiwan,Natural harmony Wu Wei,Tai Chi Meditation,Tomb Sweeping Day,Five Sacred Mountains,Philosophical Religious
61,Confucianism,6,0.1,551 BCE,Confucius,Analects,China Korea,Five Relationships Filial piety,Rituals Education,Confucius Birthday,Confucius Temple,No denominations
62,Zoroastrianism,0.1,0.001,1500 BCE,Zoroaster,Avesta,Iran India,Good vs Evil Dualism,Fire worship Prayer,Nowruz Yalda,Fire temples,No denominations
63,Jainism,5,0.1,599 BCE,Mahavira,Agamas Sutras,India,Non-violence Karma Liberation,Vegetarianism Meditation,Diwali Paryushana,Palitana Shravanabelagola,Digambara Svetambara
64,Shinto,4,0.1,Prehistoric,No founder,Kojiki Nihon Shoki,Japan,Kami Nature spirits,Rituals Purification,New Year Obon,Shrines Ise,Kokugaku Sectarian
65,Taoism,12,0.2,500 BCE,Laozi,Tao Te Ching,China Taiwan,Natural harmony Wu Wei,Tai Chi Meditation,Tomb Sweeping Day,Five Sacred Mountains,Philosophical Religious
66,Confucianism,6,0.1,551 BCE,Confucius,Analects,China Korea,Five Relationships Filial piety,Rituals Education,Confucius Birthday,Confucius Temple,No denominations
67,Zoroastrianism,0.1,0.001,1500 BCE,Zoroaster,Avesta,Iran India,Good vs Evil Dualism,Fire worship Prayer,Nowruz Yalda,Fire temples,No denominations
68,Jainism,5,0.1,599 BCE,Mahavira,Agamas Sutras,India,Non-violence Karma Liberation,Vegetarianism Meditation,Diwali Paryushana,Palitana Shravanabelagola,Digambara Svetambara
69,Shinto,4,0.1,Prehistoric,No founder,Kojiki Nihon Shoki,Japan,Kami Nature spirits,Rituals Purification,New Year Obon,Shrines Ise,Kokugaku Sectarian
70,Taoism,12,0.2,500 BCE,Laozi,Tao Te Ching,China Taiwan,Natural harmony Wu Wei,Tai Chi Meditation,Tomb Sweeping Day,Five Sacred Mountains,Philosophical Religious
71,Confucianism,6,0.1,551 BCE,Confucius,Analects,China Korea,Five Relationships Filial piety,Rituals Education,Confucius Birthday,Confucius Temple,No denominations
72,Zoroastrianism,0.1,0.001,1500 BCE,Zoroaster,Avesta,Iran India,Good vs Evil Dualism,Fire worship Prayer,Nowruz Yalda,Fire temples,No denominations
73,Jainism,5,0.1,599 BCE,Mahavira,Agamas Sutras,India,Non-violence Karma Liberation,Vegetarianism Meditation,Diwali Paryushana,Palitana Shravanabelagola,Digambara Svetambara
74,Shinto,4,0.1,Prehistoric,No founder,Kojiki Nihon Shoki,Japan,Kami Nature spirits,Rituals Purification,New Year Obon,Shrines Ise,Kokugaku Sectarian
75,Taoism,12,0.2,500 BCE,Laozi,Tao Te Ching,China Taiwan,Natural harmony Wu Wei,Tai Chi Meditation,Tomb Sweeping Day,Five Sacred Mountains,Philosophical Religious
76,Confucianism,6,0.1,551 BCE,Confucius,Analects,China Korea,Five Relationships Filial piety,Rituals Education,Confucius Birthday,Confucius Temple,No denominations
77,Zoroastrianism,0.1,0.001,1500 BCE,Zoroaster,Avesta,Iran India,Good vs Evil Dualism,Fire worship Prayer,Nowruz Yalda,Fire temples,No denominations
78,Jainism,5,0.1,599 BCE,Mahavira,Agamas Sutras,India,Non-violence Karma Liberation,Vegetarianism Meditation,Diwali Paryushana,Palitana Shravanabelagola,Digambara Svetambara
79,Shinto,4,0.1,Prehistoric,No founder,Kojiki Nihon Shoki,Japan,Kami Nature spirits,Rituals Purification,New Year Obon,Shrines Ise,Kokugaku Sectarian
80,Taoism,12,0.2,500 BCE,Laozi,Tao Te Ching,China Taiwan,Natural harmony Wu Wei,Tai Chi Meditation,Tomb Sweeping Day,Five Sacred Mountains,Philosophical Religious
81,Confucianism,6,0.1,551 BCE,Confucius,Analects,China Korea,Five Relationships Filial piety,Rituals Education,Confucius Birthday,Confucius Temple,No denominations
82,Zoroastrianism,0.1,0.001,1500 BCE,Zoroaster,Avesta,Iran India,Good vs Evil Dualism,Fire worship Prayer,Nowruz Yalda,Fire temples,No denominations
83,Jainism,5,0.1,599 BCE,Mahavira,Agamas Sutras,India,Non-violence Karma Liberation,Vegetarianism Meditation,Diwali Paryushana,Palitana Shravanabelagola,Digambara Svetambara
84,Shinto,4,0.1,Prehistoric,No founder,Kojiki Nihon Shoki,Japan,Kami Nature spirits,Rituals Purification,New Year Obon,Shrines Ise,Kokugaku Sectarian
85,Taoism,12,0.2,500 BCE,Laozi,Tao Te Ching,China Taiwan,Natural harmony Wu Wei,Tai Chi Meditation,Tomb Sweeping Day,Five Sacred Mountains,Philosophical Religious
86,Confucianism,6,0.1,551 BCE,Confucius,Analects,China Korea,Five Relationships Filial piety,Rituals Education,Confucius Birthday,Confucius Temple,No denominations
87,Zoroastrianism,0.1,0.001,1500 BCE,Zoroaster,Avesta,Iran India,Good vs Evil Dualism,Fire worship Prayer,Nowruz Yalda,Fire temples,No denominations
88,Jainism,5,0.1,599 BCE,Mahavira,Agamas Sutras,India,Non-violence Karma Liberation,Vegetarianism Meditation,Diwali Paryushana,Palitana Shravanabelagola,Digambara Svetambara
89,Shinto,4,0.1,Prehistoric,No founder,Kojiki Nihon Shoki,Japan,Kami Nature spirits,Rituals Purification,New Year Obon,Shrines Ise,Kokugaku Sectarian
90,Taoism,12,0.2,500 BCE,Laozi,Tao Te Ching,China Taiwan,Natural harmony Wu Wei,Tai Chi Meditation,Tomb Sweeping Day,Five Sacred Mountains,Philosophical Religious
91,Confucianism,6,0.1,551 BCE,Confucius,Analects,China Korea,Five Relationships Filial piety,Rituals Education,Confucius Birthday,Confucius Temple,No denominations
92,Zoroastrianism,0.1,0.001,1500 BCE,Zoroaster,Avesta,Iran India,Good vs Evil Dualism,Fire worship Prayer,Nowruz Yalda,Fire temples,No denominations
93,Jainism,5,0.1,599 BCE,Mahavira,Agamas Sutras,India,Non-violence Karma Liberation,Vegetarianism Meditation,Diwali Paryushana,Palitana Shravanabelagola,Digambara Svetambara
94,Shinto,4,0.1,Prehistoric,No founder,Kojiki Nihon Shoki,Japan,Kami Nature spirits,Rituals Purification,New Year Obon,Shrines Ise,Kokugaku Sectarian
95,Taoism,12,0.2,500 BCE,Laozi,Tao Te Ching,China Taiwan,Natural harmony Wu Wei,Tai Chi Meditation,Tomb Sweeping Day,Five Sacred Mountains,Philosophical Religious
96,Confucianism,6,0.1,551 BCE,Confucius,Analects,China Korea,Five Relationships Filial piety,Rituals Education,Confucius Birthday,Confucius Temple,No denominations
97,Zoroastrianism,0.1,0.001,1500 BCE,Zoroaster,Avesta,Iran India,Good vs Evil Dualism,Fire worship Prayer,Nowruz Yalda,Fire temples,No denominations
98,Jainism,5,0.1,599 BCE,Mahavira,Agamas Sutras,India,Non-violence Karma Liberation,Vegetarianism Meditation,Diwali Paryushana,Palitana Shravanabelagola,Digambara Svetambara
99,Shinto,4,0.1,Prehistoric,No founder,Kojiki Nihon Shoki,Japan,Kami Nature spirits,Rituals Purification,New Year Obon,Shrines Ise,Kokugaku Sectarian
100,Taoism,12,0.2,500 BCE,Laozi,Tao Te Ching,China Taiwan,Natural harmony Wu Wei,Tai Chi Meditation,Tomb Sweeping Day,Five Sacred Mountains,Philosophical Religious
