# Languages Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Language_Name,Language_Family,Native_Speakers_Millions,Total_Speakers_Millions,Writing_System,Country_Origin,Endangered_Status,UNESCO_Status,Script_Type,Language_Code
29,Thai,Tai-Kadai,31,31,Thai script,Thailand,Not Endangered,Safe,Alphabetic,th
30,Sundanese,Austronesian,30,30,Latin script,Indonesia,Not Endangered,Safe,Alphabetic,su
31,Malay,Austronesian,29,290,Latin script,Malaysia,Not Endangered,Safe,Alphabetic,ms
32,Hausa,Afro-Asiatic,27,50,Latin script,Nigeria,Not Endangered,Safe,Alphabetic,ha
33,Igbo,Niger-Congo,24,24,Latin script,Nigeria,Not Endangered,Safe,Alphabetic,ig
34,Yoruba,Niger-Congo,22,22,Latin script,Nigeria,Not Endangered,Safe,Alphabetic,yo
35,Amharic,Afro-Asiatic,22,25,Ge'ez script,Ethiopia,Not Endangered,Safe,Alphabetic,am
36,Oromo,Afro-Asiatic,21,21,Latin script,Ethiopia,Not Endangered,Safe,Alphabetic,om
37,Azerbaijani,Turkic,20,30,Latin script,Azerbaijan,Not Endangered,Safe,Alphabetic,az
38,Fulah,Niger-Congo,20,20,Latin script,Senegal,Not Endangered,Safe,Alphabetic,ff
39,Romanian,Indo-European,20,25,Latin script,Romania,Not Endangered,Safe,Alphabetic,ro
40,Maithili,Indo-European,19,19,Devanagari script,India,Not Endangered,Safe,Alphabetic,mai
41,Haitian Creole,French Creole,12,12,Latin script,Haiti,Not Endangered,Safe,Alphabetic,ht
42,Chichewa,Niger-Congo,12,12,Latin script,Malawi,Not Endangered,Safe,Alphabetic,ny
43,Kazakh,Turkic,11,15,Cyrillic script,Kazakhstan,Not Endangered,Safe,Alphabetic,kk
44,Ilocano,Austronesian,10,10,Latin script,Philippines,Not Endangered,Safe,Alphabetic,ilo
45,Quechua,Quechuan,9,10,Latin script,Peru,Vulnerable,At Risk,Alphabetic,qu
46,Kirundi,Niger-Congo,9,9,Latin script,Burundi,Not Endangered,Safe,Alphabetic,rn
47,Swedish,Indo-European,9,10,Latin script,Sweden,Not Endangered,Safe,Alphabetic,sv
48,Hmong,Hmong-Mien,8,8,Latin script,China,Vulnerable,At Risk,Alphabetic,hmn
49,Shona,Niger-Congo,8,8,Latin script,Zimbabwe,Not Endangered,Safe,Alphabetic,sn
50,Uzbek,Turkic,8,30,Latin script,Uzbekistan,Not Endangered,Safe,Alphabetic,uz
51,Zulu,Niger-Congo,8,8,Latin script,South Africa,Not Endangered,Safe,Alphabetic,zu
52,Malagasy,Austronesian,7,7,Latin script,Madagascar,Not Endangered,Safe,Alphabetic,mg
53,Konkani,Indo-European,7,7,Devanagari script,India,Not Endangered,Safe,Alphabetic,gom
54,Sindhi,Indo-European,7,25,Arabic script,Pakistan,Not Endangered,Safe,Alphabetic,sd
55,Nepali,Indo-European,7,17,Devanagari script,Nepal,Not Endangered,Safe,Alphabetic,ne
56,Sinhala,Indo-European,7,7,Sinhala script,Sri Lanka,Not Endangered,Safe,Alphabetic,si
57,Kurdish,Indo-European,6,30,Latin script,Iraq,Not Endangered,Safe,Alphabetic,ku
58,Tigrinya,Afro-Asiatic,6,6,Ge'ez script,Eritrea,Not Endangered,Safe,Alphabetic,ti
59,Chewa,Niger-Congo,6,6,Latin script,Malawi,Not Endangered,Safe,Alphabetic,ny
60,Kinyarwanda,Niger-Congo,6,6,Latin script,Rwanda,Not Endangered,Safe,Alphabetic,rw
61,Kirghiz,Turkic,5,5,Cyrillic script,Kyrgyzstan,Not Endangered,Safe,Alphabetic,ky
62,Tajik,Indo-European,5,8,Cyrillic script,Tajikistan,Not Endangered,Safe,Alphabetic,tg
63,Turkmen,Turkic,5,5,Latin script,Turkmenistan,Not Endangered,Safe,Alphabetic,tk
64,Tatar,Turkic,5,5,Cyrillic script,Russia,Not Endangered,Safe,Alphabetic,tt
65,Georgian,Kartvelian,4,4,Georgian script,Georgia,Not Endangered,Safe,Alphabetic,ka
66,Armenian,Indo-European,4,7,Armenian script,Armenia,Not Endangered,Safe,Alphabetic,hy
67,Bosnian,Indo-European,3,3,Latin script,Bosnia and Herzegovina,Not Endangered,Safe,Alphabetic,bs
68,Albanian,Indo-European,3,7,Latin script,Albania,Not Endangered,Safe,Alphabetic,sq
69,Macedonian,Indo-European,2,2,Cyrillic script,North Macedonia,Not Endangered,Safe,Alphabetic,mk
70,Moldovan,Indo-European,2,3,Latin script,Moldova,Not Endangered,Safe,Alphabetic,mo
71,Montenegrin,Indo-European,2,2,Latin script,Montenegro,Not Endangered,Safe,Alphabetic,cnr
72,Serbian,Indo-European,7,12,Cyrillic script,Serbia,Not Endangered,Safe,Alphabetic,sr
73,Croatian,Indo-European,5,7,Latin script,Croatia,Not Endangered,Safe,Alphabetic,hr
74,Slovenian,Indo-European,2,2,Latin script,Slovenia,Not Endangered,Safe,Alphabetic,sl
75,Slovak,Indo-European,5,6,Latin script,Slovakia,Not Endangered,Safe,Alphabetic,sk
76,Czech,Indo-European,10,12,Latin script,Czech Republic,Not Endangered,Safe,Alphabetic,cs
77,Hungarian,Uralic,10,13,Latin script,Hungary,Not Endangered,Safe,Alphabetic,hu
78,Finnish,Uralic,5,5,Latin script,Finland,Not Endangered,Safe,Alphabetic,fi
79,Estonian,Uralic,1,1,Latin script,Estonia,Not Endangered,Safe,Alphabetic,et
80,Latvian,Indo-European,2,2,Latin script,Latvia,Not Endangered,Safe,Alphabetic,lv
81,Lithuanian,Indo-European,3,3,Latin script,Lithuania,Not Endangered,Safe,Alphabetic,lt
82,Belarusian,Indo-European,3,3,Cyrillic script,Belarus,Not Endangered,Safe,Alphabetic,be
83,Bulgarian,Indo-European,7,8,Cyrillic script,Bulgaria,Not Endangered,Safe,Alphabetic,bg
84,Greek,Indo-European,13,13,Greek script,Greece,Not Endangered,Safe,Alphabetic,el
85,Maltese,Afro-Asiatic,0.5,0.5,Latin script,Malta,Not Endangered,Safe,Alphabetic,mt
86,Icelandic,Indo-European,0.3,0.3,Latin script,Iceland,Not Endangered,Safe,Alphabetic,is
87,Faroese,Indo-European,0.05,0.05,Latin script,Faroe Islands,Not Endangered,Safe,Alphabetic,fo
88,Irish,Indo-European,0.1,1.4,Latin script,Ireland,Vulnerable,At Risk,Alphabetic,ga
89,Scottish Gaelic,Indo-European,0.06,0.06,Latin script,Scotland,Critically Endangered,Severely Endangered,Alphabetic,gd
90,Welsh,Indo-European,0.6,0.6,Latin script,Wales,Vulnerable,At Risk,Alphabetic,cy
91,Breton,Indo-European,0.2,0.2,Latin script,France,Critically Endangered,Severely Endangered,Alphabetic,br
92,Cornish,Indo-European,0.003,0.003,Latin script,England,Critically Endangered,Severely Endangered,Alphabetic,kw
93,Manx,Indo-European,0.002,0.002,Latin script,Isle of Man,Critically Endangered,Severely Endangered,Alphabetic,gv
94,Basque,Basque,0.7,0.7,Latin script,Spain,Not Endangered,Safe,Alphabetic,eu
95,Catalan,Indo-European,4,9,Latin script,Spain,Not Endangered,Safe,Alphabetic,ca
96,Galician,Indo-European,2,2,Latin script,Spain,Not Endangered,Safe,Alphabetic,gl
97,Asturian,Indo-European,0.1,0.1,Latin script,Spain,Critically Endangered,Severely Endangered,Alphabetic,ast
98,Aragonese,Indo-European,0.01,0.01,Latin script,Spain,Critically Endangered,Severely Endangered,Alphabetic,an
99,Extremaduran,Indo-European,0.2,0.2,Latin script,Spain,Critically Endangered,Severely Endangered,Alphabetic,ext
100,Leonese,Indo-European,0.05,0.05,Latin script,Spain,Critically Endangered,Severely Endangered,Alphabetic,roa-leo
